%soft,node164,node165,node166
0,0.87,1.25,0.63
1,1.5,1.12,1.87
2,1.25,0.5,0.88
3,1.75,0.75,0.75
4,1.25,0.75,1.62
5,0.88,0.75,1.38
6,1.37,0.62,1.0
7,1.13,1.38,0.38
8,1.0,1.87,1.75
9,1.12,0.38,1.37
10,1.87,1.25,1.25
11,1.0,0.75,1.25
12,1.25,1.12,1.0
13,1.12,0.88,0.62
14,1.37,1.25,0.62
15,1.25,0.75,1.0
16,0.88,0.63,1.0
17,1.25,0.87,0.62
18,1.38,0.62,1.25
19,1.25,1.12,0.38
20,1.38,0.5,1.75
21,1.38,1.0,1.0
22,1.5,1.37,0.75
23,0.88,0.75,1.38
24,1.87,0.63,1.12
25,1.38,1.25,0.88
26,1.12,0.88,0.75
27,0.62,1.0,0.75
28,1.38,0.75,1.38
29,1.25,1.62,1.25
30,1.25,0.62,1.37
31,1.38,1.5,1.63
32,1.5,0.62,1.38
33,1.25,1.25,1.0
34,1.12,0.75,1.0
35,1.5,1.5,2.12
36,1.25,0.87,0.38
37,1.62,0.88,1.25
38,1.62,0.88,0.62
39,1.63,0.88,0.88
40,0.75,1.12,1.0
41,1.87,1.38,1.25
42,1.13,1.62,0.88
43,1.62,1.0,1.0
44,1.12,1.5,0.62
45,2.25,1.0,1.62
46,1.25,1.38,0.88
47,1.38,0.88,1.5
48,0.88,0.62,1.5
49,1.0,1.5,0.62
50,1.25,1.0,1.62
51,2.0,1.12,0.75
52,0.75,1.75,1.25
53,1.63,1.25,1.12
54,1.75,1.25,0.5
55,1.62,1.38,1.0
56,1.0,0.63,1.62
57,1.5,1.12,0.62
58,0.63,0.5,1.25
59,1.62,1.37,0.88
60,1.38,0.75,0.75
61,0.75,0.75,0.75
62,1.12,0.5,1.25
63,1.62,1.37,0.75
64,1.38,0.63,1.0
65,1.37,1.38,0.87
66,1.38,1.5,1.12
67,0.75,0.88,0.88
68,1.38,1.5,1.5
69,0.87,0.88,1.12
70,1.12,1.13,1.88
71,1.38,1.0,1.12
72,1.25,0.87,0.75
73,1.38,1.0,1.12
74,1.25,0.38,1.38
75,1.38,0.5,1.37
76,1.5,0.13,1.25
77,1.5,0.37,1.38
78,1.13,0.88,1.5
79,1.25,1.38,1.25
80,1.75,0.5,1.5
81,1.5,0.62,0.62
82,1.5,1.0,1.5
83,1.88,0.38,1.25
84,1.12,1.38,1.5
85,1.75,1.0,1.37
86,1.63,0.75,0.88
87,1.25,1.0,0.75
88,1.12,1.12,1.62
89,0.5,1.5,1.12
90,1.5,1.0,1.25
91,1.75,0.87,1.38
92,1.5,1.37,0.63
93,1.62,0.5,1.38
94,1.62,1.38,0.62
95,1.0,0.75,0.88
96,1.25,0.87,1.62
97,1.37,0.88,0.63
98,1.38,0.25,1.0
99,0.75,0.62,0.87
100,1.12,1.38,1.63
101,1.25,1.0,0.62
102,1.25,0.5,0.75
103,1.12,0.75,0.87
104,1.62,1.12,1.62
105,1.25,1.12,0.63
106,1.38,1.75,0.75
107,1.12,1.13,1.25
108,1.12,1.12,1.12
109,1.25,0.5,0.88
110,1.0,1.38,1.5
111,1.25,0.5,1.88
112,1.13,1.25,1.38
113,0.75,1.0,0.38
114,1.37,1.0,1.25
115,1.38,0.62,1.12
116,0.75,1.0,0.62
117,1.5,0.75,1.25
118,0.62,0.88,0.62
119,1.62,0.87,0.88
120,1.25,0.63,0.88
121,0.62,1.25,0.88
122,1.5,1.0,1.37
123,1.5,1.12,0.88
124,1.88,1.12,0.37
125,1.62,0.87,0.62
126,1.12,1.38,1.88
127,0.88,0.87,0.62
128,1.38,1.38,1.62
129,1.38,0.62,0.88
130,1.25,1.38,1.37
131,1.12,1.38,1.25
132,1.0,1.25,1.5
133,1.0,1.25,0.62
134,1.0,0.88,1.0
135,1.0,1.12,0.75
136,1.62,1.25,0.88
137,1.25,1.63,0.75
138,1.38,0.75,1.62
139,1.12,0.63,1.25
140,1.5,0.88,0.88
141,1.25,1.12,1.12
