%steal,node153,node154
0,2.17,1.55
1,1.08,0.51
2,0.0,0.0
3,0.0,12.66
4,1.49,0.0
5,0.0,0.0
6,0.53,0.0
7,1.09,0.0
8,0.0,0.0
9,7.01,0.0
10,2.56,7.11
11,11.43,8.82
12,2.22,2.66
13,0.52,0.0
14,0.5,0.51
15,0.0,7.41
16,6.6,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.51
20,3.06,3.26
21,3.8,2.19
22,2.38,2.12
23,8.5,1.09
24,2.04,1.73
25,0.5,0.59
26,10.31,1.2
27,1.95,5.5
28,0.0,0.99
29,2.26,0.0
30,1.13,1.08
31,0.0,2.94
32,0.0,1.76
33,0.0,5.16
34,10.56,8.0
35,2.65,5.74
36,0.0,0.51
37,0.5,0.56
38,3.83,0.0
39,1.49,0.0
40,0.0,0.0
41,0.0,1.09
42,0.0,8.07
43,8.5,1.13
44,4.98,3.53
45,4.07,6.08
46,8.85,1.12
47,11.95,0.0
48,0.0,0.0
49,0.0,0.0
50,1.51,0.52
51,7.21,0.52
52,6.4,10.1
53,0.53,5.59
54,4.62,0.0
55,0.51,0.0
56,0.0,8.26
57,0.0,20.3
58,1.6,1.08
59,2.5,4.26
60,0.0,1.62
61,0.5,5.13
62,0.51,0.0
63,0.0,0.55
64,0.0,1.69
65,1.03,6.45
66,0.0,0.52
67,0.0,0.52
68,1.61,5.26
69,4.79,1.6
70,0.0,0.0
71,0.0,5.24
72,0.0,0.52
73,1.85,2.19
74,3.17,3.03
75,2.14,2.67
76,1.64,0.0
77,0.0,0.0
78,0.0,2.91
79,1.49,3.91
80,1.07,0.0
81,6.25,0.0
82,0.0,1.49
83,0.0,0.0
84,0.52,0.0
85,0.51,0.5
86,0.52,0.0
87,1.49,0.51
88,13.37,2.13
89,2.7,0.52
90,4.85,4.57
91,1.61,0.0
92,0.5,0.0
93,0.0,0.0
94,0.5,0.0
95,10.0,1.04
96,0.0,2.79
97,1.05,9.33
98,0.0,0.51
99,0.51,6.57
100,1.1,0.51
101,2.65,0.0
102,0.5,9.13
103,3.96,1.5
104,2.56,5.03
105,3.88,9.72
106,0.0,1.0
107,1.02,1.02
108,1.57,0.0
109,0.0,0.0
110,0.99,1.0
111,4.35,1.05
112,2.17,2.89
113,2.2,0.0
114,0.0,1.99
115,0.0,1.02
116,0.51,0.56
117,0.0,1.74
118,0.0,2.37
119,4.46,3.88
120,0.5,1.02
121,3.92,2.88
122,4.81,1.62
123,0.52,0.0
124,0.0,4.31
125,0.0,0.0
126,0.0,0.0
127,1.0,0.57
128,0.0,0.52
129,0.51,1.6
130,2.22,0.5
131,0.54,0.0
132,0.0,0.0
133,0.0,1.09
134,1.6,0.0
135,5.31,0.53
136,2.46,1.8
137,0.0,1.13
138,0.0,0.0
139,0.52,0.0
140,0.0,0.0
141,0.0,0.53
142,23.44,5.29
143,8.76,6.67
144,0.0,1.09
145,0.51,0.0
146,0.51,0.5
147,1.96,0.0
148,0.0,0.51
149,0.0,0.0
150,0.51,1.04
151,0.53,0.51
152,0.5,0.5
153,1.69,0.0
154,4.81,0.51
155,0.0,1.07
156,0.0,1.48
157,21.96,0.51
158,1.66,0.0
159,1.21,0.0
160,1.8,0.5
161,1.75,0.0
162,1.65,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,1.6
166,0.52,6.5
167,1.06,0.5
168,0.0,0.0
169,0.0,0.0
170,0.5,0.0
171,0.0,0.5
172,0.0,3.17
173,2.7,3.74
174,0.0,0.0
175,0.0,0.53
176,1.66,6.7
177,0.51,0.0
178,0.5,0.51
179,0.0,0.51
180,4.83,3.03
181,0.51,1.7
182,1.97,1.01
183,0.0,0.0
184,0.55,0.0
185,1.75,0.0
186,0.0,0.0
187,0.0,1.05
188,16.74,0.51
189,0.51,0.0
190,0.5,1.08
191,2.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,3.28
195,2.23,1.76
196,4.23,0.54
197,0.0,2.4
198,0.0,1.08
199,1.06,7.98
200,2.38,0.0
201,1.14,0.5
202,2.42,3.23
203,2.13,1.05
204,1.86,12.5
205,1.98,1.03
206,3.54,0.0
207,1.51,0.0
208,0.0,0.49
209,0.0,0.52
210,1.06,0.5
211,1.01,0.0
212,0.51,1.55
213,0.0,0.0
214,0.51,0.0
215,0.0,1.51
216,0.0,1.03
217,1.56,8.82
218,1.68,0.0
219,1.57,4.17
220,0.51,1.05
221,0.0,3.0
222,4.83,1.18
223,0.0,1.18
224,0.5,3.39
225,5.03,3.11
226,0.51,10.63
227,1.68,0.0
228,2.52,2.51
229,4.05,1.69
230,0.5,0.58
231,0.0,6.4
232,11.61,2.6
233,0.0,0.5
234,4.35,1.63
235,2.05,5.67
236,0.51,0.0
237,11.06,0.0
238,0.0,0.0
239,0.0,3.91
240,10.58,0.51
241,1.5,0.53
242,1.05,0.5
243,10.6,0.0
244,1.73,0.0
245,1.17,0.0
246,0.0,0.51
247,11.16,0.0
248,8.89,0.51
249,2.56,3.7
250,2.15,5.46
251,9.8,0.0
252,0.0,1.04
253,0.0,0.52
254,10.31,0.0
255,0.0,0.0
256,1.03,1.1
257,0.51,0.0
258,1.52,0.53
259,0.51,0.0
260,12.33,1.55
261,0.0,4.24
262,4.76,2.53
263,1.01,4.09
264,11.81,0.0
265,0.0,0.0
266,1.01,0.0
267,0.56,0.0
268,1.15,0.5
269,2.76,0.0
270,4.9,0.54
271,0.51,3.14
272,1.05,4.05
273,4.28,4.71
274,0.51,0.0
275,0.0,0.0
276,0.0,0.5
277,0.0,1.03
278,0.51,0.0
279,0.54,0.51
280,1.05,0.51
281,2.93,8.72
282,0.0,0.5
283,0.0,0.0
284,0.51,3.02
285,0.51,5.14
286,3.45,3.86
287,0.0,0.0
288,0.0,0.0
289,1.64,0.51
290,0.56,0.0
291,1.0,0.0
292,15.97,4.93
293,1.55,2.19
294,2.86,7.65
295,3.85,0.53
296,0.51,1.11
297,2.01,1.02
298,0.0,3.37
299,0.0,0.5
300,0.0,0.0
301,1.08,0.0
302,0.0,1.99
303,0.0,2.54
304,0.51,3.06
305,0.52,2.94
306,2.84,2.23
307,0.5,5.08
308,1.99,15.45
309,0.0,0.0
310,0.5,2.03
311,0.0,0.0
312,0.5,0.0
313,0.0,0.0
314,0.0,2.07
315,2.19,1.05
316,4.92,1.55
317,3.45,2.09
318,1.05,1.11
319,1.49,0.0
320,6.16,0.0
321,0.0,0.0
322,0.0,0.99
323,0.0,0.0
324,0.0,4.81
325,0.0,1.57
326,0.52,2.17
327,4.06,2.98
328,2.12,2.33
329,0.5,6.13
330,15.35,0.5
331,1.02,1.08
332,3.45,0.0
333,1.49,0.0
334,0.0,8.17
335,0.0,0.58
336,0.0,1.14
337,0.0,4.65
338,4.37,6.83
339,3.03,0.53
340,0.52,0.0
341,2.3,0.0
342,1.18,1.04
343,3.19,11.16
344,0.0,0.0
345,0.0,1.5
346,0.0,2.03
347,0.0,4.38
348,1.99,7.23
349,5.52,7.27
350,9.55,0.0
351,0.51,0.0
352,0.0,0.0
353,0.0,0.5
354,10.0,2.63
355,3.41,6.08
356,0.0,1.47
357,0.5,0.0
358,8.68,0.5
359,0.0,0.0
360,3.5,0.52
361,0.51,12.59
362,16.15,1.55
363,2.09,1.04
364,1.04,0.0
365,0.0,0.0
366,0.0,0.0
367,9.91,0.53
368,0.0,4.57
369,14.96,1.11
370,2.07,0.52
371,0.54,4.62
372,3.98,16.9
373,12.0,4.85
374,2.12,0.51
375,0.0,0.5
376,2.94,0.0
377,0.0,0.0
378,0.0,7.55
379,1.0,0.5
380,0.0,0.0
381,0.0,11.61
382,0.0,0.0
383,0.0,10.0
384,4.62,4.12
385,4.88,0.53
386,3.9,1.96
387,8.61,0.52
388,2.0,0.5
389,1.48,0.0
390,11.16,12.11
391,12.23,12.21
392,2.6,2.91
393,0.0,1.05
394,1.6,2.69
395,5.68,11.33
396,23.08,2.91
397,2.41,16.95
398,1.75,0.51
399,0.0,0.0
