%sys,node164,node165,node166
0,68.29,70.54,70.21
1,60.83,65.75,60.55
2,64.17,70.75,68.25
3,59.88,67.33,67.33
4,68.71,70.12,66.04
5,71.38,71.16,66.88
6,67.17,74.62,72.16
7,67.83,66.75,74.59
8,68.75,68.54,67.75
9,65.5,74.69,67.04
10,60.55,70.54,65.21
11,66.75,68.5,66.29
12,61.33,65.38,66.75
13,64.62,68.34,69.38
14,65.29,66.04,69.12
15,70.54,73.25,70.96
16,71.05,72.59,67.5
17,69.54,75.03,75.12
18,68.12,70.38,67.5
19,64.29,70.5,76.38
20,63.58,71.09,64.38
21,63.75,68.88,67.88
22,65.42,65.17,69.04
23,65.66,68.16,63.58
24,63.34,68.67,67.79
25,64.21,69.58,71.09
26,66.0,72.12,72.88
27,72.0,68.46,71.57
28,69.5,71.38,70.88
29,65.38,65.62,66.83
30,62.12,73.66,67.92
31,64.33,65.75,62.58
32,60.92,68.5,66.5
33,67.5,67.38,67.62
34,70.29,67.75,66.75
35,64.88,67.83,61.67
36,67.21,71.04,71.84
37,63.92,74.38,69.62
38,69.88,70.62,73.03
39,66.83,73.72,72.09
40,73.41,68.25,69.62
41,63.42,68.75,71.16
42,68.96,66.25,70.21
43,64.88,70.91,72.0
44,70.79,68.84,73.75
45,63.0,70.79,67.17
46,66.96,68.0,71.25
47,66.12,70.62,65.83
48,69.0,74.25,69.12
49,71.88,66.42,72.38
50,67.5,72.34,69.04
51,65.0,69.54,69.71
52,68.91,67.71,70.88
53,65.71,68.88,67.88
54,65.33,65.92,75.62
55,67.5,70.38,70.5
56,70.04,72.59,67.12
57,63.75,71.04,70.66
58,71.46,72.97,69.38
59,67.04,71.91,70.75
60,67.75,71.62,71.62
61,68.5,74.12,73.75
62,66.38,73.09,68.88
63,64.79,69.41,72.75
64,66.33,71.96,70.09
65,68.53,70.38,73.53
66,66.62,70.0,67.25
67,67.88,70.75,71.96
68,65.21,68.66,67.17
69,71.41,71.62,70.66
70,68.41,70.21,65.75
71,68.5,69.88,68.38
72,67.12,72.16,72.88
73,69.38,69.54,68.88
74,64.88,76.0,69.09
75,67.62,74.5,68.08
76,67.12,75.59,69.34
77,67.04,75.41,66.46
78,69.96,71.59,69.38
79,66.62,69.25,68.7
80,65.38,73.28,67.5
81,65.0,76.0,73.5
82,68.62,69.12,67.38
83,65.21,76.38,71.0
84,68.88,68.88,66.33
85,65.54,72.53,70.79
86,66.46,71.96,69.62
87,67.88,72.41,73.25
88,67.42,70.25,66.62
89,75.28,68.59,70.25
90,66.0,72.38,66.0
91,67.21,72.41,68.75
92,65.75,70.16,72.72
93,66.88,72.34,68.88
94,63.12,70.75,73.66
95,66.62,70.5,70.0
96,66.88,73.66,68.75
97,65.79,69.5,70.21
98,65.62,74.62,71.38
99,68.46,74.0,70.66
100,70.16,69.21,69.09
101,67.46,71.16,73.16
102,69.04,72.97,71.59
103,67.75,72.62,71.54
104,64.88,69.88,68.12
105,67.38,71.04,72.34
106,67.96,67.12,72.66
107,69.62,71.71,70.46
108,68.12,70.66,70.04
109,69.29,74.38,71.88
110,67.08,68.71,66.88
111,69.04,74.16,69.88
112,69.21,70.25,67.25
113,71.88,69.75,74.47
114,67.79,71.38,69.88
115,67.62,71.0,70.25
116,70.75,73.28,73.12
117,66.96,71.21,69.04
