%usr,node164,node165,node166
0,30.84,28.21,29.16
1,37.67,33.12,37.58
2,34.58,28.75,30.88
3,38.38,31.91,31.91
4,30.04,29.12,32.33
5,27.75,28.09,31.75
6,31.46,24.75,26.84
7,31.04,31.87,25.03
8,30.25,29.59,30.5
9,33.38,24.94,31.59
10,37.58,28.21,33.54
11,32.25,30.75,32.46
12,37.42,33.5,32.25
13,34.25,30.79,30.0
14,33.33,32.71,30.25
15,28.21,26.0,28.04
16,28.07,26.78,31.5
17,29.21,24.09,24.25
18,30.5,29.0,31.25
19,34.46,28.38,23.25
20,35.04,28.41,33.88
21,34.88,30.12,31.13
22,33.08,33.46,30.21
23,33.46,31.09,35.04
24,34.79,30.7,31.09
25,34.42,29.18,28.04
26,32.88,27.0,26.38
27,27.38,30.54,27.68
28,29.12,27.88,27.75
29,33.38,32.75,31.91
30,36.62,25.72,30.71
31,34.29,32.75,35.79
32,37.58,30.88,32.12
33,31.25,31.37,31.37
34,28.59,31.5,32.25
35,33.62,30.66,36.2
36,31.54,28.09,27.78
37,34.46,24.75,29.12
38,28.5,28.5,26.34
39,31.54,25.41,27.03
40,25.84,30.63,29.38
41,34.71,29.88,27.59
42,29.91,32.12,28.91
43,33.5,28.09,27.0
44,28.09,29.66,25.62
45,34.75,28.21,31.21
46,31.79,30.63,27.88
47,32.5,28.5,32.67
48,30.12,25.12,29.38
49,27.12,32.08,27.0
50,31.25,26.66,29.34
51,33.0,29.34,29.54
52,30.34,30.54,27.88
53,32.67,29.88,31.0
54,32.92,32.83,23.88
55,30.88,28.25,28.5
56,28.96,26.78,31.25
57,34.75,27.84,28.71
58,27.91,26.53,29.38
59,31.34,26.72,28.38
60,30.88,27.62,27.62
61,30.75,25.12,25.5
62,32.5,26.41,29.88
63,33.58,29.21,26.5
64,32.29,27.41,28.91
65,30.1,28.25,25.59
66,32.0,28.5,31.62
67,31.37,28.38,27.16
68,33.42,29.84,31.34
69,27.72,27.5,28.21
70,30.46,28.66,32.38
71,30.12,29.12,30.5
72,31.62,26.97,26.38
73,29.25,29.46,30.0
74,33.88,23.62,29.54
75,31.0,25.0,30.55
76,31.37,24.28,29.41
77,31.46,24.22,32.17
78,28.91,27.53,29.12
79,32.12,29.38,30.05
80,32.88,26.22,31.0
81,33.5,23.38,25.87
82,29.88,29.88,31.13
83,32.92,23.25,27.75
84,30.0,29.75,32.17
85,32.71,26.47,27.84
86,31.91,27.28,29.5
87,30.88,26.59,26.0
88,31.46,28.62,31.75
89,24.22,29.91,28.62
90,32.5,26.62,32.75
91,31.04,26.72,29.88
92,32.75,28.46,26.66
93,31.5,27.16,29.75
94,35.25,27.88,25.72
95,32.38,28.75,29.12
96,31.87,25.47,29.62
97,32.83,29.62,29.16
98,33.0,25.12,27.62
99,30.79,25.37,28.46
100,28.71,29.41,29.29
101,31.29,27.84,26.22
102,29.71,26.53,27.66
103,31.13,26.62,27.59
104,33.5,29.0,30.25
105,31.37,27.84,27.03
106,30.66,31.13,26.59
107,29.25,27.16,28.29
108,30.75,28.21,28.84
109,29.46,25.12,27.25
110,31.91,29.91,31.62
111,29.71,25.34,28.25
112,29.66,28.5,31.37
113,27.38,29.25,25.16
114,30.84,27.62,28.88
115,31.0,28.38,28.62
116,28.5,25.72,26.25
117,31.54,28.04,29.71
118,24.47,28.12,25.84
119,34.5,30.46,32.62
120,30.04,30.54,26.41
121,29.25,28.12,29.25
122,30.88,28.75,27.84
123,30.71,27.5,29.16
124,32.62,29.62,22.85
125,32.5,26.09,26.38
126,30.88,33.04,32.04
127,30.38,26.72,27.0
128,31.62,31.41,28.88
129,30.12,25.22,28.38
130,33.75,28.75,28.71
131,32.08,29.88,30.12
132,32.42,27.16,32.29
133,29.88,31.0,26.09
134,28.75,27.62,29.54
135,28.12,30.71,26.5
136,35.12,28.62,29.12
137,32.5,30.29,24.25
138,31.62,25.56,32.62
139,31.21,26.16,27.34
140,30.66,28.38,28.41
141,30.63,27.75,28.12
142,33.25,28.25,28.77
143,31.37,27.59,28.45
144,29.88,25.53,27.88
145,32.75,29.21,29.46
146,30.88,28.38,25.87
147,26.5,26.88,28.38
148,32.12,29.66,29.12
149,27.62,26.88,27.0
150,30.25,27.38,29.21
151,29.0,26.62,33.17
152,26.22,28.38,32.21
153,29.54,28.5,31.13
154,31.46,27.34,28.16
155,30.88,25.94,27.41
156,30.88,26.97,29.96
157,31.0,26.75,30.38
158,30.0,24.0,29.59
159,29.34,23.6,28.16
160,29.91,23.25,34.42
161,30.25,26.03,26.34
162,29.88,24.0,31.04
163,31.75,31.34,29.93
164,29.96,27.28,26.38
165,32.54,26.75,30.54
166,36.25,23.35,27.72
167,30.88,24.38,28.09
168,32.88,27.41,30.29
169,33.71,26.75,29.25
170,37.05,31.5,24.25
171,29.96,30.5,27.75
172,31.79,29.62,31.59
173,30.88,25.22,32.46
174,28.96,30.16,26.47
175,31.04,29.84,28.12
176,34.75,27.12,30.12
177,31.13,28.75,26.41
178,32.0,24.88,30.21
179,36.08,30.38,31.62
180,31.29,31.04,35.25
181,39.25,28.46,30.75
182,34.62,35.62,35.0
183,32.62,28.5,33.5
184,30.75,31.21,29.0
185,30.25,28.38,27.5
186,30.75,24.28,31.09
187,33.12,29.38,28.62
188,35.12,28.59,29.38
189,32.5,30.66,33.67
190,37.95,33.38,31.96
191,32.17,29.88,31.16
192,30.34,31.09,31.46
193,32.12,30.04,33.75
194,30.63,28.0,30.0
195,30.75,28.12,31.76
196,27.28,29.75,28.0
197,35.21,27.25,29.38
198,39.62,29.88,28.0
199,37.95,26.88,31.0
200,36.3,32.88,35.62
201,33.0,33.5,33.21
202,29.25,30.84,32.04
203,28.5,33.5,29.12
204,32.12,28.0,27.97
205,33.29,31.34,24.91
206,33.96,28.16,29.25
207,32.25,30.75,25.5
208,34.25,23.88,36.88
209,32.5,32.12,28.84
210,37.38,27.38,33.04
211,34.0,31.0,35.21
212,30.25,36.25,28.75
213,27.47,29.75,29.38
214,30.63,30.63,29.96
215,30.38,28.12,26.53
216,31.87,32.88,28.96
217,34.0,25.75,30.16
218,33.62,29.62,25.62
219,35.88,28.71,32.83
220,33.46,33.38,32.12
221,36.55,29.12,34.92
222,31.25,30.91,31.37
223,35.92,32.58,28.5
224,30.5,27.5,28.38
