avgqu-sz,node164,node165,node166
0,0.866667,1.485,0.705
1,2.74333,0.73,3.225
2,3.99,0.515,2.03
3,1.79667,0.43,1.2
4,2.46667,0.365,2.735
5,2.16,2.64,1.135
6,3.62,1.16,1.505
7,2.54,2.285,1.135
8,1.14667,0.405,0.3
9,1.40667,0.565,3.31
10,2.91,0.505,3.865
11,2.40667,1.21,1.775
12,3.27,1.055,0.875
13,3.23,2.005,1.985
14,3.19333,0.345,0.265
15,2.08,1.32,1.245
16,1.04333,1.185,2.255
17,2.76333,1.445,4.875
18,2.16333,1.275,1.595
19,2.82333,0.69,3.705
20,2.18333,1.105,1.215
21,1.87667,3.98,3.635
22,1.91,0.48,0.185
23,2.04,1.84,2.54
24,2.70667,1.36,1.735
25,3.15667,1.84,2.655
26,1.20333,3.205,1.285
27,1.76333,0.67,0.885
28,1.04,1.94,5.075
29,1.98667,1.87,3.19
30,1.56333,0.755,0.985
31,1.92,0.88,2.185
32,0.496667,2.58,2.475
33,3.25,1.335,2.64
34,1.89,1.205,0.96
35,2.43667,1.7,1.05
36,2.33667,1.35,1.97
37,3.55,0.905,2.275
38,3.60667,0.93,0.565
39,2.67,1.875,0.54
40,0.996667,2.295,0.945
41,1.61667,1.515,1.845
42,2.74667,1.605,2.385
43,2.31667,2.575,0.62
44,2.80667,0.83,0.96
45,2.01,1.34,0.685
46,2.18333,1.02,2.975
47,2.47333,1.19,0.97
48,2.34667,1.62,1.435
49,2.54667,0.885,1.005
50,1.72667,2.565,2.69
51,2.48667,0.77,1.66
52,0.456667,2.965,1.265
53,2.44667,2.985,3.0
54,2.65667,1.015,1.1
55,1.6,0.54,0.69
56,2.06,1.175,2.805
57,2.37,1.71,1.52
58,1.78,1.865,1.9
59,1.89333,2.88,1.82
60,3.05,0.93,1.76
61,2.65667,0.76,1.985
62,1.71,1.51,1.815
63,1.25667,3.015,3.68
64,2.82667,1.64,0.815
65,2.01333,2.045,1.45
66,2.24,0.775,0.74
67,0.526667,2.465,2.525
68,1.7,2.665,3.685
69,1.53667,0.875,1.48
70,0.88,0.64,3.17
71,3.73667,0.555,4.7
72,3.04667,0.72,1.14
73,1.66,1.415,1.18
74,1.86333,0.465,2.705
75,3.57,0.18,3.68
76,2.66333,0.23,1.175
77,2.41667,0.66,2.94
78,2.98333,1.715,2.775
79,2.15667,0.91,1.075
80,2.88333,2.465,2.175
81,2.89,0.72,1.11
82,2.72,0.465,1.765
83,2.53,0.885,1.94
84,1.91333,0.82,2.725
85,1.48,1.33,2.03
86,2.96667,0.615,3.775
87,2.62,1.215,1.415
88,1.75333,2.455,0.745
89,0.596667,1.76,1.77
90,0.643333,0.93,4.12
91,3.28667,2.555,3.975
92,2.82333,0.57,1.17
93,3.09,1.015,1.295
94,2.11,1.675,0.91
95,2.54667,0.76,1.515
96,2.10333,2.405,1.625
97,4.18333,0.075,1.14
98,4.02667,0.79,1.095
99,1.21333,0.74,0.725
100,3.09333,2.14,2.87
101,3.89,1.0,0.21
102,3.73,0.425,0.91
103,2.26,0.895,0.54
104,1.19,1.795,0.925
105,2.13333,2.985,4.005
106,1.86333,1.565,0.82
107,2.52,0.925,1.44
108,3.47333,0.565,2.535
109,2.12,0.655,0.72
110,0.833333,0.815,2.935
111,0.74,2.27,4.81
112,3.55333,1.545,4.71
113,1.49,2.085,0.34
114,1.39333,1.92,2.345
115,3.17333,1.575,1.46
116,0.956667,2.445,1.85
117,2.46667,2.96,2.3
118,2.99333,1.46,1.055
119,2.96333,0.28,0.625
120,2.45667,0.775,2.6
121,0.443333,3.16,1.45
122,1.96667,0.715,2.665
123,2.77333,2.91,2.235
124,4.08333,1.375,0.915
125,1.27333,1.485,0.18
126,0.56,4.06,2.05
127,0.916667,2.28,1.895
128,2.76333,0.465,2.39
129,1.99333,0.42,1.14
130,1.02,2.725,2.77
131,1.16333,1.135,2.005
132,0.316667,5.22,3.63
133,3.89,1.03,0.82
134,2.84667,0.985,0.615
135,2.17667,0.74,1.085
136,2.1,2.48,1.685
137,1.23667,0.89,1.19
138,3.29333,0.505,3.155
139,3.06667,0.645,2.54
140,2.63,0.675,1.72
141,2.45333,0.745,2.18
142,1.44,1.485,0.905
143,0.956667,1.715,4.205
144,0.533333,2.03,2.56
145,3.46,1.005,5.115
146,2.43333,1.53,0.365
147,0.953333,1.745,2.21
148,1.10333,5.195,4.2
149,1.76,0.715,1.2
150,2.16667,2.505,3.245
151,0.696667,1.025,1.385
152,0.173333,0.98,3.57
153,2.53667,0.655,5.595
154,3.25667,1.87,3.39
155,2.87333,0.55,1.86
156,2.57667,0.2,1.75
157,1.78333,0.825,2.98
158,2.76333,1.14,4.46
159,1.63333,0.53,2.19
160,3.09667,0.43,3.32
161,2.72667,0.23,1.685
162,0.796667,1.92,1.895
163,3.63333,0.905,3.92
164,2.44333,0.83,0.505
165,3.48,0.335,2.535
166,3.54333,0.345,1.58
167,1.31,0.425,1.35
168,1.97,3.175,3.645
169,2.63667,2.765,2.08
170,2.36,1.13,0.71
171,2.69333,0.95,2.09
172,2.20333,0.24,0.65
173,1.81667,1.665,2.455
174,2.27667,1.11,2.4
175,1.89333,1.145,0.655
176,2.93333,1.79,2.55
177,3.28667,0.235,0.41
178,2.94,1.17,0.695
179,0.726667,2.81,0.84
180,2.58,0.85,2.365
181,2.74667,0.69,2.69
182,2.91,0.26,1.655
183,2.43667,1.79,0.995
184,1.24667,3.965,0.97
185,2.55,0.54,0.805
186,3.11,1.3,2.1
187,2.28667,2.78,0.72
188,0.816667,2.05,0.35
189,0.243333,3.455,2.065
190,2.62,1.55,2.815
191,3.41333,1.425,0.57
192,1.81333,2.49,1.755
193,2.96333,0.395,0.77
194,1.90667,2.53,1.66
195,1.10667,3.24,1.165
196,1.43333,2.95,2.625
197,1.10333,2.055,0.75
198,3.63,0.47,3.015
199,1.37,1.405,0.535
200,2.29667,2.265,3.305
201,1.84333,0.92,0.825
202,1.40667,2.47,2.515
203,2.55333,1.315,2.69
204,1.85,0.83,0.84
205,3.75667,0.65,2.715
206,3.12,1.685,0.565
207,2.22667,0.615,0.185
208,0.733333,3.34,0.88
209,1.13667,2.31,2.15
210,2.34,0.825,3.6
211,2.23667,0.66,1.835
212,1.76333,2.62,2.09
213,2.47333,1.175,2.74
214,1.57333,3.165,1.08
215,2.22,2.12,2.31
216,0.463333,3.275,0.585
217,3.60667,0.825,1.905
218,3.47667,0.81,1.77
219,1.59667,2.92,0.4
220,2.73333,0.395,0.645
221,2.08,1.185,2.155
222,2.61333,1.495,2.31
223,2.29,1.4,1.125
224,2.13667,1.95,0.675
225,0.37,2.535,0.98
226,0.33,5.06,3.195
227,0.48,0.765,0.705
228,2.88333,2.27,4.3
229,1.56667,2.215,1.005
230,2.39667,0.565,1.49
231,0.84,3.665,4.005
232,2.9,1.34,1.035
233,1.89333,1.995,0.55
234,0.9,0.88,2.3
235,0.533333,1.94,3.89
236,2.62333,0.47,3.935
237,2.2,2.14,2.795
238,2.43667,0.175,1.885
239,2.52667,0.275,2.955
240,2.80333,0.245,2.825
241,1.59,0.25,2.07
242,0.823333,0.785,5.095
243,1.87333,0.32,4.615
244,2.06333,2.285,2.715
245,4.32,0.5,2.24
246,1.25667,0.5,0.185
247,3.79,0.16,3.235
248,3.17,0.535,2.69
249,1.34667,1.595,0.905
250,3.31667,0.61,3.995
251,2.94333,1.2,0.685
252,2.24667,1.27,0.96
253,1.25333,0.95,2.165
254,2.82333,0.25,2.355
255,2.66,1.43,2.15
256,2.21667,2.89,1.705
257,1.03333,1.175,0.3
258,2.33667,2.555,2.895
259,3.78667,0.87,1.125
260,3.91667,0.13,0.59
261,1.95667,1.62,0.755
262,2.38333,1.48,1.995
263,2.76333,0.32,1.73
264,1.91333,1.035,2.47
265,4.02667,0.285,1.265
266,1.82667,3.41,0.88
267,2.53333,1.825,0.52
268,2.7,0.485,1.17
269,2.09667,1.635,2.13
270,2.38667,1.945,0.935
271,1.07,2.47,0.76
272,0.94,2.28,1.325
273,3.29667,1.35,3.1
274,2.74333,2.19,1.02
275,1.50667,2.595,0.595
276,3.25,0.42,1.665
277,1.59667,2.835,0.69
278,1.23,1.79,1.45
279,1.05,4.04,3.275
280,2.04333,2.71,0.745
281,2.31333,0.505,0.805
282,1.29333,2.74,2.31
283,2.36,0.415,0.76
284,2.18,2.21,3.395
285,0.453333,3.28,1.33
286,3.33333,1.595,2.035
287,2.18667,2.01,1.71
288,3.07667,0.975,0.465
289,1.91333,2.38,2.425
290,3.70333,0.94,0.73
291,0.516667,3.125,0.645
292,1.67667,0.48,1.195
293,1.88,1.635,1.685
294,3.06667,0.445,1.84
295,1.31667,2.825,1.77
296,2.44333,1.41,0.7
297,1.18667,2.695,0.835
