avgrq-sz,node164,node165,node166
0,59.96,85.62,75.875
1,55.0367,77.085,84.535
2,80.13,80.265,79.275
3,80.0067,76.98,78.69
4,82.2933,42.38,83.555
5,78.8133,77.22,86.535
6,79.7333,75.17,77.965
7,52.5167,78.245,79.71
8,79.6467,77.875,39.35
9,77.58,39.3,85.52
10,88.4,74.54,83.05
11,84.1867,86.165,80.595
12,75.9667,78.225,42.005
13,79.7,81.22,74.855
14,76.2333,37.805,76.145
15,78.7467,80.7,77.27
16,77.18,81.875,76.02
17,82.7833,80.11,77.49
18,50.8367,79.05,81.77
19,79.96,77.82,81.385
20,82.6533,80.54,83.47
21,82.3333,82.8,80.155
22,58.14,88.925,74.115
23,80.4133,80.515,76.64
24,80.8533,78.705,81.765
25,82.52,78.605,77.335
26,90.7633,79.565,77.885
27,77.06,81.185,73.22
28,60.9933,81.94,78.35
29,78.7367,78.745,77.695
30,53.6967,84.235,88.41
31,82.2167,81.53,85.895
32,52.5067,95.23,80.47
33,83.43,77.645,84.06
34,79.6933,79.695,79.135
35,83.4067,77.35,44.255
36,84.1567,77.935,84.76
37,80.5833,75.845,74.055
38,77.0467,86.605,83.99
39,85.8667,76.215,76.85
40,52.82,76.445,77.595
41,54.4033,81.535,97.25
42,82.5667,79.635,76.37
43,82.9867,85.13,76.065
44,79.64,42.07,74.965
45,80.8533,77.89,77.56
46,84.13,93.255,82.64
47,81.8567,77.115,82.305
48,50.4533,79.77,78.43
49,78.5667,76.355,77.465
50,79.2967,79.07,76.92
51,83.0467,82.585,82.795
52,53.0833,81.23,40.945
53,51.2667,78.645,78.41
54,89.7267,84.255,78.305
55,62.7833,76.45,82.51
56,89.7233,77.84,79.445
57,81.2267,79.695,88.025
58,52.5967,76.425,80.0
59,51.5,84.555,75.925
60,76.7633,73.985,78.725
61,76.5633,73.355,75.665
62,77.3567,76.94,89.99
63,76.2333,83.72,80.485
64,81.5633,74.7,80.485
65,76.5133,79.41,76.22
66,91.4333,81.425,80.285
67,85.1633,78.375,79.175
68,80.8767,84.93,80.37
69,79.6633,79.115,78.085
70,53.3733,76.37,83.39
71,82.03,76.745,85.5
72,78.6133,80.115,77.99
73,80.6833,81.67,79.145
74,75.99,37.195,78.465
75,78.9533,36.96,83.445
76,78.2,37.055,81.805
77,80.4533,80.99,81.095
78,79.0933,78.6,85.795
79,77.8333,45.4,76.62
80,84.5933,78.905,80.95
81,76.6033,82.535,76.945
82,53.83,43.145,77.945
83,78.38,89.6,84.245
84,89.0933,40.165,83.82
85,75.7,80.165,79.975
86,88.67,45.15,80.925
87,52.0233,79.97,81.655
88,80.0333,81.335,74.885
89,52.06,79.18,80.485
90,54.17,76.395,80.215
91,78.8767,77.36,90.715
92,80.6267,80.93,76.275
93,81.75,86.675,83.415
94,81.25,83.505,75.48
95,77.95,78.865,78.875
96,80.4467,81.535,96.7
97,76.2733,38.855,78.055
98,78.1367,75.78,75.535
99,88.75,41.455,74.895
100,77.4467,79.585,84.83
101,76.1233,74.905,40.0
102,82.16,79.89,76.585
103,79.4333,79.215,42.505
104,78.2733,85.86,78.405
105,79.4633,80.85,79.095
106,83.28,81.335,83.38
107,84.3767,77.65,81.075
108,77.8667,43.855,78.465
109,77.9267,76.83,79.095
110,77.3633,88.145,79.515
111,58.9133,75.185,79.91
112,75.82,82.74,81.81
113,84.0167,81.18,75.3
114,76.8,80.95,77.8
115,53.5933,74.595,90.03
116,78.4467,81.72,76.025
117,77.5867,78.275,87.325
118,78.5233,78.125,76.41
119,82.25,75.04,80.235
120,82.3633,83.675,78.79
121,77.4767,95.035,90.035
122,84.0967,71.635,83.02
123,78.8933,84.02,78.235
124,76.74,79.36,88.265
125,56.5533,82.04,36.635
126,56.79,76.645,83.57
127,54.91,87.51,78.26
128,89.63,80.16,89.885
129,58.04,75.37,83.68
130,82.7433,86.515,81.255
131,83.81,81.05,81.145
132,52.0333,80.11,83.57
133,75.5833,75.78,77.31
134,82.9067,85.905,77.81
135,53.8267,87.385,75.785
136,84.2233,85.83,78.65
137,78.7833,76.44,76.08
138,80.3167,38.955,78.045
139,83.5833,86.195,77.81
140,78.8833,86.88,83.265
141,79.2,81.935,77.855
142,79.6,79.315,82.57
143,81.81,76.83,79.13
144,52.5267,85.465,84.42
145,76.3467,78.56,84.895
146,84.2633,82.715,78.515
147,80.7633,77.97,74.85
148,80.4633,80.575,78.115
149,53.3467,79.185,75.93
150,85.42,74.955,79.295
151,80.9733,77.72,78.125
152,53.0733,41.23,88.435
153,81.0367,84.715,81.625
154,74.9933,75.34,83.725
155,82.4233,81.245,77.095
156,83.0033,75.085,79.855
157,53.3233,73.69,81.18
158,76.7667,75.745,86.05
159,84.3167,43.325,76.485
160,52.3067,39.28,85.02
161,78.3167,36.855,87.65
162,54.1133,86.46,76.965
163,78.3967,39.485,76.225
164,80.8233,89.955,74.96
165,78.07,79.395,76.945
166,81.1667,39.875,88.955
167,55.7667,82.49,77.23
168,76.7433,78.275,76.915
169,82.7767,78.895,77.745
170,86.1167,78.16,76.75
171,80.6333,76.165,74.71
172,79.93,108.875,78.63
173,79.21,84.285,85.225
174,77.47,84.73,76.915
175,81.5,41.81,74.63
176,80.0467,83.875,84.805
177,82.8667,37.61,75.63
178,79.4033,87.585,39.665
179,81.02,86.165,41.515
180,77.98,78.245,78.345
181,58.9033,84.03,80.47
182,85.7633,81.055,78.37
183,85.79,80.39,45.27
184,54.6167,78.2,78.175
185,85.4367,77.035,79.795
186,81.77,79.085,82.305
187,77.3733,79.64,43.505
188,57.9767,78.86,40.635
189,53.57,84.1,89.795
190,80.14,78.445,97.36
191,84.22,79.695,79.56
192,87.9133,81.35,77.595
193,80.33,80.715,40.2
194,79.68,82.455,77.675
195,53.9533,78.975,82.705
196,92.2167,80.755,77.005
197,86.7267,79.78,41.685
198,79.9167,39.62,77.735
199,86.4133,83.78,78.095
200,76.5133,78.395,78.995
201,83.84,80.49,82.715
202,74.5067,78.355,77.64
203,77.5267,86.4,76.965
204,83.53,44.005,83.53
205,81.6433,75.075,76.975
206,56.1033,85.29,83.4
207,58.1733,42.32,77.24
208,55.7133,82.185,76.04
209,52.0767,81.125,84.585
210,80.86,77.43,77.17
211,85.1967,80.68,89.84
212,79.9133,82.175,79.15
213,80.23,79.375,77.025
214,52.9133,81.06,78.115
215,80.9567,83.745,80.99
216,53.7733,77.405,76.145
217,83.5767,78.855,83.265
218,81.11,81.83,74.455
219,82.4533,84.625,37.835
220,81.3967,76.35,77.435
221,55.0433,81.5,75.785
222,80.65,82.785,81.845
223,98.9167,78.645,83.22
224,88.0333,75.585,83.305
225,53.03,81.0,84.94
226,56.7433,79.67,85.375
227,58.32,75.18,77.16
228,54.5033,80.005,80.285
229,79.08,82.065,73.16
230,73.7067,75.97,79.105
231,56.5433,87.465,75.915
232,78.2367,78.78,77.785
233,82.19,78.54,78.595
234,58.8767,81.735,81.23
235,76.3767,75.135,80.36
236,51.5467,79.735,90.19
237,80.7467,77.185,81.075
238,80.2033,37.545,88.565
239,78.92,76.755,86.185
240,80.45,74.94,80.335
241,80.4167,39.645,79.625
242,60.4067,82.24,82.88
243,81.5767,40.295,83.955
244,54.3867,82.65,91.165
245,76.3167,38.265,77.12
246,83.3033,89.52,37.705
247,80.1033,41.585,80.89
248,82.83,39.205,80.01
249,77.44,74.935,79.73
250,82.8167,78.295,83.51
251,79.4867,76.81,81.435
252,86.02,78.68,88.175
253,55.44,41.375,81.07
254,76.53,37.95,81.48
255,84.5133,81.625,83.76
256,79.7433,83.985,76.985
257,52.8567,84.73,39.415
258,79.25,82.16,79.99
259,79.24,81.86,81.875
260,79.5467,40.0,37.99
261,85.02,78.85,39.345
262,79.99,79.31,77.185
263,80.0033,79.335,76.585
264,55.3867,81.25,76.55
265,80.45,36.665,80.17
266,56.21,81.15,42.03
267,82.7567,78.385,77.645
268,84.34,82.23,78.0
269,54.2033,92.685,78.05
270,82.91,84.95,41.525
271,56.5633,81.975,76.045
272,79.0467,81.705,93.595
273,80.38,79.41,74.38
274,83.6467,78.115,77.035
275,78.94,79.21,81.775
276,77.2933,79.715,85.23
277,84.63,84.215,42.08
278,82.0133,76.14,80.055
279,79.1733,86.745,78.95
280,82.1933,80.24,40.415
281,88.8433,92.295,76.98
282,87.0267,83.44,80.4
283,77.51,86.745,90.235
284,75.5367,80.655,85.73
285,52.4067,81.145,84.915
286,81.2533,76.33,90.54
287,54.9967,84.57,80.06
288,53.2967,76.565,78.825
289,53.1533,82.61,76.61
290,52.23,78.605,83.82
291,59.9133,87.35,75.7
292,87.3133,80.625,79.975
293,83.62,81.905,96.17
294,78.51,79.16,77.375
295,83.3433,100.405,83.86
296,78.6567,78.1,80.06
297,74.6633,81.34,43.745
298,80.43,42.745,79.6
299,76.6,80.12,80.82
300,75.7733,83.515,38.755
301,91.8433,81.345,85.13
302,57.24,85.675,87.615
303,83.3367,77.64,91.485
304,75.59,77.08,39.925
305,78.62,73.975,80.73
306,77.5967,41.795,83.205
307,82.5367,82.56,79.135
308,49.96,81.915,84.125
309,78.9333,78.905,80.565
310,55.8867,87.62,78.545
311,86.5733,84.025,80.96
312,85.8967,76.275,79.145
313,82.0967,86.325,82.78
314,83.6333,76.48,80.585
315,57.5933,74.865,83.78
316,29.9567,86.985,79.48
317,80.0933,78.61,79.835
318,80.2267,74.18,78.065
319,78.2033,80.63,78.205
320,87.11,38.755,91.36
321,79.0033,75.92,81.215
322,82.2467,37.26,82.115
323,52.7167,79.705,84.82
324,85.1433,74.415,82.46
325,54.07,37.495,77.95
326,80.0767,77.055,78.83
327,83.3833,80.625,87.565
328,54.83,77.91,41.145
329,76.9633,40.495,83.73
330,82.68,38.035,79.7
331,79.9067,74.155,76.215
332,82.2767,80.88,79.89
333,80.9967,82.02,80.965
334,56.0067,81.525,76.47
335,83.5333,81.455,78.235
336,81.4767,43.105,80.05
337,87.0167,76.49,87.305
338,78.0367,78.0,84.485
339,79.4333,79.47,36.86
340,82.8733,76.08,75.515
341,75.25,81.035,81.36
342,76.6567,36.885,42.525
343,94.8533,81.685,38.63
344,89.79,77.97,80.69
345,65.7633,75.29,77.95
346,53.9,79.205,76.915
347,90.54,73.935,79.78
348,54.8567,77.66,40.59
349,76.31,40.065,80.415
350,77.02,74.725,81.675
351,81.42,89.125,77.61
352,78.34,84.32,78.735
353,93.24,82.75,38.445
354,49.6467,84.29,78.745
355,75.8933,76.57,84.25
356,80.05,79.04,79.055
357,91.63,80.305,76.805
358,79.8233,74.275,79.855
359,87.5567,83.075,75.915
360,84.2967,82.935,79.39
361,51.2433,81.8,86.665
362,81.22,98.055,78.985
363,78.0933,81.66,45.235
364,58.97,78.625,77.365
365,52.8067,80.75,77.86
366,82.44,78.385,79.055
367,79.7467,78.61,79.61
368,84.37,81.71,84.965
369,80.6967,87.845,93.875
370,88.2367,81.73,83.3
371,63.0433,81.34,83.205
372,57.5433,45.59,82.81
373,51.7733,80.44,89.78
374,25.4533,77.175,84.935
375,77.4867,38.315,75.345
376,80.0433,80.03,79.825
377,57.5533,83.235,78.83
378,77.6133,82.835,76.445
379,58.4167,80.19,85.765
380,79.05,76.15,78.41
381,81.4033,79.015,42.185
382,79.9,45.255,80.13
383,77.02,78.365,79.805
384,78.1567,82.2,38.1
385,77.8767,75.8,82.515
386,53.7767,87.87,76.435
387,55.44,77.795,74.9
388,78.0433,78.28,93.455
389,80.7633,39.575,77.225
390,80.7933,40.815,80.325
391,76.6767,83.885,77.315
392,52.59,80.91,82.24
393,79.9533,79.13,88.495
394,53.2633,81.02,81.5
395,54.02,86.035,79.405
396,0.0,0.0,74.79
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
