svctm,node164,node165,node166
0,1.21,1.54,1.17
1,1.6,2.12,2.21
2,3.75667,1.315,1.705
3,2.32333,1.045,1.88
4,2.23667,0.515,1.705
5,2.73333,2.69,1.265
6,2.83,1.38,2.05
7,1.68667,1.695,1.515
8,2.51667,0.905,0.48
9,2.30333,0.475,1.735
10,2.16333,1.4,2.595
11,2.46333,1.235,1.66
12,5.35333,1.45,0.645
13,3.02667,1.755,2.095
14,2.68,0.525,1.015
15,2.14333,1.435,1.625
16,1.69667,1.77,2.355
17,3.10667,1.85,3.16
18,1.68667,3.145,2.175
19,2.84,1.655,2.52
20,2.48333,1.245,2.915
21,2.41667,2.135,2.385
22,1.34333,1.41,1.41
23,2.92,2.095,2.16
24,2.47333,1.56,2.125
25,2.57,1.88,2.54
26,1.83,2.765,1.43
27,2.64333,1.925,2.015
28,1.17,1.525,3.035
29,2.23,1.65,2.415
30,1.53333,1.0,1.21
31,1.91333,1.4,2.405
32,0.7,2.0,2.415
33,2.97,1.835,2.325
34,2.69667,1.375,1.3
35,2.53333,1.645,0.48
36,2.79,2.77,1.53
37,3.11333,1.015,2.29
38,3.21333,1.65,0.92
39,2.66,1.85,1.305
40,1.13,1.66,1.325
41,1.49,1.115,1.4
42,2.69667,1.87,2.07
43,2.19333,1.75,1.125
44,2.57,0.47,1.36
45,2.63667,1.285,1.36
46,2.40333,1.06,2.025
47,2.24667,1.785,1.07
48,1.77,1.49,1.305
49,2.85333,1.175,1.55
50,2.29333,1.775,2.365
51,1.82,0.97,1.71
52,0.683333,2.045,0.75
53,1.51333,2.155,1.95
54,2.33,0.98,1.86
55,1.15,1.25,1.055
56,2.11333,1.665,2.2
57,3.05667,1.915,1.425
58,1.56333,1.985,2.005
59,1.53333,2.56,2.06
60,3.11,1.48,1.885
61,2.72,1.855,2.335
62,2.31333,1.69,2.66
63,1.84333,2.515,2.565
64,2.14667,1.83,1.205
65,2.30333,1.52,1.66
66,2.05333,0.94,1.195
67,1.68333,2.34,2.115
68,1.71333,2.12,2.475
69,1.99,1.245,1.46
70,1.60333,2.235,3.0
71,3.11,1.09,2.44
72,2.72667,1.45,1.355
73,2.16,1.425,1.435
74,2.13,0.865,2.095
75,3.06667,0.53,2.235
76,2.65667,0.52,1.295
77,2.52667,0.95,1.885
78,2.55667,1.87,1.875
79,3.09333,0.53,1.235
80,2.68,2.645,1.83
81,2.93667,1.81,1.575
82,1.90333,0.44,1.76
83,2.5,1.16,1.5
84,1.97,0.625,1.925
85,2.08,2.1,1.835
86,2.44,0.47,2.445
87,1.44333,1.295,2.23
88,4.60667,2.055,1.065
89,0.993333,2.32,1.75
90,0.85,2.2,2.56
91,3.33667,2.12,2.15
92,2.74,1.41,1.715
93,2.58667,1.155,1.555
94,3.55,2.095,1.615
95,2.33,1.105,2.16
96,2.91333,1.845,1.575
97,3.44333,0.5,1.295
98,3.19,1.225,1.25
99,2.20667,0.48,1.565
100,2.64333,1.99,2.0
101,3.06667,1.44,0.515
102,3.53,1.03,2.13
103,2.27,1.295,0.53
104,1.42333,1.745,3.215
105,2.17,1.99,3.375
106,2.24667,1.555,1.425
107,3.05,1.395,1.285
108,3.27667,0.51,2.275
109,2.46667,1.41,1.3
110,1.44333,1.34,2.67
111,1.14667,2.86,2.305
112,3.02333,1.48,2.535
113,1.99333,2.135,1.055
114,2.07667,2.195,2.2
115,1.89,2.545,6.625
116,1.51667,1.89,2.07
117,3.53333,2.82,2.805
118,3.53333,1.58,1.74
119,3.11333,1.12,2.92
120,2.67667,1.005,2.11
121,5.03,2.05,2.28
122,2.32,2.63,1.76
123,3.27333,2.155,1.84
124,3.15667,1.62,2.465
125,0.91,2.155,0.49
126,0.696667,2.555,1.895
127,1.42333,1.915,1.65
128,2.72667,0.96,3.175
129,1.28667,0.975,1.125
130,1.15667,1.625,1.885
131,1.6,1.265,2.165
132,0.72,2.445,2.485
133,2.97667,1.585,1.31
134,2.87333,1.22,1.305
135,1.98333,2.51,1.32
136,2.35333,1.475,1.67
137,2.20333,1.69,1.625
138,3.19,0.62,2.42
139,3.12667,0.98,2.02
140,2.91,0.95,2.005
141,2.38333,1.045,1.95
142,1.78,1.465,1.175
143,1.49,1.975,2.525
144,1.01333,2.045,2.31
145,2.80333,1.39,3.08
146,2.15,1.4,1.055
147,2.03667,2.66,2.405
148,1.83333,2.715,2.665
149,1.81667,1.46,1.69
150,2.41667,2.405,2.84
151,1.05333,1.295,1.595
152,0.81,0.64,1.935
153,2.64667,1.08,3.03
154,2.98,2.935,2.195
155,2.65667,1.13,2.395
156,2.68333,1.22,1.86
157,1.39333,1.7,2.825
158,2.80667,4.37,2.455
159,2.27333,0.56,2.115
160,2.12667,0.58,1.95
161,3.28667,0.84,2.075
162,1.03667,1.79,1.955
163,3.10333,0.58,3.34
164,2.63667,1.54,1.005
165,3.53667,1.36,2.35
166,3.24333,0.5,1.455
167,1.34667,1.045,1.57
168,2.43,2.585,2.485
169,2.66333,2.57,2.175
170,2.76333,1.435,1.96
171,2.48667,1.145,1.905
172,2.08333,1.325,1.135
173,1.68667,1.525,1.605
174,2.46333,0.98,1.685
175,2.3,0.67,1.25
176,3.03333,1.6,1.8
177,2.88333,0.465,1.17
178,2.46667,2.255,0.525
179,2.02667,1.955,0.635
180,2.92333,1.54,2.265
181,1.96667,1.205,2.67
182,2.66667,1.1,1.87
183,2.55333,1.4,0.5
184,1.18333,2.69,1.335
185,1.99667,1.165,1.365
186,2.89333,1.47,2.11
187,1.75333,1.72,0.49
188,0.946667,1.955,0.5
189,0.763333,2.625,2.085
190,2.43333,1.51,2.815
191,3.46667,1.67,1.785
192,2.57333,2.35,2.28
193,2.44667,1.125,0.5
194,2.15,2.105,1.635
195,1.12667,2.79,1.17
196,3.03,2.055,2.265
197,1.44667,1.51,0.51
198,3.28667,0.48,2.32
199,2.01667,1.295,1.045
200,1.92667,1.685,2.395
201,2.61333,1.23,0.975
202,2.62667,1.99,2.26
203,2.7,1.285,2.195
204,2.49333,0.505,1.15
205,2.89667,1.145,2.785
206,1.97,1.35,1.05
207,1.84667,0.495,0.945
208,0.833333,2.17,1.515
209,1.81667,2.05,2.37
210,2.43667,1.735,2.465
211,2.32667,0.965,1.535
212,2.63,2.8,2.035
213,2.83,1.55,2.705
214,1.33667,2.105,1.925
215,2.41,1.55,2.81
216,0.696667,2.65,1.065
217,2.87333,1.32,1.67
218,3.08333,1.48,2.285
219,2.19,1.605,0.485
220,2.65333,1.01,1.04
221,1.64667,1.455,2.195
222,2.99667,1.635,1.945
223,2.06333,1.325,1.245
224,2.13,3.0,1.095
225,0.82,2.045,1.03
226,0.6,2.75,2.435
227,0.723333,1.24,0.985
228,2.20333,1.8,2.92
229,2.18667,1.86,2.31
230,2.34333,0.99,2.455
231,1.12333,2.485,2.685
232,2.59667,1.99,1.295
233,2.24667,2.82,1.035
234,2.33,1.05,2.0
