%util,node164,node165,node166
0,18.1667,38.95,21.05
1,46.8,20.0,61.0
2,67.0,15.1,41.4
3,36.3333,15.95,28.5
4,46.6333,14.05,52.5
5,39.4667,45.9,30.5
6,61.3667,26.4,31.1
7,41.7,49.0,25.55
8,25.4667,13.0,10.95
9,26.3,18.7,64.5
10,52.2333,15.4,67.8
11,43.9667,30.8,40.25
12,52.8333,25.95,25.65
13,53.0333,45.5,37.2
14,52.1333,12.8,9.95
15,39.1333,31.0,30.55
16,22.1333,25.55,40.2
17,50.3,33.15,78.05
18,36.5,34.9,34.6
19,50.8,15.9,64.05
20,44.6,26.4,25.4
21,37.2667,71.65,70.55
22,40.1,13.9,6.8
23,40.1667,40.65,50.4
24,46.5667,32.15,33.75
25,54.5667,39.25,46.65
26,25.5333,60.05,31.8
27,33.8667,18.55,18.6
28,20.2333,42.5,83.25
29,37.7333,40.5,57.65
30,30.3333,24.5,25.05
31,37.7333,26.485,45.85
32,16.6667,45.7,49.55
33,56.8333,29.7,46.15
34,34.9333,31.3,27.25
35,43.9,40.85,32.25
36,43.4,30.55,37.4
37,59.7,32.25,38.5
38,59.4333,24.35,14.9
39,47.7667,39.05,16.15
40,23.7667,47.55,23.75
41,30.0,37.4,38.7
42,50.6667,33.85,46.45
43,45.0,52.15,18.85
44,48.9,26.35,25.4
45,35.7,40.0,17.9
46,39.8667,28.45,54.85
47,48.1,31.15,31.6
48,38.8667,37.1,36.8
49,42.6333,23.75,22.1
50,32.9333,53.7,45.6
51,46.5667,25.45,40.65
52,14.1667,55.05,29.3
53,42.1667,55.9,55.8
54,47.9667,29.3,25.55
55,31.4,15.7,22.15
56,38.8,27.9,51.15
57,40.4,39.25,33.15
58,30.2667,40.35,41.1
59,34.2333,55.65,35.85
60,48.8,23.8,38.1
61,45.3,19.45,36.95
62,31.0667,35.5,39.15
63,24.9333,51.25,61.55
64,48.7,34.75,27.7
65,36.9,44.15,32.8
66,43.8,25.8,21.1
67,13.0,49.55,50.8
68,34.7333,48.85,67.5
69,32.4,21.45,38.0
70,19.9667,22.35,61.8
71,60.7667,19.15,84.6
72,53.6667,19.15,27.15
73,36.6333,30.3,29.2
74,35.4,10.75,50.9
75,61.1333,6.6,65.65
76,45.9333,9.05,30.05
77,46.6,19.25,60.0
78,51.2,31.75,55.35
79,40.3,21.25,29.7
80,52.5333,45.5,44.6
81,48.6667,20.35,26.4
82,48.6333,14.0,39.4
83,47.6333,24.8,42.1
84,39.2333,21.2,56.1
85,28.4667,27.35,46.95
86,52.1333,19.2,74.0
87,44.4,32.1,28.8
88,36.8667,50.15,24.05
89,15.5667,36.2,38.1
90,19.6333,22.25,74.2
91,52.4,52.2,68.95
92,48.0333,19.0,26.5
93,54.2667,28.7,31.55
94,39.8,37.25,21.9
95,44.7333,27.3,36.185
96,34.9667,46.7,33.1
97,65.1,3.15,26.15
98,64.1333,21.5,26.85
99,27.3667,24.15,19.25
100,53.3,43.6,58.75
101,64.7333,23.2,7.85
102,63.0667,15.65,19.6
103,42.7,26.4,19.5
104,28.5667,38.05,25.7
105,38.6667,55.45,68.3
106,38.3667,36.45,20.9
107,44.1667,27.85,31.2
108,58.8333,19.8,50.6
109,38.0667,19.5,21.8
110,20.5667,23.35,54.1
111,19.2667,39.8,81.45
112,59.8333,37.05,78.7
113,28.5667,42.75,11.8
114,26.6667,37.0,44.15
115,53.1,35.15,36.85
116,23.2333,43.55,31.55
117,39.1667,54.9,46.55
118,48.2333,36.9,27.15
119,49.0333,11.7,14.5
120,43.9,25.65,53.25
121,14.3667,60.6,29.2
122,37.2,17.35,56.5
123,47.7,59.15,47.1
124,66.2333,35.5,20.85
125,28.8333,36.65,6.15
126,16.7667,69.8,43.85
127,18.7667,45.75,42.2
128,49.0333,16.8,39.85
129,35.9,14.55,33.1
130,23.6333,58.4,51.65
131,26.7667,25.45,37.15
132,10.5,87.25,70.4
133,62.9667,25.5,24.55
134,51.1,24.7,18.6
135,38.9,21.6,26.75
136,39.0667,54.7,33.75
137,27.0,22.55,26.15
138,56.6667,13.75,54.9
139,51.5333,20.7,47.95
140,46.1333,22.25,37.2
141,44.7,24.2,42.25
142,29.4,32.75,27.35
143,24.9333,35.9,71.4
144,13.3,47.625,45.2
145,55.3667,26.5,90.65
146,45.5333,37.25,13.05
147,21.1,34.85,36.95
148,26.3667,86.5,69.4
149,31.4333,21.4,26.95
150,40.2,42.4,55.1
151,21.0,32.15,30.4
152,7.63333,25.95,62.55
153,45.1667,20.05,94.05
154,52.5667,31.7,62.85
155,49.3,19.05,33.6
156,48.2,7.35,39.15
157,38.2333,19.2,57.7
158,48.1333,18.25,78.65
159,32.4667,11.95,43.85
160,50.1333,15.45,63.2
161,47.4,14.55,39.75
162,22.6333,38.4,40.15
163,61.2,24.35,70.35
164,49.9,20.9,17.3
165,55.7333,13.75,48.0
166,62.2,11.2,39.65
167,27.2333,14.95,34.85
168,34.9,56.5,62.8
169,49.5333,52.65,42.15
170,43.0333,31.25,18.45
171,46.8,28.95,46.3
172,42.3,9.05,17.4
173,34.3333,39.0,50.7
174,43.4333,28.7,50.1
175,35.8333,22.7,25.35
176,49.9667,42.0,49.1
177,56.8333,8.55,15.2
178,53.0667,27.15,25.1
179,16.5,54.45,22.95
180,44.6333,22.15,46.95
181,50.0,20.3,49.15
182,52.4,10.85,43.8
183,44.6333,39.55,31.3
184,26.0333,67.8,29.6
185,48.7333,14.65,23.3
186,51.3333,28.8,45.5
187,43.2333,58.1,21.3
188,23.5667,42.5,11.4
189,9.6,63.4,45.75
190,47.5333,36.35,64.75
191,61.3667,30.5,14.5
192,34.8667,46.5,32.1
193,54.8,16.1,25.9
194,34.1,51.3,39.7
195,24.7667,56.35,33.65
196,29.4667,56.85,50.35
197,23.2333,45.6,23.05
198,61.2667,17.25,53.75
199,27.8333,38.9,17.55
200,42.7,46.7,58.1
201,34.6333,20.85,27.25
202,25.7,46.5,45.95
203,45.6333,31.65,50.9
204,34.3,27.15,27.65
205,63.1667,21.4,46.85
206,52.7333,41.45,21.2
207,45.4,17.05,7.3
208,19.9667,60.95,27.9
209,21.8467,47.0,38.05
210,43.0333,19.5,65.9
211,40.5667,20.55,43.4
212,33.1333,46.6,42.1
213,41.5333,30.6,49.8
214,30.3,64.95,30.25
215,40.5667,44.9,39.755
216,14.9667,56.25,20.5
217,61.3333,21.3,41.85
218,56.8,21.15,35.2
219,33.2667,60.5,13.65
220,51.3,12.2,24.2
221,39.4333,29.95,44.05
222,48.6333,29.6,42.3
223,42.7667,41.1,30.55
224,38.0,30.75,22.0
225,14.5667,48.05,30.95
226,10.0,85.1,58.6
227,13.9333,21.65,24.6
228,47.9333,46.2,73.35
229,31.0,47.5,15.9
230,41.1667,18.5,27.5
231,20.2333,68.15,64.45
232,50.4333,28.1,29.2
233,37.5,33.1,17.9
234,22.2,29.9,47.15
235,17.1333,44.75,70.35
236,48.6667,16.2,70.85
237,46.2667,39.35,52.65
238,44.1,5.25,42.8
239,42.2333,11.6,53.45
240,49.6667,10.0,52.8
241,35.6667,9.05,48.05
242,22.3667,20.15,85.85
243,38.9,12.35,83.35
244,38.1,53.8,52.0
245,67.9,18.3,47.4
246,28.4333,16.2,7.05
247,63.9333,6.75,61.05
248,57.9333,17.6,52.7
249,25.1,33.4,25.8
250,54.6667,20.25,74.65
251,51.3333,30.2,23.75
252,42.3333,35.7,22.75
253,26.3333,22.3,42.8
254,48.9667,9.3,44.75
255,46.3333,36.8,46.75
256,37.8,55.65,40.8
257,21.6667,27.85,11.05
258,41.6667,50.85,53.05
259,63.7333,22.95,28.75
260,62.6333,5.45,15.1
261,36.6,34.55,27.9
262,44.7,35.9,39.2
263,46.2667,12.45,35.5
264,40.9667,30.0,49.1
265,67.9,9.25,37.6
266,33.7333,63.05,26.7
267,45.0,37.0,18.35
268,49.3,14.05,28.0
269,41.8,37.75,48.2
270,42.0333,41.25,27.45
271,22.3,51.2,21.05
272,23.5667,47.05,30.85
273,58.4333,28.2,55.05
274,47.9,43.05,22.85
275,26.6,46.25,19.7
276,54.8667,16.6,38.55
277,30.3667,53.8,22.4
278,26.9333,38.45,36.85
279,22.9,72.15,61.35
280,39.7,52.4,24.75
281,43.9,18.15,20.0
282,26.5,56.4,46.2
283,43.7333,14.75,24.4
284,34.5667,44.7,63.45
285,16.3,63.35,29.55
286,58.2,33.1,45.35
287,41.8333,43.7,38.0
288,52.2,22.8,16.75
289,40.0,49.65,45.45
290,60.6,21.6,23.6
291,17.0,60.65,22.45
292,31.6,18.55,31.7
293,37.1667,38.9,42.25
294,54.6667,15.95,38.35
295,32.1667,56.95,38.7
296,43.4,31.5,24.45
297,22.8,52.7,18.15
298,49.7333,18.25,43.85
299,62.8,22.15,38.4
300,38.9,37.7,15.75
301,52.5333,39.2,14.3
302,53.1333,20.35,25.65
303,54.6,18.9,28.05
304,30.6333,47.85,18.55
305,55.9,16.1,51.9
306,53.0667,14.8,33.6
307,19.4667,45.9,25.35
308,36.6,58.3,67.1
309,46.4,20.8,45.35
310,29.8333,62.3,40.65
311,34.5333,34.75,21.95
312,30.0667,58.75,37.95
313,41.6,33.5,22.8
314,56.7667,10.1,39.6
315,15.0667,17.8,42.25
316,6.43333,50.55,88.55
317,34.1667,26.8,67.75
318,42.3333,38.5,51.0
319,62.1667,16.3,42.65
320,62.2,6.3,23.85
321,65.4333,17.4,38.75
322,31.0,6.55,27.4
323,41.0333,27.5,86.15
324,42.2333,13.6,54.95
325,36.3333,6.35,47.55
326,33.3,49.05,81.95
327,50.5667,48.55,51.65
328,28.4667,34.4,6.6
329,69.7667,6.6,50.9
330,47.9,15.35,28.75
331,30.3,33.0,46.65
332,23.1333,29.55,55.4
333,54.5,48.7,63.75
334,58.5667,18.65,29.85
335,40.4667,36.2,20.45
336,42.7,7.05,36.5
337,32.4667,30.0,50.65
338,30.5667,75.6,50.85
339,38.9333,44.6,9.65
340,46.3667,18.7,27.1
341,52.3,41.78,40.85
342,67.4,4.4,15.45
343,33.1667,27.0,25.15
344,39.3667,37.55,42.95
345,24.7667,28.55,45.1
346,33.4333,30.6,47.9
347,57.6,18.25,57.35
348,42.7667,44.75,27.8
349,19.4,19.95,12.55
350,60.8667,19.4,84.55
351,54.4,18.95,18.75
352,52.8333,50.1,42.5
353,19.4667,61.1,20.95
354,8.5,49.75,19.85
355,37.4,49.6,56.0
356,63.1,18.55,39.4
357,30.8333,37.15,11.88
358,32.7667,34.4,36.35
359,31.3667,28.7,43.5
360,34.7667,29.8,45.85
361,36.7333,38.7,46.05
362,40.6667,43.7,29.85
363,57.5333,37.05,19.5
364,32.1,39.5,21.6
365,23.3667,30.6,47.3
366,63.7667,15.9,59.55
367,39.4,32.95,35.3
368,31.2,45.6,29.95
369,40.4,57.45,40.85
370,54.9667,20.7,25.35
371,31.6667,56.05,36.85
372,46.2667,18.35,13.25
373,18.9667,65.35,27.95
374,8.03333,58.45,47.25
