wMB/s,node164,node165,node166
0,5.66,10.475,6.76
1,7.93333,5.28,13.33
2,7.10333,4.505,9.325
3,7.58,5.79,6.33
4,8.51,5.63,15.465
5,5.58667,6.6,10.22
6,8.2,7.29,7.72
7,7.44333,14.09,6.265
8,4.96333,5.645,4.36
9,4.44333,7.58,15.75
10,10.5767,4.475,11.15
11,8.97333,10.47,12.33
12,5.71333,7.015,8.185
13,6.87667,10.26,6.755
14,7.13333,4.505,3.45
15,8.21,8.73,7.885
16,4.84667,5.53,7.445
17,6.66333,7.505,9.49
18,5.72667,9.125,6.575
19,7.68667,3.645,10.205
20,9.71333,8.795,5.445
21,6.47333,13.865,12.495
22,8.50667,4.36,2.32
23,6.21667,8.45,9.38
24,6.92,7.95,7.94
25,9.09,8.215,7.48
26,6.38,10.735,8.99
27,4.73667,3.895,3.89
28,5.09333,12.105,10.51
29,6.59667,9.465,9.66
30,6.1,10.705,8.795
31,8.65333,7.235,13.71
32,6.1,10.53,11.25
33,7.82667,6.145,8.385
34,5.94667,10.005,8.12
35,6.52,10.54,14.565
36,6.85,6.63,10.21
37,8.2,11.26,6.655
38,7.16,7.935,6.855
39,7.62667,8.815,6.105
40,5.52333,10.85,7.46
41,6.68,13.725,14.07
42,7.68333,9.205,8.385
43,7.05667,12.315,6.6
44,7.18333,11.545,6.91
45,7.07667,12.07,4.975
46,8.40333,12.08,15.295
47,9.47,7.255,12.225
48,5.40667,9.695,11.275
49,6.33667,7.9,5.335
50,5.78333,12.415,7.62
51,11.8567,10.415,15.765
52,5.72333,11.105,7.795
53,7.67,11.16,11.07
54,11.1567,12.125,5.475
55,8.82,4.68,9.005
56,7.77,6.685,11.66
57,5.67333,8.605,10.845
58,5.44333,7.78,9.01
59,5.62,11.12,6.475
60,6.05,6.68,8.235
61,5.50667,4.49,6.925
62,5.25333,10.435,6.51
63,5.30333,10.08,9.975
64,9.55,7.195,9.035
65,5.81,12.44,7.48
66,9.69,11.24,6.895
67,3.43333,9.55,9.725
68,7.98667,9.625,10.76
69,6.36667,6.285,9.96
70,2.93,9.005,10.83
71,8.72667,6.72,14.55
72,8.95,5.23,7.635
73,7.69333,8.285,7.62
74,8.77333,2.25,9.855
75,8.52667,2.255,13.615
76,6.61333,3.15,9.235
77,7.95667,8.105,12.65
78,7.81333,6.9,12.15
79,6.74333,8.865,9.33
80,8.53333,6.755,9.855
81,6.36333,4.535,6.41
82,8.44667,6.72,8.565
83,7.99,9.15,11.895
84,10.3967,6.67,12.125
85,5.16333,4.93,12.32
86,9.56333,8.975,11.99
87,8.40333,9.675,5.19
88,9.25333,12.295,9.09
89,4.29333,6.27,9.18
90,6.09,5.615,11.53
91,6.38667,9.465,14.43
92,8.69333,5.93,6.76
93,10.81,10.73,10.63
94,8.67333,7.795,5.3
95,6.96667,9.535,9.165
96,6.20333,11.135,9.83
97,7.00667,1.195,8.18
98,8.12,6.755,7.935
99,6.25667,10.225,5.155
100,7.72,8.745,18.46
101,7.85667,5.805,2.99
102,7.51667,6.0,4.72
103,7.34,7.94,7.615
104,7.59,9.205,11.0
105,6.5,13.94,7.81
106,7.10667,9.315,5.965
107,7.21,8.3,9.31
108,7.13333,8.35,10.545
109,5.95667,5.295,6.485
110,5.79,10.465,7.885
111,5.69,6.04,14.92
112,7.6,11.7,13.265
113,5.26333,8.445,4.135
114,5.09333,7.33,8.15
115,7.51667,8.895,11.585
116,5.97333,9.255,5.785
117,4.43667,8.56,8.045
118,5.17333,8.885,7.955
119,7.11333,3.73,3.52
120,6.70667,10.3,9.73
121,4.28667,13.7,5.79
122,7.67333,4.915,13.705
123,5.79333,11.36,10.185
124,7.73,8.64,4.365
125,8.73667,13.32,2.255
126,6.92,10.595,11.035
127,3.58667,10.17,11.485
128,8.86667,6.315,5.685
129,7.90667,5.485,12.15
130,8.24333,15.3,11.01
131,7.60333,8.15,7.17
132,3.74,14.33,11.685
133,7.93,6.475,9.53
134,7.22,8.44,5.98
135,6.09,8.125,7.81
136,10.4367,15.62,7.795
137,5.65,6.155,6.74
138,9.14667,4.225,8.99
139,7.06,8.795,10.525
140,7.55667,9.905,9.825
141,7.03333,9.555,8.79
142,6.98,8.8,9.225
143,7.03667,7.975,11.195
144,3.37667,11.615,8.61
145,6.96333,7.62,12.2
146,9.11333,11.315,4.735
147,4.66667,6.3,5.985
148,5.8,12.695,10.0
149,4.90333,6.9,5.77
150,7.31,6.985,7.515
151,8.09667,9.43,7.3
152,2.41333,8.195,13.81
153,6.66667,8.06,12.435
154,6.91333,4.875,12.2
155,7.37667,6.95,5.225
156,7.89667,2.53,8.3
157,8.81333,4.89,8.34
158,7.63667,1.86,13.855
159,6.19333,4.505,8.655
160,6.06667,5.12,14.06
161,5.6,3.115,9.29
162,6.13667,10.085,7.9
163,8.04667,8.1,7.835
164,8.43,4.84,6.245
165,6.04333,4.785,7.83
166,8.30333,4.36,12.19
167,6.48,5.62,8.395
168,5.35,8.27,9.535
169,8.50333,7.865,10.555
170,8.89,8.325,7.125
171,8.47667,12.63,10.26
172,8.52667,3.345,6.365
173,8.47667,10.64,16.29
174,7.05333,11.995,11.225
175,6.66333,6.9,8.115
176,8.14,11.26,11.28
177,8.61333,3.38,5.365
178,8.29,5.185,9.275
179,4.89667,11.46,7.34
180,5.79,5.855,7.95
181,10.0567,9.645,8.465
182,9.42,3.87,10.255
183,8.34333,10.995,13.84
184,6.08667,9.89,8.115
185,10.73,4.59,6.855
186,7.05,7.57,11.48
187,8.65667,13.755,9.24
188,7.13333,8.45,4.505
189,3.53667,11.94,9.705
190,7.13,9.375,12.95
191,7.55333,6.755,3.485
192,5.88333,7.895,5.385
193,8.76667,5.645,10.13
194,6.3,12.265,12.445
195,6.84,8.325,12.35
196,5.60667,10.895,10.1
197,6.62667,12.065,9.22
198,7.39,6.925,8.8
199,6.47333,12.685,6.41
200,8.07,11.035,9.345
201,6.96333,6.33,11.485
202,4.61,9.095,8.55
203,7.11,10.395,9.695
204,6.42,11.605,10.995
205,8.99667,6.18,7.0
206,7.46667,12.44,8.265
207,6.98,7.09,2.57
208,6.36333,11.345,10.735
209,3.73,10.47,7.355
210,7.38667,4.66,10.155
211,8.04333,8.835,12.455
212,5.95667,7.475,8.125
213,6.37,8.25,7.185
214,6.43,14.06,8.13
215,7.08667,13.01,5.91
216,5.72333,9.87,7.48
217,8.09333,6.545,11.895
218,7.45,5.735,7.55
219,8.34333,15.58,5.19
220,7.89667,4.505,8.81
221,7.45,8.03,9.015
222,6.65333,7.395,8.745
223,9.54667,12.74,10.56
224,7.59667,3.8,9.1
225,4.62,9.295,12.22
226,4.89,12.195,11.285
227,5.81333,6.14,9.36
228,6.52,10.345,9.9
229,5.64333,10.29,2.465
230,7.12333,7.265,4.82
231,5.27667,15.61,9.115
232,8.73,6.245,9.815
233,6.69,4.505,6.635
234,4.69333,12.145,9.425
235,5.05667,10.66,13.145
236,8.36,6.225,16.435
237,7.79,6.775,7.18
238,8.35333,1.85,9.005
239,6.39667,4.05,9.94
240,9.72333,3.34,8.92
241,6.36667,3.25,10.98
242,7.68,5.745,12.35
243,7.26,4.505,11.995
244,6.58333,11.16,11.74
245,7.49667,6.855,10.38
246,7.01667,6.745,2.375
247,7.63,2.255,12.42
248,9.72333,6.76,9.96
249,3.63,7.375,7.75
250,8.61,6.58,12.07
251,6.58,7.88,8.3
252,10.83,12.545,6.53
253,6.79,6.16,8.39
254,6.93333,3.54,9.15
255,7.61667,10.15,14.45
256,6.07667,10.355,10.19
257,5.19667,7.57,4.08
258,7.35333,10.08,9.55
259,7.75333,5.595,8.89
260,7.32,1.955,4.135
261,6.9,8.27,9.76
262,6.24667,9.29,8.81
263,6.94,4.065,6.81
264,11.5733,12.455,10.145
265,7.21333,3.225,11.54
266,6.08333,11.625,11.84
267,8.19,7.67,6.165
268,10.8867,4.63,7.025
269,7.25,12.09,12.19
270,8.07333,11.285,8.66
271,4.91667,10.7,6.495
272,5.10667,11.045,10.345
273,8.57667,6.76,9.535
274,9.04333,6.69,5.3
275,3.95333,6.59,8.2
276,6.45333,5.16,10.385
277,6.61667,12.855,9.535
278,7.15667,9.87,9.745
279,5.49,12.8,11.805
280,8.35,12.7,10.085
281,7.16333,7.47,5.155
282,6.54667,12.68,8.45
283,7.17,6.065,8.88
284,4.64667,8.76,12.0
285,5.97,12.76,8.165
286,6.57,7.11,13.58
287,8.21,11.12,5.88
288,8.55333,5.7,6.4
289,8.61333,16.19,8.375
290,7.46,3.875,9.91
291,7.15333,17.175,7.865
292,7.68667,6.16,11.54
293,7.95667,11.25,15.735
294,8.34,6.12,7.3
295,8.39667,18.555,11.27
296,6.94333,8.955,8.765
297,4.23333,10.91,6.09
298,8.21667,9.435,8.515
299,8.36333,7.83,10.905
300,5.32,10.05,6.02
301,10.19,9.685,5.935
302,6.23333,7.665,8.705
303,8.56333,6.525,11.665
304,5.51333,8.315,7.055
305,7.75,4.645,7.91
306,6.77,4.365,10.765
307,3.62667,9.265,6.25
308,4.42333,10.975,13.815
309,6.84,7.09,6.705
310,7.01667,15.89,6.895
311,8.03,12.42,6.615
312,6.46333,9.12,10.13
313,6.65333,12.665,6.81
314,9.36667,3.635,8.55
315,3.67333,6.335,9.69
316,3.32,11.695,11.195
317,7.26,7.13,12.045
318,5.66667,5.86,9.095
319,7.47667,5.015,8.69
320,8.18333,2.25,9.205
321,7.67,4.5,9.885
322,7.10333,2.255,7.25
323,6.86333,6.385,12.475
324,5.76333,4.875,12.18
325,5.87667,2.25,8.99
326,8.47667,9.305,11.37
327,7.47,8.65,14.11
328,6.88667,7.0,2.25
329,6.18667,2.075,9.645
330,9.80333,5.665,8.78
331,6.88333,5.595,9.515
332,3.67,6.735,8.815
333,6.98,8.09,11.34
334,7.34667,5.395,4.33
335,9.85667,14.765,5.61
336,7.6,3.285,9.985
337,9.19667,9.775,10.045
338,6.31,9.435,18.735
339,3.89667,8.32,3.185
340,8.16667,6.825,8.9
341,7.51667,11.27,8.945
342,8.0,1.55,4.505
343,10.2967,10.435,9.15
344,7.55333,8.695,12.125
345,9.47333,8.035,9.275
346,6.13667,8.8,9.73
347,9.83,4.47,11.5
348,7.02333,9.095,9.555
349,4.34333,6.22,4.385
350,7.04,5.05,11.955
351,9.24667,7.64,3.875
352,8.49333,13.125,12.195
353,6.60667,8.51,5.07
354,3.22667,10.345,7.39
355,4.45,9.375,10.835
356,7.94667,6.405,6.545
357,9.00333,7.23,4.215
358,5.11,4.925,10.27
359,5.94667,6.585,10.04
360,7.07,12.035,10.535
361,5.81,9.82,10.375
362,8.18,17.405,11.595
363,7.38,7.64,8.215
364,8.75667,11.405,5.83
365,4.88,9.43,9.94
366,5.82,5.73,9.8
367,6.08667,10.975,8.72
368,6.65333,10.305,9.93
369,8.61,14.74,13.62
370,9.59333,5.365,9.29
371,6.25333,11.14,6.555
372,8.51,9.285,5.13
373,6.68667,10.23,10.35
