w_await,node164,node165,node166
0,6.70333,5.85,3.77
1,9.43667,8.97,11.61
2,22.2067,4.475,8.71
3,12.72,2.975,8.18
4,12.0667,1.35,9.025
5,14.92,15.735,4.445
6,16.05,6.12,12.5
7,11.0567,9.055,6.34
8,9.5,2.73,1.33
9,12.6367,1.425,8.605
10,12.14,4.46,14.71
11,13.99,4.53,9.15
12,32.8667,5.94,2.19
13,18.5867,7.79,11.485
14,16.7567,1.45,2.705
15,12.0967,6.04,6.705
16,7.21667,7.25,14.015
17,17.1867,9.03,19.67
18,10.2767,12.235,10.055
19,16.3233,8.105,14.575
20,13.1333,4.05,12.86
21,12.4567,12.275,12.765
22,5.73,5.115,3.365
23,19.6033,9.905,10.86
24,13.5833,6.475,10.48
25,14.2867,9.205,15.35
26,9.26,15.65,6.23
27,13.62,5.26,10.315
28,6.02,7.375,18.325
29,11.9533,7.625,14.39
30,8.39333,2.92,4.775
31,9.87333,4.49,11.495
32,2.08,11.14,13.405
33,17.0133,8.205,13.37
34,15.2967,5.745,4.55
35,13.6733,7.115,1.55
36,12.5867,14.495,8.105
37,18.42,3.295,13.935
38,20.3867,9.675,3.415
39,14.66,9.38,5.27
40,4.87,7.875,5.195
41,8.56333,4.85,6.995
42,14.6767,10.115,10.635
43,10.64,8.89,2.765
44,14.7967,1.475,6.09
45,15.2367,4.295,5.23
46,13.7933,3.865,12.17
47,12.0433,7.025,3.115
48,10.8167,6.475,5.245
49,17.58,4.625,6.825
50,12.07,8.53,14.1
51,10.3067,3.01,7.545
52,2.18667,10.91,3.24
53,8.89333,12.14,10.435
54,12.95,3.435,8.12
55,6.0,4.355,3.205
56,12.9633,7.245,13.07
57,17.6667,8.16,5.23
58,9.49667,9.385,9.825
59,7.90667,12.975,10.175
60,20.0933,5.885,9.225
61,14.9867,8.41,13.3
62,13.02,8.685,10.345
63,9.52667,15.755,16.785
64,12.42,8.815,3.565
65,12.4667,7.085,7.54
66,10.78,2.75,3.91
67,7.40333,12.355,10.985
68,8.09,11.565,13.435
69,9.24333,4.63,5.77
70,6.16667,4.9,16.195
71,20.3433,3.195,13.45
72,16.36,5.54,5.96
73,10.0933,6.71,5.27
74,13.5233,3.76,10.905
75,17.92,1.43,12.945
76,15.35,1.33,5.09
77,13.06,3.04,9.225
78,14.8733,10.31,9.39
79,16.7733,2.28,4.515
80,13.42,14.285,9.055
81,20.09,6.185,6.42
82,10.9333,1.475,7.99
83,12.8267,4.185,7.13
84,10.5567,2.4,9.355
85,10.7067,10.095,9.1
86,13.73,1.515,12.435
87,8.84333,4.94,11.135
88,16.0933,11.485,4.415
89,4.16,10.71,8.36
90,2.60667,12.705,14.14
91,21.0933,10.46,12.5
92,18.0067,4.575,9.095
93,15.0033,4.09,6.225
94,12.9333,9.53,7.645
95,13.1367,3.04,10.71
96,18.8067,9.48,7.695
