w/s,node164,node165,node166
0,118.667,250.5,183.5
1,197.667,140.5,316.0
2,179.0,115.0,242.5
3,191.0,154.5,163.5
4,212.0,136.0,367.0
5,144.667,173.0,241.5
6,212.0,198.0,203.0
7,190.333,360.5,160.5
8,121.333,147.5,113.5
9,118.0,197.5,378.5
10,243.667,120.5,272.5
11,210.667,245.5,302.0
12,152.0,181.5,199.5
13,177.333,260.0,184.0
14,191.333,122.0,93.5
15,204.333,221.0,208.5
16,122.667,138.0,199.0
17,162.333,195.0,249.5
18,153.333,239.0,166.5
19,197.0,96.0,256.5
20,234.333,222.0,137.5
21,160.333,340.5,321.0
22,199.0,101.5,62.5
23,152.0,219.5,251.5
24,175.0,207.5,196.0
25,223.333,214.0,197.5
26,141.667,276.5,235.0
27,126.333,101.5,108.0
28,114.333,301.0,274.5
29,171.0,246.0,253.5
30,157.0,247.5,205.5
31,204.333,177.225,324.0
32,158.667,225.5,279.0
33,190.0,162.0,200.5
34,152.333,253.5,209.5
35,160.667,278.0,337.0
36,172.0,169.5,246.0
37,207.593,293.0,184.5
38,189.667,192.5,163.5
39,182.667,236.0,154.0
40,143.667,289.5,196.0
41,162.333,340.5,299.0
42,190.667,222.0,225.0
43,176.667,297.0,177.0
44,181.333,281.0,188.0
45,172.0,321.5,131.5
46,196.667,269.0,357.5
47,234.0,194.5,301.5
48,146.333,249.0,289.5
49,164.0,211.0,141.5
50,150.0,320.5,203.0
51,281.667,263.5,356.0
52,143.667,276.5,195.0
53,203.667,290.0,288.0
54,254.0,297.0,144.0
55,202.0,125.5,220.5
56,184.333,173.5,289.0
57,139.0,221.5,237.5
58,139.667,208.5,225.0
59,149.0,264.0,174.5
60,161.0,183.5,212.0
61,145.667,125.5,187.0
62,138.667,268.0,148.5
63,142.333,236.5,250.0
64,235.333,196.5,230.0
65,155.0,313.0,200.5
66,217.333,276.5,177.5
67,84.0,243.5,254.0
68,199.0,232.0,274.0
69,165.0,159.5,261.0
70,75.0,228.5,262.5
71,211.333,177.0,349.5
72,225.667,133.5,200.0
73,200.667,209.5,198.5
74,220.0,62.0,255.0
75,217.0,62.5,322.0
76,173.667,87.0,232.5
77,200.667,193.5,318.5
78,203.667,180.0,293.5
79,173.0,200.0,248.0
80,203.333,177.0,250.5
81,169.0,113.5,170.5
82,205.0,159.5,225.0
83,210.667,212.5,288.0
84,239.0,170.0,294.5
85,136.0,126.5,318.0
86,218.333,203.5,303.0
87,217.0,247.5,130.0
88,220.667,298.5,240.5
89,114.333,162.0,229.5
90,153.333,151.5,296.0
91,164.667,250.0,326.5
92,205.667,154.5,182.5
93,251.0,251.0,255.0
94,205.0,200.5,139.0
95,182.333,248.0,247.525
96,148.667,273.0,208.0
97,188.333,31.5,212.0
98,207.667,182.5,215.5
99,149.333,252.5,141.5
100,202.0,225.5,416.0
101,211.333,159.5,76.5
102,187.333,157.0,128.0
103,190.333,205.5,183.5
104,194.667,219.0,241.0
105,171.0,342.5,202.5
106,173.667,234.5,146.5
107,169.667,220.0,228.5
108,185.667,195.0,273.5
109,155.0,143.0,168.5
110,152.667,240.0,203.0
111,133.667,164.0,378.5
112,203.667,276.0,327.0
113,125.333,213.5,112.5
114,135.333,186.0,212.5
115,190.0,237.5,282.0
116,154.0,230.5,155.5
117,118.667,226.0,200.0
118,134.667,233.0,205.5
119,178.667,102.5,90.0
120,166.667,258.5,252.0
121,110.0,295.5,129.5
122,180.333,134.0,335.0
123,152.0,278.0,263.0
124,203.667,221.5,110.5
125,211.333,312.5,63.0
126,164.0,283.5,268.0
127,89.0,238.0,297.5
128,199.0,164.5,129.0
129,185.0,149.0,296.5
130,205.333,363.0,277.0
131,182.667,200.5,178.0
132,99.0,363.0,288.5
133,212.667,174.5,238.5
134,178.0,201.5,159.5
135,154.0,202.0,209.5
136,238.667,372.5,201.0
137,147.0,165.5,177.5
138,228.333,111.0,237.0
139,183.333,210.5,272.0
140,193.0,233.5,238.0
141,182.333,230.5,231.0
142,179.667,225.0,231.0
143,176.667,210.5,288.5
144,87.6667,275.74,205.5
145,185.667,196.5,295.0
146,220.667,276.5,123.5
147,119.0,168.0,162.5
148,147.667,322.0,262.0
149,126.333,177.0,156.5
150,173.0,191.5,194.0
151,202.0,249.0,190.5
152,61.6667,203.5,321.5
153,170.0,191.5,312.5
154,188.0,130.5,294.5
155,181.333,174.5,139.0
156,189.667,67.0,213.0
157,219.0,134.0,211.5
158,197.667,50.0,327.5
159,152.0,106.5,231.0
160,159.0,133.5,334.5
161,145.0,86.5,231.5
162,156.333,233.5,210.5
163,208.333,210.0,210.5
164,207.667,127.5,171.5
165,159.333,120.0,208.0
166,200.667,112.0,278.0
167,155.333,142.0,222.5
168,142.333,216.5,253.5
169,203.667,205.5,273.5
170,197.667,218.5,180.5
171,207.667,322.5,279.5
172,213.333,90.0,165.0
173,210.0,257.0,375.5
174,185.667,290.5,299.5
175,153.667,169.0,220.0
176,197.0,273.5,272.5
177,210.667,92.0,139.0
