%commit,node164,node165,node166
0,21.53,20.29,19.22
1,21.51,19.78,19.02
2,21.48,19.99,19.12
3,22.25,19.71,19.05
4,20.95,19.94,19.25
5,21.34,19.04,18.98
6,20.82,19.07,18.43
7,21.05,19.05,18.98
8,20.82,19.11,18.43
9,21.57,19.63,19.01
10,21.6,19.69,19.58
11,21.55,20.27,19.3
12,22.04,19.73,19.06
13,21.71,19.93,19.05
14,21.38,19.94,19.27
15,20.96,19.13,18.49
16,21.36,19.07,18.46
17,20.84,19.05,18.54
18,21.06,19.59,19.05
19,22.16,19.04,18.48
20,21.59,20.23,19.56
21,21.94,19.72,19.05
22,21.52,20.34,19.59
23,22.26,19.76,19.02
24,20.84,20.16,19.54
25,21.3,19.04,18.55
26,20.97,19.08,18.52
27,21.13,19.04,18.47
28,20.84,19.04,18.47
29,21.53,19.66,18.46
30,21.87,19.75,19.22
31,21.53,20.29,19.63
32,22.17,19.74,19.18
33,21.8,19.93,19.6
34,22.29,19.91,19.28
35,21.75,20.02,19.5
36,21.98,19.96,19.27
37,21.79,20.04,19.31
38,21.87,20.29,19.27
39,21.77,19.96,19.29
40,21.78,20.51,19.88
41,21.75,19.96,19.3
42,21.75,20.5,19.82
43,22.4,19.96,19.27
44,21.81,20.28,19.81
45,22.29,20.0,19.27
46,21.75,19.99,19.74
47,21.98,19.96,19.37
48,21.79,19.97,19.51
49,21.9,20.51,19.28
50,21.76,19.96,19.3
51,21.76,20.54,19.27
52,21.75,20.0,19.28
53,21.75,20.23,19.82
54,22.34,19.96,19.27
55,21.82,20.12,19.88
56,22.29,19.96,19.3
57,21.75,19.99,19.75
58,21.98,20.03,19.27
59,21.75,20.02,19.5
60,21.93,20.51,19.27
61,21.78,19.96,19.34
62,21.76,20.51,19.37
63,22.3,19.96,19.33
64,21.76,20.43,19.28
65,22.34,20.0,19.27
66,21.84,20.24,19.82
67,21.99,19.98,19.27
68,21.76,20.0,19.85
69,21.84,19.96,19.35
70,21.78,19.99,19.54
71,21.93,19.98,19.28
72,21.83,20.01,19.31
73,21.78,20.58,19.27
74,22.32,20.01,19.29
75,21.78,20.52,19.82
76,22.32,19.98,19.31
77,21.87,20.21,19.88
78,22.08,19.98,19.3
79,21.78,20.04,19.82
80,21.84,20.05,19.27
81,21.78,20.02,19.5
82,21.82,19.98,19.27
83,22.41,19.98,19.34
84,21.8,20.53,19.34
85,22.32,19.98,19.32
86,21.78,20.56,19.28
87,22.01,20.07,19.27
88,21.85,20.24,19.82
89,21.88,19.99,19.27
90,21.78,20.02,19.82
91,21.79,19.98,19.34
92,22.32,20.0,19.54
93,21.78,20.53,19.28
94,22.45,20.11,19.31
95,21.83,20.57,19.27
96,22.01,19.99,19.29
97,21.78,20.52,19.27
98,21.84,19.98,19.34
99,21.82,20.21,19.87
100,21.91,19.98,19.3
101,22.36,20.09,19.82
102,21.78,20.03,19.27
103,22.32,20.02,19.81
104,21.78,19.98,19.27
105,22.04,19.99,19.5
106,21.86,20.53,19.37
107,22.04,19.98,19.48
108,21.78,20.6,19.28
109,21.79,20.03,19.29
110,22.32,20.46,19.27
111,21.84,19.98,19.27
112,22.39,20.21,19.82
113,21.78,19.98,19.27
114,22.32,20.0,19.91
115,21.78,20.02,19.3
116,22.01,20.04,19.81
117,21.91,20.55,19.27
118,21.84,19.98,19.5
119,21.78,20.53,19.27
120,21.78,19.99,19.3
121,22.32,20.22,19.34
122,21.85,20.03,19.31
123,22.4,20.07,19.82
