kbactive,node164,node165,node166
0,1755744.0,1694760.0,1623412.0
1,1764908.0,1703724.0,1639380.0
2,1775848.0,1711352.0,1665088.0
3,1816544.0,1703644.0,1675884.0
4,1793008.0,1719736.0,1691124.0
5,1796004.0,1676568.0,1647500.0
6,1790552.0,1686076.0,1645020.0
7,1808816.0,1693384.0,1658072.0
8,1807844.0,1728624.0,1654708.0
9,1863016.0,1737008.0,1683808.0
10,1878564.0,1738324.0,1714300.0
11,1872316.0,1771752.0,1728676.0
12,1894608.0,1776772.0,1725468.0
13,1903572.0,1785416.0,1754816.0
14,1891628.0,1788564.0,1760572.0
15,1904876.0,1765824.0,1717524.0
16,1918640.0,1755392.0,1727600.0
17,1909044.0,1751208.0,1747652.0
18,1925336.0,1769740.0,1765860.0
19,1947100.0,1766328.0,1746672.0
20,1975428.0,1799664.0,1797140.0
21,2008148.0,1809768.0,1801352.0
22,1995032.0,1851352.0,1818264.0
23,2018256.0,1839864.0,1835540.0
24,1982880.0,1849152.0,1873136.0
25,2000900.0,1801256.0,1814708.0
26,2022000.0,1812980.0,1826456.0
27,2026536.0,1811116.0,1821136.0
28,2015368.0,1812044.0,1834760.0
29,2063740.0,1851432.0,1842040.0
30,2084032.0,1854904.0,1879556.0
31,2088960.0,1871256.0,1924088.0
32,2140068.0,1864216.0,1924612.0
33,2129632.0,1873812.0,1951144.0
34,2140708.0,1876156.0,1955860.0
35,2150504.0,1894628.0,1978840.0
36,2168044.0,1889948.0,1975980.0
37,2189128.0,1905504.0,1997188.0
38,2223604.0,1904676.0,1995168.0
39,2216516.0,1895536.0,2004992.0
40,2228752.0,1916180.0,2030256.0
41,2241504.0,1917884.0,2016788.0
42,2250064.0,1941676.0,2030876.0
43,2300016.0,1928916.0,2025072.0
44,2290812.0,1954740.0,2040256.0
45,2314864.0,1943272.0,2044228.0
46,2310860.0,1951056.0,2060292.0
47,2333668.0,1949808.0,2082080.0
48,2340152.0,1954140.0,2092788.0
49,2364104.0,1977552.0,2079752.0
50,2356524.0,1970280.0,2099444.0
51,2368796.0,1990724.0,2106556.0
52,2369420.0,1997908.0,2116852.0
53,2381344.0,2005584.0,2137356.0
54,2421688.0,2013504.0,2128456.0
55,2422220.0,2030060.0,2158316.0
56,2417780.0,2024572.0,2140092.0
57,2409428.0,2030256.0,2143900.0
58,2416240.0,2039840.0,2135332.0
59,2410048.0,2035164.0,2143180.0
60,2433148.0,2035992.0,2136792.0
61,2412536.0,2024516.0,2150804.0
62,2408816.0,2035200.0,2149796.0
63,2421332.0,2024360.0,2149152.0
64,2406824.0,2034424.0,2135220.0
65,2427156.0,2032976.0,2134292.0
66,2421312.0,2045364.0,2145904.0
67,2412792.0,2031264.0,2134428.0
68,2400412.0,2033188.0,2154136.0
69,2410328.0,2025940.0,2149680.0
70,2403564.0,2032260.0,2151328.0
71,2428904.0,2030336.0,2137352.0
72,2415176.0,2038064.0,2141324.0
73,2405416.0,2055184.0,2135988.0
74,2416664.0,2037036.0,2139080.0
75,2406244.0,2042524.0,2150872.0
76,2419596.0,2033068.0,2144732.0
77,2426052.0,2040348.0,2158140.0
78,2421608.0,2029844.0,2139928.0
79,2407932.0,2037060.0,2144892.0
80,2417248.0,2043212.0,2135064.0
81,2407584.0,2037216.0,2143528.0
82,2416916.0,2030380.0,2137436.0
83,2437736.0,2030760.0,2152556.0
84,2412928.0,2043960.0,2151116.0
85,2421256.0,2033360.0,2149108.0
86,2408548.0,2054744.0,2140392.0
87,2413480.0,2047116.0,2140604.0
88,2420952.0,2045184.0,2152008.0
89,2427960.0,2033260.0,2138808.0
90,2407724.0,2040384.0,2149052.0
91,2407928.0,2034416.0,2152444.0
92,2419968.0,2038380.0,2152184.0
93,2409440.0,2046036.0,2138844.0
94,2434840.0,2049020.0,2146168.0
95,2412796.0,2054608.0,2139800.0
96,2410016.0,2034676.0,2145456.0
97,2400416.0,2044688.0,2142060.0
98,2408384.0,2035460.0,2156152.0
99,2409872.0,2042164.0,2161212.0
100,2423632.0,2035920.0,2143056.0
101,2421308.0,2057784.0,2151832.0
102,2403488.0,2045468.0,2140888.0
103,2417260.0,2042172.0,2152712.0
104,2402896.0,2033980.0,2144324.0
105,2422012.0,2034012.0,2155044.0
106,2423212.0,2045896.0,2159144.0
107,2419984.0,2035108.0,2156516.0
108,2408292.0,2061660.0,2140392.0
109,2413444.0,2046172.0,2144432.0
110,2423892.0,2044396.0,2140724.0
111,2416088.0,2037336.0,2143228.0
112,2427016.0,2047204.0,2156052.0
113,2405516.0,2039380.0,2143636.0
114,2418444.0,2041184.0,2169716.0
115,2406536.0,2043980.0,2151136.0
116,2408528.0,2048356.0,2158648.0
117,2421620.0,2055584.0,2149336.0
118,2412248.0,2037220.0,2157084.0
119,2402952.0,2047228.0,2147192.0
120,2402700.0,2037932.0,2154380.0
121,2415504.0,2045116.0,2158972.0
122,2419124.0,2043064.0,2150828.0
123,2427768.0,2052372.0,2158116.0
124,2404940.0,2030092.0,2139376.0
125,2416132.0,2030888.0,2153152.0
126,2406456.0,2044720.0,2139124.0
127,2415440.0,2033016.0,2149600.0
128,2432832.0,2047020.0,2151412.0
129,2428488.0,2042408.0,2156576.0
130,2406864.0,2053924.0,2140800.0
131,2406964.0,2035236.0,2149496.0
132,2417288.0,2042060.0,2142156.0
133,2407108.0,2032152.0,2145184.0
134,2439096.0,2034872.0,2139548.0
135,2413872.0,2042500.0,2160772.0
136,2416192.0,2039204.0,2149896.0
137,2408704.0,2056648.0,2139388.0
138,2416720.0,2034956.0,2149688.0
139,2410912.0,2042428.0,2139012.0
140,2436492.0,2033256.0,2150712.0
141,2417148.0,2041600.0,2137884.0
142,2409520.0,2035612.0,2155916.0
143,2420196.0,2044356.0,2148168.0
144,2411076.0,2051556.0,2148908.0
145,2433368.0,2050676.0,2140616.0
146,2423784.0,2037976.0,2148248.0
147,2416796.0,2036472.0,2141824.0
148,2408956.0,2045764.0,2146768.0
149,2416252.0,2034260.0,2144032.0
150,2408864.0,2045868.0,2148280.0
151,2430756.0,2041592.0,2160376.0
152,2422700.0,2054436.0,2140744.0
153,2405924.0,2036876.0,2146576.0
154,2416868.0,2041184.0,2138520.0
155,2406516.0,2034504.0,2145656.0
156,2422300.0,2040964.0,2138356.0
157,2423728.0,2035312.0,2144228.0
158,2418064.0,2039220.0,2155192.0
159,2410328.0,2048732.0,2149252.0
160,2418460.0,2041480.0,2156800.0
161,2412420.0,2047840.0,2142416.0
162,2435344.0,2036668.0,2156252.0
163,2427492.0,2050836.0,2140228.0
164,2412968.0,2035596.0,2148880.0
165,2423104.0,2050504.0,2156644.0
166,2410764.0,2048308.0,2163160.0
167,2433056.0,2044772.0,2144188.0
168,2417608.0,2036604.0,2147168.0
169,2414088.0,2042828.0,2141688.0
170,2405012.0,2031740.0,2142040.0
171,2407528.0,2030524.0,2152800.0
172,2414648.0,2055920.0,2149120.0
173,2425784.0,2041516.0,2168980.0
174,2426456.0,2048856.0,2152196.0
175,2403624.0,2032968.0,2156092.0
176,2413532.0,2043320.0,2141048.0
177,2367708.0,2032828.0,2148152.0
178,2404200.0,2000048.0,2142576.0
179,2422444.0,2035208.0,2131056.0
180,2409212.0,2046864.0,2120916.0
181,2400508.0,2029220.0,2123988.0
182,2400092.0,2032608.0,2144964.0
183,2374464.0,1991412.0,2139484.0
184,2372680.0,1995592.0,2094732.0
185,2393092.0,1993004.0,2081312.0
186,2367428.0,1999796.0,2092612.0
187,2400532.0,2018728.0,2081852.0
188,2400516.0,1995376.0,2130948.0
189,2408212.0,2016296.0,2123468.0
190,2412816.0,2022816.0,2124856.0
191,2419136.0,2034092.0,2134924.0
192,2375892.0,2025536.0,2151924.0
193,2364960.0,2038060.0,2082112.0
194,2373520.0,2007380.0,2088036.0
195,2366284.0,2012288.0,2093820.0
196,2397132.0,2007156.0,2092456.0
197,2403244.0,1994152.0,2099564.0
198,2406252.0,2007108.0,2107348.0
199,2409076.0,2009820.0,2126320.0
200,2397652.0,2037164.0,2113588.0
201,2419728.0,2039324.0,2139276.0
202,2379944.0,2050992.0,2138256.0
203,2373372.0,2038400.0,2104392.0
204,2363460.0,2002540.0,2093924.0
205,2371540.0,1996580.0,2093084.0
206,2372076.0,2000024.0,2087228.0
207,2418060.0,2009508.0,2085296.0
208,2405016.0,2009700.0,2124028.0
209,2402896.0,2031208.0,2117780.0
210,2412016.0,2026700.0,2145744.0
211,2409364.0,2039400.0,2144268.0
212,2381116.0,2028316.0,2153248.0
213,2392984.0,2043004.0,2086736.0
214,2384548.0,1995496.0,2094516.0
215,2373160.0,2002832.0,2088016.0
216,2376216.0,2011236.0,2107848.0
217,2397760.0,2010144.0,2096944.0
218,2421056.0,2009232.0,2118628.0
219,2429796.0,2015844.0,2129512.0
220,2402056.0,2044008.0,2119456.0
221,2415648.0,2034936.0,2148560.0
222,2366064.0,2038284.0,2143532.0
223,2375424.0,2048036.0,2096272.0
224,2390016.0,2013240.0,2100240.0
225,2379392.0,1995520.0,2104488.0
226,2369680.0,2002084.0,2089296.0
227,2400020.0,1995640.0,2094764.0
228,2415136.0,1998968.0,2114940.0
229,2414852.0,2012288.0,2126156.0
230,2422384.0,2043688.0,2127092.0
231,2406416.0,2053772.0,2146676.0
232,2376500.0,2034116.0,2166224.0
233,2367940.0,2049156.0,2090044.0
234,2376492.0,2001324.0,2098868.0
235,2383720.0,2010168.0,2089568.0
236,2388072.0,1999604.0,2094136.0
237,2400904.0,2018376.0,2084312.0
238,2414216.0,2007292.0,2117632.0
239,2410448.0,2015328.0,2131996.0
240,2407356.0,2040516.0,2130508.0
241,2437564.0,2030020.0,2135236.0
242,2376296.0,2041404.0,2143260.0
243,2379464.0,2037484.0,2098932.0
244,2370604.0,2013120.0,2090044.0
245,2378568.0,2008576.0,2098384.0
246,2386640.0,2010956.0,2101820.0
247,2420296.0,1996768.0,2113876.0
248,2415828.0,2003188.0,2117260.0
249,2403072.0,2012592.0,2125544.0
250,2412652.0,2032040.0,2120896.0
251,2406304.0,2046012.0,2146328.0
252,2386520.0,2040968.0,2147916.0
253,2389116.0,2064452.0,2094068.0
254,2380916.0,2003788.0,2103584.0
255,2367164.0,2012124.0,2097888.0
256,2369204.0,2000684.0,2103716.0
257,2407704.0,2008504.0,2091668.0
258,2418772.0,1998560.0,2129552.0
259,2426632.0,2035184.0,2125832.0
260,2404496.0,2044552.0,2131236.0
261,2415592.0,2038788.0,2155308.0
262,2371372.0,2034088.0,2166544.0
263,2379756.0,2041436.0,2094024.0
264,2396144.0,2010596.0,2095780.0
265,2385184.0,1998908.0,2090224.0
266,2373564.0,2026032.0,2091876.0
267,2404680.0,2013020.0,2106392.0
268,2419132.0,2014520.0,2132772.0
269,2415124.0,2018280.0,2149448.0
270,2426388.0,2042220.0,2128996.0
271,2411344.0,2039960.0,2153336.0
272,2375804.0,2043984.0,2149980.0
273,2367796.0,2047716.0,2102896.0
274,2376228.0,2011968.0,2096844.0
275,2383736.0,2012388.0,2104564.0
276,2386180.0,1999236.0,2108704.0
277,2409380.0,2010880.0,2107816.0
278,2405680.0,2000540.0,2135632.0
279,2418100.0,2025712.0,2125012.0
280,2408196.0,2040104.0,2136648.0
281,2437736.0,2058588.0,2143132.0
282,2380332.0,2041884.0,2160868.0
283,2381392.0,2049752.0,2109120.0
284,2374096.0,2004740.0,2115004.0
285,2380964.0,2009484.0,2097732.0
286,2387344.0,2015076.0,2101984.0
287,2424696.0,2013076.0,2091492.0
288,2426480.0,2025448.0,2122796.0
289,2404648.0,2016724.0,2124156.0
290,2415660.0,2042248.0,2126516.0
291,2410528.0,2035784.0,2170640.0
292,2404492.0,2042808.0,2150652.0
293,2380556.0,2037636.0,2101640.0
294,2377136.0,2013940.0,2089344.0
295,2370740.0,2013128.0,2099384.0
296,2378236.0,2009268.0,2090012.0
297,2403500.0,2011652.0,2097564.0
298,2423476.0,1996548.0,2131124.0
299,2421632.0,2024384.0,2138004.0
300,2404004.0,2030316.0,2138444.0
301,2420876.0,2044476.0,2141664.0
302,2371212.0,2039896.0,2164540.0
303,2383792.0,2053268.0,2094892.0
304,2390072.0,2000036.0,2104796.0
305,2381732.0,2005492.0,2101700.0
306,2369508.0,2000496.0,2114656.0
307,2398612.0,2007176.0,2095388.0
308,2419856.0,1997088.0,2118280.0
309,2428360.0,2013188.0,2122292.0
310,2433068.0,2054476.0,2121972.0
311,2413296.0,2036088.0,2152308.0
312,2385812.0,2041268.0,2146352.0
313,2374852.0,2033016.0,2114720.0
314,2389512.0,2003136.0,2096856.0
315,2391656.0,1995728.0,2101276.0
316,2377072.0,2003744.0,2091852.0
317,2400112.0,2011168.0,2099996.0
318,2406604.0,2008728.0,2119916.0
319,2419784.0,2022968.0,2135484.0
320,2420552.0,2033024.0,2142892.0
321,2437880.0,2044308.0,2157232.0
322,2373504.0,2033308.0,2162328.0
323,2383052.0,2051304.0,2094280.0
324,2372160.0,2007576.0,2105060.0
325,2388796.0,2022476.0,2090784.0
326,2391848.0,2001488.0,2101476.0
327,2411916.0,2007336.0,2090256.0
328,2408628.0,2000384.0,2135984.0
329,2412804.0,2024060.0,2128196.0
330,2421856.0,2037012.0,2131128.0
331,2435520.0,2036792.0,2141808.0
332,2400452.0,2048096.0,2153692.0
333,2373536.0,2048288.0,2090024.0
334,2379576.0,2011188.0,2090608.0
335,2371948.0,1999280.0,2117432.0
336,2376976.0,2008880.0,2099320.0
337,2419400.0,1998832.0,2104300.0
338,2416148.0,2006628.0,2119932.0
339,2422360.0,2028576.0,2133712.0
340,2412344.0,2048128.0,2125556.0
341,2430032.0,2037100.0,2149152.0
342,2389944.0,2038736.0,2158956.0
343,2397356.0,2043148.0,2111628.0
344,2376196.0,2002048.0,2098688.0
345,2381548.0,2017692.0,2092164.0
346,2374416.0,2004156.0,2107388.0
347,2407564.0,2024776.0,2093032.0
348,2431352.0,2005400.0,2134208.0
349,2413708.0,2021900.0,2128972.0
350,2428028.0,2033476.0,2147260.0
351,2418644.0,2039092.0,2151752.0
352,2394752.0,2034692.0,2161928.0
353,2392844.0,2040748.0,2092840.0
354,2411736.0,2019500.0,2096948.0
355,2386920.0,2009592.0,2090436.0
356,2394332.0,2016040.0,2094876.0
357,2416816.0,2000148.0,2089596.0
358,2427832.0,2011336.0,2126340.0
359,2453448.0,2019756.0,2144492.0
360,2435028.0,2045424.0,2123308.0
361,2440752.0,2048468.0,2151684.0
362,2385732.0,2060740.0,2148184.0
363,2396416.0,2051720.0,2109060.0
364,2387912.0,2001920.0,2090388.0
365,2416548.0,2013388.0,2104468.0
366,2395592.0,2002136.0,2103900.0
367,2420876.0,2015584.0,2100084.0
368,2430536.0,2001988.0,2118640.0
369,2421284.0,2041648.0,2126700.0
370,2458336.0,2047636.0,2144448.0
371,2443596.0,2049236.0,2145188.0
372,2394956.0,2041508.0,2163304.0
373,2387484.0,2051112.0,2109716.0
374,2395364.0,2018424.0,2115064.0
375,2389136.0,2006724.0,2097816.0
376,2414692.0,2025740.0,2106260.0
377,2423068.0,2019188.0,2096880.0
378,2424140.0,2024300.0,2127740.0
379,2437880.0,2024084.0,2128596.0
380,2422352.0,2051324.0,2139328.0
381,2456600.0,2046504.0,2157692.0
382,2400008.0,2051356.0,2157652.0
383,2399288.0,2055796.0,2108604.0
384,2386888.0,2027460.0,2098864.0
385,2395348.0,2028916.0,2110532.0
386,2388368.0,2010244.0,2099768.0
387,2443348.0,2020704.0,2115936.0
388,2429760.0,2010100.0,2139212.0
389,2424704.0,2035848.0,2146076.0
390,2435808.0,2041572.0,2131328.0
391,2430612.0,2063928.0,2154400.0
392,2417500.0,2050772.0,2165276.0
393,2396320.0,2054808.0,2107480.0
394,2398932.0,2008284.0,2116952.0
395,2389140.0,2013292.0,2117116.0
396,2396792.0,2010000.0,2119356.0
397,2427348.0,2010392.0,2103660.0
398,2447236.0,2035796.0,2136496.0
399,2420768.0,2038084.0,2136196.0
