kbcached,node164,node165,node166
0,1942792.0,1408184.0,1796740.0
1,1937072.0,1405384.0,1794852.0
2,1943768.0,1407652.0,1803324.0
3,1947004.0,1414836.0,1803336.0
4,1956876.0,1414828.0,1803068.0
5,1963556.0,1413224.0,1805888.0
6,1951132.0,1406340.0,1786828.0
7,1948828.0,1406332.0,1791104.0
8,1951052.0,1404560.0,1803852.0
9,1949436.0,1410120.0,1786940.0
10,1951004.0,1408652.0,1799868.0
11,1963784.0,1408940.0,1803940.0
12,1940776.0,1404928.0,1804216.0
13,1945936.0,1416704.0,1804324.0
14,1947608.0,1420244.0,1801024.0
15,1962092.0,1420236.0,1796052.0
16,1959344.0,1407120.0,1794344.0
17,1955404.0,1412244.0,1794600.0
18,1952924.0,1412020.0,1809236.0
19,1961852.0,1413728.0,1816328.0
20,1964692.0,1413608.0,1797624.0
21,1967212.0,1413564.0,1791884.0
22,1947280.0,1409248.0,1793356.0
23,1960532.0,1411944.0,1802420.0
24,1965180.0,1422716.0,1797516.0
25,1961180.0,1436276.0,1792516.0
26,1969132.0,1427796.0,1792800.0
27,1951068.0,1414984.0,1796324.0
28,1950784.0,1430100.0,1802880.0
29,1953272.0,1421044.0,1810060.0
30,1952652.0,1434444.0,1812988.0
31,1953340.0,1426384.0,1822084.0
32,1953100.0,1419536.0,1822708.0
33,1949884.0,1415812.0,1820068.0
34,1951092.0,1421248.0,1820684.0
35,1956252.0,1435420.0,1820012.0
36,1962064.0,1431824.0,1812384.0
37,1952980.0,1421784.0,1810608.0
38,1949532.0,1429112.0,1806260.0
39,1955004.0,1441832.0,1818524.0
40,1952908.0,1428564.0,1829816.0
41,1960636.0,1425400.0,1815608.0
42,1962212.0,1425428.0,1826720.0
43,1950932.0,1425168.0,1814168.0
44,1940316.0,1433332.0,1817968.0
45,1950244.0,1427816.0,1816304.0
46,1958408.0,1424508.0,1814740.0
47,1957124.0,1426800.0,1822684.0
48,1957500.0,1430512.0,1829040.0
49,1951372.0,1424208.0,1818644.0
50,1952856.0,1426912.0,1819388.0
51,1975048.0,1436828.0,1821244.0
52,1971596.0,1421692.0,1821852.0
53,1980152.0,1416992.0,1828584.0
54,1962256.0,1414128.0,1829324.0
55,1966596.0,1421620.0,1840896.0
56,1966724.0,1422396.0,1832788.0
57,1973132.0,1423632.0,1819668.0
58,1969428.0,1417404.0,1831904.0
59,1970960.0,1425256.0,1819680.0
60,1960244.0,1435212.0,1821624.0
61,1967344.0,1438220.0,1825036.0
62,1967104.0,1441132.0,1821708.0
63,1966672.0,1439724.0,1820572.0
64,1967536.0,1425552.0,1820296.0
65,1957980.0,1436080.0,1815816.0
66,1968836.0,1441508.0,1819356.0
67,1985016.0,1436232.0,1822092.0
68,1978804.0,1435892.0,1821720.0
69,1983320.0,1421732.0,1830200.0
70,1964524.0,1433752.0,1839444.0
71,1966192.0,1431228.0,1839776.0
72,1975764.0,1434804.0,1836924.0
73,1988476.0,1431736.0,1841860.0
74,1991996.0,1430132.0,1834020.0
75,1986032.0,1431132.0,1832180.0
76,1987428.0,1436940.0,1842048.0
77,1991388.0,1441872.0,1825460.0
78,2007876.0,1444704.0,1828476.0
79,2000540.0,1446816.0,1830348.0
80,1984312.0,1452168.0,1831796.0
81,1986576.0,1441192.0,1844328.0
82,1979552.0,1444400.0,1840828.0
83,1995432.0,1446880.0,1843056.0
84,1991496.0,1452260.0,1836756.0
85,1993084.0,1439328.0,1845944.0
86,2001680.0,1436884.0,1849104.0
87,2000068.0,1436060.0,1849352.0
88,2007052.0,1440552.0,1834420.0
89,2013228.0,1440944.0,1834616.0
90,2004964.0,1429608.0,1840560.0
