kbcommit,node164,node165,node166
0,5280560.0,4975032.0,4713672.0
1,5274744.0,4850228.0,4664516.0
2,5267408.0,4900880.0,4688740.0
3,5455464.0,4832264.0,4670132.0
4,5137680.0,4890600.0,4720076.0
5,5233224.0,4669704.0,4654032.0
6,5105516.0,4675312.0,4520276.0
7,5160616.0,4670360.0,4654032.0
8,5104996.0,4687180.0,4520276.0
9,5289116.0,4813884.0,4661092.0
10,5296512.0,4827516.0,4800292.0
11,5284196.0,4971148.0,4733132.0
12,5405268.0,4838932.0,4672716.0
13,5323488.0,4887260.0,4672012.0
14,5242856.0,4890012.0,4725844.0
15,5140668.0,4692060.0,4533828.0
16,5237708.0,4676876.0,4527076.0
17,5110064.0,4671184.0,4545088.0
18,5164736.0,4803408.0,4672352.0
19,5432940.0,4669700.0,4531004.0
20,5293420.0,4960240.0,4796676.0
21,5378760.0,4835548.0,4671320.0
22,5277244.0,4988296.0,4802828.0
23,5458092.0,4845516.0,4664116.0
24,5109108.0,4942888.0,4790292.0
25,5223200.0,4669700.0,4548808.0
26,5141472.0,4677888.0,4540744.0
27,5182512.0,4669704.0,4527868.0
28,5111372.0,4669792.0,4529976.0
29,5278356.0,4820480.0,4527584.0
30,5363352.0,4843648.0,4712404.0
31,5278776.0,4974456.0,4813572.0
32,5436108.0,4839468.0,4701960.0
33,5346756.0,4887372.0,4805356.0
34,5466032.0,4881568.0,4727672.0
35,5333572.0,4908308.0,4781472.0
36,5389196.0,4894504.0,4725844.0
37,5342084.0,4914532.0,4734028.0
38,5362804.0,4976156.0,4725840.0
39,5338984.0,4895032.0,4729776.0
40,5339952.0,5028272.0,4873716.0
41,5333660.0,4894512.0,4733340.0
42,5333568.0,5026988.0,4860120.0
43,5491712.0,4894508.0,4725820.0
44,5347136.0,4973988.0,4857992.0
45,5466024.0,4905240.0,4725844.0
46,5333568.0,4902652.0,4839928.0
47,5389192.0,4894508.0,4749708.0
48,5342080.0,4896436.0,4783936.0
49,5369652.0,5028276.0,4728740.0
50,5336940.0,4894508.0,4731972.0
51,5336996.0,5036384.0,4725840.0
52,5333572.0,4904616.0,4727296.0
53,5333660.0,4960168.0,4859596.0
54,5476868.0,4894508.0,4725836.0
55,5350668.0,4933624.0,4874568.0
56,5466044.0,4894508.0,4732420.0
57,5333572.0,4901836.0,4841880.0
58,5389200.0,4911520.0,4725836.0
59,5333560.0,4909544.0,4781464.0
60,5376820.0,5030456.0,4725844.0
61,5341892.0,4894508.0,4741792.0
62,5335620.0,5028076.0,4748708.0
63,5469312.0,4894512.0,4740832.0
64,5335616.0,5009628.0,4726800.0
65,5476776.0,4903620.0,4725932.0
66,5356500.0,4963036.0,4859596.0
67,5392648.0,4900028.0,4725844.0
68,5335620.0,4903512.0,4867832.0
69,5355980.0,4894512.0,4743764.0
70,5340360.0,4902648.0,4790800.0
71,5376624.0,4899252.0,4728308.0
72,5354028.0,4907380.0,4734164.0
73,5341756.0,5047112.0,4725840.0
74,5474052.0,4906172.0,4729260.0
75,5340360.0,5032124.0,4859592.0
76,5472576.0,4899256.0,4734344.0
77,5363900.0,4954880.0,4875048.0
78,5414452.0,4899256.0,4733016.0
79,5340884.0,4913972.0,4858844.0
80,5354940.0,4915936.0,4725840.0
81,5340360.0,4909444.0,4781472.0
82,5351196.0,4899256.0,4725840.0
83,5494492.0,4899340.0,4742416.0
84,5346100.0,5033004.0,4741600.0
85,5472644.0,4899256.0,4737836.0
86,5340360.0,5040988.0,4726888.0
87,5395984.0,4920960.0,4725836.0
88,5357380.0,4961980.0,4859588.0
89,5365280.0,4901672.0,4725844.0
90,5341324.0,4908608.0,4858928.0
91,5342544.0,4900276.0,4742460.0
92,5474112.0,4904148.0,4790692.0
93,5340364.0,5034040.0,4726804.0
94,5504496.0,4930964.0,4734036.0
95,5353916.0,5045168.0,4725840.0
96,5397392.0,4901808.0,4730048.0
97,5340360.0,5031872.0,4725844.0
98,5354888.0,4900224.0,4743380.0
99,5349400.0,4955836.0,4872908.0
100,5371764.0,4900248.0,4731612.0
101,5483584.0,4925484.0,4860116.0
102,5340884.0,4911852.0,4725788.0
103,5472708.0,4908680.0,4858316.0
104,5340360.0,4900280.0,4725836.0
105,5404500.0,4900804.0,4781472.0
106,5360388.0,5034040.0,4749704.0
107,5403668.0,4900276.0,4776128.0
108,5340360.0,5050656.0,4728112.0
109,5343976.0,4912728.0,4731124.0
110,5474112.0,5016548.0,4725840.0
111,5356260.0,4900280.0,4725932.0
112,5489280.0,4955904.0,4859532.0
113,5341320.0,4900280.0,4725836.0
114,5471876.0,4904484.0,4881812.0
115,5340364.0,4909048.0,4731756.0
116,5395992.0,4913048.0,4858744.0
117,5371380.0,5037972.0,4725844.0
118,5354620.0,4900276.0,4781392.0
119,5340288.0,5033716.0,4725844.0
120,5340888.0,4901304.0,4733300.0
121,5474112.0,4956928.0,4741800.0
122,5357388.0,4910836.0,4736164.0
123,5492780.0,4922592.0,4860056.0
124,5344032.0,4904596.0,4725840.0
125,5454392.0,4902812.0,4859596.0
126,5340360.0,5036092.0,4725844.0
127,5395988.0,4902320.0,4858444.0
128,5366364.0,5036060.0,4741564.0
129,5367916.0,4910836.0,4849048.0
130,5345420.0,5048160.0,4729556.0
131,5344548.0,4906700.0,4779440.0
132,5478208.0,4950284.0,4723788.0
133,5344456.0,4902328.0,4731116.0
134,5509588.0,4906196.0,4723740.0
135,5355028.0,4978652.0,4747264.0
136,5460540.0,4910836.0,4737716.0
137,5344460.0,5059964.0,4726880.0
138,5400092.0,4908296.0,4857540.0
139,5345328.0,5035328.0,4723788.0
140,5374540.0,4902304.0,4857472.0
141,5352596.0,4957956.0,4723784.0
142,5344984.0,4902324.0,4864260.0
143,5478152.0,4941460.0,4736240.0
144,5344456.0,4926616.0,4785184.0
145,5494868.0,4928240.0,4724704.0
146,5370152.0,4905224.0,4731848.0
147,5401888.0,4905044.0,4723788.0
148,5344452.0,5036084.0,4727208.0
149,5352784.0,4902324.0,4723440.0
150,5344456.0,5036088.0,4733328.0
151,5381208.0,4910836.0,4866332.0
152,5487596.0,5029960.0,4727716.0
153,5344980.0,4907144.0,4804060.0
154,5478204.0,4958476.0,4723788.0
155,5344456.0,4902324.0,4771160.0
156,5467576.0,4910516.0,4723788.0
157,5370328.0,4902324.0,4736784.0
158,5394704.0,4906372.0,4747640.0
159,5344460.0,4932960.0,4735444.0
160,5352648.0,4910044.0,4861032.0
161,5344456.0,5037428.0,4723788.0
162,5373140.0,4902328.0,4857536.0
163,5486832.0,5035420.0,4723788.0
164,5344972.0,4902324.0,4837876.0
165,5477548.0,5025892.0,4740796.0
166,5344416.0,4925220.0,4795904.0
167,5423944.0,4945484.0,4730232.0
168,5356632.0,4902328.0,4732508.0
169,5360260.0,4908460.0,4723788.0
170,5341292.0,4899152.0,4724984.0
171,5345624.0,4899680.0,4857536.0
172,5475036.0,4992440.0,4732252.0
173,5370232.0,4911012.0,4881864.0
174,5490124.0,5036948.0,4735816.0
175,5340676.0,4897584.0,4857788.0
176,5395340.0,5030024.0,4723784.0
177,5427164.0,4897580.0,4779412.0
178,5319116.0,4886284.0,4723788.0
179,5307192.0,4855280.0,4863292.0
180,5298108.0,4911716.0,4677780.0
181,5278772.0,4843044.0,4683660.0
182,5327668.0,4843728.0,4800744.0
183,5249004.0,4673800.0,4715944.0
184,5123756.0,4677224.0,4658776.0
185,5253604.0,4673888.0,4525024.0
186,5121664.0,4682304.0,4658512.0
187,5333980.0,4829284.0,4525020.0
188,5284920.0,4681560.0,4953392.0
189,5293084.0,4964264.0,4678296.0
190,5294732.0,4839652.0,4727160.0
191,5358084.0,4898608.0,4662052.0
192,5254236.0,4835832.0,4722648.0
193,5115252.0,4893976.0,4525020.0
194,5229340.0,4691276.0,4528444.0
195,5115252.0,4845200.0,4533224.0
196,5196708.0,4809744.0,4537836.0
197,5449808.0,4673800.0,4665688.0
198,5288436.0,4807560.0,4664192.0
199,5418676.0,4830660.0,4801868.0
200,5277720.0,4971112.0,4669212.0
201,5471884.0,4852112.0,4717692.0
202,5142256.0,4904284.0,4712012.0
203,5250632.0,4897144.0,4550824.0
204,5115248.0,4688624.0,4536584.0
205,5170880.0,4673792.0,4533640.0
206,5123764.0,4677248.0,4525020.0
207,5314312.0,4807564.0,4527596.0
208,5292364.0,4690812.0,4844184.0
209,5287640.0,4976948.0,4669264.0
210,5411472.0,4842880.0,4826596.0
211,5339592.0,4975116.0,4672272.0
212,5249004.0,4835836.0,4846904.0
213,5145628.0,4941408.0,4525024.0
214,5179468.0,4673796.0,4580656.0
215,5115252.0,4681128.0,4525020.0
216,5123404.0,4690416.0,4549316.0
217,5278448.0,4688476.0,4539996.0
218,5306440.0,4749040.0,4672680.0
219,5438104.0,4830656.0,4744496.0
220,5281344.0,4975884.0,4669256.0
221,5473460.0,4843036.0,4795820.0
222,5115248.0,4967244.0,4723784.0
223,5170884.0,4902672.0,4647616.0
224,5140456.0,4750044.0,4542376.0
225,5129992.0,4675632.0,4592220.0
226,5115252.0,4682120.0,4528692.0
227,5280636.0,4673768.0,4532292.0
228,5418676.0,4678128.0,4662716.0
229,5302404.0,4830880.0,4673588.0
230,5426556.0,4857108.0,4745584.0
231,5340676.0,4986848.0,4675912.0
232,5247588.0,4838108.0,4866364.0
233,5115248.0,5017440.0,4528132.0
234,5170880.0,4673800.0,4656344.0
235,5133036.0,4729428.0,4521852.0
236,5184188.0,4673800.0,4575904.0
237,5279420.0,4698876.0,4520276.0
238,5291320.0,4688768.0,4697160.0
239,5285020.0,4838356.0,4681960.0
240,5277728.0,4977328.0,4680140.0
241,5493820.0,4843040.0,4659156.0
242,5123832.0,4969544.0,4709188.0
243,5230840.0,4897580.0,4654032.0
244,5115252.0,4813692.0,4520280.0
245,5123580.0,4689948.0,4654028.0
246,5132272.0,4738044.0,4537280.0
247,5312820.0,4674320.0,4669032.0
248,5423972.0,4681988.0,4666652.0
249,5284928.0,4830656.0,4720676.0
250,5410952.0,4843244.0,4670324.0
251,5327560.0,4976808.0,4674148.0
252,5187904.0,4853312.0,4727904.0
253,5144784.0,5034980.0,4534352.0
254,5129104.0,4677424.0,4544960.0
255,5115252.0,4805448.0,4538416.0
256,5117572.0,4673800.0,4665152.0
257,5412208.0,4729424.0,4529132.0
258,5308788.0,4673796.0,4934756.0
259,5433672.0,4855292.0,4673296.0
260,5278252.0,4863212.0,4729008.0
261,5383304.0,4850144.0,4682796.0
262,5115252.0,4835924.0,4777632.0
263,5123448.0,4897580.0,4532628.0
264,5145100.0,4807548.0,4535832.0
265,5131968.0,4673800.0,4529136.0
266,5117168.0,4824576.0,4529660.0
267,5433740.0,4690316.0,4662888.0
268,5418676.0,4810824.0,4818756.0
269,5293424.0,4831176.0,4829252.0
270,5362392.0,4903472.0,4678892.0
271,5337920.0,4843040.0,4781816.0
272,5170872.0,4842584.0,4716012.0
273,5115252.0,4894032.0,4584764.0
274,5123436.0,4694592.0,4529136.0
275,5132736.0,4811556.0,4538028.0
276,5135948.0,4673792.0,4553452.0
277,5356608.0,4807564.0,4544712.0
278,5284928.0,4673796.0,4802856.0
279,5418680.0,4962096.0,4673328.0
280,5277724.0,4848164.0,4807084.0
281,5484104.0,4922256.0,4666176.0
282,5126476.0,4843012.0,4851024.0
283,5171092.0,4895512.0,4552992.0
284,5115252.0,4673800.0,4599152.0
285,5122984.0,4678008.0,4534904.0
286,5132132.0,4807504.0,4537548.0
287,5470632.0,4690680.0,4529136.0
288,5427824.0,4824648.0,4807368.0
289,5284924.0,4836448.0,4673472.0
290,5411476.0,4973392.0,4673380.0
291,5309440.0,4843040.0,4824264.0
292,5272756.0,4891468.0,4725580.0
293,5129880.0,4885668.0,4662352.0
294,5172280.0,4690488.0,4529136.0
295,5115248.0,4691280.0,4584760.0
296,5129804.0,4688708.0,4529136.0
297,5278980.0,4809948.0,4543968.0
298,5309176.0,4673796.0,4683928.0
299,5427888.0,4964420.0,4698532.0
300,5278252.0,4841876.0,4809944.0
301,5462068.0,4975252.0,4666184.0
302,5115248.0,4852860.0,4852440.0
303,5179396.0,4969984.0,4529132.0
304,5137532.0,4677292.0,4661472.0
305,5135296.0,4729428.0,4538088.0
306,5115248.0,4673796.0,4600516.0
307,5278892.0,4681124.0,4533540.0
308,5418676.0,4673888.0,4671244.0
309,5310516.0,4830656.0,4673384.0
310,5425636.0,4989500.0,4673908.0
311,5328560.0,4849960.0,4799928.0
312,5229280.0,4969280.0,4718672.0
313,5115248.0,4834436.0,4679500.0
314,5132096.0,4729368.0,4538356.0
315,5135616.0,4673800.0,4662768.0
316,5123220.0,4681988.0,4529132.0
317,5278452.0,4697640.0,4584760.0
318,5285452.0,4687744.0,4666908.0
319,5418676.0,4908820.0,4681576.0
320,5294812.0,4843060.0,4690868.0
321,5485668.0,4976808.0,4690944.0
322,5116644.0,4835840.0,4794808.0
323,5246712.0,5030192.0,4529224.0
324,5115236.0,4682304.0,4662828.0
325,5187900.0,4745316.0,4529128.0
326,5141716.0,4679572.0,4661860.0
327,5288092.0,4729952.0,4529132.0
328,5284932.0,4673800.0,4739220.0
329,5289264.0,4845224.0,4681088.0
330,5411480.0,4843044.0,4721776.0
331,5354028.0,4846468.0,4666188.0
332,5265404.0,4853412.0,4731996.0
333,5117520.0,4899596.0,4529132.0
334,5170884.0,4809348.0,4529216.0
335,5115248.0,4673796.0,4680368.0
336,5154384.0,4788852.0,4539732.0
337,5307732.0,4673796.0,4663852.0
338,5296052.0,4729428.0,4666796.0
339,5418680.0,4847536.0,4729016.0
340,5277728.0,4869256.0,4673384.0
341,5463900.0,4848416.0,4705320.0
342,5131836.0,4839984.0,4728208.0
343,5254820.0,4888392.0,4552204.0
344,5116208.0,4673796.0,4537992.0
345,5154360.0,4807564.0,4530620.0
346,5115248.0,4673796.0,4662888.0
347,5442568.0,4814460.0,4529132.0
348,5315700.0,4682996.0,4800660.0
349,5292852.0,4888116.0,4673384.0
350,5411484.0,4843040.0,4814100.0
351,5328004.0,4848632.0,4674844.0
352,5248344.0,4835840.0,4778244.0
353,5123696.0,4889908.0,4525968.0
354,5248452.0,4816636.0,4534080.0
355,5117220.0,4695140.0,4525960.0
356,5162676.0,4814144.0,4530512.0
357,5278296.0,4675196.0,4524384.0
358,5289428.0,4805304.0,4677672.0
359,5442224.0,4830928.0,4817268.0
360,5301324.0,4897504.0,4671016.0
361,5473424.0,4851164.0,4793780.0
362,5115252.0,4856520.0,4711272.0
363,5170884.0,4893948.0,4770536.0
364,5115248.0,4675240.0,4524392.0
365,5156272.0,4807504.0,4540260.0
366,5199920.0,4673800.0,4546632.0
367,5284196.0,4806376.0,4534404.0
368,5418676.0,4673800.0,4734960.0
369,5289640.0,4903816.0,4668640.0
370,5448424.0,4856348.0,4813044.0
371,5354228.0,4856296.0,4664236.0
372,5186152.0,4840592.0,4847552.0
373,5119996.0,4893568.0,4543812.0
374,5175632.0,4812304.0,4652276.0
375,5119992.0,4678544.0,4529468.0
376,5227884.0,4820812.0,4582780.0
377,5452748.0,4701440.0,4527200.0
378,5291596.0,4818364.0,4671716.0
379,5423420.0,4836356.0,4671416.0
380,5282444.0,4959516.0,4684152.0
381,5502056.0,4847784.0,4679092.0
382,5135504.0,4847912.0,4730520.0
383,5235772.0,4899048.0,4660848.0
384,5119996.0,4706796.0,4527196.0
385,5175600.0,4821272.0,4660816.0
386,5195100.0,4679504.0,4527192.0
387,5320580.0,4812276.0,4591336.0
388,5296920.0,4678544.0,4687212.0
389,5292000.0,4968072.0,4733992.0
390,5416228.0,4847792.0,4672852.0
391,5335152.0,4920620.0,4669540.0
392,5277212.0,4851188.0,4717784.0
393,5132784.0,4939292.0,4527632.0
394,5177084.0,4678544.0,4660936.0
395,5119992.0,4683844.0,4550912.0
396,5328588.0,4678544.0,4667632.0
397,5293240.0,4679068.0,4527724.0
398,5323880.0,4829788.0,4720540.0
399,5284748.0,4847692.0,4671452.0
