kbdirty,node164,node165,node166
0,58776.0,23620.0,34664.0
1,22468.0,18212.0,31208.0
2,19728.0,24604.0,38788.0
3,33040.0,36268.0,36840.0
4,52304.0,37220.0,26240.0
5,44448.0,21960.0,38892.0
6,35612.0,12544.0,22828.0
7,22604.0,33240.0,23648.0
8,18920.0,27180.0,33396.0
9,35140.0,29076.0,18980.0
10,45876.0,27428.0,31100.0
11,33876.0,22808.0,20248.0
12,28876.0,23920.0,36496.0
13,31544.0,35844.0,40940.0
14,43064.0,34732.0,20388.0
15,47992.0,35652.0,24576.0
16,50992.0,21648.0,32476.0
17,22216.0,14824.0,19540.0
18,11092.0,22124.0,30140.0
19,30488.0,24704.0,33524.0
20,45104.0,25356.0,27112.0
21,53884.0,24304.0,28020.0
22,36912.0,15572.0,22020.0
23,20300.0,22584.0,30816.0
24,47800.0,35188.0,28708.0
25,55584.0,37924.0,21600.0
26,59684.0,16504.0,34960.0
27,41584.0,2412.0,17264.0
28,35284.0,16084.0,25244.0
29,39424.0,28140.0,34772.0
30,53660.0,37108.0,31552.0
31,49108.0,31512.0,44720.0
32,55372.0,22372.0,22264.0
33,21036.0,20464.0,27228.0
34,19480.0,26196.0,36740.0
35,39100.0,32036.0,17008.0
36,43564.0,32684.0,22644.0
37,51680.0,24584.0,32520.0
38,16308.0,14836.0,14828.0
39,21524.0,31876.0,26332.0
40,25492.0,31720.0,32848.0
41,37588.0,33100.0,17968.0
42,52944.0,17480.0,31920.0
43,36092.0,16284.0,19776.0
44,12960.0,24044.0,24328.0
45,40756.0,26776.0,28104.0
46,53408.0,34988.0,15692.0
47,54484.0,37200.0,31664.0
48,36104.0,24648.0,16960.0
49,26108.0,30088.0,22784.0
50,25852.0,31396.0,31280.0
51,48168.0,35752.0,15184.0
52,53504.0,36004.0,22536.0
53,50928.0,26668.0,34660.0
54,18216.0,17716.0,22584.0
55,17644.0,35172.0,34356.0
56,32320.0,39528.0,38264.0
57,46136.0,32752.0,21232.0
58,43328.0,17276.0,35796.0
59,19972.0,11564.0,21748.0
60,15684.0,26080.0,24968.0
61,26164.0,28936.0,33032.0
62,44996.0,32632.0,20332.0
63,52784.0,17312.0,27940.0
64,33940.0,4004.0,15696.0
65,24312.0,25172.0,19468.0
66,32148.0,38540.0,30948.0
67,44304.0,38756.0,18868.0
68,51940.0,40268.0,32360.0
69,53708.0,20236.0,21720.0
70,25360.0,19368.0,39900.0
71,32304.0,28316.0,36336.0
72,47312.0,29712.0,37280.0
73,47628.0,31836.0,26996.0
74,55756.0,16112.0,32112.0
75,22476.0,5000.0,20564.0
76,22108.0,10424.0,31548.0
77,35668.0,15068.0,28908.0
78,47272.0,27332.0,21348.0
79,48148.0,24272.0,28616.0
80,34316.0,17780.0,19004.0
81,24312.0,19428.0,27232.0
82,31944.0,28628.0,31592.0
83,41812.0,30564.0,22904.0
84,49468.0,17280.0,33548.0
85,33480.0,23232.0,17108.0
86,33632.0,17768.0,28404.0
87,27788.0,18464.0,33468.0
88,43456.0,30084.0,19220.0
89,45000.0,35088.0,25156.0
90,53624.0,21132.0,14468.0
91,35112.0,9772.0,33608.0
92,25408.0,28832.0,34704.0
93,34832.0,32896.0,30552.0
94,46704.0,32560.0,17652.0
95,48088.0,21788.0,21168.0
96,20088.0,16032.0,18496.0
97,21040.0,27336.0,20356.0
98,30712.0,28196.0,30252.0
99,46916.0,32120.0,17548.0
100,50508.0,18840.0,24416.0
101,31568.0,8508.0,9720.0
102,18428.0,15196.0,20576.0
103,36440.0,27768.0,17936.0
104,48956.0,32872.0,8508.0
105,51708.0,32940.0,22208.0
106,44312.0,28052.0,14360.0
107,26284.0,22688.0,19588.0
108,30952.0,29668.0,25072.0
109,44064.0,30652.0,16316.0
110,49324.0,32384.0,29804.0
111,45644.0,14100.0,33512.0
112,20172.0,17492.0,22700.0
113,14932.0,25848.0,29460.0
114,34624.0,35800.0,33828.0
115,40644.0,35460.0,21592.0
116,50768.0,23344.0,29804.0
117,25500.0,17144.0,20424.0
118,12700.0,21220.0,30016.0
119,36008.0,28288.0,33164.0
120,48428.0,34496.0,17648.0
121,52344.0,20884.0,31256.0
122,38240.0,14596.0,21420.0
123,30848.0,25824.0,23152.0
124,38396.0,34304.0,27768.0
125,44020.0,31856.0,14432.0
126,41616.0,34932.0,36216.0
127,47372.0,23168.0,38140.0
128,39360.0,28988.0,31872.0
129,34924.0,27480.0,43296.0
130,52296.0,33628.0,20628.0
131,50572.0,35464.0,26620.0
132,49904.0,24300.0,38372.0
133,28824.0,24568.0,24232.0
134,25004.0,33872.0,32592.0
135,33104.0,38572.0,33888.0
136,49912.0,41324.0,22756.0
137,51316.0,25144.0,23724.0
138,40768.0,13208.0,18520.0
139,15768.0,16972.0,25076.0
140,36328.0,34276.0,35060.0
141,45392.0,32976.0,20100.0
142,54948.0,17620.0,30448.0
143,29468.0,32612.0,34780.0
144,20032.0,15544.0,25680.0
145,24756.0,26780.0,37860.0
146,41044.0,30508.0,21408.0
147,46284.0,35344.0,27180.0
148,32192.0,23280.0,35108.0
149,18876.0,18036.0,18376.0
150,21620.0,18552.0,28016.0
151,35820.0,23508.0,36908.0
152,40380.0,32296.0,21152.0
153,46624.0,21784.0,31792.0
154,24200.0,13592.0,23120.0
155,19408.0,19176.0,29124.0
156,34412.0,29020.0,36504.0
157,46964.0,31540.0,28780.0
158,49412.0,23392.0,41232.0
159,22048.0,4544.0,22844.0
160,14936.0,15996.0,38976.0
161,28844.0,25368.0,40656.0
162,45336.0,26796.0,19996.0
163,47924.0,19772.0,29108.0
164,37484.0,28540.0,35112.0
165,33056.0,21284.0,31752.0
166,30052.0,27264.0,32484.0
167,33380.0,26772.0,28112.0
168,47988.0,37196.0,29944.0
169,37324.0,21364.0,32628.0
170,37332.0,20244.0,20740.0
171,33456.0,28984.0,24228.0
172,48640.0,29720.0,33824.0
173,44968.0,35824.0,28760.0
174,47548.0,24496.0,30336.0
175,24764.0,18876.0,22940.0
176,30072.0,31944.0,29428.0
177,40972.0,37084.0,34192.0
178,49840.0,37488.0,19300.0
179,55184.0,22768.0,24008.0
180,39952.0,42844.0,17824.0
181,24036.0,21068.0,23816.0
182,40716.0,25116.0,37980.0
183,45884.0,31088.0,22880.0
184,53760.0,35808.0,24536.0
185,39848.0,23932.0,35680.0
186,29824.0,17952.0,21644.0
187,28648.0,36936.0,22140.0
188,45224.0,37864.0,30200.0
189,51672.0,38320.0,27008.0
190,50872.0,33944.0,38276.0
191,31008.0,19500.0,20492.0
192,27944.0,29480.0,22812.0
193,43072.0,33928.0,30036.0
194,41868.0,31224.0,19288.0
195,47192.0,18188.0,32152.0
196,14972.0,10488.0,19156.0
197,15944.0,19428.0,21812.0
198,40752.0,30108.0,28008.0
199,49468.0,35940.0,17392.0
200,51724.0,21348.0,34148.0
201,38956.0,23632.0,21220.0
202,10108.0,19712.0,24324.0
203,27632.0,29028.0,35812.0
204,42348.0,34924.0,19568.0
205,54940.0,38568.0,31792.0
206,43504.0,22808.0,39568.0
207,29076.0,18952.0,19612.0
208,25388.0,24260.0,26480.0
209,32668.0,35440.0,24488.0
210,48544.0,33768.0,23008.0
211,51696.0,22744.0,37440.0
212,21848.0,25008.0,17860.0
213,19860.0,30684.0,25528.0
214,40956.0,30740.0,31484.0
215,45952.0,32368.0,18016.0
216,47196.0,19496.0,34096.0
217,20156.0,8004.0,18552.0
218,19628.0,17648.0,25684.0
219,38644.0,33804.0,35084.0
220,44564.0,30700.0,22704.0
221,47292.0,16736.0,31072.0
222,39640.0,19260.0,35044.0
223,33188.0,23476.0,29940.0
224,42392.0,30284.0,32044.0
225,40572.0,34632.0,32772.0
226,56528.0,36812.0,29312.0
227,49140.0,28980.0,34776.0
228,31760.0,21624.0,21612.0
229,30068.0,34836.0,24096.0
230,44804.0,34588.0,27604.0
231,52596.0,38156.0,26440.0
232,46580.0,25148.0,36196.0
233,22156.0,16212.0,20464.0
234,22292.0,19388.0,35132.0
235,40440.0,29960.0,34588.0
236,55456.0,26780.0,21164.0
237,57380.0,13856.0,26704.0
238,18640.0,23328.0,16616.0
239,24380.0,9896.0,20464.0
240,37764.0,19588.0,32432.0
241,46348.0,24760.0,20620.0
242,52188.0,31188.0,27784.0
243,36964.0,20672.0,36844.0
244,25844.0,9664.0,30608.0
245,36716.0,21956.0,38932.0
246,37100.0,28144.0,34032.0
247,50768.0,33396.0,27432.0
248,52944.0,21496.0,33072.0
249,28416.0,17820.0,21724.0
250,36444.0,31356.0,25904.0
251,50356.0,32632.0,36008.0
252,60624.0,33164.0,26756.0
253,51532.0,22460.0,31748.0
254,18904.0,9152.0,16892.0
255,9724.0,21520.0,19572.0
256,22484.0,30620.0,29096.0
257,35440.0,31960.0,15820.0
258,47440.0,13968.0,29684.0
259,34720.0,19080.0,16308.0
260,21552.0,12492.0,29136.0
261,36968.0,20316.0,31996.0
262,52980.0,29796.0,17272.0
263,57312.0,38176.0,27548.0
264,56908.0,34020.0,33520.0
265,30296.0,17704.0,33352.0
266,28144.0,26116.0,34544.0
267,44772.0,33396.0,37288.0
268,47328.0,35752.0,33752.0
269,47732.0,18968.0,41944.0
270,22076.0,24084.0,17264.0
271,12636.0,38388.0,23048.0
272,32764.0,40228.0,34740.0
273,45804.0,33968.0,16432.0
274,48808.0,14260.0,24300.0
275,18684.0,9168.0,15724.0
276,16408.0,16416.0,35816.0
277,34560.0,23132.0,34392.0
278,40764.0,34580.0,20744.0
279,52380.0,36868.0,33588.0
280,50036.0,32200.0,34368.0
281,13628.0,19704.0,22740.0
282,28408.0,26352.0,34088.0
283,35128.0,38540.0,37020.0
284,42852.0,37292.0,18652.0
285,47968.0,19712.0,32400.0
286,24220.0,20352.0,19548.0
287,29748.0,27476.0,20176.0
288,48576.0,35532.0,29924.0
289,51124.0,35524.0,19888.0
290,48680.0,20884.0,35624.0
291,27476.0,14128.0,19388.0
292,30920.0,32672.0,31428.0
293,45116.0,34684.0,39400.0
294,48692.0,37072.0,20060.0
295,56968.0,23480.0,38500.0
296,41636.0,25052.0,21944.0
297,11412.0,34308.0,34768.0
298,35908.0,34824.0,37020.0
299,54796.0,36560.0,19468.0
300,50328.0,39628.0,21396.0
301,51360.0,35580.0,37728.0
302,10852.0,25532.0,31280.0
303,29040.0,40892.0,41060.0
304,45616.0,36912.0,42056.0
305,62948.0,42216.0,24396.0
306,51752.0,26056.0,29872.0
307,26772.0,13152.0,25676.0
308,24548.0,37836.0,37176.0
309,45980.0,34524.0,41944.0
310,52988.0,33944.0,25580.0
311,59916.0,20076.0,31768.0
312,28204.0,11472.0,24548.0
313,28104.0,19284.0,31344.0
314,44964.0,27672.0,35848.0
315,49772.0,33236.0,21476.0
316,46516.0,35704.0,38592.0
317,44304.0,22876.0,23280.0
318,11704.0,18744.0,28248.0
319,31152.0,30380.0,38264.0
320,49036.0,33000.0,33096.0
321,45676.0,36132.0,35460.0
322,50744.0,24080.0,36444.0
323,23904.0,17144.0,25188.0
324,21656.0,27020.0,38564.0
325,37712.0,34620.0,37584.0
326,46212.0,35972.0,27764.0
327,56968.0,26316.0,38004.0
328,22692.0,25788.0,28636.0
329,23680.0,22516.0,42284.0
330,37476.0,27212.0,39444.0
331,43280.0,24280.0,25144.0
332,45924.0,17088.0,40044.0
333,38528.0,11736.0,21344.0
334,16992.0,25360.0,26224.0
335,28020.0,37088.0,25616.0
336,40452.0,39132.0,16544.0
337,49468.0,38368.0,32796.0
338,51644.0,24580.0,37124.0
339,7148.0,24276.0,27848.0
340,23124.0,32632.0,37252.0
341,37280.0,34856.0,36284.0
342,45816.0,37060.0,18324.0
343,50080.0,24088.0,20148.0
344,21164.0,20164.0,15760.0
345,24536.0,23780.0,24152.0
346,30616.0,27252.0,35104.0
347,51932.0,29752.0,19704.0
348,53392.0,22308.0,24272.0
349,15408.0,8876.0,16004.0
350,18068.0,21776.0,27400.0
351,37236.0,25048.0,33596.0
352,45544.0,35112.0,19380.0
353,52148.0,16972.0,29204.0
354,55920.0,8216.0,24960.0
355,16092.0,30740.0,21468.0
356,39784.0,35776.0,26324.0
357,49768.0,33624.0,30012.0
358,55744.0,38624.0,25824.0
359,54756.0,24092.0,30808.0
360,11140.0,20740.0,27276.0
361,32460.0,37116.0,37848.0
362,37996.0,42012.0,39984.0
363,50248.0,35284.0,19720.0
364,50448.0,22012.0,24536.0
365,15896.0,19792.0,18536.0
366,19832.0,33236.0,31560.0
367,36752.0,34400.0,36056.0
368,52656.0,31656.0,20452.0
369,55224.0,21164.0,27776.0
370,58264.0,21428.0,21144.0
371,16736.0,31352.0,27824.0
372,39420.0,32156.0,32136.0
373,39856.0,36980.0,35004.0
374,38876.0,19304.0,29680.0
375,45648.0,31896.0,15312.0
376,13212.0,23236.0,31892.0
377,33796.0,29752.0,31524.0
378,42344.0,32328.0,38192.0
379,46780.0,29852.0,27916.0
380,47592.0,26696.0,29476.0
381,18236.0,31604.0,18180.0
382,21476.0,38580.0,26556.0
383,41056.0,32512.0,40108.0
