kbinact,node164,node165,node166
0,1617356.0,1311836.0,1491012.0
1,1599440.0,1304548.0,1474892.0
2,1591716.0,1302176.0,1478400.0
3,1578684.0,1305756.0,1475520.0
4,1578680.0,1301592.0,1466368.0
5,1579108.0,1295064.0,1459024.0
6,1556908.0,1284032.0,1430396.0
7,1544464.0,1271228.0,1433364.0
8,1541620.0,1255396.0,1437988.0
9,1527748.0,1258488.0,1406752.0
10,1515508.0,1250392.0,1409636.0
11,1522376.0,1246052.0,1407072.0
12,1487004.0,1229724.0,1399084.0
13,1477356.0,1236624.0,1393032.0
14,1462440.0,1236456.0,1384896.0
15,1472820.0,1234476.0,1372956.0
16,1456288.0,1219500.0,1356192.0
17,1441956.0,1223668.0,1350992.0
18,1428452.0,1217664.0,1356416.0
19,1434308.0,1209544.0,1362920.0
20,1424908.0,1205480.0,1329640.0
21,1418724.0,1199472.0,1313208.0
22,1383788.0,1184768.0,1308900.0
23,1393656.0,1182016.0,1308620.0
24,1379728.0,1188272.0,1293796.0
25,1365708.0,1202176.0,1278880.0
26,1364572.0,1189740.0,1266624.0
27,1340636.0,1167920.0,1265132.0
28,1331004.0,1183848.0,1260212.0
29,1320032.0,1161744.0,1257628.0
30,1308068.0,1175008.0,1241588.0
31,1292744.0,1163556.0,1233236.0
32,1276056.0,1152592.0,1228020.0
33,1266632.0,1144488.0,1220360.0
34,1257820.0,1144924.0,1209344.0
35,1243328.0,1151880.0,1190176.0
36,1238756.0,1147768.0,1179792.0
37,1210268.0,1136876.0,1163052.0
38,1190720.0,1144824.0,1155320.0
39,1179184.0,1152372.0,1162568.0
40,1169012.0,1133156.0,1169484.0
41,1161296.0,1117308.0,1147400.0
42,1151876.0,1105460.0,1154760.0
43,1121200.0,1103244.0,1134812.0
44,1097956.0,1107948.0,1133264.0
45,1084772.0,1099640.0,1117428.0
46,1084592.0,1086724.0,1109900.0
47,1066180.0,1084740.0,1103324.0
48,1061356.0,1085716.0,1099680.0
49,1048140.0,1066924.0,1084652.0
50,1033840.0,1064420.0,1070008.0
51,1046248.0,1073512.0,1059512.0
52,1039420.0,1039784.0,1051124.0
53,1038016.0,1022484.0,1050680.0
54,994896.0,1007652.0,1047184.0
55,992640.0,1004984.0,1052680.0
56,992964.0,1005708.0,1044908.0
57,999288.0,1007028.0,1031900.0
58,995504.0,1000828.0,1043236.0
59,997032.0,1008632.0,1031368.0
60,986076.0,1018020.0,1032824.0
61,992720.0,1020352.0,1036636.0
62,992760.0,1023640.0,1033264.0
63,992548.0,1022372.0,1031944.0
64,993464.0,1008024.0,1031480.0
65,983640.0,1018396.0,1026912.0
66,994412.0,1023432.0,1030332.0
67,1010212.0,1018676.0,1033420.0
68,1003888.0,1018344.0,1032988.0
69,1008012.0,1003948.0,1033676.0
70,989576.0,1015104.0,1041760.0
71,990916.0,1012916.0,1042728.0
72,1000436.0,1016200.0,1039488.0
73,1004500.0,1013520.0,1043684.0
74,1008480.0,1011896.0,1035492.0
75,994036.0,1012208.0,1034052.0
76,995496.0,1018532.0,1044480.0
77,999312.0,1022900.0,1027488.0
78,1015296.0,1025684.0,1030864.0
79,1008200.0,1026944.0,1032316.0
80,992184.0,1032904.0,1033324.0
81,994116.0,1022028.0,1045736.0
82,986992.0,1025664.0,1042572.0
83,1002608.0,1027356.0,1044768.0
84,998920.0,1032976.0,1038680.0
85,1000376.0,1020240.0,1048268.0
86,1008760.0,1016864.0,1050088.0
87,1006740.0,1016448.0,1050800.0
88,1013984.0,1020904.0,1035580.0
89,1019872.0,1022204.0,1035388.0
90,1011444.0,1010460.0,1041860.0
91,1000504.0,1015356.0,1041844.0
92,1009604.0,1023740.0,1048132.0
93,1008828.0,1023660.0,1033732.0
94,992204.0,1033756.0,1030516.0
95,1003716.0,1032000.0,1038108.0
96,993232.0,1026072.0,1034812.0
97,998152.0,1027356.0,1028700.0
98,992960.0,1024400.0,1037872.0
99,998272.0,1024616.0,1034008.0
100,1014764.0,1031168.0,1037088.0
101,1014156.0,1017076.0,1030044.0
102,1006960.0,1018632.0,1027340.0
103,1002912.0,1031180.0,1031344.0
104,1012532.0,1034620.0,1028244.0
105,1006024.0,1028876.0,1036644.0
106,1012212.0,1033552.0,1038356.0
107,1006840.0,1026068.0,1028508.0
108,1009660.0,1019132.0,1036472.0
