kbmemused,node164,node165,node166
0,3923468.0,3541736.0,3824728.0
1,3914220.0,3543304.0,3823308.0
2,3916084.0,3548744.0,3854572.0
3,3946344.0,3544620.0,3860620.0
4,3917732.0,3558288.0,3865984.0
5,3922852.0,3504680.0,3816776.0
6,3896084.0,3505848.0,3783452.0
7,3900124.0,3502100.0,3799572.0
8,3897456.0,3517300.0,3802260.0
9,3941580.0,3529040.0,3800120.0
10,3943432.0,3524248.0,3835052.0
11,3942920.0,3553392.0,3846840.0
12,3931812.0,3541460.0,3835884.0
13,3928872.0,3557872.0,3856292.0
14,3903772.0,3561468.0,3856588.0
15,3925576.0,3534772.0,3799372.0
16,3923372.0,3509120.0,3794200.0
17,3899384.0,3509316.0,3808316.0
18,3901876.0,3521828.0,3833008.0
19,3930816.0,3510484.0,3818952.0
20,3951276.0,3541948.0,3837840.0
21,3976664.0,3544820.0,3828652.0
22,3928828.0,3571808.0,3839940.0
23,3959108.0,3555884.0,3856172.0
24,3909380.0,3572972.0,3878204.0
25,3915864.0,3537712.0,3804336.0
26,3933604.0,3539076.0,3803220.0
27,3914944.0,3516032.0,3795640.0
28,3894052.0,3531096.0,3803984.0
29,3931360.0,3546996.0,3809948.0
30,3940932.0,3563828.0,3838912.0
31,3932984.0,3570972.0,3876384.0
32,3964976.0,3552268.0,3872664.0
33,3946172.0,3552080.0,3891564.0
34,3947804.0,3558356.0,3885644.0
35,3944068.0,3583368.0,3890308.0
36,3956940.0,3573872.0,3876048.0
37,3949308.0,3578252.0,3881472.0
38,3963408.0,3584632.0,3870296.0
39,3945180.0,3583792.0,3886384.0
40,3948220.0,3585216.0,3920360.0
41,3952900.0,3573376.0,3884788.0
42,3951728.0,3585112.0,3905136.0
43,3972464.0,3569248.0,3880468.0
44,3937500.0,3598304.0,3894920.0
45,3948356.0,3579996.0,3881016.0
46,3944084.0,3574160.0,3889816.0
47,3950772.0,3570680.0,3905748.0
48,3951712.0,3574896.0,3911828.0
49,3961008.0,3582604.0,3884480.0
50,3940476.0,3571868.0,3888820.0
51,3965100.0,3601136.0,3887536.0
52,3958912.0,3574628.0,3885360.0
53,3969576.0,3565232.0,3908220.0
54,3975776.0,3558008.0,3896852.0
55,3973800.0,3571796.0,3930936.0
56,3969988.0,3567292.0,3905296.0
57,3966996.0,3574660.0,3893908.0
58,3971036.0,3577208.0,3897756.0
59,3966356.0,3579736.0,3895728.0
60,3977460.0,3590324.0,3889492.0
61,3964476.0,3578696.0,3907456.0
62,3959800.0,3596012.0,3904336.0
63,3972256.0,3584388.0,3901100.0
64,3958500.0,3578972.0,3885192.0
65,3968680.0,3587752.0,3880604.0
66,3972904.0,3605296.0,3896720.0
67,3980532.0,3586932.0,3888300.0
68,3961868.0,3588064.0,3908292.0
69,3977484.0,3565392.0,3912320.0
70,3953548.0,3585380.0,3923048.0
71,3978976.0,3580112.0,3907736.0
72,3975036.0,3593308.0,3910668.0
73,3977020.0,3606784.0,3907324.0
74,3992888.0,3585340.0,3903976.0
75,3976120.0,3592400.0,3915160.0
76,3991924.0,3588308.0,3917828.0
77,4000096.0,3601024.0,3913064.0
78,4013592.0,3594720.0,3898580.0
79,3991948.0,3601692.0,3905736.0
80,3985248.0,3613324.0,3897732.0
81,3978956.0,3597724.0,3918532.0
82,3979740.0,3594964.0,3908956.0
83,4016280.0,3596188.0,3926764.0
84,3987316.0,3615716.0,3920372.0
85,3997068.0,3592696.0,3925640.0
86,3993072.0,3610452.0,3919140.0
87,3996092.0,3602264.0,3921536.0
88,4011124.0,3603448.0,3917388.0
89,4023580.0,3594176.0,3902256.0
90,3992416.0,3589920.0,3920588.0
91,3984128.0,3588376.0,3921980.0
92,4006608.0,3602344.0,3928680.0
93,3995816.0,3607512.0,3901564.0
94,4003684.0,3619388.0,3904928.0
95,3990872.0,3623896.0,3906596.0
96,3980440.0,3597596.0,3909324.0
97,3975008.0,3612028.0,3899800.0
98,3977332.0,3598104.0,3921512.0
99,3984836.0,3604372.0,3922780.0
100,4013236.0,3604472.0,3908792.0
101,4012796.0,3613508.0,3911560.0
102,3985396.0,3601400.0,3897824.0
103,3997372.0,3610728.0,3915008.0
104,3991696.0,3607900.0,3902132.0
105,4005356.0,3600768.0,3922616.0
106,4011596.0,3618024.0,3926052.0
107,4006764.0,3608292.0,3915068.0
108,3993452.0,3626872.0,3905484.0
109,4002632.0,3618456.0,3913432.0
110,4015440.0,3629940.0,3904296.0
111,4002708.0,3616204.0,3916692.0
112,4002608.0,3624160.0,3919692.0
113,3980884.0,3620148.0,3908892.0
114,3997084.0,3624960.0,3943528.0
115,3984144.0,3628644.0,3932004.0
116,3989340.0,3630848.0,3941024.0
117,3999032.0,3638144.0,3924000.0
118,3988528.0,3620432.0,3938072.0
119,3982628.0,3637092.0,3919772.0
120,3979736.0,3644424.0,3935864.0
121,4000872.0,3634344.0,3946296.0
122,4013960.0,3625064.0,3937268.0
123,3999532.0,3635372.0,3940128.0
124,3982676.0,3614180.0,3920584.0
125,3995444.0,3622760.0,3926972.0
126,3989968.0,3635596.0,3918876.0
127,3997104.0,3616792.0,3931804.0
128,4030200.0,3633232.0,3938300.0
129,4028224.0,3633808.0,3948976.0
130,4005764.0,3629328.0,3931672.0
131,4012284.0,3619532.0,3934340.0
132,4001996.0,3631792.0,3927004.0
133,3996112.0,3620492.0,3919932.0
134,4034028.0,3621256.0,3921304.0
135,4006812.0,3617680.0,3948976.0
136,4017780.0,3617652.0,3929128.0
137,4016592.0,3641944.0,3916660.0
138,4007816.0,3618964.0,3937864.0
139,3997692.0,3624792.0,3927352.0
140,4028732.0,3623936.0,3951096.0
141,4005924.0,3641264.0,3921376.0
142,3993788.0,3634084.0,3944836.0
143,4006884.0,3643676.0,3940060.0
144,3994356.0,3648904.0,3939184.0
145,4013572.0,3647152.0,3929776.0
146,4016484.0,3639756.0,3943656.0
147,4019408.0,3632540.0,3933040.0
148,4010820.0,3631284.0,3939128.0
149,4005736.0,3624956.0,3928692.0
150,4008660.0,3638532.0,3933552.0
151,4033268.0,3632472.0,3963400.0
152,4029540.0,3645764.0,3929916.0
153,4015188.0,3626068.0,3940120.0
154,4009096.0,3627172.0,3932760.0
155,3993816.0,3623112.0,3942928.0
156,4025020.0,3628936.0,3943772.0
157,4025988.0,3624312.0,3943132.0
158,4020624.0,3629388.0,3951040.0
159,4025480.0,3638980.0,3954644.0
160,4021104.0,3633000.0,3952248.0
161,4021596.0,3645284.0,3949224.0
162,4044504.0,3640036.0,3954520.0
163,4031908.0,3650468.0,3928404.0
164,4001836.0,3627336.0,3945192.0
165,4021688.0,3641080.0,3960804.0
166,4001576.0,3638292.0,3965412.0
167,4021552.0,3640232.0,3941420.0
168,4003276.0,3641932.0,3938548.0
169,4009536.0,3632676.0,3945264.0
170,3990644.0,3614416.0,3938300.0
171,3997544.0,3609656.0,3955072.0
172,4020464.0,3641948.0,3944320.0
173,4030996.0,3628296.0,3967076.0
174,4026012.0,3630408.0,3962664.0
175,4001108.0,3617360.0,3959820.0
176,4005012.0,3636116.0,3939668.0
177,3970976.0,3638256.0,3954332.0
178,4013668.0,3603616.0,3942960.0
179,4029464.0,3639552.0,3929660.0
180,4002520.0,3658936.0,3920576.0
181,3995256.0,3632296.0,3917852.0
182,4001680.0,3625108.0,3944560.0
183,3973200.0,3590036.0,3948188.0
184,3983124.0,3590388.0,3899824.0
185,4013924.0,3582864.0,3887432.0
186,3967120.0,3591068.0,3883896.0
187,3993864.0,3619352.0,3878324.0
188,3998952.0,3592296.0,3929220.0
189,4011040.0,3613880.0,3928092.0
190,4013088.0,3613456.0,3937260.0
191,4022344.0,3624164.0,3942796.0
192,3978104.0,3619244.0,3954824.0
193,3972368.0,3640340.0,3886044.0
194,3974820.0,3618468.0,3889320.0
195,3976392.0,3609216.0,3906928.0
196,3999376.0,3604044.0,3885892.0
197,3993788.0,3589824.0,3901504.0
198,4014040.0,3606600.0,3921352.0
199,4008828.0,3615520.0,3931600.0
200,3997680.0,3650896.0,3913104.0
201,4017888.0,3638632.0,3946416.0
202,3969744.0,3650812.0,3943940.0
203,3968904.0,3642492.0,3921884.0
204,3967680.0,3600396.0,3912888.0
205,3975692.0,3589540.0,3913344.0
206,3972368.0,3605632.0,3915592.0
207,4017392.0,3616408.0,3895864.0
208,3999132.0,3615768.0,3929956.0
209,3999556.0,3646144.0,3924312.0
210,4015192.0,3639968.0,3962572.0
211,4025428.0,3639528.0,3972416.0
212,3990036.0,3633220.0,3984936.0
213,4000672.0,3649104.0,3915088.0
214,3992448.0,3615768.0,3921796.0
215,3989576.0,3622552.0,3915444.0
216,3988584.0,3618188.0,3932848.0
217,4012984.0,3613532.0,3926552.0
218,4026816.0,3608860.0,3954296.0
219,4046644.0,3626168.0,3977008.0
220,4010236.0,3656208.0,3960368.0
221,4029912.0,3646244.0,3984128.0
222,3978548.0,3634964.0,3986280.0
223,3982288.0,3657336.0,3934284.0
224,3995308.0,3628580.0,3944584.0
225,3992844.0,3614832.0,3949664.0
226,3984536.0,3615652.0,3920484.0
227,4013420.0,3604616.0,3931916.0
228,4027740.0,3617128.0,3952428.0
229,4033940.0,3642964.0,3965260.0
230,4053364.0,3668788.0,3957752.0
231,4036028.0,3677492.0,3977744.0
232,4005896.0,3668564.0,3993344.0
233,3987900.0,3687796.0,3916424.0
234,4004304.0,3632296.0,3932764.0
235,4018344.0,3650096.0,3925096.0
236,4035080.0,3630644.0,3920248.0
237,4041680.0,3640212.0,3908684.0
238,4045992.0,3622944.0,3960016.0
239,4050204.0,3620228.0,3966916.0
240,4042068.0,3653504.0,3964600.0
241,4078248.0,3647564.0,3978904.0
242,4013940.0,3666252.0,3988628.0
243,4017456.0,3656548.0,3945244.0
244,3989000.0,3622592.0,3932824.0
245,3998660.0,3623056.0,3944080.0
246,4004140.0,3632548.0,3946760.0
247,4041464.0,3622476.0,3961972.0
248,4038096.0,3620804.0,3967168.0
249,4020972.0,3632912.0,3965188.0
250,4030128.0,3668320.0,3961924.0
251,4031724.0,3678088.0,3999376.0
252,4013892.0,3663596.0,4004592.0
253,4028976.0,3688396.0,3953108.0
254,4016780.0,3630068.0,3943808.0
255,3981804.0,3635120.0,3946932.0
256,3988392.0,3627124.0,3960924.0
257,4040364.0,3631736.0,3944256.0
258,4051452.0,3617244.0,3981448.0
259,4055884.0,3661300.0,3974444.0
260,4034756.0,3661388.0,3983180.0
261,4051816.0,3663564.0,3999804.0
262,4013732.0,3674664.0,4011288.0
263,4022336.0,3684432.0,3939768.0
264,4048440.0,3646968.0,3941616.0
265,4018516.0,3625012.0,3932280.0
266,4015144.0,3660400.0,3941084.0
267,4055960.0,3642320.0,3959200.0
268,4079032.0,3646872.0,3979632.0
269,4061712.0,3642772.0,3996064.0
270,4046680.0,3676708.0,3967328.0
271,4037060.0,3685452.0,3993480.0
272,4004944.0,3680308.0,4002828.0
273,4000500.0,3684404.0,3948964.0
274,4012680.0,3650216.0,3944744.0
275,4028948.0,3639248.0,3958028.0
276,4007832.0,3622296.0,3956876.0
277,4039028.0,3645388.0,3961264.0
278,4048000.0,3640064.0,3987888.0
279,4059208.0,3668556.0,3969320.0
280,4042316.0,3676476.0,3988632.0
281,4069988.0,3700424.0,3993956.0
282,4015964.0,3693588.0,4013996.0
283,4016492.0,3706756.0,3951972.0
284,4016848.0,3656228.0,3967744.0
285,4019292.0,3653460.0,3953160.0
286,4020164.0,3656824.0,3950088.0
287,4065784.0,3660312.0,3953472.0
288,4065592.0,3666136.0,3982428.0
289,4041776.0,3662992.0,3974248.0
290,4054044.0,3678320.0,3982668.0
291,4048828.0,3670516.0,4023596.0
292,4039448.0,3694284.0,4005132.0
293,4014648.0,3684016.0,3961472.0
294,4025916.0,3650112.0,3938200.0
295,4018424.0,3663852.0,3955672.0
296,4025128.0,3662668.0,3945988.0
297,4037668.0,3651100.0,3949608.0
298,4067104.0,3635748.0,3990160.0
299,4081516.0,3666296.0,4001396.0
300,4057736.0,3669292.0,3992800.0
301,4071500.0,3695328.0,4004120.0
302,4006292.0,3684540.0,4026908.0
303,4020956.0,3702624.0,3963528.0
304,4026548.0,3651444.0,3976888.0
305,4015652.0,3667072.0,3967124.0
306,4003548.0,3654256.0,3992216.0
307,4040320.0,3655916.0,3969928.0
308,4053632.0,3657520.0,3980688.0
309,4062612.0,3672092.0,3980868.0
310,4070900.0,3713596.0,3985928.0
311,4058816.0,3693648.0,4012272.0
312,4042948.0,3679032.0,4009264.0
313,4014580.0,3673136.0,3970628.0
314,4042396.0,3647740.0,3956156.0
315,4048480.0,3642656.0,3968168.0
316,4027852.0,3650896.0,3962464.0
317,4057452.0,3652068.0,3980516.0
318,4053904.0,3651144.0,3987812.0
319,4062176.0,3666196.0,4011344.0
320,4073076.0,3674004.0,4027756.0
321,4089388.0,3689648.0,4037536.0
322,4031824.0,3676816.0,4051892.0
323,4025240.0,3700228.0,3972468.0
324,4026328.0,3660716.0,3975252.0
325,4051408.0,3682048.0,3963008.0
326,4055412.0,3658828.0,3971620.0
327,4077748.0,3655484.0,3970332.0
328,4053588.0,3647772.0,4018148.0
329,4053708.0,3675924.0,4017360.0
330,4080780.0,3693720.0,4027780.0
331,4083656.0,3694968.0,4028612.0
332,4047276.0,3711756.0,4046752.0
333,4025408.0,3707220.0,3978720.0
334,4030172.0,3664744.0,3973516.0
335,4020280.0,3653684.0,4006392.0
336,4043048.0,3661664.0,3998812.0
337,4085888.0,3653688.0,3983776.0
338,4077600.0,3656424.0,4014112.0
339,4076028.0,3681988.0,4025476.0
340,4058764.0,3701180.0,4024764.0
341,4072072.0,3703848.0,4040976.0
342,4044348.0,3708628.0,4045276.0
343,4050840.0,3711172.0,3992800.0
344,4012496.0,3671828.0,3978996.0
345,4026520.0,3690560.0,3981176.0
346,4029852.0,3680460.0,4000572.0
347,4071136.0,3697392.0,3979240.0
348,4096252.0,3657828.0,4025644.0
349,4068880.0,3678332.0,4016316.0
350,4082760.0,3697660.0,4039616.0
351,4088592.0,3705320.0,4040248.0
352,4055984.0,3707672.0,4051400.0
353,4047568.0,3719280.0,3982356.0
354,4079208.0,3692152.0,3985704.0
355,4043464.0,3684200.0,3976776.0
356,4064972.0,3691732.0,3986504.0
357,4095356.0,3677804.0,3977020.0
358,4109536.0,3694176.0,4016440.0
359,4121144.0,3693492.0,4038360.0
360,4097024.0,3731668.0,4018692.0
361,4103364.0,3741592.0,4052372.0
362,4048172.0,3756820.0,4050528.0
363,4056452.0,3734612.0,4004496.0
364,4057760.0,3671036.0,3986472.0
365,4097264.0,3692952.0,3998832.0
366,4058160.0,3687988.0,3992712.0
367,4086156.0,3699956.0,3998168.0
368,4098728.0,3686212.0,4016212.0
369,4088596.0,3713120.0,4028776.0
370,4126736.0,3729604.0,4043124.0
371,4094916.0,3737808.0,4045480.0
372,4058672.0,3737540.0,4067764.0
373,4051740.0,3745928.0,4008216.0
374,4059416.0,3698804.0,4011348.0
375,4054352.0,3692240.0,3997076.0
376,4074456.0,3706748.0,4010444.0
377,4100960.0,3692756.0,4002704.0
378,4104816.0,3702296.0,4027624.0
379,4115116.0,3707200.0,4026556.0
380,4092144.0,3745568.0,4033140.0
381,4121552.0,3738520.0,4045824.0
382,4064572.0,3736340.0,4054048.0
383,4079892.0,3743368.0,4012388.0
384,4062872.0,3702120.0,3993164.0
385,4070712.0,3710744.0,4013708.0
386,4067976.0,3689344.0,4000744.0
387,4101708.0,3706792.0,4024544.0
388,4087512.0,3701940.0,4054284.0
389,4083700.0,3726912.0,4054992.0
390,4101892.0,3728044.0,4044168.0
391,4102252.0,3754060.0,4069736.0
