kbmenfree,node164,node165,node166
0,12340020.0,12721752.0,12438760.0
1,12349268.0,12720184.0,12440180.0
2,12347404.0,12714744.0,12408916.0
3,12317144.0,12718868.0,12402868.0
4,12345756.0,12705200.0,12397504.0
5,12340636.0,12758808.0,12446712.0
6,12367404.0,12757640.0,12480036.0
7,12363364.0,12761388.0,12463916.0
8,12366032.0,12746188.0,12461228.0
9,12321908.0,12734448.0,12463368.0
10,12320056.0,12739240.0,12428436.0
11,12320568.0,12710096.0,12416648.0
12,12331676.0,12722028.0,12427604.0
13,12334616.0,12705616.0,12407196.0
14,12359716.0,12702020.0,12406900.0
15,12337912.0,12728716.0,12464116.0
16,12340116.0,12754368.0,12469288.0
17,12364104.0,12754172.0,12455172.0
18,12361612.0,12741660.0,12430480.0
19,12332672.0,12753004.0,12444536.0
20,12312212.0,12721540.0,12425648.0
21,12286824.0,12718668.0,12434836.0
22,12334660.0,12691680.0,12423548.0
23,12304380.0,12707604.0,12407316.0
24,12354108.0,12690516.0,12385284.0
25,12347624.0,12725776.0,12459152.0
26,12329884.0,12724412.0,12460268.0
27,12348544.0,12747456.0,12467848.0
28,12369436.0,12732392.0,12459504.0
29,12332128.0,12716492.0,12453540.0
30,12322556.0,12699660.0,12424576.0
31,12330504.0,12692516.0,12387104.0
32,12298512.0,12711220.0,12390824.0
33,12317316.0,12711408.0,12371924.0
34,12315684.0,12705132.0,12377844.0
35,12319420.0,12680120.0,12373180.0
36,12306548.0,12689616.0,12387440.0
37,12314180.0,12685236.0,12382016.0
38,12300080.0,12678856.0,12393192.0
39,12318308.0,12679696.0,12377104.0
40,12315268.0,12678272.0,12343128.0
41,12310588.0,12690112.0,12378700.0
42,12311760.0,12678376.0,12358352.0
43,12291024.0,12694240.0,12383020.0
44,12325988.0,12665184.0,12368568.0
45,12315132.0,12683492.0,12382472.0
46,12319404.0,12689328.0,12373672.0
47,12312716.0,12692808.0,12357740.0
48,12311776.0,12688592.0,12351660.0
49,12302480.0,12680884.0,12379008.0
50,12323012.0,12691620.0,12374668.0
51,12298388.0,12662352.0,12375952.0
52,12304576.0,12688860.0,12378128.0
53,12293912.0,12698256.0,12355268.0
54,12287712.0,12705480.0,12366636.0
55,12289688.0,12691692.0,12332552.0
56,12293500.0,12696196.0,12358192.0
57,12296492.0,12688828.0,12369580.0
58,12292452.0,12686280.0,12365732.0
59,12297132.0,12683752.0,12367760.0
60,12286028.0,12673164.0,12373996.0
61,12299012.0,12684792.0,12356032.0
62,12303688.0,12667476.0,12359152.0
63,12291232.0,12679100.0,12362388.0
64,12304988.0,12684516.0,12378296.0
65,12294808.0,12675736.0,12382884.0
66,12290584.0,12658192.0,12366768.0
67,12282956.0,12676556.0,12375188.0
68,12301620.0,12675424.0,12355196.0
69,12286004.0,12698096.0,12351168.0
70,12309940.0,12678108.0,12340440.0
71,12284512.0,12683376.0,12355752.0
72,12288452.0,12670180.0,12352820.0
73,12286468.0,12656704.0,12356164.0
74,12270600.0,12678148.0,12359512.0
75,12287368.0,12671088.0,12348328.0
76,12271564.0,12675180.0,12345660.0
77,12263392.0,12662464.0,12350424.0
78,12249896.0,12668768.0,12364908.0
79,12271540.0,12661796.0,12357752.0
80,12278240.0,12650164.0,12365756.0
81,12284532.0,12665764.0,12344956.0
82,12283748.0,12668524.0,12354532.0
83,12247208.0,12667300.0,12336724.0
84,12276172.0,12647772.0,12343116.0
85,12266420.0,12670792.0,12337848.0
86,12270416.0,12653036.0,12344348.0
87,12267396.0,12661224.0,12341952.0
88,12252364.0,12660040.0,12346100.0
89,12239908.0,12669312.0,12361232.0
90,12271072.0,12673568.0,12342900.0
91,12279360.0,12675112.0,12341508.0
92,12256880.0,12661144.0,12334808.0
93,12267672.0,12655976.0,12361924.0
94,12259804.0,12644100.0,12358560.0
95,12272616.0,12639592.0,12356892.0
96,12283048.0,12665892.0,12354164.0
97,12288480.0,12651460.0,12363688.0
98,12286156.0,12665384.0,12341976.0
99,12278652.0,12659116.0,12340708.0
100,12250252.0,12659016.0,12354696.0
101,12250692.0,12649980.0,12351928.0
102,12278092.0,12662088.0,12365664.0
103,12266116.0,12652760.0,12348480.0
104,12271792.0,12655588.0,12361356.0
105,12258132.0,12662720.0,12340872.0
106,12251892.0,12645464.0,12337436.0
107,12256724.0,12655196.0,12348420.0
108,12270036.0,12636616.0,12358004.0
109,12260856.0,12645032.0,12350056.0
110,12248048.0,12633548.0,12359192.0
111,12260780.0,12647284.0,12346796.0
112,12260880.0,12639328.0,12343796.0
113,12282604.0,12643340.0,12354596.0
114,12266404.0,12638528.0,12319960.0
115,12279344.0,12634844.0,12331484.0
116,12274148.0,12632640.0,12322464.0
117,12264456.0,12625344.0,12339488.0
118,12274960.0,12643056.0,12325416.0
119,12280860.0,12626396.0,12343716.0
120,12283752.0,12619064.0,12327624.0
121,12262616.0,12629144.0,12317192.0
122,12249528.0,12638424.0,12326220.0
123,12263956.0,12628116.0,12323360.0
124,12280812.0,12649308.0,12342904.0
125,12268044.0,12640728.0,12336516.0
126,12273520.0,12627892.0,12344612.0
127,12266384.0,12646696.0,12331684.0
128,12233288.0,12630256.0,12325188.0
129,12235264.0,12629680.0,12314512.0
130,12257724.0,12634160.0,12331816.0
131,12251204.0,12643956.0,12329148.0
132,12261492.0,12631696.0,12336484.0
133,12267376.0,12642996.0,12343556.0
134,12229460.0,12642232.0,12342184.0
135,12256676.0,12645808.0,12314512.0
136,12245708.0,12645836.0,12334360.0
137,12246896.0,12621544.0,12346828.0
138,12255672.0,12644524.0,12325624.0
139,12265796.0,12638696.0,12336136.0
140,12234756.0,12639552.0,12312392.0
141,12257564.0,12622224.0,12342112.0
142,12269700.0,12629404.0,12318652.0
143,12256604.0,12619812.0,12323428.0
144,12269132.0,12614584.0,12324304.0
145,12249916.0,12616336.0,12333712.0
146,12247004.0,12623732.0,12319832.0
147,12244080.0,12630948.0,12330448.0
148,12252668.0,12632204.0,12324360.0
149,12257752.0,12638532.0,12334796.0
150,12254828.0,12624956.0,12329936.0
151,12230220.0,12631016.0,12300088.0
152,12233948.0,12617724.0,12333572.0
153,12248300.0,12637420.0,12323368.0
154,12254392.0,12636316.0,12330728.0
155,12269672.0,12640376.0,12320560.0
156,12238468.0,12634552.0,12319716.0
157,12237500.0,12639176.0,12320356.0
158,12242864.0,12634100.0,12312448.0
159,12238008.0,12624508.0,12308844.0
160,12242384.0,12630488.0,12311240.0
161,12241892.0,12618204.0,12314264.0
162,12218984.0,12623452.0,12308968.0
163,12231580.0,12613020.0,12335084.0
164,12261652.0,12636152.0,12318296.0
165,12241800.0,12622408.0,12302684.0
166,12261912.0,12625196.0,12298076.0
167,12241936.0,12623256.0,12322068.0
168,12260212.0,12621556.0,12324940.0
169,12253952.0,12630812.0,12318224.0
170,12272844.0,12649072.0,12325188.0
171,12265944.0,12653832.0,12308416.0
172,12243024.0,12621540.0,12319168.0
173,12232492.0,12635192.0,12296412.0
174,12237476.0,12633080.0,12300824.0
175,12262380.0,12646128.0,12303668.0
176,12258476.0,12627372.0,12323820.0
177,12292512.0,12625232.0,12309156.0
178,12249820.0,12659872.0,12320528.0
179,12234024.0,12623936.0,12333828.0
180,12260968.0,12604552.0,12342912.0
181,12268232.0,12631192.0,12345636.0
182,12261808.0,12638380.0,12318928.0
183,12290288.0,12673452.0,12315300.0
184,12280364.0,12673100.0,12363664.0
185,12249564.0,12680624.0,12376056.0
186,12296368.0,12672420.0,12379592.0
187,12269624.0,12644136.0,12385164.0
188,12264536.0,12671192.0,12334268.0
189,12252448.0,12649608.0,12335396.0
190,12250400.0,12650032.0,12326228.0
191,12241144.0,12639324.0,12320692.0
192,12285384.0,12644244.0,12308664.0
193,12291120.0,12623148.0,12377444.0
194,12288668.0,12645020.0,12374168.0
195,12287096.0,12654272.0,12356560.0
196,12264112.0,12659444.0,12377596.0
197,12269700.0,12673664.0,12361984.0
198,12249448.0,12656888.0,12342136.0
199,12254660.0,12647968.0,12331888.0
200,12265808.0,12612592.0,12350384.0
201,12245600.0,12624856.0,12317072.0
202,12293744.0,12612676.0,12319548.0
203,12294584.0,12620996.0,12341604.0
204,12295808.0,12663092.0,12350600.0
205,12287796.0,12673948.0,12350144.0
206,12291120.0,12657856.0,12347896.0
207,12246096.0,12647080.0,12367624.0
208,12264356.0,12647720.0,12333532.0
209,12263932.0,12617344.0,12339176.0
210,12248296.0,12623520.0,12300916.0
211,12238060.0,12623960.0,12291072.0
212,12273452.0,12630268.0,12278552.0
213,12262816.0,12614384.0,12348400.0
214,12271040.0,12647720.0,12341692.0
215,12273912.0,12640936.0,12348044.0
216,12274904.0,12645300.0,12330640.0
217,12250504.0,12649956.0,12336936.0
218,12236672.0,12654628.0,12309192.0
219,12216844.0,12637320.0,12286480.0
220,12253252.0,12607280.0,12303120.0
221,12233576.0,12617244.0,12279360.0
222,12284940.0,12628524.0,12277208.0
223,12281200.0,12606152.0,12329204.0
224,12268180.0,12634908.0,12318904.0
225,12270644.0,12648656.0,12313824.0
226,12278952.0,12647836.0,12343004.0
227,12250068.0,12658872.0,12331572.0
228,12235748.0,12646360.0,12311060.0
229,12229548.0,12620524.0,12298228.0
230,12210124.0,12594700.0,12305736.0
231,12227460.0,12585996.0,12285744.0
232,12257592.0,12594924.0,12270144.0
233,12275588.0,12575692.0,12347064.0
234,12259184.0,12631192.0,12330724.0
235,12245144.0,12613392.0,12338392.0
236,12228408.0,12632844.0,12343240.0
237,12221808.0,12623276.0,12354804.0
238,12217496.0,12640544.0,12303472.0
239,12213284.0,12643260.0,12296572.0
240,12221420.0,12609984.0,12298888.0
241,12185240.0,12615924.0,12284584.0
242,12249548.0,12597236.0,12274860.0
243,12246032.0,12606940.0,12318244.0
244,12274488.0,12640896.0,12330664.0
245,12264828.0,12640432.0,12319408.0
246,12259348.0,12630940.0,12316728.0
