%memused,node164,node165,node166
0,24.12,21.78,23.52
1,24.07,21.79,23.51
2,24.08,21.82,23.7
3,24.27,21.79,23.74
4,24.09,21.88,23.77
5,24.12,21.55,23.47
6,23.96,21.56,23.26
7,23.98,21.53,23.36
8,23.96,21.63,23.38
9,24.24,21.7,23.37
10,24.25,21.67,23.58
11,24.24,21.85,23.65
12,24.18,21.78,23.59
13,24.16,21.88,23.71
14,24.0,21.9,23.71
15,24.14,21.73,23.36
16,24.12,21.58,23.33
17,23.98,21.58,23.42
18,23.99,21.65,23.57
19,24.17,21.59,23.48
20,24.3,21.78,23.6
21,24.45,21.8,23.54
22,24.16,21.96,23.61
23,24.34,21.86,23.71
24,24.04,21.97,23.85
25,24.08,21.75,23.39
26,24.19,21.76,23.39
27,24.07,21.62,23.34
28,23.94,21.71,23.39
29,24.17,21.81,23.43
30,24.23,21.91,23.6
31,24.18,21.96,23.83
32,24.38,21.84,23.81
33,24.26,21.84,23.93
34,24.27,21.88,23.89
35,24.25,22.03,23.92
36,24.33,21.97,23.83
37,24.28,22.0,23.87
38,24.37,22.04,23.8
39,24.26,22.04,23.9
40,24.28,22.04,24.11
41,24.31,21.97,23.89
42,24.3,22.04,24.01
43,24.43,21.95,23.86
44,24.21,22.13,23.95
45,24.28,22.01,23.86
46,24.25,21.98,23.92
47,24.29,21.96,24.02
48,24.3,21.98,24.05
49,24.36,22.03,23.88
50,24.23,21.96,23.91
51,24.38,22.14,23.9
52,24.34,21.98,23.89
53,24.41,21.92,24.03
54,24.45,21.88,23.96
55,24.43,21.96,24.17
56,24.41,21.93,24.01
57,24.39,21.98,23.94
58,24.42,22.0,23.97
59,24.39,22.01,23.95
60,24.46,22.08,23.92
61,24.38,22.0,24.03
62,24.35,22.11,24.01
63,24.42,22.04,23.99
64,24.34,22.01,23.89
65,24.4,22.06,23.86
66,24.43,22.17,23.96
67,24.48,22.06,23.91
68,24.36,22.06,24.03
69,24.46,21.92,24.06
