rxkB/s,node164,node165,node166
0,30983.5,15385.2,14638.9
1,13259.7,18677.0,29171.9
2,22148.0,12896.5,16087.7
3,21036.0,9191.7,13619.0
4,25594.8,10503.0,27092.8
5,22894.4,12091.0,23200.5
6,18279.9,13477.5,13870.7
7,24085.3,12182.7,7729.09
8,20184.8,27011.7,21895.9
9,15098.7,14515.0,23467.5
10,21968.2,11672.2,24884.3
11,27279.1,11101.8,21463.2
12,20001.9,21171.6,16344.2
13,21689.6,14636.2,10806.9
14,20658.1,19729.2,9572.92
15,22689.8,9396.15,18881.2
16,19217.5,17384.7,15119.7
17,17747.8,12267.9,12425.9
18,13742.7,13922.8,21561.5
19,21823.8,18183.8,9965.72
20,25258.9,8215.82,19380.1
21,24137.5,17114.5,16227.3
22,26391.3,24913.0,10181.2
23,19452.7,11940.9,22044.4
24,20188.9,15858.9,14888.4
25,26011.3,16003.9,13040.5
26,26052.3,16567.0,14655.9
27,11591.6,22263.1,11660.7
28,12110.2,7693.08,20400.2
29,18854.7,21867.3,22343.2
30,23721.8,21686.7,18938.3
31,20568.2,20631.6,24164.2
32,19711.3,15298.2,24970.5
33,22446.9,20174.5,14697.1
34,15944.9,12638.3,14340.0
35,19185.1,19805.3,35839.2
36,23508.0,21225.4,7558.49
37,22387.7,14225.1,16578.0
38,22409.8,22660.3,9017.54
39,20415.1,15933.6,18542.2
40,19402.9,17315.2,16042.7
41,11469.1,21948.3,27377.0
42,29599.0,26142.9,15928.6
43,19581.8,19344.9,12366.5
44,21198.8,24414.8,8649.26
45,20476.2,23280.2,25039.8
46,25637.0,24486.8,19736.5
47,28176.3,24302.2,25703.5
48,22034.2,14260.6,22222.4
49,15723.9,19224.5,14476.2
50,15584.0,15785.2,23630.9
51,30601.9,25034.1,16978.2
52,26703.0,20694.5,18976.4
53,16278.6,22341.5,21098.0
54,35567.7,21863.8,6716.4
55,20507.9,24089.6,21259.9
56,26943.5,9263.78,28358.3
57,17039.1,13607.8,15775.6
58,23999.9,17265.5,19419.1
59,10262.2,15447.1,15141.1
60,17736.8,21994.8,11980.1
61,20064.8,14082.8,12644.4
62,11967.0,8576.24,21355.9
63,15779.7,22085.4,15620.5
64,25016.5,18965.6,18708.5
65,22475.6,14751.3,12765.6
66,18700.0,24877.5,18820.7
67,19368.0,23184.1,17114.5
68,21924.9,19833.3,21355.8
69,22283.6,17597.2,17058.9
70,10261.3,14050.1,30534.7
71,23742.8,16329.1,20613.7
72,24548.6,13121.1,14743.8
73,24146.9,10685.9,18054.6
74,24190.9,16091.0,23497.3
75,27185.9,4571.31,0.0
76,19275.2,4632.5,19528.0
77,23157.2,6971.15,23959.7
78,23764.2,15710.5,25322.6
79,21450.0,14352.1,21496.9
80,21701.6,17233.6,16192.0
81,23515.6,13493.4,21715.4
82,23899.0,10396.7,13597.3
83,21728.7,12178.2,21286.2
