rxpck/s,node164,node165,node166
0,24883.0,11941.0,10815.0
1,10986.0,13603.0,22540.0
2,17329.0,9753.0,11950.0
3,16372.0,6494.0,10004.0
4,20585.0,8340.0,20292.0
5,17228.0,9729.0,17570.0
6,13832.0,9969.0,11233.0
7,18060.0,10248.0,5677.0
8,15412.0,20647.0,16611.0
9,11728.0,11154.0,18291.0
10,17840.0,9269.0,18547.0
11,20511.0,7978.0,16172.0
12,14664.0,17171.0,12528.0
13,17492.0,11064.0,8498.0
14,16361.0,14120.0,7291.0
15,18148.0,7021.0,14327.0
16,14148.0,12786.0,12308.0
17,14554.0,8582.0,9676.0
18,11254.0,10446.0,15975.0
19,16397.0,14272.0,7121.0
20,18306.0,6296.0,15344.0
21,18691.0,12919.0,12913.0
22,20125.0,18992.0,7910.0
23,15682.0,8732.0,17002.0
24,15338.0,12249.0,11774.0
25,20115.0,11357.0,10387.0
26,20338.0,12128.0,12449.0
27,9045.0,16055.0,8932.0
28,9157.0,5709.0,15830.0
29,15409.0,16741.0,16690.0
30,18472.0,16254.0,14985.0
31,15997.0,14444.0,19342.0
32,16825.0,12095.0,18156.0
33,17529.0,14714.0,10940.0
34,12331.0,9512.0,11756.0
35,15418.0,14305.0,27636.0
36,18566.0,15756.0,5449.0
37,17978.0,9946.0,13841.0
38,18789.0,15839.0,6867.0
39,16192.0,11851.0,13693.0
40,16056.0,12759.0,11749.0
41,9273.0,16814.0,20186.0
42,23009.0,20331.0,11887.0
43,15607.0,14699.0,10039.0
44,17939.0,17599.0,6609.0
45,16726.0,16293.0,19717.0
46,20370.0,17708.0,14701.0
47,21073.0,18350.0,19944.0
48,17185.0,10520.0,16743.0
49,12348.0,15172.0,10700.0
50,11901.0,11778.0,18426.0
51,24073.0,18054.0,13827.0
52,19341.0,16023.0,14501.0
53,12752.0,18082.0,15903.0
54,26777.0,17006.0,5035.0
55,16345.0,18528.0,15890.0
56,20600.0,7596.0,21358.0
57,13762.0,10296.0,11236.0
58,19165.0,13297.0,14866.0
59,8613.0,11319.0,11563.0
60,14290.0,16042.0,9272.0
61,16611.0,9925.0,9423.0
62,9829.0,6086.0,16026.0
63,12845.0,15417.0,12674.0
64,19474.0,14401.0,13616.0
65,17429.0,11006.0,10562.0
66,14784.0,17970.0,15144.0
67,14592.0,17518.0,13481.0
68,16618.0,14618.0,17132.0
69,16213.0,14226.0,13348.0
70,7862.0,10147.0,23495.0
71,18480.2,13102.0,15742.0
72,18977.0,10472.0,11073.0
73,17295.0,8326.0,13258.0
74,18354.0,12801.0,18624.0
75,21755.0,3276.0,0.0
76,14364.0,3351.0,15391.0
77,18112.0,4900.0,17991.0
78,17464.0,11706.0,20089.0
79,16829.0,11345.0,16685.0
80,16792.0,12081.0,13380.0
81,18892.0,10109.0,17121.0
82,18747.0,7532.0,9631.0
83,17841.0,9574.0,16599.0
84,22726.0,13435.0,13278.0
85,14263.0,9799.0,19405.0
86,21989.0,9347.0,18623.0
87,17389.0,13123.0,13016.0
88,17599.0,14993.0,11414.0
