txkB/s,node164,node165,node166
0,23469.5,9426.28,4353.21
1,13078.6,4407.57,18556.7
2,14719.1,5197.87,5079.87
3,13360.2,202.01,3783.27
4,19731.8,6308.85,10659.2
5,9522.32,8090.49,10738.0
6,9338.67,4740.94,11454.9
7,9713.04,12623.6,1855.78
8,9610.09,14473.6,9538.84
9,8577.62,5951.85,16457.9
10,18404.7,8087.29,9672.36
11,10738.6,1740.2,8950.59
12,5593.94,17516.2,8558.6
13,18908.4,5763.45,8086.38
14,14412.3,2464.53,4744.14
15,17440.1,2893.18,9568.8
16,5783.95,4859.71,14847.9
17,16462.2,163.88,8413.32
18,11535.7,4838.83,8643.84
19,8817.39,10194.8,1103.78
20,5057.15,3953.58,15609.1
21,14757.7,7080.16,12345.2
22,12543.5,13387.1,6035.97
23,14826.1,3371.57,12741.3
24,9535.11,9425.01,11547.3
25,14960.8,540.67,8862.09
26,16505.6,4259.75,15424.1
27,7046.43,4539.13,6537.1
28,4888.82,2324.84,13455.2
29,14239.4,11081.1,9533.6
30,15533.2,6867.16,14030.8
31,12434.9,356.46,18561.8
32,20660.1,9314.2,6550.47
33,12515.3,4966.85,4652.18
34,9229.24,4824.58,14313.1
35,15282.7,2997.85,21699.7
36,17278.3,6909.35,1350.94
37,17018.3,206.04,17365.9
38,23184.3,393.57,4724.96
39,15049.2,4914.17,5380.81
40,17833.2,4878.89,4345.2
41,9408.77,9459.76,9612.52
42,17236.1,14933.7,4985.12
43,13871.8,8632.32,9761.84
44,22320.1,4962.56,4356.28
45,17629.7,408.22,16731.2
46,20565.4,4919.15,6816.63
47,12824.5,10472.3,17713.9
48,14113.1,3851.01,10543.6
49,10604.9,12626.8,4882.7
50,7111.52,6200.36,17229.5
51,20019.6,4976.51,15216.7
52,5120.57,10972.4,9459.48
53,10343.0,19490.3,9435.62
54,13960.2,13032.8,2316.86
55,15251.2,12776.0,7549.68
56,15889.7,8152.63,12504.3
57,14884.1,5905.18,1729.87
58,18936.5,9477.79,9559.96
59,9954.49,4786.6,8157.34
60,14836.3,4692.52,5979.83
61,21133.2,532.13,4787.06
62,9848.89,245.07,9217.91
63,13447.0,315.92,14324.3
64,15161.8,9428.68,4889.38
65,13905.5,4787.34,11705.4
66,13708.4,4985.35,16249.8
67,5336.9,9088.64,11368.9
68,9550.24,5427.8,16553.0
69,5221.26,13985.0,10308.3
70,4498.01,2396.03,19381.4
71,14752.9,12163.0,12332.9
72,14367.1,9088.43,4857.44
73,3937.78,6486.87,4885.84
74,10174.2,12170.9,17557.6
75,22719.1,126.96,0.0
76,7041.44,135.94,13369.3
77,13983.1,151.97,10983.1
78,7595.24,4863.29,20006.8
79,12598.8,9331.83,12324.4
80,13407.8,269.7,15085.1
81,20114.0,4802.0,13643.5
82,15638.0,1536.47,795.96
83,18369.1,8011.12,13526.2
84,16826.4,1191.3,4445.27
85,17969.0,4305.44,19182.2
86,17795.3,10650.5,4953.03
87,4769.84,9445.62,329.92
88,10258.7,7716.39,10215.2
89,12115.4,14283.0,17737.1
90,2643.52,14370.5,10366.8
91,18117.4,4262.53,6703.27
92,17155.8,4892.92,11224.7
93,9734.7,11579.6,4819.98
94,22212.2,11796.5,15806.9
95,16075.0,296.46,5749.09
96,16161.7,246.58,2173.35
97,7708.72,3713.76,20909.7
98,14614.1,2195.14,11611.5
99,12405.5,3983.13,9502.26
100,14022.1,9575.79,4888.63
101,5063.19,12562.9,14140.1
102,9388.06,6175.67,7720.41
103,12189.5,4898.34,15245.3
104,14662.2,4911.08,10292.3
105,13385.2,5717.36,13357.1
106,20973.0,4230.95,4731.57
107,504.28,4314.97,9317.86
108,15998.7,14529.1,17647.9
109,11214.4,4894.44,5770.61
110,10307.3,371.34,11058.9
111,15111.3,4903.62,16866.2
112,13702.7,203.06,12430.2
113,8446.41,5889.57,15621.9
114,18179.5,9102.39,4936.26
115,15344.9,8701.46,8958.39
116,8984.86,322.72,5417.03
117,12734.3,1508.07,9354.21
118,15298.6,3634.53,17049.1
119,9099.13,4854.38,2229.16
120,21130.2,221.3,12642.1
121,11816.0,6271.69,5633.51
122,11594.4,12605.6,4859.71
123,11910.6,11451.6,12784.9
124,19245.5,7406.87,1709.11
125,23876.2,438.48,1517.49
126,15206.3,4003.49,4825.79
127,16432.7,1309.5,20084.4
128,16928.0,9521.73,6473.47
129,13507.1,1410.73,11845.3
130,8370.19,12270.6,7207.59
131,12626.0,14528.2,9742.82
132,13484.8,371.22,12906.7
133,11019.6,4993.46,20204.6
134,4703.4,8413.65,5393.75
135,7813.23,18953.0,7929.09
136,14606.5,14277.7,9348.31
137,10726.6,10156.4,4813.47
138,15350.6,9384.11,9432.81
139,17391.3,4974.43,9599.13
140,14903.1,11144.9,5033.86
141,22916.7,2840.16,4849.79
142,14136.1,4936.28,9321.5
143,24854.8,4947.92,7060.77
144,3392.44,283.16,7173.92
145,24016.9,4984.8,14186.3
146,17843.7,4277.65,9052.37
147,4256.62,5524.87,2170.45
148,10212.4,6885.38,13034.8
149,8752.39,6546.99,13173.7
150,6082.9,1096.83,6374.42
151,12318.0,9486.26,16783.7
152,983.64,9446.17,13992.0
153,8426.46,14058.4,16577.6
154,6146.47,6271.02,14512.9
155,17240.6,7770.71,8498.89
156,6093.44,9358.61,2873.88
157,10102.0,4728.51,8723.11
158,20807.1,132.3,17230.1
159,7302.26,78.83,8552.86
160,7958.73,1357.08,12263.0
161,6790.85,3572.79,23108.0
162,4756.45,74.18,7249.1
163,18438.2,9513.0,14824.0
164,16080.1,4908.7,10846.1
165,19183.4,4874.44,4709.76
166,8509.15,76.82,9508.04
167,17401.4,4828.78,9150.28
168,13971.9,158.54,4370.44
169,20219.0,9408.24,19379.9
170,17285.1,6309.97,268.13
171,9585.38,16647.3,175.6
172,5720.19,5478.31,2513.03
173,13259.8,7487.43,30881.2
174,14326.2,16812.2,10298.3
175,8015.68,14561.6,3236.08
176,20421.3,8152.79,9442.1
177,14930.1,4843.01,9466.6
178,11533.4,262.35,4460.31
179,14172.4,4729.57,9732.28
180,15123.9,458.91,12965.8
181,16824.7,146.93,9121.49
182,9959.05,9653.6,8270.79
183,20811.5,345.32,16029.6
184,7724.42,14498.6,14465.6
185,11405.4,9165.84,4834.33
186,10206.6,3669.46,12472.8
187,17651.6,5965.78,19324.2
188,18603.6,4960.06,14762.8
189,1970.56,5693.51,9062.88
190,16360.4,14762.3,7095.08
191,10706.9,3290.83,7313.66
192,9582.8,4756.26,8234.25
193,11628.1,4918.57,10846.5
194,18189.0,196.98,18223.0
195,10010.3,4937.89,11585.9
196,12222.9,4837.98,16549.7
197,20736.8,10509.8,15556.3
198,16804.5,8547.91,3961.08
199,12139.8,183.64,174.73
200,18808.1,484.13,16369.3
201,13487.5,9524.02,16236.5
202,11182.4,2841.25,10866.9
203,16318.0,7155.67,8971.55
204,7017.77,9991.72,9141.58
205,23578.1,13445.9,8060.25
206,22748.1,4946.14,1169.62
207,18968.7,379.02,4810.72
208,14178.3,245.68,9359.57
209,10988.6,9609.9,13925.8
210,13773.4,223.97,6294.01
211,20548.3,4733.62,8465.38
212,6152.25,14934.6,9103.33
213,5369.52,5865.02,1710.38
214,14680.3,3289.14,14051.3
215,13464.0,5055.66,17033.1
216,4912.81,14446.1,8465.98
217,9652.51,13681.0,11328.8
218,5438.58,13237.4,8372.22
219,18224.0,10098.0,5923.08
220,4962.4,9902.16,8216.54
221,21822.3,8997.23,14082.2
222,17283.2,4800.97,4862.71
223,28804.1,4923.6,4969.77
224,19474.9,4838.16,4803.19
225,10425.9,4704.16,5036.11
226,9712.94,4980.15,5746.16
227,18191.3,4836.44,22255.6
228,20701.7,200.71,5399.45
229,12150.4,1100.57,4419.96
230,5910.95,9851.67,233.65
231,5595.97,9134.5,17374.9
232,16625.3,5326.65,16046.8
233,5587.64,4953.32,9699.49
234,4974.36,3646.4,12876.4
235,9442.22,18198.6,15673.3
236,425.47,9916.78,21242.8
237,18318.7,9281.17,11515.4
238,14027.4,9377.89,3202.4
239,7897.49,4655.34,6601.84
240,16511.3,139.92,11999.5
241,9536.15,127.37,14147.6
242,9568.3,2278.65,9602.91
243,8890.87,2935.7,23898.7
244,8379.85,3602.99,15631.6
245,19868.1,10695.2,19024.3
246,12636.8,160.25,2214.57
247,16112.9,4804.57,14163.9
248,20755.2,4707.69,296.83
249,5867.37,340.65,9399.81
250,21577.6,1456.43,15182.3
251,15369.8,8262.46,8213.65
252,20228.0,14169.5,380.41
253,2900.48,11742.7,278.55
254,7404.38,2574.49,13738.9
255,11986.6,13992.0,25447.1
256,11511.4,10181.4,7662.66
257,3945.61,13261.7,240.13
258,18317.8,9239.77,4889.22
259,17740.0,4550.73,11642.7
260,11786.1,462.4,2442.28
261,9702.81,0.0,7717.04
262,17491.8,3719.62,14399.6
263,15283.1,1837.24,10627.8
264,14252.1,315.34,9360.51
265,17080.6,5154.26,14044.6
266,9095.57,4494.45,18675.3
267,9195.33,5994.91,1056.76
268,9607.35,12955.3,8218.92
269,14463.5,5205.0,20347.2
270,18445.8,4946.76,13601.8
271,11788.3,8277.22,10517.1
272,10016.1,847.1,7565.0
273,15414.8,14049.1,13739.7
274,12669.2,9460.82,3561.12
275,5006.45,3892.09,12319.4
276,14606.8,4391.24,14733.3
277,18128.1,1613.08,11523.4
278,9577.89,2113.17,9755.1
279,14316.5,5676.93,21393.8
280,23054.2,6969.23,10988.8
281,17165.0,9514.8,178.12
282,11053.4,4910.53,6774.1
283,16610.9,670.42,17058.2
284,6775.08,7540.28,13522.9
285,15385.7,2219.57,5496.92
286,11284.3,9445.2,18098.0
287,15107.5,4803.16,4808.65
288,24570.2,15639.1,4755.25
289,26543.6,3299.63,4758.65
290,12540.2,5071.38,7830.5
291,20748.9,329.39,8360.43
292,17708.3,4509.45,12215.9
293,15676.2,5407.6,14954.6
294,4406.55,7696.68,4026.06
295,22027.4,15365.8,10552.2
296,8414.52,5345.85,21808.8
297,3095.03,5257.17,9700.54
298,13592.9,13316.3,9107.83
299,4012.35,14713.1,9662.83
300,12332.8,13959.8,7954.26
301,9875.45,4759.07,1900.03
302,14921.7,12287.6,14590.9
303,23219.8,6740.22,8999.23
304,18972.2,9440.57,5102.46
305,22386.7,2923.41,4837.21
306,18245.2,2550.58,299.37
307,2715.04,4447.22,3813.31
308,11924.2,3021.87,11044.9
309,22165.7,10488.9,13346.1
310,22874.8,949.52,4784.23
311,13191.2,311.33,6616.89
312,2175.05,6813.67,13366.5
313,11453.9,11673.4,12919.2
314,12292.7,2803.02,14778.4
315,3119.15,7621.0,13995.2
316,6794.91,2763.65,14185.6
317,3105.43,10954.3,13088.6
318,4909.74,13481.7,11868.5
319,12581.8,10380.9,10489.2
320,17452.7,14026.4,8969.43
321,13094.1,124.14,3035.79
322,9913.89,3233.08,9044.87
323,10318.9,1572.47,16310.4
324,3048.74,204.89,19514.7
325,5817.76,4773.62,11027.5
326,13283.8,177.24,23104.8
327,15418.8,197.5,17976.1
328,14647.2,11761.0,115.24
329,15301.1,2472.3,9971.16
330,16145.2,4721.96,4979.84
331,17601.5,146.03,7849.77
332,11024.2,4732.83,14417.3
333,12736.0,498.11,7156.81
334,15170.4,6509.45,3446.68
335,17861.0,8729.08,147.72
336,5081.88,13043.0,4976.24
337,12451.9,9358.81,14807.3
338,9926.43,8795.37,24846.8
339,6367.7,8763.65,2572.67
340,13163.1,13967.7,934.15
341,20293.1,10395.3,13313.9
342,18216.6,5197.96,4744.75
343,10440.5,4708.07,3389.89
344,22155.7,4185.99,20099.7
345,14946.5,1019.03,12786.0
346,9820.25,1181.52,6051.41
347,16022.0,3902.06,18843.2
348,11450.5,4823.99,13820.8
349,13155.5,9520.02,133.8
350,1767.27,6056.89,14022.7
351,13817.9,6708.18,6207.18
352,16939.6,3190.86,20025.2
353,16073.6,8204.58,11035.8
354,1347.3,4960.02,9331.66
355,11663.8,4391.23,5425.55
356,15333.4,15315.7,8890.54
357,9637.6,3984.08,3914.78
358,8868.71,4759.8,16545.2
359,16653.0,4885.49,11935.8
360,12199.6,92.91,12638.4
361,14047.5,4980.6,15435.2
362,21822.0,4842.39,16140.5
363,18179.1,9643.97,7994.55
364,18905.3,4997.8,2585.26
365,3303.16,4823.88,11756.0
366,19392.2,4072.73,16124.9
367,10257.0,5620.75,7445.39
