txpck/s,node164,node165,node166
0,20130.0,8604.0,4813.0
1,10597.0,5276.0,16592.0
2,12664.0,5176.0,5659.0
3,11844.0,1359.0,4269.0
4,16788.0,5685.0,11034.0
5,9395.0,7320.0,10377.0
6,8688.0,4886.0,9529.0
7,9575.0,10252.0,2244.0
8,9318.0,13407.0,9740.0
9,7739.0,6137.0,14206.0
10,15419.0,7026.0,9715.0
11,10786.0,2659.0,9003.0
12,6308.0,14761.0,8035.0
13,15462.0,5878.0,6721.0
14,12404.0,4136.0,4507.0
15,14832.0,3264.0,8892.0
16,6222.0,5503.0,12040.0
17,13347.0,1535.0,7318.0
18,9746.0,5176.0,8762.0
19,8672.0,9506.0,2023.0
20,6470.0,3783.0,13107.0
21,12870.0,7187.0,10521.0
22,11936.0,12207.0,5401.0
23,12489.0,4055.0,11455.0
24,9061.0,8524.0,9732.0
25,13760.0,2463.0,7596.0
26,14574.0,5051.0,12426.0
27,6300.0,5963.0,5882.0
28,4867.0,2633.0,11560.0
29,12396.0,10402.0,9481.0
30,13695.0,7681.0,12016.0
31,11209.0,2953.0,15569.0
32,16750.0,8388.0,7937.0
33,11312.0,6255.0,5277.0
34,8401.0,4984.0,11683.0
35,12710.0,4431.0,19543.0
36,14469.0,7527.0,1918.0
37,14481.0,1978.0,14000.0
38,18478.0,3219.0,4654.0
39,12830.0,5668.0,6101.0
40,14633.0,5549.0,5210.0
41,7959.0,9210.0,10478.0
42,15828.0,13781.0,5494.0
43,11927.0,8610.0,8377.0
44,18038.0,6654.0,4103.0
45,14813.0,3509.0,14632.0
46,17105.0,6391.0,7302.0
47,12017.0,10011.0,15462.0
48,12172.0,4410.0,10119.0
49,9151.0,11263.0,5118.0
50,6879.0,6134.0,14637.0
51,17642.0,6567.0,12493.0
52,6879.0,10270.0,8945.0
53,9199.0,16152.0,9144.0
54,14323.0,11759.0,2525.0
55,12973.0,12048.0,8108.0
56,14494.0,6848.0,12157.0
57,12184.0,5815.0,3162.0
58,15969.0,8795.0,9013.0
59,8151.0,5185.0,7359.0
60,12301.0,6144.0,5671.0
61,16798.0,2194.0,4783.0
62,8241.0,1273.0,9099.0
63,11155.0,2973.0,11856.0
64,13677.0,8876.0,5697.0
65,12332.0,5175.0,9626.0
66,11667.0,6638.0,13473.0
67,6656.0,9322.0,10003.0
68,9498.0,6426.0,13970.0
69,6374.0,11780.0,9323.0
70,4321.0,3333.0,17149.5
71,12953.5,10460.0,10906.0
72,13061.0,8080.0,5303.0
73,5586.0,5827.0,5631.0
74,10239.0,10346.0,15039.0
75,18901.0,681.0,0.0
76,7024.0,772.0,11823.0
77,12567.0,914.0,10362.0
78,8241.0,5571.0,16796.0
79,11389.0,8247.0,11292.0
80,11867.0,2736.0,12538.0
81,16637.0,4994.0,12123.0
82,13904.0,2406.0,2236.0
83,15481.0,6995.0,12009.0
84,15421.0,3422.0,5308.0
85,14403.0,4694.0,16506.0
86,16070.0,8728.0,6550.0
87,6411.0,8848.0,2714.0
88,10086.0,7734.0,8745.0
89,11536.0,12847.0,14961.0
90,3156.0,11606.0,9247.0
91,15144.0,4244.0,7665.0
92,15107.0,5831.68,10719.0
93,10703.0,9553.0,5483.0
94,18595.0,10954.0,13217.0
95,13268.0,2343.0,5220.0
