avgqu-sz,node164,node165,node166
0,0.536667,2.56,0.215
1,2.02333,2.83,6.12
2,3.65333,0.0,0.835
3,2.84333,0.275,0.65
4,0.176667,0.77,5.74
5,0.7,3.765,0.625
6,0.683333,2.43,0.505
7,5.01,0.95,4.58
8,2.95333,0.785,0.0
9,0.0,0.785,4.26
10,0.333333,3.12,4.95
11,0.783333,3.14,1.255
12,4.45,0.0,3.295
13,2.71,1.205,0.265
14,0.243333,0.745,0.695
15,0.463333,3.085,3.675
16,0.56,4.62,0.74
17,3.02667,0.62,5.83
18,2.24333,0.84,0.215
19,2.02667,0.22,0.685
20,0.446667,1.77,3.25
21,0.463333,2.765,0.8
22,1.69333,4.04,2.29
23,4.01667,0.21,0.99
24,2.35667,0.82,0.865
25,0.233333,0.725,3.36
26,0.623333,6.725,0.085
27,0.97,3.43,1.11
28,6.42667,0.585,3.795
29,2.73333,0.38,0.735
30,0.18,1.34,0.77
31,0.51,4.67,4.445
32,0.786667,4.765,1.56
33,2.78667,0.38,5.965
34,4.53667,0.325,0.42
35,0.0,1.29,1.715
36,0.353333,3.86,6.14
37,0.743333,1.775,1.15
38,3.10333,2.265,3.37
39,2.11333,0.435,0.0
40,2.47,1.04,0.21
41,0.606667,1.495,6.565
42,0.196667,4.97,0.23
43,0.726667,3.18,1.58
44,5.59333,1.065,2.79
45,2.72667,0.725,0.38
46,0.183333,1.63,1.575
47,0.796667,5.75,3.855
48,0.743333,2.235,1.405
49,5.16,0.305,3.21
50,3.67667,1.035,0.24
51,0.293333,1.25,1.45
52,0.286667,4.595,6.19
53,0.55,5.895,0.765
54,3.39,0.225,4.295
55,5.75,0.205,0.275
56,1.37667,0.96,1.36
57,0.0,1.035,5.52
58,0.753333,4.315,0.28
59,1.80333,3.91,4.345
60,3.45,0.39,0.68
61,2.37667,0.2,0.0
62,0.21,0.93,6.415
63,0.196667,5.535,2.055
64,1.36,3.285,0.655
65,4.77,0.19,3.505
66,2.98667,0.915,0.55
67,0.173333,1.26,0.395
68,0.536667,4.16,4.34
69,0.33,3.39,0.43
70,4.85333,0.225,4.255
71,3.82,0.455,1.33
72,0.16,0.475,0.9
73,0.61,3.525,4.64
74,1.03333,3.675,0.755
75,3.07,0.595,5.07
76,2.01,0.0,0.395
77,2.60667,0.045,1.26
78,0.55,0.42,4.93
79,0.633333,3.195,0.265
80,1.93,4.225,3.465
81,3.72333,0.525,1.185
82,2.26,0.52,0.46
83,0.286667,0.81,1.25
84,0.746667,5.49,3.8
85,0.853333,4.2,0.94
86,5.64,0.41,3.875
87,2.39333,0.59,0.3
88,0.156667,0.94,1.04
89,0.576667,4.205,3.695
90,0.763333,3.315,0.865
91,4.58667,0.0,5.565
92,3.70333,0.29,0.815
93,1.36333,1.225,0.86
94,0.406667,2.965,3.32
95,0.916667,1.69,0.78
96,3.68667,2.42,5.8
97,3.23667,0.0,0.62
98,1.75333,0.65,0.49
99,0.28,1.02,3.93
100,0.653333,4.835,1.59
101,0.606667,3.585,0.41
102,5.83333,0.0,3.89
103,1.99,0.515,0.9
104,0.203333,0.79,1.1
105,0.626667,3.39,3.825
106,0.966667,4.34,0.0
107,5.77667,0.605,6.79
108,1.96,0.25,0.855
109,0.146667,0.54,0.235
110,0.31,4.46,5.35
111,0.566667,4.225,0.93
112,2.21,0.68,4.475
113,4.42333,0.465,0.255
114,0.676667,1.295,0.51
115,0.506667,3.56,5.965
116,0.16,1.325,1.315
117,1.8,3.26,1.12
118,3.68333,0.76,3.06
119,3.97,0.89,0.28
120,0.21,1.15,2.53
121,0.0733333,5.585,1.775
122,0.82,2.47,1.125
123,4.72667,0.61,5.38
124,2.71,0.74,0.245
125,0.22,1.54,0.0
126,0.93,4.865,3.285
127,0.33,2.58,1.065
128,3.97,0.42,7.82
129,3.31667,0.39,0.7
130,0.46,1.375,1.27
131,0.66,3.505,4.785
132,0.803333,5.09,0.455
133,2.28333,0.335,1.935
134,3.08,0.45,1.61
135,2.89,0.855,0.435
136,0.456667,1.55,3.145
137,0.576667,4.21,0.52
138,2.58667,5.615,0.705
139,3.53,0.0,4.43
140,2.52,0.635,0.255
141,0.27,1.27,2.045
142,0.42,3.61,2.855
143,0.81,4.415,1.08
144,4.05667,2.245,4.51
145,2.32667,0.285,0.505
146,0.153333,1.25,0.43
147,0.276667,2.83,4.455
148,0.49,3.63,0.615
149,3.55667,0.64,3.625
150,2.92333,0.43,0.32
151,0.27,0.48,0.795
152,0.213333,3.295,8.045
153,0.513333,0.7,1.27
154,2.21333,3.36,1.46
155,1.75,0.0,3.6
