avgrq-sz,node164,node165,node166
0,205.27,608.315,315.075
1,401.783,282.69,599.595
2,588.497,0.0,314.545
3,390.143,300.0,581.63
4,210.05,297.825,585.11
5,592.697,594.135,476.645
6,412.42,284.52,298.065
7,596.177,309.215,604.035
8,200.023,596.375,0.0
9,0.0,299.22,569.715
10,324.72,585.76,602.105
11,405.263,275.655,305.92
12,600.14,0.0,289.18
13,375.547,603.465,13.555
14,195.827,567.475,627.0
15,204.867,606.08,591.155
16,393.657,303.65,307.275
17,620.237,265.045,293.63
18,389.18,309.21,320.0
19,298.763,292.82,299.725
20,205.0,295.055,586.395
21,412.407,596.22,299.89
22,400.843,293.86,269.37
23,581.733,12.055,565.62
24,153.44,498.815,284.355
25,208.667,618.63,307.115
26,379.98,580.12,170.91
27,584.907,255.605,292.82
28,377.233,546.59,600.055
29,253.943,315.075,307.29
30,198.877,604.57,607.895
31,393.403,574.74,600.605
32,407.307,275.37,530.575
33,407.727,297.645,597.78
34,391.817,606.42,315.075
35,0.666667,624.29,299.34
36,195.143,307.55,282.015
37,573.317,572.56,337.16
38,610.34,587.7,293.35
39,566.777,303.555,0.0
40,264.23,621.475,292.82
41,210.72,616.5,565.485
42,309.623,272.46,315.075
43,412.42,581.45,288.265
44,579.467,309.855,611.195
45,186.703,497.29,298.86
46,318.003,610.515,307.815
47,412.407,579.66,580.055
48,412.893,276.405,619.255
49,597.643,291.24,553.485
50,332.943,615.075,315.075
51,202.37,594.21,307.445
52,202.37,611.36,597.14
53,406.47,460.01,307.29
54,576.59,247.9,287.355
55,359.72,311.465,292.785
56,196.233,607.13,609.64
57,0.0,630.15,558.95
58,407.223,582.63,263.665
59,297.683,284.835,574.075
60,567.63,295.84,523.91
61,175.85,315.075,0.0
62,157.26,309.21,425.725
63,163.76,580.595,595.99
64,603.823,284.62,538.2
65,578.66,292.855,592.44
66,200.07,618.63,303.98
67,162.0,610.835,606.3
68,380.15,584.015,600.66
69,405.287,293.18,303.535
70,580.043,269.41,584.37
71,390.877,316.95,612.735
72,163.733,574.595,573.595
73,601.37,625.15,236.215
74,623.67,541.01,307.56
75,609.36,264.935,589.75
76,407.327,0.0,315.075
77,180.413,159.875,577.42
78,418.2,635.075,612.315
79,395.093,285.71,468.5
80,622.273,552.555,602.335
81,600.007,303.405,596.7
82,371.637,303.555,303.52
83,210.05,324.435,610.705
84,317.527,486.385,589.5
85,271.48,293.99,622.365
86,595.013,303.535,586.705
87,397.343,280.75,493.63
88,195.237,309.37,309.2
89,219.703,587.045,598.73
90,415.793,300.615,507.825
91,581.503,0.0,583.185
92,583.023,288.335,188.135
93,394.643,596.325,630.15
94,366.967,625.525,585.02
95,599.087,572.515,307.82
96,388.8,541.81,304.23
97,549.64,0.0,475.08
98,377.017,307.29,302.465
99,202.603,309.21,581.815
100,607.657,583.86,298.855
101,615.337,280.235,315.075
102,579.64,0.0,278.41
103,189.153,271.685,206.75
104,213.333,608.075,308.425
105,591.16,589.295,281.32
106,624.96,297.1,0.0
107,602.347,295.485,582.55
108,351.877,292.855,309.33
109,195.213,630.15,315.075
110,202.37,297.75,571.385
111,185.917,304.365,309.2
112,393.803,524.86,592.935
113,385.09,514.075,292.82
114,174.92,234.995,315.075
115,217.287,624.535,289.945
116,332.717,598.025,615.52
117,600.53,545.17,522.0
118,575.187,264.035,611.02
119,201.613,275.235,246.58
120,190.757,596.935,575.805
121,176.763,558.95,603.38
122,413.397,569.58,390.695
123,559.03,314.81,568.175
124,193.61,612.715,315.075
125,194.16,581.17,0.0
126,412.377,611.795,288.44
127,202.37,294.69,296.545
128,595.197,301.855,286.965
129,585.61,261.28,581.74
130,515.1,619.29,599.415
131,594.707,604.85,605.855
132,385.073,575.195,303.535
133,601.357,198.835,521.06
134,401.35,299.885,467.965
135,374.87,298.825,607.895
136,412.433,622.375,591.055
137,420.54,586.875,288.125
138,397.1,287.235,299.94
139,584.303,0.0,585.865
140,190.987,305.2,292.785
141,202.37,610.545,584.615
142,361.633,591.805,601.96
143,596.42,606.09,593.255
144,534.08,247.225,605.64
145,155.07,244.12,292.695
146,195.19,600.48,607.895
147,210.05,596.105,290.335
148,585.497,294.005,297.93
149,514.093,596.915,592.955
150,381.943,303.535,297.265
151,366.443,303.405,270.325
152,169.873,597.845,563.69
153,414.677,309.81,390.65
154,587.993,283.235,578.615
155,402.003,0.0,594.51
156,193.743,292.82,315.075
157,206.143,315.075,599.15
158,383.87,285.59,573.58
159,606.967,290.29,622.73
160,576.883,0.0,580.65
161,196.29,0.0,591.035
162,108.667,596.43,608.275
163,387.683,283.48,529.95
164,614.077,281.865,292.785
165,388.243,0.0,593.455
166,334.17,301.985,635.075
167,378.513,315.075,581.445
168,368.01,557.475,558.785
169,583.82,289.445,616.05
170,499.713,543.46,603.415
171,600.047,540.81,560.145
172,163.783,315.075,315.075
173,415.14,606.895,599.76
174,281.64,394.825,377.375
175,376.55,292.845,309.2
176,593.547,607.895,541.59
177,400.897,315.075,315.075
178,412.407,315.075,309.21
179,400.557,601.06,583.715
180,592.867,291.365,272.13
181,584.433,282.575,547.36
182,378.16,275.5,307.2
183,405.263,315.075,255.53
184,404.913,584.23,596.925
185,630.15,306.64,315.075
186,586.273,247.43,587.2
187,195.077,580.125,309.21
188,0.0,620.75,315.075
189,195.237,597.755,287.7
190,409.93,292.855,282.96
191,579.677,287.855,611.78
192,385.023,303.555,603.4
193,1.58333,472.405,240.19
194,203.59,621.56,599.72
195,404.697,585.865,558.125
196,400.523,415.585,556.735
197,404.103,295.655,584.235
198,180.127,308.325,315.075
199,358.767,485.955,292.695
200,391.507,585.495,580.875
201,418.697,295.88,315.915
202,568.2,292.695,578.065
203,182.16,572.78,309.19
204,203.32,322.085,616.52
205,293.183,554.9,601.475
206,415.16,475.615,303.535
207,592.09,574.135,514.385
208,189.913,299.94,300.39
209,8.54,600.12,299.78
210,204.867,299.61,278.285
211,600.477,491.43,303.555
212,607.847,291.245,599.55
213,397.447,307.3,538.38
214,184.587,305.79,307.29
215,369.303,621.845,301.555
216,405.263,587.195,543.415
217,587.58,288.335,607.86
218,586.603,0.0,602.83
219,185.077,590.74,0.0
220,355.797,597.7,601.91
221,409.92,590.845,600.195
222,413.443,287.3,465.785
223,577.3,549.485,498.605
224,191.027,315.075,0.0
225,184.57,630.15,609.13
226,206.15,588.97,564.73
227,202.383,306.84,315.075
228,602.337,595.88,585.04
229,194.88,303.535,199.95
230,283.153,309.21,315.075
231,195.213,594.135,468.0
232,625.14,601.585,538.75
233,601.07,275.47,604.82
234,380.627,164.48,595.275
235,126.477,417.49,610.81
236,201.697,534.065,589.635
237,602.457,589.21,599.905
238,605.05,542.405,307.29
239,532.56,221.0,590.15
240,370.137,0.0,303.535
241,306.623,315.075,309.2
242,382.577,250.885,596.49
243,604.1,297.475,166.305
244,573.663,275.27,596.73
245,192.627,303.545,478.84
246,390.45,315.075,548.375
247,546.48,288.095,604.425
248,416.96,0.0,456.02
249,401.42,570.75,467.135
250,340.93,292.57,567.415
251,0.0,618.555,307.275
252,203.867,622.97,580.505
253,401.967,283.565,201.18
254,598.05,289.255,292.655
255,576.897,170.25,603.655
256,195.62,611.245,305.47
257,213.333,275.65,292.82
258,204.987,592.245,595.785
259,400.087,284.805,299.795
260,586.31,0.0,287.6
261,193.54,256.665,266.1
262,0.0,599.345,608.37
263,395.607,599.065,590.0
264,411.02,527.43,576.29
265,453.253,266.175,555.175
266,184.42,315.075,307.905
267,376.11,596.39,588.375
268,583.08,306.25,585.655
269,552.6,592.62,597.37
270,560.813,582.595,604.075
271,520.047,560.565,607.49
272,171.25,615.21,303.555
273,199.867,628.98,312.52
274,412.42,537.15,600.455
275,390.427,274.785,298.665
276,592.183,0.0,594.25
277,193.083,307.57,285.915
278,204.123,609.875,608.24
279,400.013,596.215,597.22
280,412.42,583.37,305.615
281,585.667,303.575,602.165
282,186.913,307.2,273.3
283,0.0,600.295,212.635
284,396.617,297.865,594.045
285,377.27,472.71,307.275
286,615.893,524.41,306.195
287,535.86,308.085,548.625
288,213.333,303.405,315.075
289,377.93,604.85,292.895
290,409.98,598.71,529.67
291,404.66,590.15,622.275
