await,node153,node154
0,4.55,6.06
1,166.807,177.6
2,162.897,718.743
3,148.693,518.517
4,0.5,0.0
5,1.32333,1.36
6,2.71,11.57
7,21.42,1.15667
8,28.7467,71.89
9,327.77,164.813
10,1317.13,821.54
11,562.177,497.38
12,0.5,0.0
13,0.896667,0.986667
14,3.0,3.23
15,3.49,2.61333
16,9.19667,10.47
17,229.463,337.713
18,858.677,752.587
19,76.71,594.957
20,0.0,0.0
21,5.95667,1.56
22,4.81,3.18
23,3.24,20.15
24,99.59,188.077
25,473.67,531.04
26,230.777,578.55
27,0.0,41.32
28,0.0,2.76333
29,7.37,1.04
30,3.73,8.43333
31,21.9433,2.53333
32,0.0,7.15
33,315.667,0.0
34,349.53,578.223
35,0.353333,1.03
36,7.99333,11.9233
37,4.58,6.53667
38,3.58667,2.85333
39,100.597,90.8567
40,715.523,660.023
41,509.177,835.05
42,16.39,17.93
43,0.0,1.23
44,4.13333,1.71333
45,3.63667,2.56667
46,3.12667,1.77333
47,171.917,74.4767
48,435.0,1094.59
49,1375.53,662.053
50,12.39,0.533333
51,0.533333,0.78
52,2.88,2.16333
53,12.9233,3.28667
54,3.01667,18.0833
55,259.19,261.813
56,499.093,303.553
57,238.143,460.817
58,0.0,0.866667
59,1.42333,1.50333
60,2.79667,5.73667
61,2.12667,2.37667
62,23.51,37.8233
63,516.123,275.723
64,304.333,1160.4
65,610.25,66.1533
66,0.723333,2.11667
67,9.69,18.0667
68,20.8333,5.0
69,2.91667,2.10333
70,41.68,21.11
71,307.547,1058.82
72,606.67,296.927
73,0.0,1.27667
74,2.60333,1.01
75,4.08333,7.61667
76,5.91667,2.74
77,88.24,93.4667
78,0.0,111.333
79,396.04,859.46
80,96.6667,90.3733
81,0.0,7.71333
82,3.70667,1.81667
83,2.81667,1.89
84,8.52667,1.95
85,383.1,58.8767
86,717.777,927.333
87,289.36,233.697
88,0.666667,2.0
89,1.61,1.86333
90,2.87667,1.68
91,2.71333,2.53333
92,21.56,29.25
93,0.993333,110.403
94,993.217,883.593
95,73.4467,209.333
96,0.0,0.0
97,0.52,3.69
98,15.8633,17.4633
99,10.03,3.51
100,102.993,50.86
101,582.757,45.3867
102,296.04,346.703
103,3.5,55.4967
104,0.61,2.08
105,2.44333,15.7667
106,4.76333,4.96667
107,9.79,24.3167
108,16.9133,150.233
109,1621.15,428.763
110,553.92,155.603
111,0.0,3.14333
112,0.0,0.89
113,6.83667,2.13333
114,3.33333,3.11333
115,6.41667,9.71333
116,743.703,719.557
117,949.687,580.44
118,363.867,279.093
119,14.64,0.0
120,0.333333,3.39333
121,4.06667,2.38667
122,2.80667,3.68
123,12.6167,56.42
124,125.047,0.0
125,806.177,915.307
126,269.16,199.617
127,0.523333,0.0
128,0.933333,1.91
129,6.98667,3.0
130,2.61333,29.3767
131,71.4433,202.587
132,727.413,778.4
133,1092.12,487.56
134,10.63,2.67667
135,4.4,1.25333
136,2.71667,12.97
137,5.34667,3.51667
138,15.1567,1.77
139,177.553,201.697
140,0.0,0.0
141,931.943,1193.42
142,0.0,0.0
143,0.0,2.42
144,9.28333,4.14667
145,3.54667,26.43
146,32.6133,50.4567
147,99.7367,0.0
148,947.073,1047.34
149,111.557,222.827
150,0.0,0.8
151,0.746667,2.77333
152,4.95667,1.85667
153,3.95333,22.7567
154,233.033,75.3
155,155.82,233.167
156,853.967,592.327
157,86.01,4.43
158,0.0,0.89
159,2.81667,22.87
160,19.7767,5.91
161,3.77,63.1833
162,135.663,384.483
163,765.2,458.83
164,203.033,105.943
165,0.0,1.04667
166,3.51667,3.96333
167,4.28667,1.68
168,16.21,3.27667
169,30.7233,115.613
170,450.26,649.04
171,55.0633,546.243
172,632.453,2.44
173,3.5,4.37667
174,1.56333,24.35
175,9.17,27.2133
176,3.52,3.74
177,66.1767,165.577
178,1222.37,285.333
179,178.397,353.333
180,96.6667,0.0
181,0.546667,5.68
182,2.75333,34.1467
183,5.36,6.49
184,45.85,35.08
185,507.767,1014.41
186,723.917,658.803
187,329.427,97.7667
188,0.0,0.0
189,0.796667,1.74333
190,3.75667,8.62
191,4.45,2.18667
192,116.57,82.2633
193,425.227,590.663
194,207.617,608.917
195,0.0,149.91
196,0.0,0.936667
197,4.58,2.92
198,10.3,1.9
199,29.2533,4.7
200,177.167,23.79
201,892.667,942.55
202,57.0567,86.84
203,0.333333,0.0
204,4.77667,7.99
205,4.98667,2.21667
206,3.35333,3.1
207,130.537,133.573
208,360.9,0.0
209,487.447,898.23
210,64.7333,0.16
211,0.0,1.84
212,20.85,5.68
213,8.37667,17.58
214,39.6467,2.17667
215,219.873,689.32
216,524.29,525.813
217,5.91,138.927
218,0.0,2.26667
219,1.41667,5.43667
220,3.98667,2.83333
221,8.54,1.78667
222,210.71,213.843
223,483.5,393.91
224,94.9,190.733
225,0.0,2.81
226,3.20333,4.2
227,2.66667,11.15
228,2.23667,17.0867
229,97.8767,47.2233
230,362.597,0.0
231,0.0,910.517
232,808.943,6.66667
233,0.0,1.20667
234,3.73333,1.99667
235,3.49333,2.11667
236,5.00667,16.4567
237,56.7833,0.0
238,284.61,879.477
239,141.953,441.197
240,1.89,0.0
241,0.0,1.28
242,2.52,7.58333
243,3.66333,2.57333
244,8.82667,7.52667
245,324.98,505.267
246,407.483,645.21
247,11.3333,131.69
248,0.0,0.0
249,1.02333,17.85
250,8.99333,4.87333
251,4.58667,1.13
252,290.67,379.65
253,415.5,474.363
254,37.4367,265.277
255,0.0,0.573333
256,1.38667,2.31333
257,3.18,2.39
258,3.50667,21.4933
259,104.913,4.64333
260,0.0,457.87
261,670.117,377.01
262,53.97,0.0
263,0.0,0.906667
264,23.79,7.29
265,2.77667,1.54667
266,133.743,68.84
267,52.99,517.787
268,476.697,294.523
269,67.6867,231.03
270,0.0,1.25
271,2.12667,2.05667
272,27.9167,26.8867
273,2.01,4.60667
274,8.42333,17.3033
275,0.0,916.257
