svctm,node164,node165,node166
0,1.57,4.585,2.23
1,3.08667,2.18,4.65
2,4.47667,0.0,3.805
3,2.93667,2.42,4.92
4,1.74333,2.305,4.545
5,5.03,4.6,4.46
6,3.32333,2.315,2.485
7,4.92667,2.32,4.21
8,1.50667,5.115,0.0
9,0.0,2.475,5.49
10,3.01667,4.43,4.665
11,3.26333,2.265,2.455
12,4.58333,0.0,2.13
13,3.0,4.57,1.72
14,1.58,4.135,4.705
15,1.51,4.985,4.19
16,3.44667,2.385,2.46
17,4.58,2.355,2.34
18,3.15333,2.125,2.45
19,3.17333,2.25,2.025
20,1.46667,2.195,6.33
21,3.05333,4.825,2.55
22,3.15333,2.31,2.24
23,4.32,1.695,4.925
24,2.12,3.775,2.415
25,2.74333,4.5,2.145
26,3.28667,4.93,2.635
27,5.28,2.31,2.18
28,2.99667,4.28,4.175
29,2.6,1.96,2.51
30,1.51,4.29,5.205
31,3.16667,4.54,5.05
32,3.07333,2.255,4.74
33,3.82,2.765,4.325
34,2.91667,3.965,2.075
35,1.33333,4.27,2.22
36,1.59667,2.2,2.255
37,4.76667,4.31,6.845
38,5.80333,4.635,2.155
39,4.56,2.165,0.0
40,2.97333,4.665,2.18
41,1.54333,4.16,5.29
42,3.11333,2.22,2.31
43,3.42,4.52,3.69
44,4.41667,2.1,4.47
45,1.44,4.625,2.585
46,2.99667,4.575,2.31
47,3.19667,6.47,9.55
48,3.31667,2.22,4.86
49,4.86,2.215,4.755
50,3.00667,4.41,2.27
51,1.40667,4.415,2.415
52,1.40667,4.595,6.98
53,2.67,5.465,2.4
54,4.89333,4.875,2.26
55,3.22667,2.2,2.785
56,1.44667,4.85,4.73
57,0.0,5.14,5.37
58,2.93667,4.39,2.165
59,2.75,2.385,4.175
60,4.21333,2.36,4.465
61,1.39333,1.96,0.0
62,1.62,2.31,6.64
63,1.63667,4.855,4.655
64,4.29667,2.12,4.455
65,4.45667,1.965,4.76
66,3.51,4.615,2.705
67,1.57667,5.1,5.12
68,2.95333,4.56,4.57
69,3.14667,2.39,2.24
70,4.35333,2.325,4.53
71,3.0,2.55,4.575
72,1.76667,4.145,4.84
73,6.07667,4.625,2.205
74,4.31333,4.42,2.44
75,4.93,2.13,4.39
76,3.08667,0.0,2.02
77,1.45333,2.56,4.765
78,5.01,6.155,4.55
79,3.06667,2.3,4.965
80,13.0833,4.555,4.635
81,4.51667,2.26,4.705
82,3.11667,2.665,2.26
83,1.43667,3.35,4.88
84,2.59333,4.32,4.545
85,2.23667,2.415,4.505
86,4.67333,2.15,4.775
87,3.02667,2.21,4.775
88,1.47667,2.31,2.53
89,2.44667,5.065,4.615
90,3.04333,2.495,5.055
91,5.66667,0.0,4.78
92,5.39333,3.54,2.08
93,2.99,5.055,4.255
94,3.39333,4.775,4.34
95,4.25333,4.325,2.33
96,3.03667,4.51,2.265
97,5.41,0.0,5.71
98,3.04,2.125,2.295
99,1.40667,2.435,9.85
100,4.76,4.82,2.38
101,4.62,2.34,2.04
102,4.63,0.0,2.365
103,1.57,2.185,2.045
104,2.02667,4.615,2.525
105,4.70667,4.66,2.21
106,4.81,2.5,0.0
107,4.88667,2.14,5.635
108,2.93333,2.605,2.19
109,1.43,5.27,2.385
110,1.58,2.095,10.15
111,1.50333,2.6,2.34
112,3.13667,4.915,4.89
113,3.63,4.53,2.57
114,2.40333,3.61,2.48
115,2.37,4.69,2.325
116,2.72667,4.065,6.52
117,4.69667,4.445,5.255
118,4.56333,2.27,4.42
119,3.19333,2.3,2.36
120,1.8,7.475,4.865
121,1.57,4.435,4.595
122,2.69667,4.195,4.405
123,4.58333,2.135,4.67
124,1.55667,5.695,2.5
125,1.57,4.62,0.0
126,2.97,4.6,2.3
127,1.55667,2.3,2.5
128,4.86667,2.18,3.315
129,4.63667,2.34,4.395
130,4.57667,4.61,4.74
131,4.48,4.3,4.89
132,3.59667,4.25,2.26
133,4.68,2.13,4.34
134,3.02667,2.085,5.51
135,2.75667,2.275,4.26
136,2.9,4.995,4.73
137,3.25,4.94,2.295
138,3.13333,2.3,2.23
139,4.49667,0.0,4.47
140,1.53,2.65,2.535
141,1.38333,4.185,4.575
142,2.94,4.52,4.28
143,4.50333,4.73,4.615
144,4.43333,3.295,4.545
145,1.32667,2.44,2.23
146,1.47667,4.565,4.37
147,1.33333,4.18,2.475
148,4.40667,2.415,2.38
149,4.61667,4.14,4.855
150,3.36333,2.095,2.605
151,2.96,2.13,2.355
152,1.57,4.755,5.92
153,3.11667,4.64,4.525
154,4.93333,2.295,4.775
155,2.97333,0.0,4.945
156,1.62,2.215,2.155
157,1.54667,2.115,11.415
158,3.07333,2.235,4.555
159,4.36667,2.23,4.685
160,4.64667,0.0,4.68
161,1.59667,0.0,4.81
162,1.0,5.085,4.535
163,3.37,2.29,4.665
164,4.23333,2.41,2.18
165,2.94667,0.0,4.9
166,4.53333,2.615,5.56
167,2.91333,2.155,4.685
168,3.09,4.48,4.42
169,4.95,2.21,4.745
170,4.37,4.545,4.31
171,4.75333,4.48,4.715
172,1.49333,2.155,2.31
173,3.00333,5.485,4.56
174,2.56,3.625,4.68
175,3.86,5.39,2.425
176,4.26,4.75,4.645
177,3.33667,2.5,2.19
178,2.90667,2.155,2.415
179,3.72667,5.395,5.14
180,4.43,2.355,2.325
181,4.63667,2.19,4.83
182,2.83333,2.37,2.265
183,2.88333,2.45,2.44
184,2.84,4.615,4.13
185,4.67667,2.285,2.115
186,5.16667,2.715,5.235
187,1.55667,4.38,2.215
188,0.0,4.78,2.52
189,1.5,4.78,2.325
190,3.17,2.395,2.75
191,4.65667,2.33,7.565
192,3.07,2.185,5.27
193,1.91667,5.335,2.175
194,1.43667,4.95,4.825
195,3.24667,4.69,4.96
196,3.31333,4.325,4.215
197,2.87667,2.6,4.63
198,1.56,2.285,2.155
199,2.90333,4.1,2.215
200,3.23,4.14,10.12
201,3.01,2.335,1.935
202,4.44,2.27,4.53
203,1.41,4.36,2.415
204,2.31333,3.725,5.425
205,2.45667,4.255,6.07
206,3.17333,7.33,2.405
207,4.65333,5.0,4.495
208,1.49667,2.45,4.645
209,1.14667,4.845,2.255
210,1.46667,2.07,2.245
211,5.29333,5.26,5.055
212,4.95333,2.215,4.58
213,3.12,2.31,4.595
214,1.52,2.225,2.415
215,3.17,4.455,2.27
216,2.95333,4.46,7.38
217,4.54333,2.195,4.14
218,4.58667,0.0,4.885
219,1.48,5.11,0.0
220,3.14667,4.885,4.675
221,3.05667,4.655,4.67
222,3.31,2.375,4.61
223,4.69333,4.395,4.32
224,1.42,2.0,0.0
225,1.43,4.48,4.36
226,1.41,5.5,4.42
227,1.39667,2.305,2.14
228,4.71667,4.84,4.55
229,1.47333,2.0,2.55
230,3.22333,2.48,2.48
231,1.54667,4.595,4.64
232,4.36667,4.82,6.275
233,4.53,2.445,4.775
234,3.02667,1.99,4.35
235,2.02333,4.225,4.935
236,1.66667,4.245,4.635
237,4.44333,4.76,5.01
238,4.74333,5.265,2.425
239,4.56,2.125,4.66
240,3.11667,0.0,2.26
241,3.40667,2.385,2.055
242,3.04667,2.065,6.985
243,4.59333,2.39,1.755
244,5.11333,2.21,4.985
245,1.51667,2.25,4.58
246,3.09333,2.655,4.65
247,4.77333,2.515,5.315
248,3.07667,0.0,4.145
249,2.99,4.525,4.685
250,3.38333,2.07,4.64
251,0.0,4.51,2.4
252,1.58333,4.58,4.92
253,3.01,2.295,2.115
254,4.7,2.45,2.395
255,5.13,2.1,5.24
256,1.52,4.83,2.23
257,1.96,2.765,2.535
258,1.49,4.71,4.35
259,3.03,2.435,2.365
260,5.21333,0.0,2.465
261,1.53667,4.165,2.365
262,0.0,4.41,4.595
263,3.12667,4.18,4.375
264,3.15333,4.905,5.125
265,4.80333,3.185,4.69
266,1.44667,2.515,2.2
267,3.19,4.475,4.38
268,5.15,2.125,4.345
269,4.02,4.625,4.795
270,4.95,5.005,5.285
271,4.61333,5.2,4.43
272,1.46,4.835,2.52
273,1.53333,4.065,3.755
274,3.62333,4.615,4.71
275,3.26333,2.285,1.665
276,4.92667,0.0,4.455
277,1.62667,2.24,2.425
278,1.58,4.66,4.835
279,2.75667,5.31,4.46
280,3.21,4.805,2.375
281,4.54667,2.15,4.115
282,1.50667,2.125,2.035
283,0.0,4.455,2.015
284,3.46,2.14,6.41
285,2.98,4.745,2.075
286,4.99333,4.37,2.165
287,4.50667,2.325,4.775
288,1.61,2.185,2.31
289,2.99333,4.32,2.395
290,3.29,4.645,18.915
291,3.15,5.23,4.525
292,4.84,2.0,4.61
293,3.28,4.575,4.715
294,1.61,4.08,4.8
295,3.89333,4.83,5.22
296,4.75667,4.47,4.74
297,4.88,1.96,2.215
298,1.51667,2.255,2.55
299,0.983333,4.415,4.415
300,3.02667,5.39,4.61
301,5.03667,2.32,2.365
302,5.11333,0.0,2.19
303,3.03,1.975,3.775
304,0.0,4.395,2.325
305,1.39667,5.0,4.735
306,4.40667,4.655,2.105
307,2.81333,2.19,4.395
308,4.91667,4.7,4.35
309,1.62667,4.495,4.755
310,1.55,4.79,4.535
311,2.94667,5.27,4.695
312,4.44667,2.275,2.36
313,4.78,2.15,4.3
314,1.50333,2.105,2.2
315,0.0,2.405,2.355
