%util,node164,node165,node166
0,6.6,18.4,2.9
1,15.6,13.3,31.2
2,20.3333,0.0,10.0
3,11.5,4.6,9.1
4,2.26667,10.6,29.8
5,9.1,16.7,9.25
6,8.8,11.1,7.45
7,27.0,12.3,19.5
8,13.7,10.65,0.0
9,0.0,10.15,26.0
10,6.76667,19.3,22.95
11,10.2667,12.45,16.45
12,19.8667,0.0,14.9
13,15.0667,14.9,3.1
14,3.63333,9.75,9.05
15,6.03333,22.3,20.35
16,7.26667,13.6,9.85
17,16.8333,8.0,21.75
18,14.0667,11.25,2.45
19,10.5667,3.15,8.9
20,5.86667,8.35,24.7
21,6.16667,19.55,10.45
22,12.7667,17.55,11.2
23,20.0333,3.05,12.65
24,11.3,10.9,12.55
25,3.73333,9.25,16.5
26,10.1,36.05,2.9
27,13.8667,27.0,9.85
28,21.8,12.85,21.05
29,12.7,5.1,10.05
30,2.86667,16.7,10.35
31,7.33333,23.365,20.35
32,10.4667,18.25,19.35
33,17.0333,4.7,25.3
34,20.0,4.85,5.4
35,0.133333,16.75,20.2
36,4.46667,13.65,34.3
37,10.2633,13.5,13.1
38,20.3667,14.95,18.95
39,14.3667,5.85,0.0
40,9.46667,14.2,3.05
41,7.56667,19.35,40.75
42,3.9,20.65,3.0
43,9.06667,19.85,8.0
44,23.0,14.5,16.9
45,11.8,10.4,4.65
46,3.43333,22.5,20.55
47,10.4667,23.7,22.2
48,10.1667,11.55,17.6
49,25.7,4.7,22.35
50,15.1667,13.7,2.95
51,3.8,15.65,19.3
52,3.8,26.3,33.35
53,7.2,31.9,9.6
54,27.3,5.7,15.6
55,25.8333,3.3,3.9
56,6.8,13.1,17.7
57,0.0,13.15,32.25
58,9.93333,20.5,5.2
59,8.56667,20.05,17.45
60,18.6,5.9,10.4
61,11.7,2.55,0.0
62,5.83333,12.25,26.15
63,5.23333,31.9,18.9
64,16.5667,12.5,9.9
65,24.1667,2.75,22.35
66,13.2333,12.25,7.3
67,4.73333,17.05,6.1
68,8.26667,28.75,22.85
69,4.26667,16.0,6.05
70,17.1333,3.95,20.7
71,15.5667,5.35,18.0
72,3.53333,7.0,12.4
73,8.46667,18.3,25.6
74,13.7667,12.75,9.75
75,21.7667,6.6,29.9
76,12.9667,0.0,5.25
77,11.0333,2.05,16.8
78,6.73333,4.5,27.25
79,9.06667,17.7,5.15
80,12.5333,17.75,17.45
81,19.3667,6.1,12.7
82,15.4333,7.2,6.1
83,3.73333,8.0,16.2
84,9.36667,29.55,23.85
85,7.86667,15.95,12.2
86,29.7667,5.8,23.65
87,16.5333,8.4,5.25
88,2.06667,12.25,13.4
89,6.2,18.85,23.2
90,9.86667,21.45,14.85
91,20.0667,0.0,26.1
92,15.9667,4.25,9.35
93,14.9667,16.3,11.1
94,5.76667,18.1,21.25
95,14.5,14.05,10.84
96,16.6333,20.9,19.7
97,21.7667,0.0,9.55
98,9.73333,8.5,6.65
99,3.8,12.9,24.8
100,8.36667,22.2,21.4
101,8.1,17.3,5.3
102,25.7333,0.0,14.65
103,10.2,8.3,11.85
104,2.43333,10.55,13.9
105,8.7,27.5,14.8
106,12.3667,21.75,0.0
107,25.6,8.35,28.85
108,9.56667,3.65,11.6
109,2.0,6.85,3.1
110,4.26667,24.95,28.0
111,7.96667,17.15,12.4
112,18.3,9.55,31.6
113,18.9667,6.55,3.6
114,6.4,11.6,6.45
115,6.0,20.6,26.95
116,2.96667,11.4,13.5
117,11.8333,18.45,6.95
118,16.7333,12.95,14.25
119,15.3667,12.2,5.9
120,2.7,14.4,19.7
121,1.1,31.2,14.3
122,10.7333,12.75,16.3
123,23.4,7.9,25.65
124,12.1333,8.35,3.25
125,3.3,20.6,0.0
126,11.7,26.9,17.25
127,4.2,14.5,14.25
128,17.6333,6.1,22.55
129,14.7667,5.85,9.35
130,8.56667,16.9,17.0
131,10.7333,18.95,26.2
132,11.9333,26.55,6.1
133,14.9667,5.75,19.0
134,13.3333,6.25,10.85
135,11.8667,11.6,5.75
136,5.96667,19.7,25.5
137,6.83333,22.25,7.35
138,16.6667,17.25,9.15
139,19.8,0.0,22.15
140,10.8667,7.95,3.55
141,3.73333,16.55,12.3
142,5.46667,20.6,17.75
143,11.2,16.5,13.7
144,23.0667,17.775,21.1
145,13.8,4.15,6.25
146,2.06667,18.0,5.9
147,3.46667,20.4,19.55
148,6.16667,21.25,6.9
149,21.0,9.6,24.65
150,15.5333,5.65,4.95
151,4.43333,5.75,15.3
152,3.76667,22.25,48.75
153,7.1,10.0,14.8
154,16.3667,13.55,14.1
155,11.0,0.0,19.7
156,12.8,3.1,2.8
157,8.2,2.75,24.35
158,8.43333,13.85,16.95
159,11.2667,14.95,10.85
160,20.1,0.0,22.8
161,10.0667,0.0,12.15
162,0.4,10.2,15.05
163,7.4,21.3,25.9
164,12.2,15.9,3.05
165,19.6,0.0,20.6
166,16.9667,8.1,9.45
167,13.1333,2.8,12.65
168,3.16667,20.45,23.1
169,11.3,12.15,7.9
170,19.4667,18.4,19.2
171,25.3333,16.9,13.8
172,3.43333,2.8,3.0
173,10.2667,22.05,33.9
174,9.86667,17.05,7.55
175,18.9667,22.0,12.85
176,12.5667,6.45,23.7
177,10.3667,6.5,2.85
178,7.7,2.8,12.8
179,5.8,22.25,24.95
180,14.7333,20.95,13.25
181,19.5,14.25,18.6
