wMB/s,node164,node165,node166
0,4.21,11.445,2.0
1,10.1567,8.42,19.9
2,12.97,0.0,4.135
3,7.33,2.785,5.31
4,1.33333,6.69,18.13
5,5.33333,10.855,5.17
6,5.33333,6.67,4.365
7,16.3233,8.0,13.03
8,8.88667,6.0,0.0
9,0.0,5.99,13.055
10,3.57,12.265,14.37
11,6.66667,7.405,10.01
12,12.4133,0.0,9.885
13,9.19333,9.565,0.12
14,2.2,5.69,6.2
15,4.0,14.36,13.72
16,3.95,8.45,6.0
17,11.2667,4.4,13.335
18,8.45667,8.0,1.56
19,6.01667,2.0,6.44
20,4.00333,5.475,11.83
21,4.0,11.78,6.005
22,8.08667,10.905,6.575
23,12.2733,0.105,7.07
24,5.12333,6.125,7.22
25,1.77667,6.0,11.545
26,5.70333,20.78,0.92
27,7.64,11.565,2.0
28,13.3767,5.735,14.02
29,6.49667,4.0,6.0
30,1.84667,11.47,6.0
31,4.55667,14.31,11.34
32,6.67,10.89,10.89
33,10.3033,2.47,16.11
34,13.1133,3.53,4.0
35,0.0,12.0,13.3
36,2.66667,9.31,17.565
37,6.98667,8.78,5.31
38,11.0567,8.775,12.605
39,8.80333,4.0,0.0
40,5.45,9.235,2.0
41,5.04,14.0,21.88
42,2.12667,12.375,2.0
43,5.33333,12.505,3.455
44,14.19,10.44,11.085
45,7.47667,6.37,2.625
46,1.87333,14.51,13.375
47,6.66667,12.895,9.435
48,6.23333,7.02,10.94
49,15.4167,2.985,13.335
50,8.85,9.47,2.0
51,2.66667,10.785,12.01
52,2.66667,17.14,14.915
53,4.97667,16.12,6.0
54,15.44,1.335,9.68
55,13.64,2.28,2.0
56,4.50333,8.0,11.16
57,0.0,8.0,16.645
58,6.66667,13.265,3.09
59,4.56,11.685,11.615
60,12.2167,3.61,6.92
61,7.21333,2.0,0.0
62,2.76333,8.0,8.25
63,2.56,18.735,11.755
64,10.8667,8.2,6.06
65,15.2333,2.0,13.45
66,7.00667,8.0,4.01
67,2.37333,10.0,3.565
68,5.18333,18.525,14.04
69,2.66667,9.59,4.0
70,10.7867,2.235,12.96
71,10.03,3.25,12.0
72,1.6,4.75,7.215
73,4.94667,12.175,13.38
74,9.12667,7.615,6.005
75,12.74,4.01,19.545
76,7.98,0.0,4.0
77,6.69333,0.625,9.785
78,4.20667,2.47,17.9
79,5.67333,10.74,2.6
80,7.53333,10.445,11.37
81,12.5633,4.0,7.85
82,8.98,4.0,4.0
83,2.66667,4.08,10.0
84,5.42,16.205,15.115
85,4.13667,9.475,8.0
86,17.9033,4.0,14.05
87,10.5767,5.21,2.785
88,1.33333,8.005,8.0
89,2.78,11.09,14.855
90,6.58333,12.625,7.65
91,10.2667,0.0,15.425
92,8.76667,1.69,4.135
93,9.81667,10.0,8.0
94,3.02333,12.155,13.78
95,9.32,9.075,6.995
96,9.97333,11.29,12.925
97,10.4967,0.0,4.55
98,6.19,6.0,4.285
99,2.67,8.0,10.89
100,5.33333,13.175,13.135
101,5.33333,10.125,4.0
102,15.4767,0.0,8.43
103,6.00333,5.04,5.855
104,1.25,6.86,8.285
105,5.41667,17.135,9.205
106,8.0,12.62,0.0
107,15.7067,5.625,13.845
108,5.44,2.0,8.005
109,1.33333,4.0,2.0
110,2.66667,17.3,11.385
111,4.81,9.81,8.0
112,11.2267,5.07,18.83
113,10.15,4.39,2.0
114,2.15667,4.73,4.0
115,2.75,13.18,16.425
116,1.87333,7.805,4.22
117,7.33667,11.07,3.345
118,9.73333,7.35,9.805
119,7.34,7.125,3.01
120,1.39667,8.425,11.39
121,0.603333,19.055,9.07
122,7.73,8.255,8.745
123,13.9767,5.69,15.145
124,7.37333,4.78,2.0
125,1.99,13.22,0.0
126,8.0,17.525,10.565
127,2.66667,9.065,8.255
128,10.5067,4.125,9.53
129,9.18667,3.19,6.39
130,4.93333,10.94,10.565
131,6.50333,12.33,15.63
132,6.23667,17.55,4.0
133,8.95667,2.62,10.09
134,8.15333,4.395,6.52
135,7.71333,7.44,4.0
136,4.0,12.0,15.48
137,4.41667,13.13,4.5
138,10.2933,10.52,6.005
139,12.2,0.0,14.145
140,6.62,4.47,2.0
141,2.66667,11.53,7.555
142,3.55333,12.87,12.01
143,7.52333,10.02,8.785
144,12.5,8.5,13.9
145,7.87333,2.025,4.0
146,1.33333,11.245,4.0
147,2.66667,13.525,11.2
148,4.0,12.635,4.22
149,11.3433,6.3,14.74
150,8.53,4.0,2.76
151,2.67,4.0,6.615
152,1.99,13.715,22.71
153,4.73,6.0,7.195
154,9.45,8.16,8.33
155,7.26,0.0,11.675
156,7.47333,2.0,2.0
157,5.33333,2.0,9.35
158,5.16667,8.645,10.445
159,7.49333,9.495,7.41
160,12.04,0.0,14.125
161,6.03667,0.0,7.75
162,0.213333,6.0,9.765
163,4.34,12.875,13.13
164,8.33333,9.085,2.0
165,12.6133,0.0,12.08
166,8.11333,4.57,5.405
167,8.71667,2.0,7.665
168,1.95,12.345,14.175
169,6.41667,7.775,4.94
170,10.7133,8.585,11.775
171,15.6333,11.015,8.1
172,1.84,2.0,2.0
173,6.77333,12.27,21.935
174,5.32667,9.12,4.15
175,10.71,11.55,8.0
176,8.23333,4.0,13.615
177,6.18,4.0,2.0
178,5.33333,2.0,8.0
179,2.76667,12.935,13.925
180,9.48,12.66,7.575
181,11.7167,8.97,9.955
182,8.49667,3.63,6.0
183,5.33333,6.0,8.11
184,5.33667,14.28,16.885
185,6.66667,7.035,2.0
186,17.71,1.69,14.665
187,9.14333,10.78,8.0
188,0.0,7.56,4.0
189,1.33333,18.32,12.08
190,4.81333,2.0,1.66
191,13.92,10.68,5.325
192,10.4767,4.0,9.745
193,0.00333333,4.33,11.61
194,2.58333,11.875,10.22
195,8.0,13.21,12.135
196,8.76333,11.975,5.735
197,8.44667,5.055,16.02
198,7.65333,7.375,4.0
199,3.09,7.285,4.0
200,6.08333,18.525,9.455
201,6.84333,10.115,7.25
202,13.3367,4.0,13.98
203,7.38333,6.77,8.0
204,1.42667,10.115,3.955
205,2.75333,13.6,13.465
206,6.27333,6.565,4.0
207,15.7633,10.95,11.535
208,7.51,6.005,9.5
209,0.0666667,8.0,6.0
210,4.0,10.535,11.005
211,4.0,2.605,4.0
212,11.8567,8.96,7.47
213,9.77667,6.0,12.94
214,2.25333,10.005,6.0
215,4.34333,13.735,6.705
216,4.0,13.865,8.04
217,9.71333,11.265,6.0
218,10.9167,0.0,12.68
219,5.51333,10.09,0.0
220,5.4,4.76,5.36
221,6.66667,14.655,16.045
222,4.62667,10.52,4.635
223,11.99,2.75,15.11
224,6.71667,2.0,0.0
225,1.26333,8.0,11.455
226,5.33333,17.65,14.885
227,2.66667,4.645,6.0
228,15.6,11.91,14.97
229,7.32667,4.0,0.975
230,3.01,8.0,4.0
231,1.33333,16.27,10.705
232,6.67,8.015,1.695
233,11.3267,7.13,8.415
234,7.35333,4.015,10.43
235,3.48667,12.725,10.0
236,1.08333,7.57,15.765
237,8.0,13.245,11.04
238,7.19,13.735,6.0
239,12.1467,0.865,13.795
240,9.04667,0.0,4.0
241,3.96667,2.0,8.0
