w_await,node164,node165,node166
0,11.0233,94.18,16.54
1,24.2067,46.36,69.47
2,90.8467,0.0,32.025
3,52.7567,14.395,35.265
4,13.59,16.76,63.685
5,38.4633,74.1,33.655
6,25.93,50.615,16.75
7,82.4,17.955,80.5
8,32.6833,37.32,0.0
9,0.0,15.89,38.215
10,14.8767,69.815,121.785
11,24.1933,57.055,18.715
12,60.9767,0.0,47.065
13,84.82,34.585,14.75
14,10.6233,47.55,28.56
15,11.5667,55.22,66.935
16,26.4,44.305,18.54
17,56.2867,79.955,62.71
18,46.8933,15.87,14.25
19,39.0,15.855,17.285
20,11.1833,16.195,75.32
21,22.59,89.225,18.23
22,22.89,53.145,23.19
23,90.3567,11.665,88.155
24,36.44,28.48,16.585
25,25.2967,35.675,42.18
26,20.7667,87.025,17.865
27,36.84,34.14,16.145
28,88.34,21.65,74.625
29,50.76,14.52,18.31
30,9.52667,33.88,37.84
31,23.2367,73.235,81.745
32,23.0433,58.815,31.015
33,44.29,17.41,82.11
34,68.61,34.6,16.23
35,1.66667,33.18,17.82
36,12.63,30.325,44.615
37,26.3367,78.465,47.21
38,66.9,72.825,39.535
39,76.4433,16.055,0.0
40,43.9733,34.635,14.82
41,11.38,32.06,72.015
42,16.1233,53.455,17.5
43,27.49,58.725,23.85
44,93.75,16.385,86.7
45,33.2567,23.74,14.0
46,14.4767,33.755,18.095
47,24.39,104.555,134.905
48,24.3333,42.97,35.7
49,75.5267,14.355,55.36
50,92.0467,34.31,18.31
51,10.9133,31.37,18.145
52,10.6533,75.63,116.165
53,20.1067,64.145,19.1
54,49.91,17.2,62.215
55,57.63,13.735,19.715
56,64.93,35.595,34.0
57,0.0,40.295,85.7
58,22.2833,73.315,11.71
59,24.33,46.565,63.9
60,91.34,15.66,98.03
61,28.2867,15.46,0.0
62,5.86,17.52,93.64
63,6.16667,76.1,113.38
64,33.4167,55.695,28.62
65,78.2167,13.605,69.265
66,38.23,34.535,20.37
67,5.8,37.6,32.79
68,19.24,53.635,70.905
69,24.25,50.605,15.98
70,69.6533,13.12,68.6
71,91.36,15.335,33.67
72,42.8833,34.985,37.795
73,25.5833,58.34,39.98
74,34.4467,95.945,18.85
75,56.9767,81.92,69.92
76,38.6967,0.0,15.21
77,34.3067,5.56,36.06
78,16.59,31.49,63.9
79,24.4167,42.855,89.785
80,40.4667,72.085,43.18
81,94.5333,19.37,101.495
82,45.4167,19.26,17.02
83,11.0767,30.88,37.93
84,20.32,69.335,72.7
85,22.4633,65.18,35.16
86,79.0933,15.13,71.435
87,36.7633,15.475,24.395
88,11.1433,17.725,19.575
89,22.92,80.26,63.185
90,23.0433,39.54,24.22
91,71.7267,0.0,88.845
92,102.597,18.21,18.135
93,78.7367,39.725,33.015
94,18.2233,44.045,56.98
95,33.2833,66.035,18.84
96,38.0633,51.71,59.065
97,89.85,0.0,94.26
98,34.0667,16.25,19.12
99,10.3967,19.245,128.69
100,37.08,83.475,17.085
101,34.54,48.425,17.79
102,90.88,0.0,62.775
103,30.6267,13.525,14.57
104,14.8333,30.005,19.41
105,35.1667,61.23,58.375
106,37.6933,51.395,0.0
107,89.78,15.525,115.05
108,42.7633,17.855,16.755
109,10.5,41.23,18.115
110,11.5433,37.49,146.275
111,10.6967,39.29,17.51
112,34.9167,100.64,62.6
113,60.66,24.0,18.145
114,64.7967,37.93,19.615
115,20.19,38.71,50.5
