wrqm/s,node164,node165,node166
0,1.33333,1.0,0.5
1,3.66667,3.0,5.0
2,3.0,0.0,10.5
3,2.0,1.0,2.0
4,0.333333,3.0,4.5
5,1.66667,3.5,3.0
6,1.33333,2.0,1.5
7,5.0,2.0,4.0
8,2.0,1.5,0.0
9,0.0,2.0,7.5
10,1.33333,3.0,0.5
11,1.66667,2.0,2.5
12,4.33333,0.0,2.5
13,1.66667,3.0,9.0
14,0.666667,2.5,2.0
15,1.0,4.5,4.0
16,1.0,3.0,1.5
17,2.66667,0.5,3.5
18,4.0,2.0,0.5
19,0.666667,0.5,2.0
20,1.0,3.5,3.5
21,1.0,1.5,1.5
22,4.33333,3.0,4.5
23,1.66667,8.5,1.0
24,13.0,12.0,2.5
25,0.333333,1.5,3.0
26,2.0,7.5,0.5
27,2.33333,5.0,1.0
28,4.33333,2.5,3.0
29,5.66667,1.0,1.5
30,0.666667,3.0,1.5
31,1.33333,5.445,3.0
32,1.66667,3.0,10.0
33,3.0,1.0,5.0
34,3.66667,0.5,1.0
35,0.0,3.0,3.5
36,1.0,4.0,7.0
37,1.98,3.5,1.5
38,3.0,1.0,4.0
39,2.0,1.0,0.0
40,2.33333,2.5,0.5
41,1.33333,3.5,7.0
42,0.666667,4.0,0.5
43,1.33333,3.5,16.0
44,4.0,2.5,1.0
45,2.66667,2.0,1.0
46,0.666667,3.5,5.5
47,2.0,3.0,0.5
48,1.66667,2.0,3.0
49,5.0,1.5,5.0
50,2.33333,2.5,0.5
51,0.666667,3.5,3.0
52,0.666667,4.0,4.0
53,1.33333,17.0,1.5
54,10.6667,11.0,3.0
55,10.6667,1.0,0.5
56,0.0,2.0,3.0
57,0.0,2.0,6.0
58,1.66667,4.0,1.5
59,5.66667,4.0,5.5
60,2.66667,1.0,1.5
61,3.0,0.5,0.0
62,2.0,2.0,14.0
63,1.33333,6.0,1.0
64,3.0,2.0,2.0
65,5.33333,0.5,4.5
66,1.66667,2.0,1.0
67,1.33333,2.5,1.0
68,2.0,6.5,3.5
69,0.666667,2.5,1.0
70,4.33333,1.0,3.0
71,2.0,1.0,3.0
72,0.333333,1.5,2.5
73,1.66667,3.5,11.0
74,2.0,3.0,1.5
75,3.66667,0.5,6.5
76,2.0,0.0,1.0
77,2.0,0.5,3.0
78,1.33333,1.0,5.5
79,1.66667,2.0,0.5
80,3.33333,4.5,4.0
81,2.0,1.5,1.0
82,3.0,1.0,1.0
83,0.666667,7.5,3.0
84,7.0,15.0,4.5
85,8.66667,2.5,2.0
86,5.0,1.0,4.5
87,3.0,1.5,1.0
88,0.333333,2.0,2.0
