w/s,node164,node165,node166
0,14.0,39.0,6.5
1,34.3333,30.5,68.5
2,45.3333,0.0,26.0
3,25.6667,9.5,18.5
4,4.33333,23.0,63.5
5,18.3333,39.0,20.5
6,17.6667,24.0,15.0
7,56.3333,26.5,45.0
8,30.3333,20.5,0.0
9,0.0,20.5,47.0
10,15.0,43.0,49.0
11,22.0,27.5,33.5
12,43.0,0.0,35.0
13,33.3333,32.5,9.0
14,7.66667,21.5,20.5
15,13.3333,50.0,48.0
16,13.6667,28.5,20.0
17,38.0,17.0,46.5
18,29.6667,26.5,5.0
19,22.0,7.0,22.0
20,13.3333,19.0,41.5
21,13.3333,40.5,20.5
22,27.3333,38.0,25.0
23,44.3333,9.0,25.5
24,31.3333,29.5,26.0
25,8.66667,20.0,38.5
26,20.6667,73.5,5.5
27,26.6667,47.0,7.0
28,48.6667,22.0,49.0
29,31.0,13.0,20.0
30,6.33333,40.0,20.0
31,16.3333,51.485,40.0
32,22.3333,40.5,45.5
33,35.3333,8.5,57.0
34,45.6667,12.0,13.0
35,0.333333,39.5,45.5
36,9.33333,31.0,63.5
37,23.43,32.0,19.5
38,37.0,30.5,44.0
39,31.3333,13.5,0.0
40,20.6667,30.5,7.0
41,16.3333,46.5,80.0
42,8.66667,46.5,6.5
43,17.6667,44.0,21.0
44,51.3333,34.5,37.5
45,27.3333,22.0,9.0
46,7.66667,49.0,44.5
47,22.0,46.0,33.5
48,20.6667,26.0,36.0
49,54.0,10.5,48.5
50,33.0,32.0,6.5
51,9.0,36.5,40.0
52,9.0,57.5,51.5
53,17.0,67.5,20.0
54,59.3333,12.5,34.5
55,53.0,7.5,7.0
56,15.6667,27.0,37.0
57,0.0,26.0,61.0
58,22.3333,47.5,12.0
59,20.6667,42.0,42.0
60,43.6667,12.5,24.0
61,28.0,6.5,0.0
62,12.0,26.5,39.5
63,10.6667,66.5,40.5
64,37.3333,29.5,22.5
65,54.3333,7.0,47.0
66,29.0,26.5,13.5
67,10.0,33.5,12.0
68,18.6667,66.5,49.0
69,9.0,33.5,13.5
70,38.6667,8.5,45.5
71,34.6667,10.5,40.0
72,6.66667,17.0,26.0
73,17.0,40.0,58.0
74,30.3333,28.0,20.0
75,43.6667,15.5,68.0
76,27.3333,0.0,13.0
77,25.3333,4.0,35.0
78,14.0,8.0,60.5
79,19.6667,38.5,10.5
80,25.3333,38.0,38.0
81,43.6667,13.5,27.0
82,33.0,13.5,13.5
83,8.66667,22.0,33.5
84,25.3333,70.0,52.5
85,25.0,33.0,26.5
86,62.6667,13.5,49.5
87,36.6667,19.0,11.0
88,4.66667,26.5,26.5
89,16.6667,39.0,51.0
90,21.6667,43.0,29.5
91,36.6667,0.0,55.0
92,31.0,6.0,22.5
93,33.3333,34.0,26.0
94,11.3333,40.0,49.0
95,33.0,32.5,23.265
96,37.3333,44.0,43.5
97,39.3333,0.0,17.5
98,22.3333,20.0,14.5
99,9.0,26.5,38.5
100,18.0,46.5,45.0
101,17.6667,37.0,13.0
102,55.3333,0.0,31.0
103,21.6667,19.0,29.0
104,4.0,23.0,27.5
105,18.6667,59.0,33.5
106,26.3333,43.5,0.0
107,54.3333,19.5,48.5
108,20.0,7.0,26.5
109,4.66667,13.0,6.5
110,9.0,59.5,41.5
111,17.6667,33.0,26.5
112,39.0,20.0,65.5
113,36.0,15.0,7.0
114,18.3333,29.0,13.0
115,16.6667,43.5,58.0
116,7.33333,27.5,14.5
117,25.0,41.0,12.5
118,36.0,28.5,33.5
119,32.3333,26.5,12.5
120,5.0,31.0,40.5
121,2.33333,70.5,31.0
122,25.6667,29.5,39.5
123,50.6667,18.5,55.0
124,26.0,16.5,6.5
125,7.0,45.0,0.0
126,26.6667,60.0,37.5
127,9.0,31.5,28.5
128,36.3333,14.0,34.0
129,31.6667,12.5,21.0
130,18.6667,36.0,36.0
131,23.6667,43.0,54.5
132,22.3333,61.0,13.5
133,31.6667,13.5,43.0
134,28.6667,15.0,24.0
135,29.0,25.5,13.5
136,13.3333,39.5,54.0
137,14.3333,46.5,16.0
138,35.3333,37.5,20.5
139,43.3333,0.0,50.0
140,23.6667,15.0,7.0
141,9.0,38.5,26.5
142,12.6667,45.0,41.0
143,25.6667,35.5,30.5
144,51.3333,47.03,48.0
145,34.6667,8.5,14.0
146,4.66667,39.0,13.5
147,8.66667,48.5,39.5
148,14.0,44.0,14.5
149,46.3333,21.5,51.5
150,30.3333,13.5,9.5
151,10.0,13.5,25.0
152,8.0,47.0,83.5
153,15.6667,21.0,35.0
154,33.3333,29.5,29.5
155,25.0,0.0,40.5
156,26.3333,7.0,6.5
157,17.6667,6.5,33.0
158,18.0,31.0,37.5
159,25.3333,33.5,24.5
160,42.3333,0.0,50.0
161,21.0,0.0,26.0
162,1.33333,20.5,33.0
163,15.3333,46.5,56.5
164,28.0,33.0,7.0
165,44.3333,0.0,42.0
166,30.3333,15.5,17.5
167,30.3333,6.5,27.0
168,7.0,44.0,52.0
169,23.3333,27.5,16.5
170,42.6667,34.5,41.0
171,53.3333,37.5,28.5
172,7.66667,6.5,6.5
173,22.3333,41.5,73.5
174,25.6667,47.0,15.5
175,48.0,45.5,26.5
176,28.6667,13.5,51.0
177,21.6667,13.0,6.5
178,17.6667,6.5,26.5
179,16.0,45.0,49.0
180,33.0,44.5,28.5
181,41.3333,32.5,39.0
182,30.6667,13.5,20.0
183,17.6667,19.5,32.5
184,18.0,51.0,58.0
185,21.6667,23.5,6.5
186,62.0,7.0,52.0
187,32.0,38.0,26.5
188,0.0,25.0,13.0
189,4.66667,63.0,43.0
190,16.0,7.0,6.0
191,49.0,38.0,18.0
192,36.3333,13.5,34.0
193,1.33333,15.5,49.5
194,8.66667,39.5,35.0
195,27.0,46.5,42.5
196,30.0,43.5,21.5
197,29.0,17.5,55.5
198,29.0,24.5,13.0
199,12.0,25.0,14.0
200,21.3333,65.5,33.5
201,22.3333,35.0,23.5
202,48.3333,14.0,50.0
203,27.6667,24.0,26.5
204,12.6667,40.5,13.5
205,16.0,54.0,47.5
206,20.6667,24.0,13.5
207,55.3333,39.0,42.0
208,27.0,20.5,33.0
209,5.28,27.0,20.5
210,13.3333,36.0,40.5
211,13.6667,10.0,13.5
212,41.0,31.5,25.5
213,33.6667,20.0,54.0
214,8.33333,33.5,20.0
215,16.0,45.5,22.77
216,13.3333,48.5,30.0
217,34.0,40.0,20.0
218,39.0,0.0,44.5
219,20.3333,35.0,0.0
220,19.6667,16.5,18.5
221,22.3333,53.5,55.0
222,15.3333,37.5,17.5
223,43.3333,10.0,63.0
224,24.0,6.5,0.0
225,4.66667,26.0,38.5
226,17.6667,62.5,54.0
227,9.0,15.5,19.5
228,53.6667,41.0,52.0
229,25.6667,13.5,5.0
230,12.0,26.5,13.0
231,4.66667,55.5,38.5
232,22.0,28.0,7.0
233,39.3333,26.5,28.5
234,26.3333,25.0,36.5
235,31.0,56.0,33.5
236,3.66667,29.0,55.0
237,27.0,48.5,39.0
238,24.3333,51.5,20.0
239,52.0,4.0,48.5
240,33.3333,0.0,13.5
241,15.6667,6.5,26.5
242,21.3333,35.0,62.0
243,19.3333,32.5,25.5
244,62.6667,12.0,55.0
245,22.0,27.0,20.5
246,9.33333,6.5,16.5
247,11.0,32.0,69.0
248,30.6667,0.0,15.0
249,43.3333,32.5,38.5
250,23.6667,7.0,36.5
251,0.0,24.5,20.0
252,22.3333,34.0,26.0
253,26.6667,39.5,32.0
254,21.6667,31.5,21.0
255,57.0,5.0,70.5
256,21.0,33.5,17.5
257,2.66667,20.0,7.0
258,15.0,63.0,46.0
259,18.0,30.5,20.5
260,47.6667,0.0,30.5
261,18.6667,3.0,20.5
262,0.0,26.0,21.5
263,17.0,38.5,41.5
264,35.0,46.5,13.5
265,80.6667,16.5,71.5
266,31.0,19.5,21.0
267,17.0,20.5,14.0
268,18.0,24.0,38.5
269,42.3333,42.0,19.5
270,36.0,34.0,33.5
271,66.3333,23.5,39.0
272,5.33333,42.5,13.5
273,6.66667,23.5,35.0
274,17.6667,40.5,43.5
275,9.33333,34.0,1.5
276,56.6667,0.0,44.0
277,16.0,32.0,23.0
278,15.3333,29.5,35.5
279,6.33333,56.5,49.5
280,22.0,48.5,26.0
281,53.6667,13.5,45.5
282,28.3333,20.0,7.5
283,0.0,28.5,29.5
284,15.3333,50.0,60.5
285,9.66667,46.0,20.0
286,38.6667,16.5,42.5
287,37.6667,24.0,22.0
288,2.0,13.5,13.0
289,23.3333,47.5,31.0
