apply_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0.008893,0.00896,0,0,0,0
26,0.014054,0.006548,0.012034,0,0,0,0
27,0.015424,0.013821,0.012694,0.005177,0,0.004917,0.004093
28,0.011541,0.004485,0.017532,0.010376,0.007001,0.006856,0.011581
29,0.020927,0.009309,0.016302,0.00529,0.00546,0.005596,0.008384
30,0.0091,0.00466,0.009323,0.004086,0.004353,0.016128,0.010285
31,0.025749,0.013022,0.015123,0.00812,0.004397,0.007453,0.003778
32,0.01267,0.014048,0.014674,0.008322,0.012585,0.007875,0.016011
33,0.012045,0.007223,0.014204,0.011291,0.004588,0.018219,0.010923
34,0.004039,0.008749,0.006303,0.006078,0.005634,0.00436,0.004984
35,0.010666,0.01316,0.011922,0.005081,0.005752,0.008519,0.016383
36,0.007831,0.007376,0.004591,0.009338,0.019493,0.019141,0.010529
37,0.009782,0.00719,0.020809,0.013813,0.012976,0.004899,0.005951
38,0.007221,0.011265,0.007423,0.009728,0.004635,0.012345,0.016247
39,0.01161,0,0.017607,0.018446,0.008292,0.012076,0.015094
40,0.021819,0.012806,0.016677,0.008609,0.006806,0.009649,0.005066
41,0.012075,0.019903,0.013686,0.008319,0.009504,0.013331,0.010986
42,0.018327,0.015195,0.010168,0,0.003835,0.014427,0.010609
43,0.01529,0.014387,0.008641,0.00328,0,0.007683,0.012626
44,0.013287,0.010633,0.022578,0.005787,0.003941,0.007262,0.004747
45,0.012432,0.01652,0.021006,0.016101,0.015135,0.013402,0.011249
46,0.008046,0,0.021363,0.003904,0.003886,0.012274,0.006746
47,0.016136,0.019497,0.019254,0.003737,0.002768,0.010262,0.018053
48,0.012056,0.01869,0.02063,0.00463,0,0.009022,0.005546
49,0.01405,0.012114,0.02328,0.013236,0.011273,0.008349,0.013177
50,0.012773,0.019011,0.014825,0.009234,0.006845,0.008325,0.008939
51,0.018994,0.018954,0.013611,0.00573,0.004161,0.015315,0.008255
