commitcycle,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,11,10,10,9,8,4
1,11,10,10,9,8,4
2,11,10,10,9,8,4
3,11,10,10,9,8,4
4,11,10,10,9,8,4
5,11,10,10,9,8,4
6,11,10,10,9,8,4
7,11,10,10,9,8,4
8,11,10,10,9,8,4
9,12,11,11,10,9,4
10,12,11,11,10,9,5
11,12,11,11,10,9,5
12,12,11,11,10,9,5
13,13,12,11,10,9,5
14,13,12,12,11,10,6
15,13,12,12,11,10,6
16,13,12,12,11,10,6
17,14,13,13,11,10,6
18,14,13,13,12,11,7
19,14,13,13,12,11,7
20,15,13,13,12,11,7
21,15,14,13,12,11,7
22,15,14,14,13,12,8
23,16,14,14,13,12,8
24,16,14,14,13,12,8
25,16,15,14,13,12,8
26,17,15,15,14,13,9
27,17,15,15,14,13,9
28,17,15,15,14,13,9
29,17,16,16,14,14,9
30,18,16,16,15,14,10
31,18,16,16,15,14,10
32,18,16,16,15,14,10
33,18,17,17,15,14,10
34,19,17,17,16,15,11
35,19,17,17,16,15,11
36,19,18,17,16,15,11
37,20,18,18,16,15,11
38,20,18,18,17,16,12
39,20,19,18,17,16,12
40,20,19,18,17,16,12
41,20,19,18,17,16,12
42,21,20,19,18,17,13
43,21,20,19,18,17,13
44,21,20,19,18,17,13
45,21,20,19,18,17,13
46,22,21,20,19,18,13
47,22,21,20,19,18,14
48,22,21,20,19,18,14
49,22,21,20,19,18,14
50,23,22,21,19,18,14
51,23,22,21,20,19,15
52,23,22,21,20,19,15
53,23,22,21,20,19,15
54,23,22,21,20,19,15
55,24,23,22,21,20,16
56,24,23,22,21,20,16
57,24,23,22,21,20,16
58,24,23,22,21,20,16
59,25,24,23,22,20,16
60,25,24,23,22,21,17
61,25,24,23,22,21,17
62,25,24,23,22,21,17
63,26,25,24,22,21,17
64,26,25,24,23,22,18
65,26,25,24,23,22,18
66,26,25,24,23,22,18
67,26,25,24,23,22,18
68,27,26,25,24,23,18
69,27,26,25,24,23,19
70,27,26,25,24,23,19
71,27,26,25,24,23,19
72,28,27,26,24,23,19
73,28,27,26,25,24,20
74,28,27,26,25,24,20
75,28,27,26,25,24,20
76,29,28,27,25,24,20
77,29,28,27,26,25,21
78,29,28,27,26,25,21
79,29,28,27,26,25,21
80,30,29,28,26,25,21
81,30,29,28,27,26,22
82,30,29,28,27,26,22
83,30,29,28,27,26,22
84,30,29,28,27,26,22
85,31,30,29,27,26,22
86,31,30,29,28,27,23
87,31,30,29,28,27,23
88,31,30,29,28,27,23
89,32,31,30,28,27,23
90,32,31,30,29,28,24
91,32,31,30,29,28,24
92,32,31,30,29,28,24
93,33,32,31,29,28,24
94,33,32,31,29,28,24
95,33,32,31,30,29,25
96,33,32,31,30,29,25
97,34,33,31,30,29,25
98,34,33,32,30,29,25
99,34,33,32,31,30,26
100,34,33,32,31,30,26
101,35,34,32,31,30,26
102,35,34,33,31,30,26
103,35,34,33,32,31,27
104,35,34,33,32,31,27
105,36,35,34,32,31,27
106,36,35,34,32,31,27
107,36,35,34,33,32,28
108,36,35,34,33,32,28
109,36,35,34,33,32,28
110,37,36,35,33,32,28
111,37,36,35,33,32,28
112,37,36,35,34,33,29
113,38,37,35,34,33,29
114,38,37,36,34,33,29
115,38,37,36,34,33,29
116,38,37,36,35,33,29
117,39,38,36,35,34,30
118,39,38,37,35,34,30
119,39,38,37,35,34,30
120,39,38,37,35,34,30
121,39,38,37,36,35,31
122,40,39,38,36,35,31
123,40,39,38,36,35,31
124,40,39,38,36,35,31
125,40,39,38,37,36,32
126,40,39,38,37,36,32
127,41,40,39,37,36,32
128,41,40,39,37,36,32
129,41,40,39,38,36,32
130,41,40,39,38,37,33
131,42,41,40,38,37,33
132,42,41,40,38,37,33
133,42,41,40,38,37,33
134,42,41,40,39,38,34
135,43,42,40,39,38,34
136,43,42,41,39,38,34
137,43,42,41,39,38,34
138,43,42,41,40,38,34
139,44,43,42,40,39,35
140,44,43,42,40,39,35
141,44,43,42,40,39,35
142,44,43,42,40,39,35
143,44,43,42,41,40,36
144,45,44,43,41,40,36
145,45,44,43,41,40,36
146,45,44,43,41,40,36
147,45,44,43,42,41,37
148,46,45,44,42,41,37
149,46,45,44,42,41,37
150,46,45,44,42,41,37
151,46,45,44,43,41,38
152,47,45,44,43,42,38
153,47,46,45,43,42,38
154,47,46,45,43,42,38
155,47,46,45,43,42,39
