commitcycle_interval,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,6.720443,6.720104,6.749361,7.480948,7.134963,0
9,0,0,0,0,0,7.160553
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,7.891439,7.898217,0,0,0,0
13,0,0,7.860385,8.038193,7.992174,7.73826
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,6.948226,6.95114,6.966529,0,0,0
17,0,0,0,7.646812,7.675294,7.73853
18,0,0,0,0,0,0
19,5.890618,0,0,0,0,0
20,0,7.442415,0,0,0,0
21,0,0,6.849953,6.980426,6.847055,7.030457
22,5.593689,0,0,0,0,0
23,0,0,0,0,0,0
24,0,7.075156,0,0,0,0
25,5.743286,0,7.181777,7.068003,7.137826,7.151195
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,6.901481,6.567918,0,6.731499,0
29,5.58824,0,0,7.16073,0,6.813855
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,6.694158,7.416308,0,0,0
33,6.616389,0,0,7.261151,7.599806,7.616068
34,0,0,0,0,0,0
35,0,5.762969,0,0,0,0
36,6.692116,0,7.339449,0,0,0
37,0,0,0,7.243372,7.172262,7.191664
38,0,5.905436,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,7.257446,5.381126,7.432197,7.408024,7.534461,7.384977
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,8.250207,6.80995,7.860593,8.086416,7.982954,0
46,0,0,0,0,0,8.078769
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,7.546405,7.648273,7.851125,0,0,0
50,0,0,0,7.548763,7.665214,7.551016
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,7.787873,7.72298,7.829029,7.733502,7.734284,7.843909
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,7.943416,7.939281,7.883941,7.913957,0,0
59,0,0,0,0,8.02059,7.919618
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,7.689801,7.696596,7.763428,0,0,0
63,0,0,0,7.740366,7.673592,7.574006
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,7.861846,7.830578,7.868062,7.888815,7.705938,0
68,0,0,0,0,0,7.934391
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,7.91589,7.760663,7.613048,0,0,0
72,0,0,0,7.924851,7.958782,7.909891
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,7.362996,7.557356,7.062187,0,0,0
76,0,0,0,7.798461,7.73934,7.756219
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,7.301939,7.315031,7.502663,0,0,0
80,0,0,0,6.807572,6.806254,6.828404
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,7.668926,7.67294,7.949585,0,0,0
85,0,0,0,7.975826,7.970131,7.970628
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,7.976534,7.977559,7.990615,0,0,0
89,0,0,0,7.984044,7.97019,7.979752
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,7.45335,7.433435,7.713635,0,0,0
93,0,0,0,0,0,0
94,0,0,0,7.884265,7.698927,7.511962
95,0,0,0,0,0,0
96,7.713741,6.996731,0,0,0,0
97,0,0,7.452903,0,0,0
98,0,0,0,7.268614,7.45799,7.424927
99,0,0,0,0,0,0
100,7.173379,7.360911,0,0,0,0
101,0,0,7.422275,0,0,0
102,0,0,0,7.835307,7.667338,7.187384
103,0,0,0,0,0,0
104,7.493032,7.465871,7.201684,0,0,0
105,0,0,0,0,0,0
106,0,0,0,7.374137,7.291991,7.868418
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,8.089339,8.095938,8.094189,0,0,0
110,0,0,0,0,0,0
111,0,0,0,7.537985,7.714538,7.700032
112,7.399541,7.239924,0,0,0,0
113,0,0,7.398535,0,0,0
114,0,0,0,0,0,0
115,0,0,0,7.904671,0,0
116,7.476683,7.633195,0,0,7.904772,7.564164
117,0,0,7.772554,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,7.661555,7.153563,7.457271
121,7.970626,7.980781,7.868187,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,7.566042,7.97056,7.982117
125,0,0,0,0,0,0
126,7.92587,8.162654,8.076669,0,0,0
127,0,0,0,0,0,0
128,0,0,0,7.433776,0,0
129,0,0,0,0,8.169072,7.805898
130,7.704947,7.654886,7.261136,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,7.870289,7.624107,7.549658
134,7.744884,7.293295,0,0,0,0
135,0,0,7.760115,0,0,0
136,0,0,0,0,0,0
137,0,0,0,7.642169,0,0
138,7.713695,7.728949,8.105969,0,7.647197,7.990864
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,7.7909,7.755804,7.887133
143,7.480371,7.627044,7.978232,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,7.979605,7.609652,7.236059
147,7.153256,7.843223,7.134038,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,7.134885,0,7.204093
151,7.600193,0,0,0,7.396304,0
152,0,7.778852,7.744864,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,7.536603
