commitcycle_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0.144744,0.218563,0,0,0,0.095932,0
28,0,0,0.237706,0,0,0,0
29,0,0,0,0,0,0,0.26691
30,0,0,0,0,0,0,0
31,0.250385,0.234393,0,0.29801,0,0,0
32,0,0,0.281609,0,0.295095,0.279423,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0.280921
35,0.259031,0,0,0.246789,0,0,0
36,0,0.218904,0.288712,0,0.237361,0.253243,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0.311215
39,0.288464,0,0,0,0,0,0
40,0,0.222348,0,0.248313,0,0,0
41,0,0,0.188896,0,0.238605,0.333202,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0.27573
44,0.256083,0.302037,0,0.219925,0,0,0
45,0,0,0.228314,0,0.288395,0.28226,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0.254017
48,0.262977,0.230749,0,0,0,0,0
49,0,0,0.255423,0.303395,0,0,0
50,0,0,0,0,0.280171,0.262627,0
51,0,0,0,0,0,0,0
52,0.237798,0,0,0,0,0,0.412958
53,0,0.261656,0.319135,0.268332,0,0,0
54,0,0,0,0,0.230605,0.237386,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0.225139,0.248576,0,0,0,0,0.342739
58,0,0,0.286512,0.291867,0,0,0
59,0,0,0,0,0.322015,0.234835,0
60,0,0,0,0,0,0,0
61,0.221863,0.245867,0,0,0,0,0.237981
62,0,0,0.262035,0,0,0,0
63,0,0,0,0.293154,0,0,0
64,0,0,0,0,0.284582,0.290377,0
65,0.252531,0,0,0,0,0,0
66,0,0.290379,0.29428,0,0,0,0.309909
67,0,0,0,0.340328,0,0,0
68,0,0,0,0,0.23782,0.28652,0
69,0,0,0,0,0,0,0
70,0.248418,0.225553,0,0,0,0,0.308373
71,0,0,0.283173,0,0,0,0
