journal_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,34840157,24757854,24461354,70607204,140315875,165735261,380828374
1,34840157,24757854,24461354,70607204,140315875,165735261,380828374
2,34840157,24757854,24461354,70607204,140315875,165735261,380828374
3,34840157,24757854,24461354,70607204,140315875,165735261,380828374
4,34840157,24757854,24461354,70607204,140315875,165735261,380828374
5,34840157,24757854,24461354,70607204,140315875,165735261,380828374
6,34840157,24757854,24461354,70607204,140315875,165735261,380828374
7,34840157,24757854,24461354,70607204,140315875,165735261,380828374
8,34840157,24757854,24461354,70607204,140315875,165735261,380828374
9,34840157,24757854,24461354,70607204,140315875,165735261,380828374
10,34840157,24757854,24461354,70607204,140315875,165735261,380828374
11,34840157,24757854,24461354,70607204,140315875,165735261,380828374
12,34840157,24757854,24461354,70607204,140315875,165735261,380828374
13,34840157,24757854,24461354,70607204,140315875,165735261,380828374
14,34840157,24757854,24461354,70607204,140315875,165735261,380828374
15,34840157,24757854,24461354,70607204,140315875,165735261,380828374
16,34840157,24757854,24461354,70607204,140315875,165735261,380828374
17,34840157,24757854,24461354,70607204,140315875,165735261,380828374
18,34840157,24757854,24461354,70607204,140315875,165735261,380828374
19,34840157,24757854,24461354,70607204,140315875,165735261,380828374
20,34840157,24757854,24461354,70607204,140315875,165735261,380828374
21,34840157,24757854,24461354,70607204,140315875,165735261,380828374
22,34840157,24757854,24461354,70607204,140315875,165735261,380828374
23,34840157,24757854,24461354,70607204,140315875,165735261,380828374
24,34840157,24757854,24461354,70607204,140315875,165735261,380828374
25,34840157,24757854,24461354,70607204,140315875,165735261,380828374
26,34840157,27031832,33449613,70607204,140315875,165735261,380828374
27,43828568,33761144,46930414,70607204,140315875,165735261,380828374
28,57306998,38249958,53940710,79578030,140315875,174155361,389836157
29,70219262,42897994,60385867,84706704,153787060,192684024,397624518
30,72976491,60667692,68998991,97524555,161428832,201651374,404179524
31,80583807,65154197,78315844,102499953,180474264,210626693,421254628
32,85037544,74144637,88628932,115464347,185173540,219594288,427263860
33,98163733,82666378,100760139,142389265,192741161,235440181,443678165
34,106641281,86563563,118706159,144664652,205687333,241445500,456737762
35,111127786,93394643,122554351,164832420,217084232,242041809,468842086
36,124595495,102965229,132117062,170607538,234539420,259995008,475112900
37,129086618,112292647,136614070,192420517,239664238,268979563,493390154
38,138071173,121486531,141111078,200692429,248584524,282462393,502744373
39,142555369,132487482,163540252,201008131,262484102,300467247,513174351
40,160891854,132487482,173462703,205216447,277046350,317519962,524901022
41,169839023,140703954,181501587,214160387,288412790,319900580,542415964
42,183963959,146661384,199408354,223144942,295838836,331825943,553708674
43,191933718,154932854,205611370,223144942,297385800,340801386,567503691
44,201513540,168402872,212870178,232115643,297385800,354273748,581355380
45,209898435,175880383,217359118,236606766,302227693,364088606,602303126
46,225570461,181883393,227048929,248183793,315345549,372226695,609711653
47,243580975,181883393,230839779,250073333,324016945,379518318,623187556
48,254769721,184971436,242873949,263728099,324332638,394680352,632169929
49,265425385,190871524,253295619,281496425,324332638,397520547,642881942
50,279840247,199849280,259636587,290461589,335694460,420655879,653350763
51,293857673,204343979,275725835,293827939,345122204,434544512,659114155
52,304133427,208830484,285166518,294950403,355754736,439560748,671745901
53,304133427,213158322,304713548,309968682,355754736,447453459,695032219
54,309115628,217789757,313693554,321880317,360242508,453034371,711638386
55,324848341,223128741,325085835,345308090,370382549,461343334,717464844
56,347926459,231259903,328302727,353303536,373711513,479924338,723456349
57,357996092,240450181,335870384,353303536,388062032,485995192,745400306
58,368243962,244728653,346916747,358852982,400634344,506648582,748874196
59,384884180,249498083,352004196,362287177,414387415,529298502,748874196
60,391905972,258176623,362391231,374144613,427588362,538275210,753356083
61,407348552,258176623,373161362,384730204,432077050,545848452,759214167
62,409524593,285087809,378917566,400974656,441040824,560700008,766813289
63,416330798,289565078,391041012,407187086,446967795,571786274,775795535
64,433238679,296694128,401344800,427329190,450009216,578632737,785353309
65,442638498,303044332,408746272,438625520,454502648,596483110,793742822
66,447722579,312014905,424266222,446507786,462029307,614533319,801174753
67,461165931,312853773,441601980,456568559,481353957,614533319,806331297
68,470143559,320993233,441742288,465520788,481424111,619548288,825163353
69,479105024,334458759,444411716,469991130,497572004,624109565,843788648
70,490991832,334458759,450729152,479209679,517296630,627995143,852469508
71,498596839,338952191,462170364,487934841,527681222,636956481,865739681
72,510517835,338952191,474797446,500861513,535259296,645933067,885378821
73,520719842,343446890,488824088,514833344,548723654,657143036,888009671
74,528445735,352418981,491131231,523922088,553196305,662879726,915536653
75,528445735,367111034,502359672,533638642,557684077,676568175,924077194
76,536684565,371527385,518083952,550760245,565300541,689407810,928394199
77,541912432,382613117,527691906,559734522,576389902,698135318,939965441
78,555389504,388329591,540810032,570488932,592583114,699787513,972830851
79,570616204,388329591,549499215,586616833,593601614,708771026,977733763
80,582319635,399944132,553985845,602164588,598095174,720773470,984404441
81,591298656,401806789,569117736,613555827,608833755,728770209,986720725
82,595788737,406294561,579532514,631505899,616338987,749169662,991207355
83,613737317,411735072,591278360,638154591,638470466,763625994,1009374592
84,622702358,423414896,598855217,665152405,638470466,767090648,1023611686
85,627191172,433237948,607834112,678094048,651911292,773650397,1031593304
