journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0.008048,0.008,0,0,0,0
26,0.013058,0.003686,0.010935,0,0,0,0
27,0.014017,0.01289,0.01195,0.004204,0,0.00405,0.003352
28,0.010677,0.003869,0.016924,0.009747,0.006293,0.005916,0.0105
29,0.020141,0.008132,0.015545,0.004261,0.004723,0.004548,0.007899
30,0.0084,0.00399,0.008562,0.003292,0.003569,0.015348,0.009597
31,0.024699,0.011878,0.014409,0.007197,0.00364,0.00393,0.00325
32,0.010798,0.013318,0.013987,0.006645,0.011641,0.004235,0.008299
33,0.011319,0.005478,0.009434,0.010554,0.003837,0.016351,0.009986
34,0.003406,0.004925,0.003223,0.004473,0.004632,0.003525,0.004324
35,0.008645,0.012437,0.010473,0.003973,0.004922,0.007844,0.015892
36,0.007172,0.006619,0.003946,0.00837,0.018769,0.018391,0.009829
37,0.008998,0.006435,0.020093,0.013058,0.012214,0.004123,0.005284
38,0.006508,0.009969,0.006538,0.008916,0.004016,0.011482,0.015349
39,0.010763,0,0.016349,0.017631,0.007536,0.011238,0.014444
40,0.021121,0.012067,0.016128,0.007814,0.006097,0.009021,0.00438
41,0.011034,0.019032,0.01285,0.007726,0.008673,0.012444,0.010083
42,0.017518,0.014422,0.00956,0,0.003152,0.013604,0.009855
43,0.014324,0.013551,0.007908,0.002705,0,0.006677,0.010942
44,0.012613,0.009867,0.022044,0.00507,0.003429,0.006318,0.003836
45,0.011318,0.015784,0.020281,0.015351,0.014361,0.012701,0.010577
46,0.006938,0,0.020987,0.003171,0.003174,0.010273,0.006094
47,0.015458,0.018733,0.018482,0.003069,0.001943,0.00962,0.016945
48,0.011215,0.018056,0.01997,0.003641,0,0.008442,0.004949
49,0.013315,0.005061,0.022419,0.012514,0.010622,0.007548,0.012332
50,0.010723,0.018273,0.013949,0.008446,0.006104,0.007612,0.008105
51,0.017694,0.018272,0.012936,0.00519,0.003473,0.014587,0.007548
