journal_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,1150,785,607,815,406,145
1,1150,785,607,815,406,145
2,1150,785,607,815,406,145
3,1150,785,607,815,406,145
4,1150,785,607,815,406,145
5,1150,785,607,815,406,145
6,1150,785,609,816,406,145
7,1496,1104,967,1108,695,202
8,1503,1108,984,1252,837,316
9,2042,1428,1193,1310,858,323
10,2300,1740,1683,1973,1568,601
11,2445,1926,1917,2324,1837,762
12,2453,1932,1938,2351,1960,815
13,2642,1942,1946,2374,1965,817
14,3071,2466,2553,3019,2557,1033
15,3259,2635,2731,3250,2774,1186
16,3294,2712,2808,3367,2944,1298
17,3294,2716,2814,3367,2944,1298
18,3864,3276,3389,3989,3427,1469
19,4067,3420,3597,4217,3711,1629
20,4079,3439,3628,4310,3885,1755
21,4094,3451,3639,4324,3889,1759
22,4662,3941,4196,4867,4550,1951
23,4807,4114,4354,5125,4715,2131
24,4885,4182,4478,5267,4871,2190
25,4952,4295,4483,5287,4900,2200
26,5398,4658,4993,5861,5487,2452
27,5610,4837,5169,6045,5698,2543
28,5717,4966,5323,6236,5904,2664
29,5736,4971,5333,6270,5938,2668
30,6372,5528,5792,6898,6425,2833
31,6499,5640,6016,7097,6732,3048
32,6526,5712,6125,7198,6845,3106
33,6556,5732,6137,7230,6866,3118
34,7136,6238,6693,7519,7443,3318
35,7373,6411,6907,8041,7655,3503
36,7408,6447,6962,8189,7799,3613
37,7519,6454,6974,8195,7817,3626
38,8003,6921,7532,8840,8377,3845
39,8183,7090,7631,8952,8500,3949
40,8245,7170,7780,9185,8761,4059
41,8261,7178,7792,9207,8761,4070
42,8833,7622,8262,9557,9214,4194
43,9030,7825,8499,9966,9482,4399
44,9156,7932,8672,10215,9790,4545
45,9156,7933,8686,10233,9792,4556
46,9694,8257,8862,10338,9852,4559
47,9869,8593,9323,10924,10478,4849
48,10034,8760,9538,11165,10792,4984
49,10034,8761,9565,11262,10872,5025
50,10166,8892,9594,11288,10908,5031
51,10711,9322,10158,11836,11440,5295
52,10894,9594,10419,12095,11764,5390
53,10949,9606,10441,12291,12017,5503
54,10959,9606,10462,12307,12019,5507
55,11620,10097,10982,12680,12306,5599
56,11754,10304,11204,13054,12816,5849
57,11869,10431,11311,13328,13015,5936
58,11889,10431,11330,13358,13069,5993
59,12492,10740,11680,13405,13096,6001
60,12579,11041,11936,14056,13721,6306
61,12754,11224,12203,14250,13955,6385
62,12776,11232,12221,14417,14106,6473
63,12920,11298,12260,14435,14126,6487
64,13424,11704,12835,14963,14528,6645
65,13627,11914,12977,15250,14883,6802
66,13691,12005,13107,15476,15174,6930
67,13698,12006,13137,15502,15200,6950
68,14256,12387,13633,15560,15227,6955
69,14457,12655,13844,16187,15856,7250
70,14576,12824,14051,16459,16127,7370
71,14598,12825,14073,16571,16245,7469
72,14927,13022,14105,16595,16247,7472
73,15282,13474,14762,17085,16811,7619
74,15462,13635,14956,17437,17071,7824
75,15472,13658,14956,17616,17276,7961
76,15590,13707,14979,17638,17292,7983
77,16066,14220,15533,17980,17515,8071
78,16236,14348,15714,18348,18053,8299
79,16236,14356,15726,18522,18252,8400
80,16604,14587,15895,18522,18252,8402
81,16861,14924,16419,18990,18632,8538
82,17068,15137,16559,19242,19004,8723
83,17096,15171,16688,19513,19254,8852
84,17108,15197,16688,19557,19312,8889
85,17662,15672,17058,19577,19336,8904
86,17871,15859,17329,20242,19978,9152
87,18007,15993,17571,20440,20208,9301
88,18014,16003,17571,20605,20371,9398
89,18580,16336,17745,20624,20380,9399
90,18776,16580,18175,20937,20558,9453
91,18940,16786,18431,21391,21082,9746
92,18959,16790,18463,21666,21360,9887
93,19207,16849,18510,21720,21396,9919
94,19600,17347,19062,21729,21402,9922
95,19810,17513,19275,22375,22007,10204
96,19829,17550,19329,22539,22236,10302
97,20022,17581,19331,22704,22386,10391
98,20509,18058,19889,22733,22387,10391
99,20714,18341,20231,23344,23017,10677
100,20732,18342,20247,23530,23177,10753
101,20739,18365,20260,23769,23467,10873
102,21386,18946,20804,23769,23467,10886
103,21512,19104,21015,24062,23799,10940
104,21524,19114,21048,24506,24180,11204
105,21657,19179,21070,24717,24462,11289
106,22217,19671,21610,24725,24471,11309
107,22404,19875,21819,25114,24750,11389
108,22426,19875,21874,25401,25137,11620
109,22454,19892,21894,25601,25399,11723
110,23110,20411,22440,25725,25505,11770
111,23316,20713,22690,25753,25506,11776
112,23354,20715,22723,26239,25972,11940
113,23371,20727,22747,26523,26298,12102
114,23990,21292,23338,26743,26583,12250
115,24092,21379,23494,26743,26590,12286
116,24147,21414,23539,26793,26606,12288
117,24181,21444,23555,27403,27263,12527
118,24781,21893,24136,27636,27435,12634
119,24938,22048,24266,27723,27503,12704
120,25022,22169,24419,27756,27531,12705
121,25040,22180,24419,28442,28104,12898
122,25290,22297,24550,28616,28372,13054
123,25709,22737,25087,28752,28550,13137
124,25912,22985,25253,28754,28550,13150
125,25932,23007,25357,29010,28735,13221
126,25943,23007,25364,29591,29260,13477
127,26449,23541,25692,29835,29584,13611
128,26674,23714,26099,29847,29607,13676
129,26789,23802,26253,29852,29627,13684
130,26796,23802,26253,30532,30261,13928
131,27053,23985,26354,30730,30472,14054
132,27448,24408,26909,30866,30631,14166
133,27615,24581,27106,30873,30631,14167
134,27637,24581,27109,31305,30905,14329
135,27695,24597,27126,31603,31384,14508
136,28331,25174,27751,31814,31616,14593
137,28472,25380,27992,31829,31663,14630
138,28492,25399,27993,31889,31679,14636
139,28544,25426,28025,32483,32196,14852
140,29114,25922,28545,32703,32559,15011
141,29327,26121,28764,32847,32713,15109
142,29371,26205,28907,32847,32742,15111
143,29412,26212,28907,33127,33042,15141
144,29750,26364,29004,33668,33481,15441
145,30143,26768,29543,33905,33748,15613
146,30220,26886,29693,33933,33770,15626
147,30259,26925,29716,33985,33788,15635
148,30426,26955,29767,34677,34458,15949
149,30934,27481,30343,34895,34632,16062
150,31110,27653,30518,34913,34688,16082
151,31125,27675,30562,34968,34724,16099
152,31152,27688,30579,35613,35375,16367
153,31879,28261,31210,35857,35584,16497
154,31929,28385,31377,35924,35701,16559
155,32002,28450,31452,35940,35710,16566
156,32002,28473,31482,36435,36246,16717
157,32543,28952,31933,36752,36506,16949
158,32730,29086,32074,36943,36730,17033
159,32795,29214,32257,36946,36761,17044
160,32805,29218,32270,37195,36893,17147
161,33382,29534,32609,37617,37431,17326
162,33534,29864,32900,37880,37701,17433
163,33717,29988,33097,37899,37736,17468
164,33722,30006,33118,37964,37815,17480
165,33834,30041,33126,38654,38487,17769
166,34414,30574,33727,38837,38698,17899
167,34613,30811,33936,38895,38789,17944
168,34641,30829,33967,38927,38804,17951
169,34990,31193,34123,39478,39332,18115
170,35320,31401,34576,39763,39614,18300
171,35497,31600,34814,39920,39855,18418
172,35509,31610,34855,39943,39855,18438
173,35674,31665,34911,40501,40351,18641
174,36211,32193,35503,40769,40627,18759
175,36355,32321,35671,40996,40894,18893
176,36356,32336,35707,41006,40894,18903
177,36385,32349,35718,41307,41136,18965
178,36967,32848,36287,41778,41670,19232
179,37197,33072,36506,41984,41853,19331
180,37214,33098,36597,41984,41894,19344
181,37252,33155,36609,42137,41977,19366
182,37783,33683,37140,42756,42555,19625
183,37952,33838,37249,42990,42820,19793
184,37995,33864,37403,43023,42876,19836
185,38017,33882,37420,43041,42911,19847
186,38552,34347,37944,43696,43567,20141
187,38778,34589,38199,43952,43794,20248
188,38863,34648,38315,43958,43835,20290
189,38864,34652,38316,44019,43864,20302
190,39370,35073,38821,44669,44517,20577
191,39603,35302,39006,44938,44783,20720
192,39757,35468,39203,44989,44899,20768
193,39757,35472,39229,45005,44899,20768
194,40028,35658,39348,45667,45594,21089
195,40401,36049,39800,45905,45878,21192
196,40574,36254,40041,46014,45967,21261
197,40606,36271,40069,46036,45990,21273
198,40626,36285,40080,46667,46498,21379
199,41107,36659,40496,46831,46763,21627
200,41377,36889,40751,47007,46982,21735
201,41461,36952,40856,47007,46982,21744
202,41466,36958,40885,47394,47242,21844
203,42071,37426,41399,47797,47616,22103
204,42161,37561,41549,47989,47846,22195
205,42364,37730,41739,48015,47870,22216
206,42390,37745,41749,48144,47910,22232
207,42988,38244,42100,48716,48504,22536
208,43175,38431,42551,49005,48869,22676
209,43248,38536,42659,49052,48927,22701
210,43267,38554,42676,49078,48930,22701
211,43825,38994,43153,49814,49546,23016
212,43982,39136,43262,49975,49802,23100
213,44155,39398,43582,50092,49960,23176
214,44156,39398,43582,50117,49996,23191
215,44371,39538,43722,50625,50394,23331
216,44909,40029,44172,50823,50723,23507
217,45170,40257,44498,51149,51109,23636
218,45190,40269,44521,51174,51117,23673
219,45755,40518,44606,51332,51257,23702
220,45932,40932,45176,51946,51821,23960
221,46157,41158,45386,52220,52142,24104
222,46157,41158,45434,52288,52264,24204
223,46191,41174,45437,52314,52286,24206
224,46845,41759,46093,52996,52999,24514
225,47107,41975,46311,53190,53173,24589
226,47123,41976,46404,53392,53411,24735
227,47138,41997,46409,53408,53428,24748
228,47712,42521,46973,53820,53673,24813
229,47984,42732,47234,54264,54171,25093
230,48071,42829,47371,54530,54540,25221
231,48079,42829,47372,54547,54560,25223
232,48636,43187,47925,54712,54798,25248
233,48735,43408,48002,55272,55250,25567
234,48937,43687,48263,55593,55562,25671
235,48939,43687,48263,55690,55663,25743
236,49465,43985,48824,55740,55680,25746
237,49758,44408,49102,56361,56265,26053
238,49867,44509,49254,56542,56460,26144
239,49884,44528,49267,56721,56727,26262
240,50456,45043,49839,56821,56729,26263
241,50574,45158,49955,57419,57388,26536
242,50780,45370,50189,57712,57613,26681
243,50795,45373,50222,57838,57829,26784
244,51253,45556,50309,57862,57844,26784
245,51506,46070,50864,58421,58463,27103
246,51775,46269,51147,58703,58767,27181
247,51784,46270,51194,58938,58973,27301
248,51784,46277,51194,58938,59005,27308
249,52512,46877,51884,59421,59240,27403
250,52805,47073,52073,59777,59792,27672
251,52824,47119,52173,60083,60101,27780
252,52829,47136,52174,60089,60146,27836
253,53410,47673,52715,60146,60164,27848
254,53734,47887,52972,60943,60918,28230
255,53793,47982,53114,61191,61159,28368
256,53794,48000,53140,61275,61253,28416
257,54371,48439,53612,61310,61259,28424
258,54555,48615,53866,62023,61914,28717
259,54753,48876,54106,62274,62210,28855
260,54788,48876,54146,62393,62373,28938
261,55298,49157,54416,62418,62389,28940
262,55484,49567,54820,62841,62716,29056
263,55619,49649,54956,63247,63138,29292
264,55680,49732,55055,63555,63482,29435
265,55869,49744,55059,63580,63553,29494
266,56334,50278,55600,63719,63590,29509
267,56684,50539,55931,64400,64303,29792
268,56689,50558,55952,64517,64576,29909
269,56871,50673,56031,64616,64660,29975
270,57326,51196,56534,64749,64697,29989
271,57605,51383,56758,65301,65374,30281
272,57645,51455,56835,65507,65617,30354
273,57651,51466,56857,65716,65817,30478
274,58212,52008,57351,65742,65841,30483
275,58376,52048,57592,66298,66445,30660
276,58499,52184,57721,66660,66743,30874
277,58512,52195,57749,66811,66918,31007
278,59115,52711,58291,66817,66942,31021
279,59362,52915,58505,67413,67384,31124
280,59434,53016,58697,67658,67736,31340
281,59443,53020,58704,67827,67938,31447
282,59814,53372,59100,67861,67948,31448
283,59814,53372,59101,68419,68387,31504
284,59814,53372,59101,68726,68752,31786
285,59814,53372,59101,68980,69026,31950
286,59814,53372,59101,68980,69039,31954
287,59814,53372,59101,69432,69395,32061
288,59814,53372,59101,69433,69493,32185
289,59814,53372,59101,69433,69493,32185
290,59814,53372,59101,69433,69493,32185
291,59814,53372,59101,69433,69493,32185
292,59814,53372,59101,69433,69493,32185
293,59814,53372,59101,69433,69493,32185
294,59814,53372,59101,69433,69493,32185
295,59814,53372,59101,69433,69493,32185
296,59814,53372,59101,69433,69493,32185
297,59814,53372,59101,69433,69493,32185
298,59814,53372,59101,69433,69493,32185
299,59814,53372,59101,69433,69493,32185
300,59814,53372,59101,69433,69493,32185
301,59814,53372,59101,69433,69493,32185
302,59814,53372,59101,69433,69493,32185
303,59814,53372,59101,69433,69493,32185
304,59814,53372,59101,69433,69493,32185
305,59814,53372,59101,69433,69493,32185
306,59814,53372,59101,69433,69493,32185
307,59814,53372,59101,69433,69493,32185
308,59814,53372,59101,69433,69493,32185
309,59814,53372,59101,69433,69493,32185
310,59814,53372,59101,69433,69493,32185
311,Null,53372,Null,Null,Null,32185
