journal_queue_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,44770,25584,83148,0,57562,0
8,0,0,0,44771,38375,6395
9,0,31980,12792,19187,211064,0
10,153497,0,108723,147103,185480,63959
11,51167,38376,134310,102333,0,38376
12,63959,19188,38372,147104,31980,12791
13,6395,6396,0,19188,51166,25583
14,0,102336,19185,159893,102334,19187
15,121522,127920,83142,179082,108726,95937
16,0,19188,19186,63958,102332,57563
17,127915,102336,153499,63958,102332,57563
18,44769,51168,44769,108730,115124,0
19,12792,95940,44769,153498,159891,95937
20,0,19188,0,89541,25583,25584
21,76749,0,38375,70353,57562,38375
22,134310,70356,25584,6396,83146,0
23,153501,153504,44771,70354,115124,44771
24,63959,44772,25581,127915,185478,63957
25,0,19188,102331,115124,83145,25584
26,108730,12792,51165,63957,172689,19187
27,0,6396,185471,159890,6396,57563
28,44771,31980,63956,140707,140710,25583
29,115126,44772,76744,166288,115126,44769
30,147105,83148,19186,0,76747,19187
31,127916,102336,38374,108728,83146,38376
32,76749,19188,6395,115121,95940,31980
33,102334,57564,121519,63959,25583,31980
34,185477,63960,25582,12792,0,44771
35,6396,12792,102329,51166,51167,51164
36,57563,31980,63957,134313,63958,57564
37,0,0,0,191874,25584,19187
38,6395,83148,70354,121518,185478,0
39,102330,166296,115122,166294,0,25582
40,102336,44772,76749,140710,83147,63956
41,0,0,51165,38373,102335,19188
42,70350,115128,0,0,76752,57561
43,0,95940,95935,115125,108732,51168
44,25584,6396,89538,115123,121523,70355
45,51168,51168,31979,38376,147106,6396
46,12792,0,0,0,159896,76750
47,185478,6396,0,38374,51167,51166
48,0,12792,140705,115122,95938,51167
49,51168,83148,95933,25581,140708,0
50,0,31980,0,31978,70354,57561
51,76751,0,76748,12792,31980,12791
52,63957,76752,12791,89544,63960,89541
53,63960,0,134308,166288,12792,76748
54,63960,31980,31978,89540,57563,51164
55,57562,83148,140702,12792,0,31980
56,108729,179088,31978,179078,12792,31978
57,127915,0,121516,31979,89542,38374
58,83146,89544,0,121518,172688,51166
59,153501,0,19186,0,185477,102335
60,44770,51168,115124,6396,127915,0
61,140712,19188,115126,179082,38376,70354
62,25584,0,38373,115127,127917,89544
63,6396,6396,0,57561,38375,6396
64,0,76752,12790,25584,0,0
65,147101,108732,6395,115126,102335,102329
66,44772,51168,191868,166289,166291,0
67,83147,115128,83144,51167,44772,31980
68,0,0,19187,0,19188,57563
69,0,95940,25583,204665,147107,0
70,140708,134316,6396,159897,70354,12791
71,19188,179088,12791,153498,127919,70355
72,0,6396,102335,51166,159899,57563
73,95940,63960,102328,0,57562,12792
74,63959,147108,115124,115123,153498,0
75,0,0,115124,140710,198270,70355
76,31978,6396,134306,51164,115127,0
77,166289,51168,121520,57564,0,25583
78,0,0,134308,179083,0,57563
79,0,0,243030,0,0,12792
80,0,57564,57562,63955,12790,0
81,108732,127920,0,31977,12792,12792
82,63959,83148,0,159891,0,70353
83,76750,166296,0,121517,153500,6396
84,76749,38376,38374,127916,153501,95938
85,83145,57564,38373,127918,115122,31980
86,108728,108732,89540,38373,51168,6396
87,44770,76752,6396,159892,159895,70354
88,76751,12792,6396,121520,70355,70354
89,172688,0,63958,115123,12792,63958
90,51167,127920,115117,83146,0,0
91,121516,25584,51163,172685,0,0
92,19187,25584,51165,70355,115124,44771
93,108729,19188,6396,51165,31979,19187
94,70353,70356,0,83146,57563,12790
95,102329,121524,153495,0,191875,12792
96,31978,0,12791,147106,76749,63958
97,0,63960,19186,185476,153496,0
98,19188,70356,51167,25583,166286,19187
99,115123,108732,105904,12792,204671,0
100,25584,134316,57558,159889,83148,63957
101,57562,57564,25584,201840,134310,83145
102,12791,6396,57561,201840,134310,31980
103,76750,63960,140706,6396,57562,0
104,31979,12792,38374,44770,102333,44770
105,38375,6396,25583,51165,57563,0
106,19188,70356,0,44770,57562,12791
107,0,19188,19187,44770,44771,0
108,95938,31980,127912,19187,243043,57562
109,25582,19188,63957,147102,147106,86722
110,137886,63960,0,115122,95936,38375
111,57562,76752,63955,19187,166290,83144
112,83145,63960,134310,31979,25584,0
113,0,25584,12792,12792,147104,76751
114,83144,12792,6396,191874,115127,31980
115,163476,95940,0,191874,70355,0
116,159897,108732,102332,6396,76751,12792
117,0,6396,83143,76748,121517,0
118,44771,0,115121,179080,108728,0
119,0,12792,159890,153500,179086,0
120,115127,70356,51164,38374,89540,31980
121,19187,19188,51164,31980,31980,0
122,12792,63960,6396,95936,44772,51167
123,159895,102336,121517,44769,57562,83148
124,102334,121524,153499,70351,76750,19188
125,76752,102336,51168,6396,57563,0
126,6396,102336,6396,76748,70352,63958
127,31979,25584,6396,76750,127919,0
128,172688,108732,153496,0,115128,51168
129,44772,51168,0,0,38374,6396
130,70354,172692,83141,191874,12792,0
131,19188,89544,44769,198268,127917,83146
132,93119,121524,108729,44771,44771,38376
133,140708,0,108726,121518,153501,76751
134,0,0,108726,31978,0,0
135,0,19188,179077,159898,115126,51167
136,70352,121524,121515,70355,6396,12792
137,131493,121524,147102,159894,95936,38376
138,86723,51168,179079,0,262228,76750
139,38375,83148,0,108725,76752,6396
140,0,127920,191866,172687,51167,25583
141,115125,12792,51166,125095,185480,83148
142,204664,44772,25583,176261,89542,105912
143,0,31980,63956,0,38376,31978
144,6396,51168,12792,159891,0,70354
145,51168,44772,76747,179080,140708,6396
146,153500,140712,83145,51167,57562,25584
147,51165,63960,25581,0,108731,31980
