journal_queue_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,7,4,13,0,9,0
8,0,0,0,7,6,1
9,0,5,2,3,33,0
10,24,0,17,23,29,10
11,8,6,21,16,0,6
12,10,3,6,23,5,2
13,1,1,0,3,8,4
14,0,16,3,25,16,3
15,19,20,13,28,17,15
16,0,3,3,10,16,9
17,20,16,24,10,16,9
18,7,8,7,17,18,0
19,2,15,7,24,25,15
20,0,3,0,14,4,4
21,12,0,6,11,9,6
22,21,11,4,1,13,0
23,24,24,7,11,18,7
24,10,7,4,20,29,10
25,0,3,16,18,13,4
26,17,2,8,10,27,3
27,0,1,29,25,1,9
28,7,5,10,22,22,4
29,18,7,12,26,18,7
30,23,13,3,0,12,3
31,20,16,6,17,13,6
32,12,3,1,18,15,5
33,16,9,19,10,4,5
34,29,10,4,2,0,7
35,1,2,16,8,8,8
36,9,5,10,21,10,9
37,0,0,0,30,4,3
38,1,13,11,19,29,0
39,16,26,18,26,0,4
40,16,7,12,22,13,10
41,0,0,8,6,16,3
42,11,18,0,0,12,9
43,0,15,15,18,17,8
44,4,1,14,18,19,11
45,8,8,5,6,23,1
46,2,0,0,0,25,12
47,29,1,0,6,8,8
48,0,2,22,18,15,8
49,8,13,15,4,22,0
50,0,5,0,5,11,9
51,12,0,12,2,5,2
52,10,12,2,14,10,14
53,10,0,21,26,2,12
54,10,5,5,14,9,8
55,9,13,22,2,0,5
56,17,28,5,28,2,5
57,20,0,19,5,14,6
58,13,14,0,19,27,8
59,24,0,3,0,29,16
60,7,8,18,1,20,0
61,22,3,18,28,6,11
62,4,0,6,18,20,14
63,1,1,0,9,6,1
64,0,12,2,4,0,0
65,23,17,1,18,16,16
66,7,8,30,26,26,0
67,13,18,13,8,7,5
68,0,0,3,0,3,9
69,0,15,4,32,23,0
70,22,21,1,25,11,2
71,3,28,2,24,20,11
72,0,1,16,8,25,9
73,15,10,16,0,9,2
74,10,23,18,18,24,0
75,0,0,18,22,31,11
76,5,1,21,8,18,0
77,26,8,19,9,0,4
78,0,0,21,28,0,9
79,0,0,38,0,0,2
80,0,9,9,10,2,0
81,17,20,0,5,2,2
82,10,13,0,25,0,11
83,12,26,0,19,24,1
84,12,6,6,20,24,15
85,13,9,6,20,18,5
86,17,17,14,6,8,1
87,7,12,1,25,25,11
88,12,2,1,19,11,11
89,27,0,10,18,2,10
90,8,20,18,13,0,0
91,19,4,8,27,0,0
92,3,4,8,11,18,7
93,17,3,1,8,5,3
94,11,11,0,13,9,2
95,16,19,24,0,30,2
96,5,0,2,23,12,10
97,0,10,3,29,24,0
98,3,11,8,4,26,3
99,18,17,16,2,32,0
100,4,21,9,25,13,10
101,9,9,4,31,21,13
102,2,1,9,31,21,5
103,12,10,22,1,9,0
104,5,2,6,7,16,7
105,6,1,4,8,9,0
106,3,11,0,7,9,2
107,0,3,3,7,7,0
108,15,5,20,3,38,9
109,4,3,10,23,23,13
110,21,10,0,18,15,6
111,9,12,10,3,26,13
112,13,10,21,5,4,0
113,0,4,2,2,23,12
114,13,2,1,30,18,5
115,25,15,0,30,11,0
116,25,17,16,1,12,2
117,0,1,13,12,19,0
118,7,0,18,28,17,0
119,0,2,25,24,28,0
120,18,11,8,6,14,5
121,3,3,8,5,5,0
122,2,10,1,15,7,8
123,25,16,19,7,9,13
124,16,19,24,11,12,3
125,12,16,8,1,9,0
126,1,16,1,12,11,10
127,5,4,1,12,20,0
128,27,17,24,0,18,8
129,7,8,0,0,6,1
130,11,27,13,30,2,0
131,3,14,7,31,20,13
132,14,19,17,7,7,6
133,22,0,17,19,24,12
134,0,0,17,5,0,0
135,0,3,28,25,18,8
136,11,19,19,11,1,2
137,20,19,23,25,15,6
138,13,8,28,0,41,12
139,6,13,0,17,12,1
140,0,20,30,27,8,4
141,18,2,8,19,29,13
142,32,7,4,27,14,16
143,0,5,10,0,6,5
144,1,8,2,25,0,11
145,8,7,12,28,22,1
146,24,22,13,8,9,4
147,8,10,4,0,17,5
148,1,5,0,35,1,9
149,21,3,1,17,22,2
150,11,19,26,19,29,15
151,11,5,7,15,16,1
152,0,8,12,27,27,3
153,0,18,0,13,31,10
154,15,22,7,10,9,2
155,0,21,25,16,11,5
156,1,0,0,4,0,0
157,28,6,11,23,25,9
158,11,19,20,26,2,6
159,9,4,13,27,1,1
160,20,17,26,5,1,1
161,11,1,0,36,28,14
162,23,13,21,18,29,5
163,5,18,8,0,13,0
164,10,5,6,16,1,6
165,14,0,10,28,9,2
166,6,21,4,28,10,3
167,28,18,13,23,15,4
168,6,6,4,4,10,0
169,1,2,0,0,1,1
170,21,0,0,25,16,2
171,19,8,19,23,25,4
172,24,4,11,6,32,3
173,1,7,7,13,6,2
174,5,20,20,2,20,5
175,23,15,25,22,0,9
176,22,6,9,12,14,8
177,22,24,5,0,0,3
178,18,5,24,11,27,12
179,6,3,1,13,25,3
180,15,27,10,25,11,2
181,12,0,21,10,1,0
182,12,0,3,26,7,17
183,0,11,27,25,3,8
184,10,9,14,14,27,9
185,29,11,12,26,24,11
186,0,12,5,5,1,3
187,1,1,22,6,3,10
188,7,4,1,13,17,6
189,13,3,6,25,21,15
190,9,0,0,25,19,13
191,19,4,1,32,24,3
192,0,22,26,9,8,5
193,0,19,0,21,8,5
194,6,0,14,15,20,13
195,14,13,24,31,20,0
196,25,15,26,23,23,13
197,5,0,7,7,10,10
198,5,3,6,5,7,11
199,10,2,3,18,25,7
