journal_wr,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,292,211,185,261,141,51
1,292,211,185,261,141,51
2,292,211,185,261,141,51
3,292,211,185,261,141,51
4,292,211,185,261,141,51
5,292,211,185,261,141,51
6,292,211,187,262,141,51
7,398,312,276,318,196,73
8,399,313,279,344,225,109
9,559,426,359,351,227,110
10,595,509,485,474,364,228
11,623,550,519,510,389,264
12,624,551,521,514,408,276
13,687,556,522,516,409,277
14,816,750,690,652,540,365
15,848,783,727,681,569,426
16,851,791,740,695,590,450
17,852,793,742,695,590,450
18,1033,989,899,819,689,502
19,1070,1028,933,849,740,570
20,1074,1031,937,859,758,599
21,1082,1035,940,861,760,601
22,1275,1217,1133,985,901,688
23,1298,1257,1162,1029,924,747
24,1306,1267,1180,1044,940,764
25,1316,1302,1182,1046,942,766
26,1473,1452,1331,1162,1053,854
27,1497,1482,1357,1181,1072,882
28,1518,1500,1382,1203,1095,911
29,1522,1502,1384,1206,1099,913
30,1695,1664,1521,1335,1192,975
31,1720,1687,1557,1358,1238,1051
32,1725,1698,1577,1367,1251,1068
33,1731,1703,1582,1371,1254,1071
34,1902,1857,1738,1428,1372,1153
35,1939,1891,1783,1513,1406,1215
36,1945,1898,1790,1531,1428,1239
37,1988,1901,1792,1532,1431,1242
38,2125,2061,1955,1657,1557,1334
39,2165,2094,1975,1671,1569,1372
40,2174,2109,2003,1701,1601,1403
41,2175,2110,2005,1703,1601,1404
42,2327,2264,2127,1763,1691,1446
43,2369,2306,2173,1841,1741,1512
44,2392,2331,2206,1884,1786,1556
45,2392,2332,2207,1885,1787,1558
46,2562,2419,2253,1901,1794,1561
47,2598,2497,2376,2008,1908,1662
48,2625,2535,2420,2040,1948,1703
49,2626,2536,2422,2054,1959,1713
50,2669,2572,2425,2057,1961,1715
51,2807,2715,2583,2174,2067,1816
52,2838,2763,2628,2206,2113,1842
53,2845,2764,2632,2232,2137,1870
54,2847,2765,2634,2233,2138,1871
55,3024,2950,2807,2309,2200,1907
56,3046,2989,2848,2389,2295,2011
57,3066,3010,2866,2418,2319,2037
58,3067,3011,2867,2421,2324,2054
59,3248,3116,2968,2425,2326,2055
60,3259,3199,3039,2547,2452,2159
61,3301,3240,3082,2569,2475,2177
62,3302,3241,3083,2597,2502,2204
63,3347,3264,3095,2598,2503,2205
64,3477,3405,3251,2697,2580,2256
65,3503,3442,3274,2736,2639,2316
66,3511,3456,3295,2763,2670,2344
67,3513,3457,3297,2765,2672,2349
68,3676,3578,3441,2773,2675,2351
69,3704,3644,3478,2897,2808,2466
70,3726,3675,3518,2927,2837,2493
71,3728,3676,3521,2943,2851,2516
72,3824,3732,3533,2944,2852,2517
73,3926,3872,3721,3050,2968,2562
74,3949,3906,3749,3096,3010,2643
