journal_wr_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,33160.0,41829.0,0,0,0,0
26,39209.0,43447.0,45582.0,0,0,0,0
27,46686.0,41427.0,42841.0,44977.0,0,43663.0,38628.0
28,43105.0,42527.0,40111.0,38229.0,40136.0,42926.0,47056.0
29,42767.0,42331.0,40812.0,43536.0,39961.0,44286.0,38969.0
30,40442.0,39030.0,41218.0,39990.0,41762.0,39175.0,40280.0
31,38996.0,43545.0,39614.0,45069.0,39869.0,50241.0,40566.0
32,46495.0,39498.0,39125.0,44262.0,43297.0,42087.0,46162.0
33,40385.0,55351.0,45183.0,40543.0,39464.0,38962.0,45613.0
34,42130.0,54489.0,40189.0,45924.0,38523.0,52224.0,38943.0
35,45134.0,41295.0,63001.0,39782.0,45811.0,38781.0,40016.0
36,40022.0,40238.0,38744.0,43391.0,37146.0,39686.0,38841.0
37,39192.0,38649.0,38119.0,44265.0,38112.0,38945.0,39090.0
38,38086.0,45800.0,49263.0,41472.0,40118.0,44517.0,41298.0
39,42113.0,0,41072.0,40621.0,39460.0,43640.0,39126.0
40,40207.0,39992.0,39690.0,40207.0,38198.0,39168.0,40069.0
41,44796.0,42951.0,45831.0,37933.0,40471.0,44489.0,42422.0
42,38959.0,39526.0,39095.0,0,39661.0,40158.0,38574.0
43,43414.0,41439.0,39973.0,39503.0,0,43195.0,43471.0
44,40846.0,38932.0,38086.0,46759.0,37994.0,41437.0,42270.0
45,46333.0,38023.0,39029.0,38536.0,38739.0,38893.0,39128.0
46,47058.0,0,38321.0,48552.0,41275.0,46804.0,40034.0
47,40314.0,39134.0,41757.0,39768.0,41472.0,40165.0,44553.0
48,41368.0,38279.0,38868.0,45504.0,0,38832.0,38575.0
49,40221.0,48666.0,41964.0,40538.0,39854.0,44274.0,45752.0
50,45408.0,38429.0,43539.0,40215.0,39057.0,40127.0,38833.0
51,39450.0,39355.0,39073.0,39321.0,39402.0,40303.0,40143.0
