op_queue_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,140256,0,0,0,0,0
27,0,0,0,0,0,0,0
28,35064,0,280504,0,0,350630,0
29,105189,0,0,0,0,0,70126
30,175315,0,280504,0,0,0,0
31,278209,0,0,105189,280504,70126,0
32,70126,0,280504,0,0,0,275914
33,210384,105192,0,0,0,70126,0
34,0,666206,701260,0,140252,140252,280504
35,0,140252,0,0,278209,0,70126
36,0,137957,0,210378,0,0,0
37,0,0,0,105189,280504,0,284150
38,0,105192,0,0,280504,0,280496
39,0,0,0,105192,0,280504,140252
40,0,0,105192,35064,175315,245441,280504
41,278209,249017,0,0,0,0,0
42,280504,35063,140252,0,0,0,0
43,0,0,0,0,0,0,140252
44,35063,0,0,0,0,0,346040
45,0,178891,0,0,280504,140252,278209
46,245441,0,245441,0,0,0,0
47,0,0,0,0,0,137957,0
48,0,280504,210378,0,0,0,175315
49,70126,0,0,0,0,70126,0
50,280512,0,280504,0,0,280504,280512
51,1054450,0,0,35063,0,0,0
52,0,0,0,0,0,0,280504
53,0,0,70128,140252,0,0,0
54,140252,0,35063,0,0,0,240851
55,280504,105189,0,280512,280504,0,0
56,245441,0,243152,0,0,173016,70128
57,0,280508,173020,0,240851,280504,280504
58,420763,0,280512,210378,0,0,0
59,0,245441,0,0,0,0,0
60,280512,0,280504,35062,0,0,0
61,0,0,280504,0,0,245448,140252
62,284080,0,0,0,0,0,0
63,0,0,70128,0,0,175315,0
64,284080,143828,0,315574,0,0,315567
65,278209,0,243146,0,0,38639,0
66,0,35062,420762,280512,140252,0,280504
67,0,278216,280504,0,35063,0,0
68,0,0,0,0,0,280504,0
69,0,0,70126,0,245444,245441,35063
70,280504,0,0,210378,0,0,0
71,280504,0,280504,0,350622,0,0
72,0,0,280496,210384,0,0,175320
73,175320,0,525952,0,0,275914,0
74,0,0,0,0,0,280504,140252
75,0,280504,280504,0,0,280504,175315
76,105189,140252,0,0,0,35064,0
