op_queue_ops,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,4,0,0,0,0,0
27,0,0,0,0,0,0,0
28,1,0,8,0,0,10,0
29,3,0,0,0,0,0,2
30,5,0,8,0,0,0,0
31,7,0,0,3,8,2,0
32,2,0,8,0,0,0,6
33,6,3,0,0,0,2,0
34,0,19,20,0,4,4,8
35,0,4,0,0,7,0,2
36,0,3,0,6,0,0,0
37,0,0,0,3,8,0,8
38,0,3,0,0,8,0,8
39,0,0,0,3,0,8,4
40,0,0,3,1,5,7,8
41,7,7,0,0,0,0,0
42,8,1,4,0,0,0,0
43,0,0,0,0,0,0,4
44,1,0,0,0,0,0,8
45,0,5,0,0,8,4,7
46,7,0,7,0,0,0,0
47,0,0,0,0,0,3,0
48,0,8,6,0,0,0,5
49,2,0,0,0,0,2,0
50,8,0,8,0,0,8,8
51,28,0,0,1,0,0,0
52,0,0,0,0,0,0,8
53,0,0,2,4,0,0,0
54,4,0,1,0,0,0,5
55,8,3,0,8,8,0,0
56,7,0,6,0,0,4,2
57,0,8,4,0,5,8,8
58,12,0,8,6,0,0,0
59,0,7,0,0,0,0,0
60,8,0,8,1,0,0,0
61,0,0,8,0,0,7,4
62,8,0,0,0,0,0,0
63,0,0,2,0,0,5,0
64,8,4,0,9,0,0,9
65,7,0,6,0,0,1,0
66,0,1,12,8,4,0,8
67,0,7,8,0,1,0,0
68,0,0,0,0,0,8,0
69,0,0,2,0,7,7,1
70,8,0,0,6,0,0,0
71,8,0,8,0,10,0,0
72,0,0,8,6,0,0,5
73,5,0,15,0,0,6,0
74,0,0,0,0,0,8,4
75,0,8,8,0,0,8,5
76,3,4,0,0,0,1,0
77,0,2,2,0,4,8,4
78,0,0,0,2,8,0,6
79,7,0,2,0,0,0,0
80,0,4,0,1,0,8,8
81,0,0,5,0,0,1,0
82,0,0,3,0,8,0,0
83,0,8,8,1,0,5,6
84,0,0,0,3,0,0,5
85,0,0,0,4,14,1,0
