ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,1150,785,607,815,406,145
1,1150,785,607,815,406,145
2,1150,785,607,815,406,145
3,1150,785,607,815,406,145
4,1150,785,607,815,406,145
5,1150,785,607,815,406,145
6,1150,785,609,816,406,145
7,1496,1104,964,1101,694,202
8,1503,1108,984,1223,816,316
9,2042,1425,1192,1295,858,323
10,2300,1740,1679,1973,1568,597
11,2439,1921,1899,2324,1823,762
12,2439,1921,1938,2340,1953,812
13,2635,1942,1946,2340,1953,817
14,3071,2464,2553,3019,2556,1024
15,3259,2635,2731,3250,2745,1186
16,3294,2703,2802,3366,2916,1298
17,3294,2716,2811,3366,2916,1298
18,3864,3276,3389,3983,3426,1468
19,4067,3417,3597,4217,3707,1629
20,4079,3417,3628,4285,3885,1755
21,4093,3451,3639,4285,3889,1759
22,4662,3935,4192,4839,4550,1951
23,4804,4114,4354,5119,4703,2126
24,4867,4182,4464,5266,4871,2190
25,4952,4292,4482,5287,4900,2190
26,5398,4642,4977,5861,5487,2452
27,5610,4825,5169,6045,5698,2543
28,5717,4966,5323,6225,5899,2664
29,5736,4971,5333,6270,5938,2668
30,6372,5528,5769,6898,6412,2831
31,6496,5640,6013,7085,6730,3048
32,6526,5710,6089,7197,6844,3105
33,6556,5721,6137,7226,6844,3118
34,7136,6230,6685,7519,7423,3318
35,7360,6411,6907,8036,7655,3503
36,7408,6447,6962,8189,7799,3613
37,7519,6454,6974,8189,7809,3613
38,8003,6921,7525,8838,8373,3845
39,8183,7090,7629,8951,8500,3949
40,8245,7170,7763,9169,8761,4055
41,8261,7178,7792,9169,8761,4069
42,8833,7622,8255,9546,9214,4194
43,9030,7819,8483,9960,9472,4399
44,9156,7932,8663,10212,9790,4545
45,9156,7932,8686,10212,9790,4545
46,9669,8253,8862,10336,9852,4557
47,9869,8571,9323,10924,10478,4849
48,10034,8760,9537,11165,10783,4984
49,10034,8760,9565,11234,10866,5025
50,10166,8883,9594,11266,10894,5031
51,10691,9322,10151,11833,11440,5295
52,10894,9584,10419,12095,11764,5390
53,10949,9606,10441,12291,11994,5503
54,10949,9606,10441,12291,12019,5503
55,11620,10096,10982,12671,12306,5594
56,11754,10304,11204,13054,12816,5849
57,11868,10431,11311,13328,13014,5936
58,11889,10431,11330,13354,13069,5987
59,12492,10740,11680,13405,13096,6001
60,12579,11036,11936,14053,13721,6306
61,12751,11218,12200,14250,13920,6385
62,12776,11218,12221,14410,14103,6471
63,12920,11298,12260,14410,14103,6487
64,13424,11704,12835,14938,14528,6645
65,13627,11914,12977,15250,14880,6802
66,13691,12005,13107,15476,15174,6930
67,13691,12005,13137,15476,15200,6939
68,14256,12387,13633,15560,15200,6955
69,14432,12647,13844,16187,15856,7244
70,14576,12824,14038,16459,16127,7370
71,14577,12824,14073,16569,16238,7469
72,14927,13021,14105,16595,16238,7469
73,15263,13474,14762,17084,16811,7619
74,15449,13635,14956,17437,17069,7824
75,15472,13658,14956,17616,17276,7961
76,15590,13705,14979,17616,17276,7983
77,16064,14220,15531,17964,17515,8071
78,16236,14348,15714,18348,18053,8299
79,16236,14356,15714,18522,18252,8400
80,16604,14587,15884,18522,18252,8402
81,16848,14924,16419,18990,18614,8532
82,17068,15137,16559,19242,19004,8723
83,17096,15171,16688,19513,19254,8852
84,17108,15171,16688,19557,19309,8888
85,17662,15672,17055,19557,19336,8904
86,17871,15853,17319,20242,19978,9152
87,18007,15992,17571,20440,20208,9298
88,18014,15992,17571,20583,20370,9398
89,18580,16334,17734,20624,20370,9398
90,18771,16580,18175,20928,20558,9453
91,18936,16775,18431,21391,21082,9746
92,18959,16775,18439,21666,21359,9880
93,19203,16843,18510,21692,21380,9919
94,19594,17341,19062,21692,21402,9919
95,19809,17510,19275,22375,22007,10204
96,19829,17550,19299,22539,22236,10302
97,20022,17581,19299,22703,22386,10391
98,20509,18050,19889,22703,22387,10391
99,20703,18341,20229,23314,23006,10676
100,20732,18341,20247,23530,23152,10748
101,20739,18365,20260,23769,23466,10867
102,21386,18935,20804,23769,23466,10886
103,21511,19104,21015,24054,23792,10939
104,21524,19114,21048,24506,24180,11200
105,21650,19164,21070,24712,24433,11289
106,22217,19671,21610,24725,24433,11301
107,22404,19875,21818,25104,24747,11389
108,22424,19875,21870,25401,25136,11620
109,22454,19892,21894,25597,25399,11723
110,23110,20411,22440,25703,25505,11768
111,23316,20703,22690,25743,25505,11770
112,23346,20703,22723,26228,25972,11940
113,23371,20727,22747,26523,26291,12102
114,23988,21292,23338,26743,26583,12250
115,24092,21379,23494,26743,26583,12286
116,24146,21413,23535,26793,26606,12288
117,24178,21437,23539,27403,27260,12527
118,24781,21883,24136,27636,27435,12631
119,24920,22048,24265,27723,27502,12704
120,25012,22155,24419,27723,27531,12704
121,25040,22155,24419,28403,28100,12898
122,25290,22290,24540,28615,28336,13048
123,25709,22736,25083,28752,28550,13131
124,25912,22973,25253,28754,28550,13131
125,25931,23004,25354,29010,28735,13221
126,25931,23004,25354,29591,29248,13475
127,26449,23541,25685,29834,29584,13611
128,26674,23714,26099,29847,29584,13672
129,26788,23801,26253,29852,29584,13684
130,26796,23801,26253,30532,30242,13928
131,27049,23978,26354,30730,30470,14054
132,27448,24408,26909,30823,30630,14166
133,27615,24581,27106,30866,30630,14166
134,27637,24581,27106,31295,30900,14329
135,27694,24597,27126,31603,31384,14508
136,28331,25174,27751,31814,31616,14583
137,28471,25379,27992,31814,31660,14630
138,28492,25399,27993,31882,31679,14636
139,28531,25426,28025,32483,32178,14852
140,29114,25922,28545,32703,32559,15011
141,29327,26121,28764,32846,32711,15109
142,29370,26185,28907,32846,32742,15109
143,29412,26212,28907,33120,33022,15132
144,29724,26357,28993,33668,33481,15436
145,30142,26768,29543,33905,33746,15610
146,30220,26886,29693,33933,33770,15626
147,30245,26925,29706,33985,33770,15635
148,30424,26938,29767,34677,34458,15949
149,30933,27481,30343,34895,34606,16062
150,31110,27653,30517,34912,34688,16082
151,31124,27675,30560,34968,34724,16099
152,31151,27688,30579,35613,35374,16367
153,31879,28259,31210,35857,35584,16497
154,31923,28382,31356,35904,35700,16537
155,32002,28449,31451,35940,35700,16566
156,32002,28473,31482,36420,36246,16717
157,32543,28952,31930,36752,36500,16947
158,32717,29072,32074,36943,36730,17022
159,32790,29182,32256,36943,36731,17044
160,32804,29218,32270,37170,36859,17147
161,33382,29534,32605,37617,37431,17326
162,33534,29864,32900,37880,37701,17433
163,33717,29972,33096,37899,37730,17468
164,33717,30006,33105,37964,37789,17480
165,33834,30041,33126,38654,38487,17769
166,34400,30574,33727,38837,38670,17893
167,34613,30811,33936,38895,38783,17944
168,34641,30829,33967,38900,38783,17951
169,34990,31193,34108,39478,39332,18115
170,35320,31401,34576,39763,39607,18300
171,35495,31585,34814,39920,39855,18399
172,35509,31608,34835,39920,39855,18438
173,35673,31665,34893,40497,40351,18633
174,36211,32193,35499,40769,40623,18748
175,36355,32321,35671,40992,40894,18893
176,36356,32321,35707,40992,40894,18902
177,36385,32349,35718,41287,41136,18965
178,36967,32848,36286,41778,41670,19232
179,37190,33072,36506,41984,41853,19321
180,37203,33097,36597,41984,41878,19334
181,37252,33155,36609,42126,41961,19366
182,37783,33668,37140,42756,42536,19623
183,37952,33838,37249,42990,42813,19793
184,37995,33850,37403,43023,42876,19836
185,38017,33882,37403,43041,42909,19846
186,38552,34347,37929,43696,43564,20141
187,38778,34586,38199,43931,43794,20243
188,38843,34630,38295,43958,43826,20285
189,38843,34652,38295,44019,43864,20302
190,39365,35073,38820,44669,44507,20577
191,39603,35301,39006,44938,44760,20719
192,39757,35468,39203,44989,44899,20768
193,39757,35468,39229,45005,44899,20768
194,40017,35652,39348,45667,45594,21088
195,40401,36049,39800,45905,45878,21192
196,40574,36253,40041,46014,45965,21258
197,40599,36271,40069,46014,45990,21258
198,40626,36285,40079,46667,46498,21375
199,41105,36653,40496,46831,46763,21627
200,41377,36889,40751,47007,46982,21734
201,41461,36952,40856,47007,46982,21734
202,41466,36958,40885,47394,47242,21844
203,42051,37426,41399,47797,47593,22088
204,42161,37557,41525,47989,47846,22183
205,42364,37721,41739,47989,47865,22215
206,42390,37743,41749,48144,47910,22232
207,42988,38244,42100,48716,48504,22536
208,43174,38431,42551,49005,48856,22676
209,43224,38527,42659,49052,48927,22701
210,43260,38554,42676,49078,48927,22701
211,43825,38971,43153,49808,49546,23015
212,43982,39136,43262,49956,49802,23100
213,44155,39392,43582,50090,49960,23176
214,44155,39392,43582,50090,49977,23191
215,44354,39538,43722,50621,50362,23324
216,44909,40029,44172,50823,50713,23507
217,45170,40257,44498,51142,51109,23636
218,45190,40269,44498,51167,51109,23671
219,45755,40518,44587,51332,51241,23702
220,45930,40932,45176,51934,51801,23960
221,46157,41158,45386,52220,52142,24104
222,46157,41158,45405,52280,52264,24201
223,46173,41158,45437,52314,52264,24206
224,46845,41755,46093,52970,52999,24514
225,47093,41975,46311,53190,53173,24584
226,47123,41975,46387,53391,53410,24734
227,47138,41997,46387,53391,53410,24748
228,47712,42521,46973,53819,53673,24808
229,47981,42732,47234,54264,54171,25093
230,48052,42829,47343,54530,54540,25221
231,48075,42829,47372,54531,54560,25221
232,48636,43179,47925,54712,54794,25248
233,48722,43386,48002,55272,55237,25567
234,48937,43687,48263,55593,55562,25671
235,48937,43687,48263,55664,55636,25743
236,49465,43985,48808,55740,55680,25743
237,49751,44408,49101,56361,56265,26046
238,49867,44509,49254,56542,56460,26144
239,49884,44528,49254,56721,56727,26261
240,50456,45043,49839,56813,56727,26263
241,50574,45158,49955,57419,57365,26536
242,50780,45369,50189,57690,57613,26681
243,50780,45369,50220,57838,57829,26776
244,51245,45535,50296,57862,57829,26776
245,51506,46070,50851,58404,58463,27103
246,51775,46269,51147,58677,58767,27177
247,51775,46269,51194,58938,58973,27301
248,51775,46277,51194,58938,59005,27301
249,52512,46877,51884,59421,59230,27403
250,52805,47073,52061,59777,59791,27672
251,52824,47118,52173,60069,60101,27772
252,52829,47136,52173,60069,60122,27834
253,53410,47670,52709,60124,60164,27848
254,53728,47887,52955,60943,60918,28230
255,53793,47980,53114,61191,61159,28362
256,53793,48000,53140,61270,61253,28415
257,54371,48439,53612,61270,61259,28415
258,54555,48610,53851,62023,61914,28717
259,54751,48876,54106,62274,62210,28852
260,54788,48876,54142,62392,62366,28938
261,55297,49157,54416,62418,62366,28938
262,55476,49567,54818,62841,62709,29053
263,55619,49649,54940,63246,63128,29292
264,55680,49712,55029,63555,63482,29435
265,55869,49735,55058,63578,63553,29494
266,56334,50277,55599,63719,63590,29509
267,56676,50539,55931,64400,64303,29788
268,56689,50558,55949,64517,64576,29909
269,56871,50673,56026,64616,64660,29974
270,57326,51196,56534,64746,64660,29989
271,57605,51383,56758,65273,65374,30281
272,57645,51455,56825,65507,65617,30351
273,57651,51466,56857,65688,65814,30467
274,58212,51999,57351,65742,65814,30467
275,58376,52048,57592,66267,66445,30660
276,58499,52184,57721,66646,66743,30866
277,58499,52191,57749,66797,66901,31007
278,59115,52711,58285,66817,66901,31021
279,59362,52896,58491,67402,67378,31124
280,59417,53016,58665,67658,67736,31340
281,59438,53020,58704,67827,67938,31447
282,59814,53372,59100,67861,67938,31447
283,59814,53372,59101,68397,68367,31504
284,59814,53372,59101,68726,68752,31786
285,59814,53372,59101,68980,69025,31945
286,59814,53372,59101,68980,69026,31945
287,59814,53372,59101,69432,69382,32061
288,59814,53372,59101,69433,69493,32185
289,59814,53372,59101,69433,69493,32185
290,59814,53372,59101,69433,69493,32185
291,59814,53372,59101,69433,69493,32185
292,59814,53372,59101,69433,69493,32185
293,59814,53372,59101,69433,69493,32185
294,59814,53372,59101,69433,69493,32185
295,59814,53372,59101,69433,69493,32185
296,59814,53372,59101,69433,69493,32185
297,59814,53372,59101,69433,69493,32185
298,59814,53372,59101,69433,69493,32185
299,59814,53372,59101,69433,69493,32185
300,59814,53372,59101,69433,69493,32185
301,59814,53372,59101,69433,69493,32185
302,59814,53372,59101,69433,69493,32185
303,59814,53372,59101,69433,69493,32185
304,59814,53372,59101,69433,69493,32185
305,59814,53372,59101,69433,69493,32185
306,59814,53372,59101,69433,69493,32185
307,59814,53372,59101,69433,69493,32185
308,59814,53372,59101,69433,69493,32185
309,59814,53372,59101,69433,69493,32185
310,59814,53372,59101,69433,69493,32185
311,Null,53372,Null,Null,Null,32185
