queue_transaction_latency_avg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,1e-06,1e-06,0,0,0,0
26,1e-06,1e-06,1e-06,0,0,0,0
27,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
28,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
29,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
30,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
31,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,1e-06
32,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,5.5e-05
33,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
34,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
35,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
36,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
37,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
38,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
39,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
40,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
41,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
42,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06
43,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
44,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
45,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
46,1e-06,0,1e-06,0.0,1e-06,1e-06,1e-06
47,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
48,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
49,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,1e-06
50,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
51,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
