loadavg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,68,110,68,28,66,79,72
1,68,110,68,28,66,72,72
2,110,110,68,66,66,72,72
3,110,110,110,66,66,72,72
4,197,110,197,66,149,72,107
5,197,110,197,66,149,107,107
6,197,110,197,149,149,107,107
7,197,197,197,149,149,194,107
8,246,197,246,209,209,194,107
9,246,197,246,209,209,194,194
10,246,197,246,209,209,194,194
11,246,246,246,209,209,194,194
12,246,246,246,209,209,250,250
13,246,246,246,264,209,250,250
14,306,306,306,264,209,250,250
15,306,306,306,264,264,250,250
16,306,306,306,264,264,250,250
17,306,306,354,331,331,250,250
18,306,354,354,331,331,250,295
19,354,354,354,331,331,295,295
20,354,354,354,331,331,295,295
21,405,354,354,331,385,295,295
22,405,354,405,331,385,351,295
23,405,405,405,385,385,351,351
24,405,405,405,385,385,351,351
25,405,405,453,418,418,351,426
26,453,453,453,418,418,351,426
27,453,453,453,418,418,351,426
28,453,453,453,418,418,426,426
29,529,453,453,418,457,473,426
30,529,453,529,418,457,473,426
31,529,529,529,418,457,473,426
32,529,631,529,457,457,473,473
33,631,631,631,457,457,473,473
34,631,631,631,572,572,473,473
35,631,631,631,572,572,571,473
36,631,631,631,572,572,571,473
37,631,631,631,572,572,571,473
38,708,631,631,572,614,571,614
39,708,708,631,614,614,571,614
40,708,708,708,614,614,571,614
41,708,708,708,614,614,614,614
42,772,772,708,614,614,614,614
43,772,772,708,614,614,614,645
44,772,772,772,693,693,614,645
45,772,772,772,693,693,614,645
46,772,772,772,693,693,665,645
47,822,772,772,693,693,665,645
48,822,772,772,750,693,665,665
49,822,852,822,750,693,665,665
50,822,852,822,750,693,665,665
51,822,852,822,802,802,665,665
52,852,852,822,802,802,665,665
53,852,852,848,802,802,665,724
54,848,848,848,802,802,724,724
55,848,848,848,810,802,724,754
56,848,848,848,810,802,724,754
57,884,848,848,810,810,754,754
58,884,848,884,810,810,754,754
59,884,848,884,810,810,798,798
60,884,848,884,865,810,798,798
61,884,884,902,865,865,798,798
62,884,902,902,865,865,798,798
63,884,902,902,892,865,798,798
64,902,902,902,892,892,798,798
65,925,902,902,892,892,798,798
66,925,902,902,892,892,798,798
67,925,902,925,892,892,798,798
68,925,902,925,901,892,830,868
69,925,925,925,901,901,830,868
70,925,925,925,901,901,830,868
71,925,925,931,901,901,830,868
72,925,925,931,901,901,830,868
73,931,931,931,941,901,886,868
74,931,931,931,941,941,886,886
75,931,931,931,941,941,886,886
76,931,931,977,941,941,886,886
77,977,977,977,941,941,886,886
78,977,977,977,961,941,935,886
79,977,977,977,961,961,935,935
80,1002,977,1002,961,961,935,935
81,1002,977,1002,956,956,935,935
82,1019,1019,1002,956,956,965,935
83,1019,1019,1002,956,956,965,965
84,1019,1019,1019,956,956,965,965
85,1019,1019,1019,956,956,965,965
86,1033,1019,1019,968,968,1007,965
87,1033,1033,1019,968,968,1007,965
88,1033,1033,1033,968,968,1007,1007
89,1033,1033,1033,968,968,1007,1007
90,1033,1046,1046,969,969,1007,1007
91,1033,1046,1046,969,969,1007,1007
92,1046,1046,1046,969,969,1007,1007
93,1046,1046,1046,969,969,1007,1007
94,1046,1046,1046,969,969,1006,1007
95,1046,1043,1046,969,965,1006,1007
96,1046,1043,1043,969,965,1006,1007
97,1043,1043,1043,969,965,1006,1006
98,1043,1043,1031,976,965,1006,1006
99,1043,1031,1031,976,976,1006,1006
100,1043,1031,1031,976,976,1006,1006
101,1031,1031,1031,976,976,1006,1006
102,1031,1031,1031,976,976,1037,1006
103,1031,1013,1031,976,976,1037,1037
104,1031,1013,1013,976,976,1037,1037
105,1013,1013,1013,986,976,1037,1037
106,1013,1013,1013,986,986,1037,1037
107,1013,1013,1013,986,986,1037,1037
108,1013,1019,1013,986,986,1037,1018
109,1013,1019,1019,978,986,1018,1018
110,1019,1019,1019,978,986,1018,1018
111,1019,1019,1019,978,978,1041,1018
112,1018,1018,1019,981,981,1041,1018
113,1018,1018,1019,981,981,1041,1018
114,1097,1018,1097,981,981,1041,1018
115,1097,1097,1097,981,981,1041,1041
116,1097,1097,1097,981,981,1041,1041
117,1097,1097,1097,981,990,1046,1041
118,1097,1097,1097,981,990,1046,1046
119,1097,1097,1105,990,990,1046,1046
120,1097,1105,1105,990,990,1046,1046
121,1097,1105,1105,983,983,1046,1046
122,1105,1105,1105,983,983,1046,1046
123,1105,1105,1121,983,983,1034,1034
124,1105,1121,1121,983,983,1034,1034
125,1105,1121,1121,983,983,1034,1034
126,1105,1121,1121,1008,1008,1034,1034
127,1127,1127,1127,1008,1008,1034,1015
128,1127,1127,1127,1008,1008,1015,1015
129,1127,1127,1127,1024,1008,1015,1015
130,1127,1127,1127,1024,1024,1015,1015
131,1127,1125,1127,1024,1024,1015,1015
132,1125,1125,1127,1024,1024,1070,1015
133,1125,1125,1125,1024,1024,1070,1072
134,1125,1125,1125,1024,1014,1070,1072
135,1125,1125,1125,1024,1014,1070,1072
136,1131,1131,1125,1014,1014,1070,1072
137,1131,1131,1131,1014,1014,1072,1075
138,1131,1131,1131,1014,1014,1075,1075
139,1128,1131,1131,1014,1013,1075,1075
140,1128,1128,1128,1013,1013,1075,1075
141,1128,1128,1128,1013,1013,1075,1075
142,1128,1128,1128,1013,1013,1077,1075
143,1128,1128,1128,1044,1013,1077,1075
144,1110,1128,1128,1044,1044,1077,1077
145,1110,1110,1110,1044,1044,1077,1077
146,1110,1110,1110,1044,1040,1077,1077
147,1110,1110,1110,1044,1040,1079,1079
148,1117,1117,1117,1040,1040,1079,1079
149,1117,1117,1117,1040,1040,1079,1079
150,1117,1117,1117,1021,1040,1079,1079
151,1117,1117,1117,1021,1040,1079,1056
152,1117,1117,1117,1021,1040,1056,1056
153,1116,1116,1116,1021,1040,1056,1056
154,1116,1116,1116,1099,1021,1056,1056
155,1116,1116,1116,1099,1021,1056,1056
156,1123,1116,1116,1099,1099,1060,1060
157,1123,1123,1116,1099,1099,1060,1060
158,1123,1123,1116,1099,1099,1060,1060
159,1123,1123,1116,1099,1099,1055,1060
160,1123,1123,1137,1099,1083,1055,1060
161,1137,1123,1137,1099,1083,1055,1055
162,1137,1137,1137,1083,1083,1055,1055
163,1137,1137,1137,1083,1083,1055,1055
164,1137,1137,1137,1061,1083,1083,1083
165,1174,1174,1174,1061,1061,1083,1083
166,1174,1174,1174,1061,1061,1083,1083
167,1174,1174,1174,1061,1061,1083,1083
168,1174,1152,1174,1048,1061,1108,1083
169,1152,1152,1152,1048,1061,1108,1108
170,1152,1152,1152,1048,1048,1108,1108
171,1152,1152,1152,1048,1048,1108,1108
172,1152,1152,1152,1048,1048,1107,1108
173,1152,1152,1156,1048,1052,1107,1107
174,1156,1152,1156,1048,1052,1107,1107
175,1156,1156,1156,1048,1052,1107,1107
176,1156,1156,1175,1056,1056,1123,1107
177,1156,1156,1175,1056,1056,1123,1107
178,1175,1156,1175,1056,1056,1123,1123
179,1175,1175,1175,1056,1056,1123,1123
180,1175,1175,1175,1056,1056,1123,1123
181,1175,1175,1175,1056,1056,1145,1123
182,1175,1175,1153,1056,1056,1145,1123
183,1153,1153,1153,1056,1035,1145,1123
184,1153,1153,1153,1056,1035,1145,1145
185,1153,1153,1141,1040,1040,1145,1145
186,1153,1153,1141,1040,1040,1145,1145
187,1141,1153,1141,1040,1040,1214,1145
188,1141,1141,1141,1040,1040,1214,1214
189,1141,1162,1141,1029,1040,1228,1214
