numpg_primary,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,289,268,328,253,290,282,270
1,289,268,328,253,290,282,270
2,289,268,328,253,290,282,270
3,289,268,328,253,290,282,270
4,289,268,328,253,290,282,270
5,289,268,328,253,290,282,270
6,289,268,328,253,290,282,270
7,289,268,328,253,290,282,270
8,289,268,328,253,290,282,270
9,289,268,328,253,290,282,270
10,289,268,328,253,290,282,270
11,289,268,328,253,290,282,270
12,289,268,328,253,290,282,270
13,289,268,328,253,290,282,270
14,289,268,328,253,290,282,270
15,289,268,328,253,290,282,270
16,289,268,328,253,290,282,270
17,289,268,328,253,290,282,270
18,289,268,328,253,290,282,270
19,289,268,328,253,290,282,270
20,289,268,328,253,290,282,270
21,289,268,328,253,290,282,270
22,289,268,328,253,290,282,270
23,289,268,328,253,290,282,270
24,289,268,328,253,290,282,270
25,289,268,328,253,290,282,270
26,289,268,328,253,290,282,270
27,289,268,328,253,290,282,270
28,289,268,328,253,290,282,270
29,289,268,328,253,290,282,270
30,289,268,328,253,290,282,270
31,289,268,328,253,290,282,270
32,289,268,328,253,290,282,270
33,289,268,328,253,290,282,270
34,289,268,328,253,290,282,270
35,289,268,328,253,290,282,270
36,289,268,328,253,290,282,270
37,289,268,328,253,290,282,270
38,289,268,328,253,290,282,270
39,289,268,328,253,290,282,270
40,289,268,328,253,290,282,270
41,289,268,328,253,290,282,270
42,289,268,328,Null,Null,282,270
43,289,268,328,Null,Null,282,270
44,289,268,328,Null,Null,282,270
45,289,268,328,Null,Null,282,270
46,289,268,328,Null,Null,282,270
47,289,268,328,Null,Null,282,270
48,289,268,328,Null,Null,282,270
49,289,268,328,Null,Null,282,270
50,289,268,328,Null,Null,282,270
51,289,268,328,Null,Null,282,270
52,289,268,328,Null,Null,282,270
53,289,268,328,Null,Null,282,270
54,289,268,328,Null,Null,282,270
55,289,268,328,Null,Null,282,270
56,289,268,328,Null,Null,282,270
57,289,268,328,Null,Null,282,270
58,289,268,328,Null,Null,282,270
59,289,268,328,Null,Null,282,270
60,289,268,328,Null,Null,282,270
61,289,268,328,Null,Null,282,270
62,289,268,328,Null,Null,282,270
63,289,268,328,Null,Null,282,270
64,289,268,328,Null,Null,282,270
65,289,268,328,Null,Null,282,270
66,289,268,328,Null,Null,282,270
67,289,268,328,Null,Null,282,270
68,289,268,328,Null,Null,282,270
69,289,268,328,Null,Null,282,270
70,289,268,328,Null,Null,282,270
71,289,268,328,Null,Null,282,270
72,289,268,328,Null,Null,282,270
73,289,268,328,Null,Null,282,270
74,289,268,328,Null,Null,282,270
75,289,268,328,Null,Null,282,270
76,289,268,328,Null,Null,282,270
77,289,268,328,Null,Null,282,270
78,289,268,328,Null,Null,282,270
79,289,268,328,Null,Null,282,270
80,289,268,328,Null,Null,282,270
81,289,268,328,Null,Null,282,270
82,289,268,328,Null,Null,282,270
83,289,268,328,Null,Null,282,270
84,289,268,328,Null,Null,282,270
85,289,268,328,Null,Null,282,270
86,289,268,328,Null,Null,282,270
87,289,268,328,Null,Null,282,270
88,289,268,328,Null,Null,282,270
89,289,268,328,Null,Null,282,270
90,289,268,328,Null,Null,282,270
91,289,268,328,Null,Null,282,270
92,289,268,328,Null,Null,282,270
93,289,268,328,Null,Null,282,270
94,289,268,328,Null,Null,282,270
95,289,268,328,Null,Null,282,270
96,289,268,328,Null,Null,282,270
97,289,268,328,Null,Null,282,270
98,289,268,328,Null,Null,282,270
99,289,268,328,Null,Null,282,270
100,289,268,328,Null,Null,282,270
101,289,268,328,Null,Null,282,270
102,289,268,328,Null,Null,282,270
103,289,268,328,Null,Null,282,270
104,289,268,328,Null,Null,282,270
105,289,268,328,Null,Null,282,270
106,289,268,328,Null,Null,282,270
107,289,268,328,Null,Null,282,270
108,289,268,328,Null,Null,282,270
109,289,268,328,Null,Null,282,270
110,289,268,328,Null,Null,282,270
111,289,268,328,Null,Null,282,270
112,289,268,328,Null,Null,282,270
113,289,268,328,Null,Null,282,270
114,289,268,328,Null,Null,282,270
115,289,268,328,Null,Null,282,270
116,289,268,328,Null,Null,282,270
117,289,268,328,Null,Null,282,270
118,289,268,328,Null,Null,282,270
119,289,268,328,Null,Null,282,270
120,289,268,328,Null,Null,282,270
121,289,268,328,Null,Null,282,270
122,289,268,328,Null,Null,282,270
123,289,268,328,Null,Null,282,270
124,289,268,328,Null,Null,282,270
125,289,268,328,Null,Null,282,270
126,289,268,328,Null,Null,282,270
127,289,268,328,Null,Null,282,270
128,289,268,328,Null,Null,282,270
129,289,268,328,Null,Null,282,270
130,289,268,328,Null,Null,282,270
131,289,268,328,Null,Null,282,270
132,289,268,328,Null,Null,282,270
133,289,268,328,Null,Null,282,270
134,289,268,328,Null,Null,282,270
135,289,268,328,Null,Null,282,270
136,289,268,328,Null,Null,282,270
137,289,268,328,Null,Null,282,270
138,289,268,328,Null,Null,282,270
139,289,268,328,Null,Null,282,270
140,289,268,328,Null,Null,282,270
141,289,268,328,Null,Null,282,270
142,289,268,328,Null,Null,282,270
143,289,268,328,Null,Null,282,270
144,289,268,328,Null,Null,282,270
145,289,268,328,Null,Null,282,270
146,289,268,328,Null,Null,282,270
147,289,268,328,Null,Null,282,270
148,289,268,328,Null,Null,282,270
149,289,268,328,Null,Null,282,270
150,289,268,328,Null,Null,282,270
151,Null,Null,Null,Null,Null,282,270
152,Null,Null,Null,Null,Null,282,270
153,Null,Null,Null,Null,Null,282,270
154,Null,Null,Null,Null,Null,282,270
155,Null,Null,Null,Null,Null,282,270
156,Null,Null,Null,Null,Null,282,270
157,Null,Null,Null,Null,Null,282,270
158,Null,Null,Null,Null,Null,282,270
159,Null,Null,Null,Null,Null,282,270
160,Null,Null,Null,Null,Null,282,270
161,Null,Null,Null,Null,Null,282,270
162,Null,Null,Null,Null,Null,282,270
163,Null,Null,Null,Null,Null,282,270
164,Null,Null,Null,Null,Null,282,270
165,Null,Null,Null,Null,Null,282,270
166,Null,Null,Null,Null,Null,282,270
167,Null,Null,Null,Null,Null,282,270
168,Null,Null,Null,Null,Null,282,270
169,Null,Null,Null,Null,Null,282,270
170,Null,Null,Null,Null,Null,282,270
171,Null,Null,Null,Null,Null,282,270
172,Null,Null,Null,Null,Null,282,270
173,Null,Null,Null,Null,Null,282,270
174,Null,Null,Null,Null,Null,282,270
175,Null,Null,Null,Null,Null,282,270
176,Null,Null,Null,Null,Null,282,270
177,Null,Null,Null,Null,Null,282,270
178,Null,Null,Null,Null,Null,282,270
179,Null,Null,Null,Null,Null,282,270
180,Null,Null,Null,Null,Null,282,270
181,Null,Null,Null,Null,Null,282,270
182,Null,Null,Null,Null,Null,282,270
183,Null,Null,Null,Null,Null,282,270
184,Null,Null,Null,Null,Null,282,270
185,Null,Null,Null,Null,Null,282,270
186,Null,Null,Null,Null,Null,282,270
187,Null,Null,Null,Null,Null,282,270
188,Null,Null,Null,Null,Null,282,270
