numpg_replica,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,332,338,343,641,656,636,664
1,332,338,343,641,656,636,664
2,332,338,343,641,656,636,664
3,332,338,343,641,656,636,664
4,332,338,343,641,656,636,664
5,332,338,343,641,656,636,664
6,332,338,343,641,656,636,664
7,332,338,343,641,656,636,664
8,332,338,343,641,656,636,664
9,332,338,343,641,656,636,664
10,332,338,343,641,656,636,664
11,332,338,343,641,656,636,664
12,332,338,343,641,656,636,664
13,332,338,343,641,656,636,664
14,332,338,343,641,656,636,664
15,332,338,343,641,656,636,664
16,332,338,343,641,656,636,664
17,332,338,343,641,656,636,664
18,332,338,343,641,656,636,664
19,332,338,343,641,656,636,664
20,332,338,343,641,656,636,664
21,332,338,343,641,656,636,664
22,332,338,343,641,656,636,664
23,332,338,343,641,656,636,664
24,332,338,343,641,656,636,664
25,332,338,343,641,656,636,664
26,332,338,343,641,656,636,664
27,332,338,343,641,656,636,664
28,332,338,343,641,656,636,664
29,332,338,343,641,656,636,664
30,332,338,343,641,656,636,664
31,332,338,343,641,656,636,664
32,332,338,343,641,656,636,664
33,332,338,343,641,656,636,664
34,332,338,343,641,656,636,664
35,332,338,343,641,656,636,664
36,332,338,343,641,656,636,664
37,332,338,343,641,656,636,664
38,332,338,343,641,656,636,664
39,332,338,343,641,656,636,664
40,332,338,343,641,656,636,664
41,332,338,343,641,656,636,664
42,332,338,343,Null,Null,636,664
43,332,338,343,Null,Null,636,664
44,332,338,343,Null,Null,636,664
45,332,338,343,Null,Null,636,664
46,332,338,343,Null,Null,636,664
47,332,338,343,Null,Null,636,664
48,332,338,343,Null,Null,636,664
49,332,338,343,Null,Null,636,664
50,332,338,343,Null,Null,636,664
51,332,338,343,Null,Null,636,664
52,332,338,343,Null,Null,636,664
53,332,338,343,Null,Null,636,664
54,332,338,343,Null,Null,636,664
55,332,338,343,Null,Null,636,664
56,332,338,343,Null,Null,636,664
57,332,338,343,Null,Null,636,664
58,332,338,343,Null,Null,636,664
59,332,338,343,Null,Null,636,664
60,332,338,343,Null,Null,636,664
61,332,338,343,Null,Null,636,664
62,332,338,343,Null,Null,636,664
63,332,338,343,Null,Null,636,664
64,332,338,343,Null,Null,636,664
65,332,338,343,Null,Null,636,664
66,332,338,343,Null,Null,636,664
67,332,338,343,Null,Null,636,664
68,332,338,343,Null,Null,636,664
69,332,338,343,Null,Null,636,664
70,332,338,343,Null,Null,636,664
71,332,338,343,Null,Null,636,664
72,332,338,343,Null,Null,636,664
73,332,338,343,Null,Null,636,664
74,332,338,343,Null,Null,636,664
75,332,338,343,Null,Null,636,664
76,332,338,343,Null,Null,636,664
77,332,338,343,Null,Null,636,664
78,332,338,343,Null,Null,636,664
79,332,338,343,Null,Null,636,664
80,332,338,343,Null,Null,636,664
81,332,338,343,Null,Null,636,664
82,332,338,343,Null,Null,636,664
83,332,338,343,Null,Null,636,664
84,332,338,343,Null,Null,636,664
85,332,338,343,Null,Null,636,664
86,332,338,343,Null,Null,636,664
87,332,338,343,Null,Null,636,664
88,332,338,343,Null,Null,636,664
89,332,338,343,Null,Null,636,664
90,332,338,343,Null,Null,636,664
91,332,338,343,Null,Null,636,664
92,332,338,343,Null,Null,636,664
93,332,338,343,Null,Null,636,664
94,332,338,343,Null,Null,636,664
95,332,338,343,Null,Null,636,664
96,332,338,343,Null,Null,636,664
97,332,338,343,Null,Null,636,664
98,332,338,343,Null,Null,636,664
99,332,338,343,Null,Null,636,664
100,332,338,343,Null,Null,636,664
101,332,338,343,Null,Null,636,664
102,332,338,343,Null,Null,636,664
103,332,338,343,Null,Null,636,664
104,332,338,343,Null,Null,636,664
105,332,338,343,Null,Null,636,664
106,332,338,343,Null,Null,636,664
107,332,338,343,Null,Null,636,664
108,332,338,343,Null,Null,636,664
109,332,338,343,Null,Null,636,664
110,332,338,343,Null,Null,636,664
111,332,338,343,Null,Null,636,664
112,332,338,343,Null,Null,636,664
113,332,338,343,Null,Null,636,664
114,332,338,343,Null,Null,636,664
115,332,338,343,Null,Null,636,664
116,332,338,343,Null,Null,636,664
117,332,338,343,Null,Null,636,664
118,332,338,343,Null,Null,636,664
119,332,338,343,Null,Null,636,664
120,332,338,343,Null,Null,636,664
121,332,338,343,Null,Null,636,664
122,332,338,343,Null,Null,636,664
123,332,338,343,Null,Null,636,664
124,332,338,343,Null,Null,636,664
125,332,338,343,Null,Null,636,664
126,332,338,343,Null,Null,636,664
127,332,338,343,Null,Null,636,664
128,332,338,343,Null,Null,636,664
129,332,338,343,Null,Null,636,664
130,332,338,343,Null,Null,636,664
131,332,338,343,Null,Null,636,664
132,332,338,343,Null,Null,636,664
133,332,338,343,Null,Null,636,664
134,332,338,343,Null,Null,636,664
135,332,338,343,Null,Null,636,664
136,332,338,343,Null,Null,636,664
137,332,338,343,Null,Null,636,664
138,332,338,343,Null,Null,636,664
