object_ctx_cache_hit,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,42,42,63,121,28,7
1,42,42,63,121,28,7
2,42,42,63,121,28,7
3,42,42,63,121,28,7
4,42,42,63,121,28,7
5,42,42,63,121,28,7
6,42,42,63,124,28,7
7,219,240,362,282,109,15
8,219,240,365,353,155,32
9,525,436,532,380,169,33
10,692,622,968,688,371,74
11,768,738,1155,845,433,97
12,771,739,1160,862,472,105
13,870,743,1162,863,476,106
14,1108,1069,1672,1148,661,142
15,1224,1167,1831,1249,731,171
16,1234,1204,1887,1295,778,194
17,1247,1214,1908,1295,778,194
18,1567,1557,2375,1581,905,220
19,1675,1646,2540,1686,983,255
20,1680,1650,2557,1729,1036,270
21,1697,1655,2572,1736,1039,271
22,1999,1960,3024,1975,1260,305
23,2078,2074,3159,2101,1307,323
24,2116,2107,3257,2173,1351,337
25,2149,2172,3271,2179,1356,338
26,2404,2386,3683,2430,1539,383
27,2497,2510,3850,2518,1598,396
28,2558,2580,3957,2620,1662,427
29,2576,2585,3968,2637,1671,428
30,2914,2913,4340,2929,1814,462
31,2979,2980,4535,3027,1905,498
32,2990,3015,4623,3075,1942,508
33,3010,3032,4647,3088,1946,510
34,3351,3337,5104,3207,2132,536
35,3466,3434,5288,3428,2200,565
36,3491,3461,5327,3514,2238,581
37,3545,3463,5329,3522,2241,581
38,3823,3753,5810,3811,2402,614
39,3938,3856,5893,3866,2424,626
40,3964,3897,6012,3973,2520,644
41,3964,3898,6020,3973,2520,645
42,4265,4179,6391,4138,2654,662
43,4351,4301,6591,4361,2743,701
44,4420,4354,6722,4478,2854,731
45,4421,4356,6726,4482,2856,731
46,4704,4538,6868,4523,2877,737
47,4813,4747,7246,4788,3090,794
48,4876,4856,7451,4889,3183,815
49,4880,4863,7467,4931,3208,818
50,4935,4938,7479,4943,3219,820
51,5222,5189,7951,5199,3393,862
52,5322,5362,8149,5343,3494,887
53,5349,5362,8177,5441,3575,908
54,5353,5366,8180,5444,3579,908
55,5704,5666,8614,5626,3655,923
56,5775,5807,8772,5797,3842,962
57,5845,5862,8875,5926,3907,978
58,5854,5868,8875,5942,3925,988
59,6176,6048,9162,5961,3934,991
60,6213,6242,9372,6277,4123,1042
61,6311,6346,9592,6389,4188,1052
62,6313,6349,9598,6463,4233,1067
63,6387,6390,9625,6468,4233,1067
64,6673,6637,10112,6714,4350,1093
65,6806,6770,10229,6850,4458,1114
66,6832,6821,10363,6944,4537,1129
67,6838,6829,10371,6950,4538,1134
68,7146,7045,10766,6977,4547,1136
69,7251,7217,10945,7265,4745,1185
70,7337,7314,11116,7380,4829,1204
71,7338,7321,11134,7432,4866,1227
72,7533,7419,11172,7436,4867,1227
73,7730,7713,11721,7652,5011,1253
74,7830,7809,11875,7818,5086,1291
75,7830,7809,11875,7911,5156,1312
76,7881,7841,11894,7915,5157,1316
77,8162,8162,12347,8075,5227,1329
78,8239,8236,12503,8246,5397,1357
79,8239,8240,12527,8321,5455,1377
80,8446,8382,12635,8321,5455,1377
81,8581,8603,13059,8519,5568,1403
82,8688,8718,13177,8649,5679,1433
83,8704,8744,13290,8780,5761,1464
84,8711,8747,13295,8798,5778,1475
85,9000,9031,13591,8813,5784,1475
86,9117,9147,13833,9133,5974,1522
87,9192,9228,14020,9224,6047,1546
88,9196,9228,14020,9296,6095,1558
89,9538,9432,14174,9303,6095,1558
90,9630,9586,14544,9434,6164,1563
91,9725,9700,14750,9644,6317,1608
92,9726,9703,14778,9766,6398,1629
93,9873,9734,14810,9784,6403,1632
94,10096,10042,15266,9795,6404,1632
95,10214,10154,15457,10087,6591,1672
