object_ctx_cache_total,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,225,170,139,0,107,259,35
1,226,170,139,0,107,259,35
2,226,170,139,0,107,259,35
3,226,170,139,0,107,259,35
4,227,170,140,0,107,260,35
5,228,170,140,0,108,260,35
6,228,170,140,0,108,260,35
7,228,170,140,0,108,260,35
8,229,170,141,0,108,260,35
9,230,170,141,0,109,261,35
10,230,170,141,0,109,261,35
11,230,170,141,0,109,261,35
12,231,170,142,0,109,261,35
13,232,170,142,0,110,262,35
14,232,170,142,0,110,262,35
15,232,170,142,0,110,262,35
16,233,170,143,0,110,262,35
17,234,170,143,0,110,263,35
18,234,170,143,0,111,263,35
19,234,170,143,0,111,263,35
20,234,170,144,0,111,263,35
21,236,170,144,0,111,264,35
22,237,170,144,0,112,264,35
23,238,170,145,0,112,264,35
24,238,170,146,0,112,264,36
25,240,170,146,0,112,264,36
26,240,393,153,0,113,265,36
27,368,454,534,0,113,265,36
28,613,580,656,249,113,573,171
29,981,699,784,249,366,669,195
30,1055,1075,1020,249,367,916,295
31,1265,1075,1277,249,606,916,545
32,1391,1203,1529,249,612,1036,545
33,1621,1203,1778,377,612,1410,798
34,1743,1203,2154,377,810,1411,914
35,1743,1203,2258,504,866,1411,1254
36,1866,1203,2386,541,991,1662,1428
37,1994,1203,2386,649,1137,1789,1939
38,2250,1402,2514,755,1375,2043,2075
39,2374,1578,2514,764,1526,2411,2238
40,2508,1578,2613,881,1746,2537,2431
41,2635,1683,2769,1009,1998,2579,2673
42,3028,1704,3018,1136,2125,2788,2867
43,3127,1704,3144,1136,2126,3039,2928
44,3127,2082,3269,1136,2126,3292,3219
45,3255,2296,3270,1136,2136,3440,3414
46,3447,2463,3418,1261,2380,3541,3542
47,3819,2463,3524,1261,2380,3745,3796
48,4005,2550,3734,1266,2381,4046,3923
49,4181,2590,4029,1508,2381,4046,4049
50,4511,2714,4205,1630,2381,4422,4136
51,4511,2841,4406,1630,2509,4422,4300
52,4637,2966,4534,1630,2635,4423,4525
53,4638,2966,4783,1885,2635,4457,4676
54,4782,3093,4783,2131,2635,4550,5017
55,5217,3093,5033,2380,2922,4657,5172
56,5263,3093,5119,2505,3015,4804,5212
57,5519,3225,5330,2505,3269,4930,5541
58,5696,3345,5638,2633,3269,5170,5541
59,5897,3345,5782,2633,3656,5547,5541
60,6095,3345,6061,2716,3776,5676,5664
61,6277,3345,6365,2760,3776,5802,5664
62,6339,3589,6401,2760,3895,6045,5790
63,6404,3710,6401,2760,3895,6285,6044
64,6614,3913,6525,3093,3895,6285,6170
65,6644,3964,6734,3137,4024,6540,6170
66,6771,4213,7030,3356,4024,6918,6377
67,6895,4234,7272,3507,4279,6918,6521
68,6896,4338,7276,3507,4280,7044,6797
69,7140,4588,7354,3507,4530,7063,7069
70,7270,4588,7533,3515,4530,7168,7306
71,7442,4588,7787,3633,4573,7413,7553
72,7775,4588,8085,3873,4782,7663,7797
73,7899,4588,8353,4005,4783,7784,7797
74,8013,4713,8413,4005,4783,7882,8311
75,8014,5088,8666,4005,4907,8038,8538
76,8245,5118,8918,4131,4907,8166,8538
77,8265,5432,9187,4255,5032,8372,8612
78,8647,5465,9556,4255,5257,8420,9181
79,8872,5465,9795,4255,5285,8420,9282
80,9144,5667,9795,4255,5285,8760,9471
81,9396,5720,10083,4255,5411,8802,9535
82,9521,5844,10374,4505,5412,9050,9535
83,9900,5972,10572,4505,5775,9172,9659
84,10145,5972,10657,4882,5775,9172,9787
85,10271,6098,10783,4882,5900,9356,9912
86,10272,6226,11038,4882,5901,9553,9912
87,10273,6454,11221,4882,6025,9680,10293
88,10401,6581,11291,5204,6025,9680,10625
89,10524,6581,11542,5261,6025,9931,10785
90,10525,6581,12031,5500,6198,10051,10801
91,10526,6828,12403,5500,6405,10052,11008
92,10773,6955,12538,5572,6405,10179,11537
93,10901,6955,12789,5714,6908,10430,11537
94,11179,7209,12866,5736,7349,10654,11537
95,11332,7463,13240,5858,7534,10893,11537
96,11648,7463,13286,6074,7666,11031,11537
