op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0.034698,0,0
6,0.079329,0.069996,0.072003,0.065145,0.048725,0.049412
7,0,0,0.301195,0.065881,0.068912,0.047026
8,0.153893,0.209109,0.20905,1.02969,1.831698,0
9,0.127522,0.107368,0.088604,0.064295,0.069535,0.058358
10,0.14083,0.151364,0.162872,0.136234,0.154309,0.142725
11,0,0,0.956043,0.227587,0.117749,0.117781
12,0.366048,2.797572,0,0,0.955913,0
13,0.078283,0.089559,0.185868,0.21797,0.152267,0.189439
14,0.137401,0.145978,0.142743,0.127405,0.13516,0.081876
15,0.225065,0.163307,0.176588,0.175805,0.181428,0.136788
16,2.15633,2.246679,2.129107,0,0,0
17,0.107091,0.102317,0.114861,0.120932,0.286068,0.332369
18,0.136088,0.151297,0.150463,0.116406,0.105238,0.065715
19,0.684312,0,0.617799,0.124478,0.208735,0.108336
20,1.13166,1.804808,0.824233,0.000347,1.427629,2.149756
21,0.073126,0.069423,0.17712,0.282524,0.067926,0.056365
22,0.258257,0.187816,0.171618,0.146349,0.127309,0.106636
23,0.215557,0.341214,0.181561,0.24689,0.257033,0.202457
24,0.799641,0.466448,1.753125,1.708811,1.620341,0.589775
25,0.098286,0.087502,0.093834,0.090597,0.083929,0.177685
26,0.153508,0.175494,0.177001,0.143945,0.232729,0.121718
27,0.107762,0.185615,0.143423,0.147867,0.111255,0.175029
28,0.967127,1.610969,1.470101,1.636546,1.341031,0
29,0.10583,0.109556,0.160715,0.091073,0.114291,0.123683
30,0.140411,0.109879,0.109495,0.155899,0.097887,0.063017
31,0.154069,0.113575,0.231055,0.164161,0.141899,0.126872
32,0.855157,1.925413,1.552413,1.994393,1.189239,1.632456
33,0.083298,0.108622,0.103032,0.122901,0.150737,0.195852
34,0.131138,0.164617,0.126513,0.092996,0.100956,0.083076
35,0.44252,0.438389,0.750711,0.263642,0.247875,0.182909
36,0.493926,1.447083,1.452764,0.681559,1.080106,0
37,0.071454,0.101643,0.143112,0.182443,0.085252,0.223149
38,0.166648,0.209144,0.265668,0.338205,0.190775,0.05748
39,0.248063,0.215911,0.128021,0.133588,0.184835,0.248251
40,0,1.836339,1.795758,1.828121,1.782096,0.351955
41,0.134722,0.135658,0.206038,0.345894,0.153081,0.223476
42,0.119834,0.13932,0.138,0.095961,0.095208,0.094486
43,0.101884,0.12478,0.126644,0.103228,0.12529,0.129954
44,2.020455,0,1.170126,1.044433,0.955579,0
45,0.157982,0.231917,0.420131,0.822432,1.120287,2.008653
46,0.143701,0.112853,0.080925,0.076176,0.069277,0.125273
47,0.11715,0.145794,0.152045,0.117334,0.159482,0.142228
48,0,0,1.355174,0.130516,0.159715,0.12618
49,0.481249,0.510571,1.750597,1.415212,2.444299,0
50,0.08462,0.086504,0.109289,0.103457,0.127588,0.128823
51,0.139032,0.135989,0.137491,0.111969,0.125019,0.119709
52,0.136424,0,0.152043,0.1508,0.1313,0.147067
53,1.704881,1.700318,0,0.000474,1.673716,0
54,0.167036,0.119943,0.182795,0.232455,0.348593,0.434072
55,0.129979,0.141631,0.171021,0.097525,0.076612,0.065148
56,0.117537,0.153487,0.170109,0.1442,0.147643,0.113131
57,1.978847,1.977092,0,0.099224,0.096507,0.107717
58,0.136019,0.255948,0.2292,1.163926,2.344935,1.960742
59,0.177575,0.096238,0.090894,0.062418,0.096633,0.091218
60,0.157888,0.166767,0.182098,0.177802,0.178937,0.148593
61,0.92778,0.938501,0.919894,0.188182,0.146093,0.132693
62,0.330674,0.698224,1.045877,0.000474,0,0.933821
63,0.086599,0.079942,0.087203,0.270998,0.260916,0.143948
64,0.142437,0.146098,0.136737,0.109642,0.091403,0.060793
65,0.142825,0.179978,0.146596,0.137774,0.140113,0.144478
66,2.196201,0,2.116609,0.406687,0.492617,0.049217
67,0.15668,0.205789,0.121646,1.093199,2.162627,2.752229
68,0.128393,0.117253,0.120013,0.071124,0.123258,0.136305
69,0.172907,0.14092,0.136057,0.145033,0.114303,0.117902
70,0.963738,0,0.689435,0.178919,0.147392,0.150564
71,0.2354,0.51199,0.9113,1.783105,0,0
72,0.106259,0.100273,0.091946,0.113358,0.2349,0.460979
73,0.160169,0.152016,0.130924,0.113901,0.109301,0.070973
74,0,0,0,0.142795,0.162705,0.099112
75,0.549417,1.103687,1.971978,0,0,1.029788
76,0.081074,0.092924,0.089251,0.307774,0.513412,0.121278
77,0.129967,0.1888,0.163948,0.076211,0.078467,0.061157
78,0,0.051288,0,0.131717,0.143103,0.095237
79,0.059656,0.065371,1.146388,0,0,0
80,0.106937,0.092128,0.089333,0.176262,0.191157,0.064448
81,0.133917,0.147616,0.178599,0.100187,0.09892,0.06625
82,0.085299,0.081922,0.172091,0.156559,0.138091,0.133258
83,1.55908,0,1.576958,0.157346,0.139469,0.086983
84,0.121325,0.227552,0.20701,0.788163,1.742903,0
85,0.155943,0.13058,0.123203,0.192176,0.104168,0.264938
86,0.108001,0.125418,0.141748,0.155746,0.138283,0.116058
87,2.102409,0,0,0.133965,0.109681,0.175511
88,0.082112,0.22665,0.548802,2.126841,0,0
89,0.139248,0.104985,0.085242,0.236969,0.283734,1.153772
90,0.158772,0.164463,0.154929,0.082725,0.075803,0.065005
91,0.688614,0,0.149763,0.133833,0.143356,0.14484
92,0.222405,0.811452,1.797461,0.268523,0.290143,0.176158
93,0.083337,0.084387,0.07846,0.846187,2.308532,1.677566
94,0.142592,0.143239,0.145308,0.182009,0.064895,0.064929
