op_r_out_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,246,832,1113,665,788,1130,262
1,246,832,1113,665,788,1130,262
2,246,832,1113,665,788,1130,262
3,246,832,1113,665,788,1130,262
4,246,832,1113,665,788,1130,262
5,246,832,1113,665,788,1130,262
6,246,832,1113,665,788,1130,262
7,246,832,1113,665,788,1130,262
8,246,832,1113,665,788,1130,262
9,246,832,1113,665,788,1130,262
10,246,832,1113,665,788,1130,262
11,246,832,1113,665,788,1130,262
12,246,832,1113,665,788,1130,262
13,246,832,1113,665,788,1130,262
14,246,832,1113,665,788,1130,262
15,246,832,1113,665,788,1130,262
16,246,832,1113,665,788,1130,262
17,246,832,1113,665,788,1130,262
18,246,832,1113,665,788,1130,262
19,246,832,1113,665,788,1130,262
20,246,832,1113,665,788,1130,262
21,246,832,1113,665,788,1130,262
22,246,832,1113,665,788,1130,262
23,246,832,1113,665,788,1130,262
24,246,832,1113,665,788,1130,262
25,246,832,1113,665,788,1130,262
26,246,832,1113,665,788,1130,262
27,246,832,1113,665,788,1130,262
28,246,832,1113,665,788,1130,262
29,246,832,1113,665,788,1130,262
30,246,832,1113,665,788,1130,262
31,246,832,1113,665,788,1130,262
32,246,832,1113,665,788,1130,262
33,246,832,1113,665,788,1130,262
34,246,832,1113,665,788,1130,262
35,246,832,1113,665,788,1130,262
36,246,832,1113,665,788,1130,262
37,246,832,1113,665,788,1130,262
38,246,832,1113,665,788,1130,262
39,246,832,1113,665,788,1130,262
40,246,832,1113,665,788,1130,262
41,246,832,1113,665,788,1130,262
42,246,832,1113,Null,Null,1130,262
43,246,832,1113,Null,Null,1130,262
44,246,832,1113,Null,Null,1130,262
45,246,832,1113,Null,Null,1130,262
46,246,832,1113,Null,Null,1130,262
47,246,832,1113,Null,Null,1130,262
48,246,832,1113,Null,Null,1130,262
49,246,832,1113,Null,Null,1130,262
50,246,832,1113,Null,Null,1130,262
51,246,832,1113,Null,Null,1130,262
52,246,832,1113,Null,Null,1130,262
53,246,832,1113,Null,Null,1130,262
54,246,832,1113,Null,Null,1130,262
55,246,832,1113,Null,Null,1130,262
56,246,832,1113,Null,Null,1130,262
57,246,832,1113,Null,Null,1130,262
58,246,832,1113,Null,Null,1130,262
59,246,832,1113,Null,Null,1130,262
60,246,832,1113,Null,Null,1130,262
61,246,832,1113,Null,Null,1130,262
62,246,832,1113,Null,Null,1130,262
63,246,832,1113,Null,Null,1130,262
64,246,832,1113,Null,Null,1130,262
65,246,832,1113,Null,Null,1130,262
66,246,832,1113,Null,Null,1130,262
67,246,832,1113,Null,Null,1130,262
68,246,832,1113,Null,Null,1130,262
69,246,832,1113,Null,Null,1130,262
70,246,832,1113,Null,Null,1130,262
71,246,832,1113,Null,Null,1130,262
72,246,832,1113,Null,Null,1130,262
73,246,832,1113,Null,Null,1130,262
74,246,832,1113,Null,Null,1130,262
75,246,832,1113,Null,Null,1130,262
76,246,832,1113,Null,Null,1130,262
77,246,832,1113,Null,Null,1130,262
78,246,832,1113,Null,Null,1130,262
79,246,832,1113,Null,Null,1130,262
80,246,832,1113,Null,Null,1130,262
81,246,832,1113,Null,Null,1130,262
82,246,832,1113,Null,Null,1130,262
83,246,832,1113,Null,Null,1130,262
84,246,832,1113,Null,Null,1130,262
85,246,832,1113,Null,Null,1130,262
86,246,832,1113,Null,Null,1130,262
87,246,832,1113,Null,Null,1130,262
88,246,832,1113,Null,Null,1130,262
89,246,832,1113,Null,Null,1130,262
90,246,832,1113,Null,Null,1130,262
91,246,832,1113,Null,Null,1130,262
92,246,832,1113,Null,Null,1130,262
93,246,832,1113,Null,Null,1130,262
94,246,832,1113,Null,Null,1130,262
95,246,832,1113,Null,Null,1130,262
96,246,832,1113,Null,Null,1130,262
97,246,832,1113,Null,Null,1130,262
98,246,832,1113,Null,Null,1130,262
99,246,832,1113,Null,Null,1130,262
100,246,832,1113,Null,Null,1130,262
101,246,832,1113,Null,Null,1130,262
102,246,832,1113,Null,Null,1130,262
103,246,832,1113,Null,Null,1130,262
104,246,832,1113,Null,Null,1130,262
105,246,832,1113,Null,Null,1130,262
106,246,832,1113,Null,Null,1130,262
107,246,832,1113,Null,Null,1130,262
108,246,832,1113,Null,Null,1130,262
