op_rw_in_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,89,17,17,89,89,411,17
1,89,17,17,89,89,411,17
2,89,17,17,89,89,411,17
3,89,17,17,89,89,411,17
4,89,17,17,89,89,411,17
5,89,17,17,89,89,411,17
6,89,17,17,89,89,411,17
7,89,17,17,89,89,411,17
8,89,17,17,89,89,411,17
9,89,17,17,89,89,411,17
10,89,17,17,89,89,411,17
11,89,17,17,89,89,411,17
12,89,17,17,89,89,411,17
13,89,17,17,89,89,411,17
14,89,17,17,89,89,411,17
15,89,17,17,89,89,411,17
16,89,17,17,89,89,411,17
17,89,17,17,89,89,411,17
18,89,17,17,89,89,411,17
19,89,17,17,89,89,411,17
20,89,17,17,89,89,411,17
21,89,17,17,89,89,411,17
22,89,17,17,89,89,411,17
23,89,17,17,89,89,411,17
24,89,17,17,89,89,411,17
25,89,17,17,89,89,411,17
26,89,17,17,89,89,411,17
27,89,17,17,89,89,411,17
28,89,17,17,89,89,411,17
29,89,17,17,89,89,411,17
30,89,17,17,89,89,411,17
31,89,17,17,89,89,411,17
32,89,17,17,89,89,411,17
33,89,17,17,89,89,411,17
34,89,17,17,89,89,411,17
35,89,17,17,89,89,411,17
36,89,17,17,89,89,411,17
37,89,17,17,89,89,411,17
38,89,17,17,89,89,411,17
39,89,17,17,89,89,411,17
40,89,17,17,89,89,411,17
41,89,17,17,89,89,411,17
42,89,17,17,Null,Null,411,17
43,89,17,17,Null,Null,411,17
44,89,17,17,Null,Null,411,17
45,89,17,17,Null,Null,411,17
46,89,17,17,Null,Null,411,17
47,89,17,17,Null,Null,411,17
48,89,17,17,Null,Null,411,17
49,89,17,17,Null,Null,411,17
50,89,17,17,Null,Null,411,17
51,89,17,17,Null,Null,411,17
52,89,17,17,Null,Null,411,17
53,89,17,17,Null,Null,411,17
54,89,17,17,Null,Null,411,17
55,89,17,17,Null,Null,411,17
56,89,17,17,Null,Null,411,17
57,89,17,17,Null,Null,411,17
58,89,17,17,Null,Null,411,17
59,89,17,17,Null,Null,411,17
60,89,17,17,Null,Null,411,17
61,89,17,17,Null,Null,411,17
62,89,17,17,Null,Null,411,17
63,89,17,17,Null,Null,411,17
64,89,17,17,Null,Null,411,17
65,89,17,17,Null,Null,411,17
66,89,17,17,Null,Null,411,17
67,89,17,17,Null,Null,411,17
68,89,17,17,Null,Null,411,17
69,89,17,17,Null,Null,411,17
70,89,17,17,Null,Null,411,17
71,89,17,17,Null,Null,411,17
72,89,17,17,Null,Null,411,17
73,89,17,17,Null,Null,411,17
74,89,17,17,Null,Null,411,17
75,89,17,17,Null,Null,411,17
76,89,17,17,Null,Null,411,17
77,89,17,17,Null,Null,411,17
78,89,17,17,Null,Null,411,17
79,89,17,17,Null,Null,411,17
80,89,17,17,Null,Null,411,17
81,89,17,17,Null,Null,411,17
82,89,17,17,Null,Null,411,17
83,89,17,17,Null,Null,411,17
84,89,17,17,Null,Null,411,17
85,89,17,17,Null,Null,411,17
86,89,17,17,Null,Null,411,17
87,89,17,17,Null,Null,411,17
88,89,17,17,Null,Null,411,17
89,89,17,17,Null,Null,411,17
90,89,17,17,Null,Null,411,17
91,89,17,17,Null,Null,411,17
92,89,17,17,Null,Null,411,17
93,89,17,17,Null,Null,411,17
94,89,17,17,Null,Null,411,17
95,89,17,17,Null,Null,411,17
96,89,17,17,Null,Null,411,17
97,89,17,17,Null,Null,411,17
98,89,17,17,Null,Null,411,17
99,89,17,17,Null,Null,411,17
100,89,17,17,Null,Null,411,17
101,89,17,17,Null,Null,411,17
102,89,17,17,Null,Null,411,17
103,89,17,17,Null,Null,411,17
104,89,17,17,Null,Null,411,17
105,89,17,17,Null,Null,411,17
106,89,17,17,Null,Null,411,17
107,89,17,17,Null,Null,411,17
108,89,17,17,Null,Null,411,17
109,89,17,17,Null,Null,411,17
110,89,17,17,Null,Null,411,17
111,89,17,17,Null,Null,411,17
112,89,17,17,Null,Null,411,17
113,89,17,17,Null,Null,411,17
114,89,17,17,Null,Null,411,17
