op_rw_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0.000574,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0.000529,0,0.000579,0,0,0.000574,0
4,0.000587,0,0,0,0.000581,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0.000532,0,0.000428,0,0,0,0
8,0.000582,0,0,0,0.000447,0.000458,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0.000589,0,0.000581,0,0,0,0
12,0.000597,0,0,0,0.000624,0.000525,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0.000488,0,0.000577,0,0,0,0
16,0.000523,0,0,0,0,0.000475,0
17,0,0,0,0,0.000507,0,0
18,0,0,0,0,0,0,0
19,0,0,0.00049,0,0,0,0
20,0.000569,0,0,0,0,0.000431,0
21,0,0,0,0,0.000511,0,0
22,0,0,0,0,0,0,0
23,0,0,0.000515,0,0,0,0
24,0.000523,0,0,0,0,0,0
25,0,0,0,0,0.000569,0.000457,0
26,0,0,0,0,0,0,0
27,0,0,0.000451,0,0,0,0
28,0.000475,0,0,0,0,0,0
29,0,0,0,0,0.000396,0.000481,0
30,0,0,0,0,0,0,0
31,0,0,0.000354,0,0,0,0
32,0.000272,0,0,0,0,0,0
33,0.000395,0,0,0,0,0.00038,0
34,0,0,0,0,0.0003,0,0
35,0,0,0.000353,0,0,0,0
36,0.000328,0,0,0,0,0,0
37,0.000569,0,0,0,0,0,0
38,0,0,0,0,0.000283,0.000438,0
39,0,0,0.000411,0,0,0,0
40,0.000289,0,0,0,0,0,0
41,0.000384,0,0,0,0,0,0
42,0,0,0,0,0.000549,0.000272,0
43,0,0,0,0,0,0,0
44,0.000306,0,0.001461,0,0,0,0
45,0.000576,0,0,0,0,0,0
46,0,0,0,0,0,0.000411,0
47,0,0,0,0,0.000491,0,0
48,0.000385,0,0.000339,0,0,0,0
49,0.000377,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0.000373,0.000381,0
52,0.000445,0,0.000399,0,0,0,0
53,0.000308,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0.000491,0.000504,0
56,0.000362,0,0.000362,0,0,0,0
57,0.000383,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0.000327,0.000375,0
60,0.000413,0,0.000489,0,0,0,0
61,0.000461,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
64,0.000486,0,0.000363,0,0.000414,0.000509,0
65,0.000496,0,0,0,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,0,0,0.000429,0,0.000264,0.000511,0
69,0.000347,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0.000389,0,0.000311,0.000518,0
73,0.000427,0,0,0,0,0,0
74,0.000356,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0.000348,0,0,0,0
77,0.000335,0,0,0,0.000422,0.000261,0
78,0.000276,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0.000475,0,0,0,0
81,0.00033,0,0,0,0.000418,0.000243,0
82,0.00042,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0.000372,0,0.000527,0,0.000469,0.000891,0
86,0.000372,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0.000506,0,0.000356,0,0,0,0
90,0.000474,0,0,0,0.000378,0.000477,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0.000396,0,0.000391,0,0,0,0
94,0.000381,0,0,0,0.000266,0.000341,0
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,0.000462,0,0.000397,0,0,0,0
98,0.000466,0,0,0,0.000396,0.000438,0
99,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0
101,0.000347,0,0.00037,0,0,0,0
102,0.000389,0,0,0,0,0,0
103,0,0,0,0,0.000401,0.000379,0
104,0,0,0,0,0,0,0
105,0.000355,0,0.000427,0,0,0,0
106,0.000664,0,0,0,0,0,0
107,0,0,0,0,0.000485,0.000314,0
108,0,0,0,0,0,0,0
109,0.000353,0,0.000367,0,0,0,0
110,0.000405,0,0,0,0,0,0
111,0,0,0,0,0.00043,0.000443,0
112,0,0,0,0,0,0,0
113,0,0,0.000356,0,0,0,0
114,0.000424,0,0,0,0,0,0
115,0,0,0,0,0,0,0
116,0,0,0,0,0.000523,0.000441,0
117,0,0,0.000498,0,0,0,0
118,0.000856,0,0,0,0,0,0
119,0.000453,0,0,0,0,0,0
120,0,0,0,0,0.000288,0.0005,0
121,0,0,0.000391,0,0,0,0
122,0.000365,0,0,0,0,0,0
123,0.000359,0,0,0,0,0,0
124,0,0,0,0,0.000397,0.000503,0
125,0,0,0,0,0,0,0
126,0.000503,0,0.000418,0,0,0,0
127,0.000286,0,0,0,0,0,0
128,0,0,0,0,0,0.000461,0
129,0,0,0,0,0.000541,0,0
130,0.000382,0,0.000424,0,0,0,0
131,0.000375,0,0,0,0,0,0
132,0,0,0,0,0,0,0
133,0,0,0,0,0.000373,0.000311,0
134,0.000602,0,0.000405,0,0,0,0
135,0.000335,0,0,0,0,0,0
136,0,0,0,0,0,0,0
137,0,0,0,0,0.000464,0.000396,0
138,0.000465,0,0.000273,0,0,0,0
139,0.000399,0,0,0,0,0,0
140,0,0,0,0,0,0,0
141,0,0,0,0,0,0.000315,0
142,0.000393,0,0.000399,0,0.000398,0,0
143,0.000504,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0.000368,0,0.000356,0,0.000493,0.000396,0
147,0.000437,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0.000405,0,0.000351,0.000408,0
151,0.000431,0,0,0,0,0,0
152,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
154,0,0,0.000413,0,0.000491,0.000271,0
155,0.000411,0,0,0,0,0,0
156,0.000398,0,0,0,0,0,0
157,0,0,0,0,0,0,0
158,0,0,0.000397,0,0,0,0
159,0.000354,0,0,0,0.000388,0.000314,0
160,0.000268,0,0,0,0,0,0
161,0,0,0,0,0,0,0
162,0,0,0.000386,0,0,0,0
163,0.000476,0,0,0,0.000402,0.000302,0
164,0.00034,0,0,0,0,0,0
165,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0
167,0.000461,0,0.000476,0,0.000356,0.000369,0
168,0.000436,0,0,0,0,0,0
169,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0
171,0.000433,0,0.000563,0,0,0,0
172,0.000748,0,0,0,0.000336,0.000402,0
173,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0
175,0.000428,0,0.000341,0,0,0,0
176,0.000403,0,0,0,0.000404,0.000344,0
177,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0
179,0.000441,0,0.000327,0,0,0,0
180,0.000363,0,0,0,0.000468,0.000447,0
181,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0
183,0.000342,0,0.000346,0,0,0,0
184,0.00046,0,0,0,0,0,0
185,0,0,0,0,0.000514,0.000274,0
186,0,0,0,0,0,0,0
187,0,0,0.000527,0,0,0,0
188,0.000263,0,0,0,0,0,0
189,0.000547,0,0,0,0.000393,0.000383,0
190,0,0,0,0,0,0,0
191,0,0,0.000503,0,0,0,0
192,0.000363,0,0,0,0,0,0
193,0.000402,0,0,0,0.000395,0.000428,0
194,0,0,0,0,0,0,0
195,0,0,0.000334,0,0,0,0
196,0.000476,0,0,0,0,0,0
197,0.000304,0,0,0,0.000462,0,0
198,0,0,0,0,0,0.000326,0
199,0,0,0,0,0,0,0
200,0.00032,0,0.000363,0,0,0,0
201,0.000332,0,0,0,0,0,0
202,0,0,0,0,0.000365,0.00025,0
203,0,0,0,0,0,0,0
204,0.000349,0,0.000654,0,0,0,0
205,0.00045,0,0,0,0,0,0
206,0,0,0,0,0.000371,0.000486,0
207,0,0,0,0,0,0,0
208,0.000628,0,0.000424,0,0,0,0
209,0.000379,0,0,0,0,0,0
