op_w,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,48,48,72,49,32,8
1,48,48,72,49,32,8
2,48,48,72,49,32,8
3,48,48,72,49,32,8
4,48,48,72,49,32,8
5,48,48,72,49,32,8
6,48,48,72,49,32,8
7,212,236,361,197,112,14
8,212,236,365,248,149,33
9,519,431,533,291,162,33
10,680,618,959,592,366,74
11,764,737,1138,745,431,95
12,764,737,1150,761,469,105
13,864,744,1150,761,473,105
14,1098,1056,1669,1052,658,141
15,1221,1159,1813,1150,720,168
16,1225,1191,1884,1205,771,192
17,1240,1210,1896,1205,771,192
18,1566,1554,2360,1479,906,220
19,1667,1642,2543,1586,980,252
20,1680,1642,2548,1622,1038,268
21,1693,1659,2553,1622,1040,271
22,1992,1955,3015,1877,1258,306
23,2071,2062,3154,2002,1302,323
24,2105,2097,3252,2076,1348,332
25,2151,2174,3265,2084,1355,336
26,2398,2379,3672,2334,1531,383
27,2492,2508,3835,2422,1587,397
28,2553,2574,3949,2511,1661,428
29,2573,2586,3953,2533,1667,428
30,2908,2907,4324,2838,1815,460
31,2973,2973,4517,2926,1907,499
32,2985,3006,4600,2975,1940,506
33,3004,3022,4637,2987,1942,509
34,3342,3335,5103,3111,2128,536
35,3465,3429,5277,3324,2200,565
36,3484,3456,5319,3407,2239,579
37,3547,3462,5320,3410,2242,579
38,3819,3747,5804,3707,2396,615
39,3930,3845,5889,3759,2419,623
40,3964,3897,6000,3856,2516,644
41,3964,3898,6004,3857,2520,645
42,4261,4174,6390,4035,2654,658
43,4355,4294,6574,4251,2738,700
44,4412,4351,6715,4369,2848,729
45,4418,4351,6717,4373,2853,729
46,4696,4533,6864,4421,2873,732
47,4802,4737,7240,4686,3085,793
48,4874,4852,7441,4782,3177,815
49,4874,4852,7462,4819,3205,818
50,4937,4937,7468,4833,3212,818
51,5206,5195,7942,5089,3387,862
52,5318,5354,8141,5230,3496,887
53,5342,5354,8170,5332,3569,908
54,5345,5365,8170,5332,3571,908
55,5703,5662,8601,5517,3659,918
56,5774,5794,8766,5684,3844,963
57,5838,5854,8867,5818,3906,978
58,5847,5856,8867,5830,3924,985
59,6171,6054,9163,5857,3929,989
60,6214,6238,9356,6172,4120,1043
61,6305,6342,9588,6268,4181,1051
62,6310,6345,9593,6345,4227,1065
63,6385,6379,9632,6345,4227,1067
64,6664,6635,10095,6596,4351,1093
65,6796,6766,10221,6737,4453,1112
66,6828,6819,10346,6830,4532,1130
67,6830,6819,10369,6831,4540,1132
68,7152,7042,10762,6867,4541,1134
69,7245,7210,10935,7144,4744,1183
70,7330,7309,11115,7264,4831,1205
71,7331,7309,11134,7314,4862,1224
72,7526,7412,11165,7323,4862,1224
73,7724,7714,11710,7545,5015,1252
74,7825,7805,11871,7694,5082,1290
75,7825,7805,11871,7791,5147,1310
76,7881,7835,11888,7791,5147,1317
77,8152,8163,12339,7953,5230,1329
78,8245,8242,12490,8124,5392,1357
79,8245,8246,12490,8205,5454,1378
80,8446,8380,12626,8205,5454,1378
81,8574,8597,13068,8392,5562,1401
82,8690,8721,13172,8529,5673,1433
83,8704,8735,13276,8658,5760,1460
84,8709,8735,13289,8678,5776,1472
85,8992,9029,13584,8679,5782,1472
86,9114,9139,13820,9020,5975,1523
87,9190,9227,14000,9101,6046,1543
88,9198,9227,14000,9168,6097,1557
89,9527,9422,14162,9179,6097,1557
90,9624,9578,14534,9311,6162,1564
91,9714,9697,14749,9518,6321,1609
