op_w_in_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
1,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
2,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
3,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
4,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
5,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
6,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
7,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
8,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
9,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
10,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
11,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
12,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
13,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
14,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
15,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
16,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
17,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
18,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
19,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
20,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
21,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
22,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
23,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
24,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
25,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
26,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
27,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
28,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
29,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
30,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
31,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
32,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
33,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
34,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
35,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
36,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
37,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
38,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
39,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
40,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
41,20585644032,13207863296,23861395568,11525947392,17318281216,19893583872,23530045440
42,20585644032,13207863296,23861395568,Null,Null,19893583872,23530045440
43,20585644032,13207863296,23861395568,Null,Null,19893583872,23530045440
44,20585644032,13207863296,23861395568,Null,Null,19893583872,23530045440
