op_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0.01785,0,0,0,0,0
26,0.022493,0.008124,0.014334,0,0,0,0
27,0.025419,0.015863,0.010595,0.010171,0,0.009895,0.016009
28,0.020782,0.007097,0.021771,0,0.018463,0.013343,0.024713
29,0.032464,0.019621,0.017792,0,0,0.014585,0.027563
30,0.013053,0,0.019409,0,0.012685,0,0.017737
31,0.026463,0.030872,0.017911,0,0.020207,0.0067,0
32,0.015587,0,0.014628,0.009187,0,0.015551,0.009221
33,0.023081,0,0.013684,0,0.01112,0,0.030097
34,0,0,0.007737,0.010238,0.025843,0,0.015647
35,0.007795,0,0.016225,0.010203,0.007539,0.015337,0.017669
36,0.018616,0,0,0.008576,0.029182,0.021058,0.014799
37,0.020412,0.019089,0.024268,0.021649,0.014954,0.021954,0.01208
38,0.01581,0.010507,0.051768,0.011787,0.026017,0.016216,0.014915
39,0.017691,0,0.025482,0.019135,0.016599,0.014048,0.020598
40,0.026598,0.012864,0.027728,0.016615,0.008445,0.024126,0.007982
41,0.014446,0.022542,0.01612,0.021082,0.018625,0.020715,0.019252
42,0.021354,0,0.023688,0,0,0.017752,0.022942
43,0,0.021047,0.02453,0,0,0.012454,0.023342
44,0.026539,0.016989,0,0,0.011279,0.020892,0.018639
45,0.013098,0.022163,0.023638,0.018728,0.020646,0.019898,0.01828
46,0.012205,0,0.022686,0,0,0.014372,0.022024
47,0.0233,0.02044,0.023119,0,0,0.018182,0.020414
48,0.019355,0.021629,0.021586,0.015564,0,0,0.023966
49,0.018557,0.00744,0.024055,0.025461,0,0.014084,0.019195
50,0,0.019948,0.014218,0,0.018774,0,0.020992
51,0.020472,0.019904,0.016602,0,0.019069,0,0.021047
52,0,0,0.016559,0.007773,0,0.024797,0.014043
53,0.015068,0.025305,0,0.019906,0,0.022335,0.016606
54,0.020783,0,0.021515,0.010735,0.021744,0.007721,0.011531
55,0.025113,0,0.026363,0.01712,0.019498,0.021356,0.032381
