op_w_process_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0.074714,0.067062,0.06842,0.065724,0.045935,0.047706
7,0,0,0.300439,0.061379,0.065684,0.043162
8,0.151235,0.206726,0.206377,1.0263,1.829315,0
9,0.125287,0.105948,0.086206,0.061808,0.065985,0.055906
10,0.138606,0.149582,0.159304,0.133561,0.151491,0.140316
11,0,0,0.954521,0.237935,0.114274,0.115201
12,0.363395,2.789083,0,0,0.950246,0
13,0.075074,0.08652,0.182301,0.214946,0.148422,0.185619
14,0.134867,0.143759,0.140302,0.126441,0.133159,0.080181
15,0.219784,0.162118,0.173399,0.173493,0.176884,0.133584
16,2.152967,2.245753,2.12738,0,0,0
17,0.10465,0.099935,0.111813,0.118045,0.282747,0.330307
18,0.133797,0.148998,0.147541,0.11291,0.101839,0.063478
19,0.679969,0,0.616081,0.122235,0.20622,0.103709
20,1.130852,1.803454,0.819013,0,1.427456,2.148682
21,0.071213,0.066734,0.174391,0.278471,0.065606,0.054532
22,0.255726,0.185809,0.167997,0.144025,0.122531,0.104345
23,0.212378,0.339372,0.178451,0.243035,0.25227,0.199575
24,0.797826,0.464394,1.748248,1.706011,1.616286,0.58352
25,0.095567,0.085424,0.090914,0.087148,0.080607,0.173618
26,0.151392,0.17335,0.174659,0.140854,0.229827,0.120343
27,0.10347,0.183889,0.141231,0.144982,0.107621,0.172439
28,0.963927,1.610272,1.466705,1.707578,1.338139,0
29,0.102737,0.107287,0.157107,0.087949,0.111015,0.118906
30,0.138858,0.10744,0.106401,0.151849,0.09467,0.058699
31,0.152152,0.110364,0.228079,0.164028,0.139313,0.124
32,0.853282,1.922631,1.550399,1.992415,1.180686,1.63151
33,0.080645,0.106974,0.100244,0.120671,0.148193,0.192591
34,0.128963,0.16228,0.123581,0.090301,0.098477,0.080931
35,0.441407,0.43707,0.749089,0.261761,0.245402,0.179383
36,0.491995,1.444988,1.446054,0.907498,1.078484,0
37,0.068039,0.099521,0.139644,0.179227,0.0821,0.221529
38,0.164128,0.206434,0.263616,0.335181,0.189065,0.054569
39,0.246703,0.214254,0.125763,0.131408,0.181238,0.24478
40,0,1.832409,1.795168,1.827678,1.781142,0.348775
41,0.131528,0.132503,0.202758,0.342799,0.150352,0.221465
42,0.116952,0.136748,0.135569,0.093295,0.092765,0.092403
43,0.099298,0.121856,0.123501,0.100212,0.122135,0.127488
44,2.019302,0,1.168247,1.043794,0.954518,0
45,0.155059,0.228452,0.418414,0.837752,1.118499,2.002467
46,0.140004,0.110194,0.0777,0.073062,0.065885,0.121891
47,0.114152,0.142906,0.149393,0.114676,0.156561,0.140227
48,0,0,1.353308,0.127106,0.157561,0.123641
49,0.479288,0.507537,1.748606,1.411742,2.439786,0
50,0.082039,0.084366,0.106446,0.100824,0.123726,0.125983
51,0.136734,0.133256,0.134699,0.107524,0.122004,0.116388
52,0.133952,0,0.149166,0.148511,0.128911,0.144898
53,1.70209,1.697177,0,0,1.663413,0
54,0.161253,0.117364,0.179368,0.229401,0.345449,0.431255
55,0.128497,0.138924,0.16895,0.094863,0.074316,0.062357
56,0.113772,0.151121,0.167055,0.142066,0.144392,0.110653
57,1.974635,1.975859,0,0.096118,0.093038,0.105937
58,0.133089,0.253759,0.226744,1.161087,2.342748,1.960164
59,0.175069,0.09386,0.087423,0.05948,0.093727,0.08931
60,0.155945,0.164596,0.179274,0.175552,0.176101,0.145449
61,0.921224,0.937278,0.917357,0.182911,0.142334,0.126719
62,0.328259,0.694826,1.043497,0,0,0.932847
63,0.082465,0.077934,0.084356,0.266788,0.256803,0.140295
64,0.139415,0.143063,0.133318,0.107469,0.088977,0.05754
65,0.140278,0.177989,0.143898,0.134775,0.137831,0.1426
66,2.195336,0,2.113627,0.39008,0.487782,0.047249
67,0.153615,0.203474,0.118528,1.090777,2.153198,2.742953
68,0.125484,0.114939,0.117695,0.067479,0.120006,0.134246
69,0.170067,0.138952,0.13158,0.142159,0.110373,0.115462
70,0.961836,0,0.687312,0.180922,0.144812,0.148325
71,0.23203,0.509165,0.909294,1.781227,0,0
72,0.103658,0.09749,0.08884,0.110339,0.231616,0.458606
73,0.1573,0.150238,0.127456,0.110966,0.10689,0.068768
74,0,0,0,0.139992,0.159847,0.093127
75,0.547372,1.100562,1.967944,0,0,1.024849
76,0.077808,0.090384,0.085486,0.306406,0.510919,0.119437
77,0.127472,0.186171,0.160411,0.073426,0.074872,0.058343
78,0,0.050992,0,0.130003,0.13996,0.092107
79,0.056845,0.063021,0.945313,0,0,0
80,0.104789,0.090138,0.086714,0.172974,0.188261,0.061782
81,0.132326,0.144827,0.175951,0.097603,0.096857,0.063592
82,0.08437,0.080165,0.169264,0.153033,0.135189,0.130435
83,1.557936,0,1.573328,0.154606,0.137468,0.084163
84,0.118488,0.225045,0.204444,1.573201,1.739296,0
85,0.153262,0.127671,0.120333,0.189343,0.101163,0.26346
86,0.105471,0.122895,0.138029,0.151593,0.135066,0.112312
87,2.100195,0,0,0.132803,0.105663,0.174695
88,0.079906,0.224512,0.546303,2.125598,0,0
89,0.135554,0.101811,0.082586,0.234529,0.280979,1.15114
90,0.155989,0.162803,0.150913,0.080556,0.072745,0.062634
91,0.685676,0,0.149162,0.13021,0.140331,0.141579
92,0.217919,0.809057,1.793444,0.267296,0.289152,0.172111
93,0.081227,0.082217,0.075484,1.691827,2.30407,1.673906
94,0.140778,0.141528,0.143296,0.178976,0.062044,0.062573
