op_w_rlat,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0.014345,0,0,0,0,0
26,0.019966,0.009257,0.011029,0,0,0,0
27,0.01776,0.009962,0.009823,0.011254,0,0.009141,0.016276
28,0.021069,0.006995,0.021891,0,0.018926,0.017967,0.024712
29,0.048432,0.02024,0.009874,0,0,0.017792,0.026289
30,0.011115,0,0.018277,0,0.01518,0,0.012739
31,0.016592,0.029614,0.010558,0,0.020205,0.006969,0
32,0.009391,0,0.008352,0.008886,0,0.020002,0.021848
33,0.030813,0,0.008514,0,0.012811,0,0.031358
34,0,0,0.007712,0.011163,0.026125,0,0.015611
35,0.012517,0,0.018656,0.013076,0.009658,0.009877,0.008938
36,0.019434,0,0,0.008249,0.032948,0.025305,0.012729
37,0.019066,0.019464,0.03153,0.00768,0.009587,0.022427,0.009866
38,0.016098,0.014452,0.051766,0.013585,0.026307,0.014441,0.012801
39,0.010122,0,0.018922,0.014747,0.016671,0.010444,0.019769
40,0.02357,0.008863,0.027733,0.018519,0.009083,0.024124,0.008502
41,0.009719,0.029016,0.00978,0.021147,0.016523,0.019694,0.020428
42,0.009567,0,0.023056,0,0,0.014167,0.022906
43,0,0.023315,0.024849,0,0,0.016253,0.022592
44,0.027453,0.015044,0,0,0.010194,0.02071,0.020334
45,0.012103,0.020474,0.023591,0.018118,0.020972,0.013649,0.018375
46,0.01108,0,0.018748,0,0,0.023088,0.021896
47,0.023633,0.01204,0.03139,0,0,0.019299,0.015702
48,0.012886,0.020649,0.017927,0.017163,0,0,0.024162
49,0.01376,0.006818,0.0226,0.025198,0,0.015639,0.019561
50,0,0.020053,0.010769,0,0.018522,0,0.020386
51,0.011885,0.015684,0.015421,0,0.019168,0,0.023916
52,0,0,0.016644,0.008421,0,0.024795,0.008353
53,0.016333,0.022947,0,0.018283,0,0.022095,0.018243
54,0.016584,0,0.020563,0.011303,0.021555,0.006825,0.013028
55,0.03552,0,0.030979,0.018522,0.015704,0.022759,0.050782
