op_wip,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,5,0,0,0,0,0
27,0,0,0,0,0,0,0
28,1,0,0,0,0,5,0
29,4,0,0,0,0,0,8
30,6,0,8,0,0,0,0
31,7,0,0,0,8,0,0
32,2,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,10,0,8,0,8
35,0,0,0,0,0,0,8
36,0,0,0,8,0,0,0
37,0,0,0,5,8,0,8
38,0,3,5,0,0,0,8
39,0,0,0,6,7,2,6
40,8,0,5,0,0,0,0
41,7,8,0,0,0,8,0
42,8,0,4,0,0,0,8
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,4
45,0,7,0,0,8,7,0
46,7,0,8,0,0,0,0
47,8,0,0,0,0,6,0
48,0,8,6,5,0,0,0
49,2,0,0,0,0,0,0
50,0,0,8,0,0,0,8
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,8
53,0,0,0,0,0,7,0
54,5,0,0,0,0,0,5
55,8,0,0,0,8,8,0
56,0,0,6,0,0,0,8
57,0,6,5,0,0,0,0
58,5,0,8,0,0,0,0
59,0,0,0,0,3,0,0
60,8,0,8,5,0,0,0
61,0,0,8,0,0,0,0
62,8,0,0,0,0,2,0
63,0,0,0,0,0,0,0
64,8,5,0,7,0,0,0
65,0,0,6,0,0,0,0
66,0,0,6,8,0,0,8
67,0,7,8,0,6,0,3
68,1,0,0,0,0,0,0
69,0,0,3,0,0,8,7
70,0,0,0,6,0,0,8
71,8,0,0,0,2,0,4
72,0,0,8,6,0,0,0
73,0,0,7,0,0,0,0
74,0,0,0,0,0,8,7
75,0,0,0,0,0,0,0
76,4,4,0,0,0,0,0
77,0,5,8,0,0,8,4
78,0,0,8,0,8,0,3
79,6,0,2,0,0,0,0
80,0,8,0,0,0,8,8
81,1,0,5,0,0,0,0
82,0,0,6,0,0,0,0
83,0,0,8,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,7,2,0
