stat_bytes_avail,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
1,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
2,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
3,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
4,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
5,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
6,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
7,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
8,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
9,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
10,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
11,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
12,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
13,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
14,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
15,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
16,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
17,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
18,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
19,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
20,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
21,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
22,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
23,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
24,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
25,59356033024,62462062592,57241960448,56953974784,56577654784,57117753344,54001598464
26,59356033024,62461911040,57241960448,56953974784,56577654784,57117753344,54001598464
27,59355820032,62461911040,57247211520,56953974784,56577654784,57117753344,54001598464
28,59355820032,62461911040,57247211520,56953974784,56577654784,57117696000,54001598464
29,59354443776,62461911040,57247211520,56953974784,56576942080,57116348416,54001598464
30,59354443776,62461911040,57245831168,56953974784,56576942080,57116319744,54001598464
31,59354443776,62466301952,57245831168,56953974784,56576942080,57116319744,54001598464
32,59354443776,62465802240,57245831168,56951656448,56575340544,57114943488,54005559296
33,59352780800,62465802240,57244315648,56951656448,56575340544,57114943488,54005002240
34,59352780800,62465802240,57244016640,56950267904,56574423040,57114943488,54005002240
35,59352780800,62465802240,57243099136,56950267904,56574423040,57119539200,54005002240
36,59352780800,62464258048,57243099136,56949104640,56574423040,57119539200,54005002240
